dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,2008,4000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,24467924.0,0.0,0.0,0.0,2008,24467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,32310293.0,2008,32310293.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,88756864.0,0.0,0.0,101035199.0,0.0,0.0,2008,189792063.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,9603520.0,9043322.0,575555.0,0.0,0.0,0.0,0.0,2008,19222397.0,Office of the Director of Finance,35,Finance,35
District Attorney,29604687.0,1828524.0,554162.0,0.0,0.0,0.0,0.0,2008,31987373.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,9398560.0,2451359.0,668621.0,850000.0,0.0,0.0,0.0,2008,13368540.0,Fairmount Park Commission,17,,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,2008,35000000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,923903498.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,923903498.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2008,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,170848769.0,6071083.0,5897415.0,0.0,0.0,7290400.0,0.0,2008,190107667.0,Fire Department,13,Fire,13
First Judicial District,88948623.0,23083226.0,2520354.0,0.0,0.0,0.0,0.0,2008,114552203.0,First Judicial District,84,FJD,84
Fleet Management,17687192.0,4208252.0,22687980.0,0.0,0.0,0.0,0.0,2008,44583424.0,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Purch.,0.0,0.0,16900000.0,0.0,0.0,0.0,0.0,2008,16900000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,35754920.0,1844502.0,3931643.0,0.0,0.0,0.0,0.0,2008,41531065.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2008,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,298743.0,21084.0,6041.0,0.0,0.0,0.0,0.0,2008,325868.0,Historical Commission,32,,32
Human Relations,2119686.0,47131.0,19274.0,0.0,0.0,0.0,0.0,2008,2186091.0,Commission on Human Relations,54,Human Relations,54
Human Services,95733041.0,507400162.0,4514731.0,0.0,0.0,0.0,0.0,2008,607647934.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,20113915.0,0.0,0.0,0.0,2008,20113915.0,Finance: Indemnities,35-IN,,35
Labor Relations,511436.0,21414.0,16500.0,0.0,0.0,0.0,0.0,2008,549350.0,Labor,03,,03
Law,9465522.0,4419594.0,250024.0,0.0,0.0,0.0,0.0,2008,14135140.0,Law Department,44,Law,44
Legal Services,0.0,36710948.0,0.0,0.0,0.0,0.0,0.0,2008,36710948.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,17637314.0,1506856.0,584498.0,0.0,0.0,0.0,0.0,2008,19728668.0,Department of Licenses and Inspections,26,L&I,26
Licenses & Inspection-Demolition,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,2008,10000000.0,L&I: Demolition,26-D,,26
Managing Director,9426717.0,4828124.0,1217256.0,0.0,0.0,0.0,0.0,2008,15472097.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,594383.0,616493.0,0.0,0.0,0.0,0.0,0.0,2008,1210876.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2008,200000.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,4242305.0,578546.0,126208.0,4221.0,0.0,0.0,0.0,2008,4951280.0,Mayor's Office,05,Mayor,05
Mayor's Office of Comm. Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,0.0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Mayor's Office of Information Svcs.,9541592.0,19062792.0,337634.0,0.0,0.0,0.0,0.0,2008,28942018.0,Office of Innovation and Technology,04,OIT,04
Office of Behavioral Health / Mental Retardation Services,2258245.0,12003707.0,0.0,0.0,0.0,0.0,0.0,2008,14261952.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Housing and Comm. Dev.,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,2008,4000000.0,Office of Housing and Community Development,06,,06
Office of Supportive Housing,6995905.0,30448809.0,431569.0,35050.0,0.0,0.0,0.0,2008,37911333.0,Office of Homeless Services,24,OHS,24
Personnel,4098488.0,722530.0,55609.0,0.0,0.0,0.0,0.0,2008,4876627.0,Office of Human Resources,56,OHR,56
Police,498865287.0,7342029.0,7627265.0,0.0,0.0,0.0,0.0,2008,513834581.0,Police Department,11,Police,11
Prisons,117006997.0,95504591.0,4520744.0,1501757.0,0.0,0.0,0.0,2008,218534089.0,Philadelphia Prison System,23,Prisons,23
Procurement,2885023.0,2315891.0,74443.0,0.0,0.0,0.0,0.0,2008,5275357.0,Procurement Department,38,Procurement,38
Public Health,42504060.0,68371153.0,4586060.0,0.0,0.0,1000000.0,0.0,2008,116461273.0,Department of Public Health,14,Public Health,14
Public Property,9191973.0,24778199.0,898856.0,0.0,0.0,20049130.0,0.0,2008,54918158.0,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,61601000.0,0.0,0.0,0.0,0.0,0.0,2008,61601000.0,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,15386457.0,0.0,0.0,0.0,0.0,0.0,2008,15386457.0,Public Property: Space Rentals,20-SR,,20
Public Property-Telecomm.,0.0,2600000.0,300000.0,0.0,0.0,0.0,0.0,2008,2900000.0,Public Property: Telecommunications,20-T,,20
Public Property-Utilities,0.0,32490000.0,0.0,0.0,0.0,0.0,0.0,2008,32490000.0,Public Property: Utilities,20-U,,20
Records,3658731.0,4016013.0,81245.0,1456.0,0.0,0.0,0.0,2008,7757445.0,Department of Records,31,Records,31
Recreation,32541508.0,2377865.0,1840172.0,2000000.0,0.0,0.0,0.0,2008,38759545.0,Department of Parks and Recreation,16,Parks & Recreation,16
Refunds,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,2008,500000.0,Finance: Refunds,35-R,,35
Register of Wills,3656202.0,83874.0,36900.0,0.0,0.0,0.0,0.0,2008,3776976.0,Register of Wills,68,,68
Revenue,13002458.0,3943014.0,652949.0,0.0,0.0,0.0,0.0,2008,17598421.0,Department of Revenue,36,Revenue,36
Sheriff,14134856.0,503158.0,282813.0,0.0,0.0,0.0,0.0,2008,14920827.0,Office of the Sheriff,70,Sheriff,70
Streets,20486564.0,8934606.0,2735015.0,5000.0,0.0,0.0,0.0,2008,32161185.0,Streets Department,12,Streets,12
Streets - Sanitation,46449179.0,49345622.0,1363406.0,48171.0,0.0,0.0,0.0,2008,97206378.0,Streets: Sanitation,12-S,,12
Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,2008,171518.0,Finance: Witness Fees,35-WF,,35
Zoning Bd. of Adj.,402272.0,48041.0,0.0,0.0,0.0,0.0,0.0,2008,450313.0,Zoning Board of Adjustments,30,ZBA,30
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,0.0,Finance: Recession Reserve,35-RR,Recession Reserve,35
