dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
Mayor's Office,3406312.0,633353.0,132350.0,4221.0,0.0,0.0,2006,0,4176236.0,Mayor's Office,05,Mayor,05
Office of Behavioral Health /  Mental Retardation Services,2483123.0,12128834.0,0.0,0.0,0.0,0.0,2006,0,14611957.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Community Services,589270.0,74478.0,28858.0,0.0,0.0,0.0,2006,0,692606.0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Office of Emergency Shelter Services,6534818.0,10952222.0,387060.0,35050.0,0.0,0.0,2006,0,17909150.0,Office of Homeless Services,24,OHS,24
Office of Information Svcs.,6450291.0,4750853.0,162634.0,0.0,0.0,0.0,2006,0,11363778.0,Office of Innovation and Technology,04,OIT,04
Personnel,3972817.0,362530.0,55609.0,0.0,0.0,0.0,2006,0,4390956.0,Office of Human Resources,56,OHR,56
Police,465097585.0,7425445.0,7432070.0,0.0,0.0,275653.0,2006,0,480230753.0,Police Department,11,Police,11
Prisons,102682824.0,79273591.0,3630209.0,1026757.0,0.0,0.0,2006,0,186613381.0,Philadelphia Prison System,23,Prisons,23
Procurement,2814617.0,1458787.0,74443.0,0.0,0.0,0.0,2006,0,4347847.0,Procurement Department,38,Procurement,38
Public Health,39117575.0,63850309.0,4072244.0,0.0,0.0,0.0,2006,0,107040128.0,Department of Public Health,14,Public Health,14
Public Property,8079493.0,23143592.0,909177.0,0.0,0.0,14000000.0,2006,0,46132262.0,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,59216000.0,0.0,0.0,0.0,0.0,2006,0,59216000.0,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,14462759.0,0.0,0.0,0.0,0.0,2006,0,14462759.0,Public Property: Space Rentals,20-SR,,20
Public Property-Telecommunications,0.0,12982098.0,0.0,0.0,0.0,0.0,2006,0,12982098.0,Public Property: Telecommunications,20-T,,20
Public Property-Utilities,0.0,26468000.0,0.0,0.0,0.0,0.0,2006,0,26468000.0,Public Property: Utilities,20-U,,20
Records,3535248.0,3779714.0,452607.0,1456.0,0.0,0.0,2006,0,7769025.0,Department of Records,31,Records,31
Recreation,27339616.0,2706201.0,1390069.0,1900000.0,0.0,0.0,2006,0,33335886.0,Department of Parks and Recreation,16,Parks & Recreation,16
Recreation - Stadium Complex,0.0,0.0,0.0,0.0,0.0,0.0,2006,0,0.0,Parks & Recreation: Stadium Complex,16-SC,,16
Refunds,0.0,0.0,0.0,500000.0,0.0,0.0,2006,0,500000.0,Finance: Refunds,35-R,,35
Register of Wills,3167556.0,38874.0,27098.0,0.0,0.0,70965.0,2006,0,3304493.0,Register of Wills,68,,68
Representative/Commerce,1190424.0,1298192.0,93895.0,2100000.0,0.0,0.0,2006,0,4682511.0,Office of the City Representative,41,City Rep,41
Revenue,13347531.0,3575774.0,689971.0,0.0,0.0,44883.0,2006,0,17658159.0,Department of Revenue,36,Revenue,36
Sheriff,12227904.0,481958.0,272213.0,0.0,0.0,0.0,2006,0,12982075.0,Office of the Sheriff,70,Sheriff,70
Streets,13712273.0,12158606.0,2392721.0,30000.0,0.0,0.0,2006,0,28293600.0,Streets Department,12,Streets,12
Streets - Sanitation,44832269.0,47935286.0,1333929.0,48171.0,0.0,0.0,2006,0,94149655.0,Streets: Sanitation,12-S,,12
Tax Reform Commission,0.0,0.0,0.0,0.0,0.0,0.0,2006,0,0.0,Tax Reform Commission,02,,02
Witness Fees,0.0,175000.0,0.0,0.0,0.0,0.0,2006,0,175000.0,Finance: Witness Fees,35-WF,,35
Zoning Bd. of Adji.,385163.0,54375.0,2580.0,0.0,0.0,0.0,2006,0,442118.0,Zoning Board of Adjustments,30,ZBA,30
of Housing and Comm. Dev.,236917.0,143231.0,0.0,0.0,0.0,0.0,2006,0,380148.0,Office of Housing and Community Development,06,,06
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,2006,0,0.0,Finance: Recession Reserve,35-RR,Recession Reserve,35
