dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Human Relations Commission,1901754,2016,Actual,Full Year,2016-06-30,Commission on Human Relations,54,Human Relations
Human Services,98108341,2016,Actual,Full Year,2016-06-30,Department of Human Services,22,DHS
Labor,509434,2016,Actual,Full Year,2016-06-30,Labor,03,
Law,14573200,2016,Actual,Full Year,2016-06-30,Law Department,44,Law
Licenses & Inspections,30606285,2016,Actual,Full Year,2016-06-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,67890,2016,Actual,Full Year,2016-06-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,150198,2016,Actual,Full Year,2016-06-30,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,361362,2016,Actual,Full Year,2016-06-30,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,37253573,2016,Actual,Full Year,2016-06-30,Managing Director's Office,10,MDO
Managing Director-Legal Services,44695131,2016,Actual,Full Year,2016-06-30,MDO: Legal Services,10LS,
Mayor's Office,5326597,2016,Actual,Full Year,2016-06-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,200000,2016,Actual,Full Year,2016-06-30,Mayor's Office: Scholarships,05S,
Mayor's Office-Comm. Empowerment & Opp.,938500,2016,Actual,Full Year,2016-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,691258,2016,Actual,Full Year,2016-06-30,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,1650828,2016,Actual,Full Year,2016-06-30,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,4151022,2016,Actual,Full Year,2016-06-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,13970663,2016,Actual,Full Year,2016-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,0,2016,Actual,Full Year,2016-06-30,Office of the Chief Administrative Officer,65,CAO
Office of Community Schools and Pre-K,0,2016,Actual,Full Year,2016-06-30,Office of Children and Families,66,OCF
Office of Homeless Services,45692125,2016,Actual,Full Year,2016-06-30,Office of Homeless Services,24,OHS
Office of Housing and Comm. Development,3589647,2016,Actual,Full Year,2016-06-30,Office of Housing and Community Development,06,
Office of Human Resources,6230345,2016,Actual,Full Year,2016-06-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,56652717,2016,Actual,Full Year,2016-06-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,11512856,2016,Actual,Full Year,2016-06-30,OIT: 911,04911,
Office of the Inspector General,1646572,2016,Actual,Full Year,2016-06-30,Office of the Inspector General,48,OIG
Office of Planning and Development,0,2016,Actual,Full Year,2016-06-30,Mayor's Office of Planning and Development,62,
Office of Property Assessment,12254032,2016,Actual,Full Year,2016-06-30,Office of Property Assessment,59,OPA
Office of Sustainability,718292,2016,Actual,Full Year,2016-06-30,Office of Sustainability,49,Sustainability
Parks and Recreation,59692793,2016,Actual,Full Year,2016-06-30,Department of Parks and Recreation,16,Parks & Recreation
Police,658913434,2016,Actual,Full Year,2016-06-30,Police Department,11,Police
Prisons,252998325,2016,Actual,Full Year,2016-06-30,Philadelphia Prison System,23,Prisons
Procurement,5368006,2016,Actual,Full Year,2016-06-30,Procurement Department,38,Procurement
Public Health,121477480,2016,Actual,Full Year,2016-06-30,Department of Public Health,14,Public Health
Public Property,64005967,2016,Actual,Full Year,2016-06-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,74215000,2016,Actual,Full Year,2016-06-30,Public Property: SEPTA Subsidy,20SS,
Public Property-Space Rentals,20228737,2016,Actual,Full Year,2016-06-30,Public Property: Space Rentals,20SR,
Public Property-Utilities,31611391,2016,Actual,Full Year,2016-06-30,Public Property: Utilities,20U,
Records,4682635,2016,Actual,Full Year,2016-06-30,Department of Records,31,Records
Register of Wills,3670375,2016,Actual,Full Year,2016-06-30,Register of Wills,68,
Revenue,25030624,2016,Actual,Full Year,2016-06-30,Department of Revenue,36,Revenue
Sheriff,23430787,2016,Actual,Full Year,2016-06-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),224730664,2016,Actual,Full Year,2016-06-30,Sinking Fund Commission,37,Sinking Fund
Streets,145412435,2016,Actual,Full Year,2016-06-30,Streets Department,12,Streets
Youth Commission,101194,2016,Actual,Full Year,2016-06-30,Youth Commission,47,
Art Museum Subsidy,1912500,2017,Target Budget,YTD,2017-03-31,Art Museum,34,
Atwater Kent Museum,232386,2017,Target Budget,YTD,2017-03-31,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),6214461,2017,Target Budget,YTD,2017-03-31,City Controller's Office,61,
Board of Ethics,697816,2017,Target Budget,YTD,2017-03-31,Board of Ethics,45,
Board of Revision of Taxes,758196,2017,Target Budget,YTD,2017-03-31,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8039060,2017,Target Budget,YTD,2017-03-31,City Commissioner's Office,73,City Commissioners
City Council,11378467,2017,Target Budget,YTD,2017-03-31,City Council,01,
City Planning Commission,1803131,2017,Target Budget,YTD,2017-03-31,City Planning Commission,51,
City Representative,519322,2017,Target Budget,YTD,2017-03-31,Office of the City Representative,41,City Rep
City Treasurer,787880,2017,Target Budget,YTD,2017-03-31,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),147551,2017,Target Budget,YTD,2017-03-31,Civil Service Commission,55,
Commerce,4317864,2017,Target Budget,YTD,2017-03-31,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2017,Target Budget,YTD,2017-03-31,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,3354448,2017,Target Budget,YTD,2017-03-31,Commerce: Economic Stimulus,42ES,
District Attorney,26491509,2017,Target Budget,YTD,2017-03-31,District Attorney's Office,69,DAO
Finance,9512714,2017,Target Budget,YTD,2017-03-31,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,29909207,2017,Target Budget,YTD,2017-03-31,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,953248972,2017,Target Budget,YTD,2017-03-31,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,15000,2017,Target Budget,YTD,2017-03-31,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,30035990,2017,Target Budget,YTD,2017-03-31,Finance: Indemnities,35IN,
Finance-Refunds,0,2017,Target Budget,YTD,2017-03-31,Finance: Refunds,35R,
Finance-School District Contribution,0,2017,Target Budget,YTD,2017-03-31,Finance: School District Contribution,35SD,
Finance-Witness Fees,74605,2017,Target Budget,YTD,2017-03-31,Finance: Witness Fees,35WF,
Fire,168606379,2017,Target Budget,YTD,2017-03-31,Fire Department,13,Fire
First Judicial District,76741718,2017,Target Budget,YTD,2017-03-31,First Judicial District,84,FJD
Fleet Management,35779879,2017,Target Budget,YTD,2017-03-31,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,13086098,2017,Target Budget,YTD,2017-03-31,Fleet: Vehicle Lease/Purchases,25V,
Free Library,29687484,2017,Target Budget,YTD,2017-03-31,The Free Library of Philadelphia,52,Free Library
Historical Commission,281658,2017,Target Budget,YTD,2017-03-31,Historical Commission,32,
Human Relations Commission,1476328,2017,Target Budget,YTD,2017-03-31,Commission on Human Relations,54,Human Relations
Human Services,79123821,2017,Target Budget,YTD,2017-03-31,Department of Human Services,22,DHS
Labor,647013,2017,Target Budget,YTD,2017-03-31,Labor,03,
Law,13091149,2017,Target Budget,YTD,2017-03-31,Law Department,44,Law
Licenses & Inspections,22382314,2017,Target Budget,YTD,2017-03-31,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,52499,2017,Target Budget,YTD,2017-03-31,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,120813,2017,Target Budget,YTD,2017-03-31,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,254196,2017,Target Budget,YTD,2017-03-31,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,29163763,2017,Target Budget,YTD,2017-03-31,Managing Director's Office,10,MDO
Managing Director-Legal Services,45793831,2017,Target Budget,YTD,2017-03-31,MDO: Legal Services,10LS,
Mayor's Office,2975619,2017,Target Budget,YTD,2017-03-31,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,190000,2017,Target Budget,YTD,2017-03-31,Mayor's Office: Scholarships,05S,
Mayor's Office-Comm. Empowerment & Opp.,500000,2017,Target Budget,YTD,2017-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,0,2017,Target Budget,YTD,2017-03-31,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,1533103,2017,Target Budget,YTD,2017-03-31,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,4041682,2017,Target Budget,YTD,2017-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,13711396,2017,Target Budget,YTD,2017-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,4307372,2017,Target Budget,YTD,2017-03-31,Office of the Chief Administrative Officer,65,CAO
Office of Community Schools and Pre-K,13460905,2017,Target Budget,YTD,2017-03-31,Office of Children and Families,66,OCF
Office of Homeless Services,40580010,2017,Target Budget,YTD,2017-03-31,Office of Homeless Services,24,OHS
Office of Housing and Comm. Development,3068200,2017,Target Budget,YTD,2017-03-31,Office of Housing and Community Development,06,
Office of Human Resources,4629828,2017,Target Budget,YTD,2017-03-31,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,38554886,2017,Target Budget,YTD,2017-03-31,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,14366777,2017,Target Budget,YTD,2017-03-31,OIT: 911,04911,
Office of the Inspector General,1089071,2017,Target Budget,YTD,2017-03-31,Office of the Inspector General,48,OIG
Office of Planning and Development,778710,2017,Target Budget,YTD,2017-03-31,Mayor's Office of Planning and Development,62,
Office of Property Assessment,9039775,2017,Target Budget,YTD,2017-03-31,Office of Property Assessment,59,OPA
Office of Sustainability,646840,2017,Target Budget,YTD,2017-03-31,Office of Sustainability,49,Sustainability
Parks and Recreation,45649233,2017,Target Budget,YTD,2017-03-31,Department of Parks and Recreation,16,Parks & Recreation
Police,462569805,2017,Target Budget,YTD,2017-03-31,Police Department,11,Police
Prisons,213694318,2017,Target Budget,YTD,2017-03-31,Philadelphia Prison System,23,Prisons
Procurement,3331022,2017,Target Budget,YTD,2017-03-31,Procurement Department,38,Procurement
Public Health,103056658,2017,Target Budget,YTD,2017-03-31,Department of Public Health,14,Public Health
Public Property,27153627,2017,Target Budget,YTD,2017-03-31,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,59790000,2017,Target Budget,YTD,2017-03-31,Public Property: SEPTA Subsidy,20SS,
Public Property-Space Rentals,25149381,2017,Target Budget,YTD,2017-03-31,Public Property: Space Rentals,20SR,
Public Property-Utilities,28232111,2017,Target Budget,YTD,2017-03-31,Public Property: Utilities,20U,
Records,3478179,2017,Target Budget,YTD,2017-03-31,Department of Records,31,Records
Register of Wills,2857982,2017,Target Budget,YTD,2017-03-31,Register of Wills,68,
Revenue,22514337,2017,Target Budget,YTD,2017-03-31,Department of Revenue,36,Revenue
Sheriff,17582280,2017,Target Budget,YTD,2017-03-31,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),199730951,2017,Target Budget,YTD,2017-03-31,Sinking Fund Commission,37,Sinking Fund
Streets,99530369,2017,Target Budget,YTD,2017-03-31,Streets Department,12,Streets
Youth Commission,0,2017,Target Budget,YTD,2017-03-31,Youth Commission,47,
Art Museum Subsidy,1912500,2017,Actual,YTD,2017-03-31,Art Museum,34,
Atwater Kent Museum,232386,2017,Actual,YTD,2017-03-31,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),6214461,2017,Actual,YTD,2017-03-31,City Controller's Office,61,
Board of Ethics,697816,2017,Actual,YTD,2017-03-31,Board of Ethics,45,
Board of Revision of Taxes,758196,2017,Actual,YTD,2017-03-31,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8039060,2017,Actual,YTD,2017-03-31,City Commissioner's Office,73,City Commissioners
City Council,11378467,2017,Actual,YTD,2017-03-31,City Council,01,
City Planning Commission,1803131,2017,Actual,YTD,2017-03-31,City Planning Commission,51,
City Representative,519322,2017,Actual,YTD,2017-03-31,Office of the City Representative,41,City Rep
City Treasurer,787880,2017,Actual,YTD,2017-03-31,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),147551,2017,Actual,YTD,2017-03-31,Civil Service Commission,55,
Commerce,4317864,2017,Actual,YTD,2017-03-31,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2017,Actual,YTD,2017-03-31,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,3354448,2017,Actual,YTD,2017-03-31,Commerce: Economic Stimulus,42ES,
District Attorney,25966509,2017,Actual,YTD,2017-03-31,District Attorney's Office,69,DAO
Finance,9437714,2017,Actual,YTD,2017-03-31,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,29909207,2017,Actual,YTD,2017-03-31,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,953248972,2017,Actual,YTD,2017-03-31,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,15000,2017,Actual,YTD,2017-03-31,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,30035990,2017,Actual,YTD,2017-03-31,Finance: Indemnities,35IN,
Finance-Refunds,0,2017,Actual,YTD,2017-03-31,Finance: Refunds,35R,
Finance-School District Contribution,0,2017,Actual,YTD,2017-03-31,Finance: School District Contribution,35SD,
Finance-Witness Fees,74605,2017,Actual,YTD,2017-03-31,Finance: Witness Fees,35WF,
Fire,168956379,2017,Actual,YTD,2017-03-31,Fire Department,13,Fire
First Judicial District,76741718,2017,Actual,YTD,2017-03-31,First Judicial District,84,FJD
Fleet Management,35504879,2017,Actual,YTD,2017-03-31,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,13086098,2017,Actual,YTD,2017-03-31,Fleet: Vehicle Lease/Purchases,25V,
Free Library,29512484,2017,Actual,YTD,2017-03-31,The Free Library of Philadelphia,52,Free Library
Historical Commission,281658,2017,Actual,YTD,2017-03-31,Historical Commission,32,
Human Relations Commission,1476328,2017,Actual,YTD,2017-03-31,Commission on Human Relations,54,Human Relations
Human Services,79123821,2017,Actual,YTD,2017-03-31,Department of Human Services,22,DHS
Labor,647013,2017,Actual,YTD,2017-03-31,Labor,03,
Law,13016149,2017,Actual,YTD,2017-03-31,Law Department,44,Law
Licenses & Inspections,21932314,2017,Actual,YTD,2017-03-31,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,52499,2017,Actual,YTD,2017-03-31,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,120813,2017,Actual,YTD,2017-03-31,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,254196,2017,Actual,YTD,2017-03-31,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,29163763,2017,Actual,YTD,2017-03-31,Managing Director's Office,10,MDO
Managing Director-Legal Services,45793831,2017,Actual,YTD,2017-03-31,MDO: Legal Services,10LS,
Mayor's Office,2975619,2017,Actual,YTD,2017-03-31,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,190000,2017,Actual,YTD,2017-03-31,Mayor's Office: Scholarships,05S,
Mayor's Office-Comm. Empowerment & Opp.,500000,2017,Actual,YTD,2017-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,0,2017,Actual,YTD,2017-03-31,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,1533103,2017,Actual,YTD,2017-03-31,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,4041682,2017,Actual,YTD,2017-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,13711396,2017,Actual,YTD,2017-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,4257372,2017,Actual,YTD,2017-03-31,Office of the Chief Administrative Officer,65,CAO
Office of Community Schools and Pre-K,13260905,2017,Actual,YTD,2017-03-31,Office of Children and Families,66,OCF
Office of Homeless Services,40580010,2017,Actual,YTD,2017-03-31,Office of Homeless Services,24,OHS
Office of Housing and Comm. Development,3068200,2017,Actual,YTD,2017-03-31,Office of Housing and Community Development,06,
Office of Human Resources,4629828,2017,Actual,YTD,2017-03-31,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,38554886,2017,Actual,YTD,2017-03-31,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,14366777,2017,Actual,YTD,2017-03-31,OIT: 911,04911,
Office of the Inspector General,1089071,2017,Actual,YTD,2017-03-31,Office of the Inspector General,48,OIG
Office of Planning and Development,778710,2017,Actual,YTD,2017-03-31,Mayor's Office of Planning and Development,62,
Office of Property Assessment,9389775,2017,Actual,YTD,2017-03-31,Office of Property Assessment,59,OPA
Office of Sustainability,646840,2017,Actual,YTD,2017-03-31,Office of Sustainability,49,Sustainability
Parks and Recreation,44899233,2017,Actual,YTD,2017-03-31,Department of Parks and Recreation,16,Parks & Recreation
Police,461869805,2017,Actual,YTD,2017-03-31,Police Department,11,Police
Prisons,214144318,2017,Actual,YTD,2017-03-31,Philadelphia Prison System,23,Prisons
Procurement,3331022,2017,Actual,YTD,2017-03-31,Procurement Department,38,Procurement
Public Health,102856658,2017,Actual,YTD,2017-03-31,Department of Public Health,14,Public Health
Public Property,27153627,2017,Actual,YTD,2017-03-31,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,59790000,2017,Actual,YTD,2017-03-31,Public Property: SEPTA Subsidy,20SS,
Public Property-Space Rentals,25149381,2017,Actual,YTD,2017-03-31,Public Property: Space Rentals,20SR,
Public Property-Utilities,28232111,2017,Actual,YTD,2017-03-31,Public Property: Utilities,20U,
Records,3478179,2017,Actual,YTD,2017-03-31,Department of Records,31,Records
Register of Wills,2857982,2017,Actual,YTD,2017-03-31,Register of Wills,68,
Revenue,22214337,2017,Actual,YTD,2017-03-31,Department of Revenue,36,Revenue
Sheriff,19415989,2017,Actual,YTD,2017-03-31,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),199730951,2017,Actual,YTD,2017-03-31,Sinking Fund Commission,37,Sinking Fund
Streets,99530369,2017,Actual,YTD,2017-03-31,Streets Department,12,Streets
Youth Commission,0,2017,Actual,YTD,2017-03-31,Youth Commission,47,
Art Museum Subsidy,2550000,2017,Adopted Budget,Full Year,2017-03-31,Art Museum,34,
Atwater Kent Museum,294817,2017,Adopted Budget,Full Year,2017-03-31,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8431962,2017,Adopted Budget,Full Year,2017-03-31,City Controller's Office,61,
Board of Ethics,1071403,2017,Adopted Budget,Full Year,2017-03-31,Board of Ethics,45,
Board of Revision of Taxes,955554,2017,Adopted Budget,Full Year,2017-03-31,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),10039785,2017,Adopted Budget,Full Year,2017-03-31,City Commissioner's Office,73,City Commissioners
City Council,16725293,2017,Adopted Budget,Full Year,2017-03-31,City Council,01,
City Planning Commission,2539728,2017,Adopted Budget,Full Year,2017-03-31,City Planning Commission,51,
City Representative,1125111,2017,Adopted Budget,Full Year,2017-03-31,Office of the City Representative,41,City Rep
City Treasurer,1180726,2017,Adopted Budget,Full Year,2017-03-31,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),10179476,2017,Adopted Budget,Full Year,2017-03-31,Civil Service Commission,55,
Commerce,4809700,2017,Adopted Budget,Full Year,2017-03-31,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2017,Adopted Budget,Full Year,2017-03-31,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,3354448,2017,Adopted Budget,Full Year,2017-03-31,Commerce: Economic Stimulus,42ES,
District Attorney,36944070,2017,Adopted Budget,Full Year,2017-03-31,District Attorney's Office,69,DAO
Finance,12979577,2017,Adopted Budget,Full Year,2017-03-31,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,29909207,2017,Adopted Budget,Full Year,2017-03-31,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,1229793961,2017,Adopted Budget,Full Year,2017-03-31,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,25000,2017,Adopted Budget,Full Year,2017-03-31,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,40675000,2017,Adopted Budget,Full Year,2017-03-31,Finance: Indemnities,35IN,
Finance-Refunds,250000,2017,Adopted Budget,Full Year,2017-03-31,Finance: Refunds,35R,
Finance-School District Contribution,104263617,2017,Adopted Budget,Full Year,2017-03-31,Finance: School District Contribution,35SD,
Finance-Witness Fees,171518,2017,Adopted Budget,Full Year,2017-03-31,Finance: Witness Fees,35WF,
Fire,221812329,2017,Adopted Budget,Full Year,2017-03-31,Fire Department,13,Fire
First Judicial District,110303140,2017,Adopted Budget,Full Year,2017-03-31,First Judicial District,84,FJD
Fleet Management,48180887,2017,Adopted Budget,Full Year,2017-03-31,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,12965000,2017,Adopted Budget,Full Year,2017-03-31,Fleet: Vehicle Lease/Purchases,25V,
Free Library,40080990,2017,Adopted Budget,Full Year,2017-03-31,The Free Library of Philadelphia,52,Free Library
Historical Commission,431732,2017,Adopted Budget,Full Year,2017-03-31,Historical Commission,32,
Human Relations Commission,2190207,2017,Adopted Budget,Full Year,2017-03-31,Commission on Human Relations,54,Human Relations
Human Services,103219500,2017,Adopted Budget,Full Year,2017-03-31,Department of Human Services,22,DHS
Labor,1096229,2017,Adopted Budget,Full Year,2017-03-31,Labor,03,
Law,16592715,2017,Adopted Budget,Full Year,2017-03-31,Law Department,44,Law
Licenses & Inspections,33612119,2017,Adopted Budget,Full Year,2017-03-31,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,75419,2017,Adopted Budget,Full Year,2017-03-31,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,169637,2017,Adopted Budget,Full Year,2017-03-31,L&I: Board of Review,27,
L&I-Zoning Board of Adjustment,372290,2017,Adopted Budget,Full Year,2017-03-31,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,39048607,2017,Adopted Budget,Full Year,2017-03-31,Managing Director's Office,10,MDO
Managing Director-Legal Services,45793831,2017,Adopted Budget,Full Year,2017-03-31,MDO: Legal Services,10LS,
Mayor's Office,4261140,2017,Adopted Budget,Full Year,2017-03-31,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,200000,2017,Adopted Budget,Full Year,2017-03-31,Mayor's Office: Scholarships,05S,
Mayor's Office-Comm. Empowerment & Opp.,2525318,2017,Adopted Budget,Full Year,2017-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mayor's Office of Transportation & Utilities,0,2017,Adopted Budget,Full Year,2017-03-31,Mayor's Office of Transportation and Utilities,46,
Mural Arts Program,1679016,2017,Adopted Budget,Full Year,2017-03-31,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,4172855,2017,Adopted Budget,Full Year,2017-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,14136076,2017,Adopted Budget,Full Year,2017-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,5616490,2017,Adopted Budget,Full Year,2017-03-31,Office of the Chief Administrative Officer,65,CAO
Office of Community Schools and Pre-K,27469925,2017,Adopted Budget,Full Year,2017-03-31,Office of Children and Families,66,OCF
Office of Homeless Services,46657206,2017,Adopted Budget,Full Year,2017-03-31,Office of Homeless Services,24,OHS
Office of Housing and Comm. Development,2865000,2017,Adopted Budget,Full Year,2017-03-31,Office of Housing and Community Development,06,
Office of Human Resources,6425580,2017,Adopted Budget,Full Year,2017-03-31,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,52072341,2017,Adopted Budget,Full Year,2017-03-31,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,43239878,2017,Adopted Budget,Full Year,2017-03-31,OIT: 911,04911,
Office of the Inspector General,1668811,2017,Adopted Budget,Full Year,2017-03-31,Office of the Inspector General,48,OIG
Office of Planning and Development,1016000,2017,Adopted Budget,Full Year,2017-03-31,Mayor's Office of Planning and Development,62,
Office of Property Assessment,12794865,2017,Adopted Budget,Full Year,2017-03-31,Office of Property Assessment,59,OPA
Office of Sustainability,835327,2017,Adopted Budget,Full Year,2017-03-31,Office of Sustainability,49,Sustainability
Parks and Recreation,59882081,2017,Adopted Budget,Full Year,2017-03-31,Department of Parks and Recreation,16,Parks & Recreation
Police,650176870,2017,Adopted Budget,Full Year,2017-03-31,Police Department,11,Police
