dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code
Public Property-Utilities,23599406,2021,Actual,Full Year,2021-06-30,Public Property: Utilities,,20U
Records,3671829,2021,Actual,Full Year,2021-06-30,Department of Records,Records,31
Register of Wills,4479180,2021,Actual,Full Year,2021-06-30,Register of Wills,,68
Revenue,27834085,2021,Actual,Full Year,2021-06-30,Department of Revenue,Revenue,36
Sheriff,27636660,2021,Actual,Full Year,2021-06-30,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),273785517,2021,Actual,Full Year,2021-06-30,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,58526944,2021,Actual,Full Year,2021-06-30,Streets: Disposal,,12D
Streets,111504782,2021,Actual,Full Year,2021-06-30,Streets Department,Streets,12
Art Museum Subsidy,1020000,2022,Target Budget,YTD,2021-12-31,Art Museum,,34
Auditing (City Controller's Office),5059716,2022,Target Budget,YTD,2021-12-31,City Controller's Office,,61
Board of Ethics,408333,2022,Target Budget,YTD,2021-12-31,Board of Ethics,,45
Board of Revision of Taxes,493642,2022,Target Budget,YTD,2021-12-31,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),9316788,2022,Target Budget,YTD,2021-12-31,City Commissioner's Office,City Commissioners,73
City Council,8527060,2022,Target Budget,YTD,2021-12-31,City Council,,01
City Treasurer,2224829,2022,Target Budget,YTD,2021-12-31,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,93426,2022,Target Budget,YTD,2021-12-31,Civil Service Commission,,55
Commerce,8314922,2022,Target Budget,YTD,2021-12-31,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2022,Target Budget,YTD,2021-12-31,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,5834550,2022,Target Budget,YTD,2021-12-31,Commerce: Economic Stimulus,,42ES
District Attorney,21582425,2022,Target Budget,YTD,2021-12-31,District Attorney's Office,DAO,69
Finance,16301549,2022,Target Budget,YTD,2021-12-31,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2022,Target Budget,YTD,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,1297826,2022,Target Budget,YTD,2021-12-31,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,0,2022,Target Budget,YTD,2021-12-31,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,48128075,2022,Target Budget,YTD,2021-12-31,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,439158967,2022,Target Budget,YTD,2021-12-31,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,54000,2022,Target Budget,YTD,2021-12-31,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,29388090,2022,Target Budget,YTD,2021-12-31,Finance: Indemnities,,35IN
Finance-Refunds,1288,2022,Target Budget,YTD,2021-12-31,Finance: Refunds,,35R
Finance-School District Contribution,127976601,2022,Target Budget,YTD,2021-12-31,Finance: School District Contribution,,35SD
Finance-Witness Fees,112824,2022,Target Budget,YTD,2021-12-31,Finance: Witness Fees,,35WF
Fire,148078080,2022,Target Budget,YTD,2021-12-31,Fire Department,Fire,13
First Judicial District,53639776,2022,Target Budget,YTD,2021-12-31,First Judicial District,FJD,84
Fleet Services,23044851,2022,Target Budget,YTD,2021-12-31,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,8635614,2022,Target Budget,YTD,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V
Free Library,21634080,2022,Target Budget,YTD,2021-12-31,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,1129534,2022,Target Budget,YTD,2021-12-31,Commission on Human Relations,Human Relations,54
Human Services,137573226,2022,Target Budget,YTD,2021-12-31,Department of Human Services,DHS,22
Labor,1268810,2022,Target Budget,YTD,2021-12-31,Labor,,03
Law,11106404,2022,Target Budget,YTD,2021-12-31,Law Department,Law,44
Licenses & Inspections,19854245,2022,Target Budget,YTD,2021-12-31,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,43297,2022,Target Budget,YTD,2021-12-31,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,72842,2022,Target Budget,YTD,2021-12-31,L&I: Board of Review,,27
Managing Director's Office,49446648,2022,Target Budget,YTD,2021-12-31,Managing Director's Office,MDO,10
Managing Director-Legal Services,52404449,2022,Target Budget,YTD,2021-12-31,MDO: Legal Services,,10LS
Mayor's Office,3143055,2022,Target Budget,YTD,2021-12-31,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,130000,2022,Target Budget,YTD,2021-12-31,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,788000,2022,Target Budget,YTD,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,188734,2022,Target Budget,YTD,2021-12-31,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,16823323,2022,Target Budget,YTD,2021-12-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,3254388,2022,Target Budget,YTD,2021-12-31,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,214706,2022,Target Budget,YTD,2021-12-31,Office of Children and Families,OCF,66
Office of Homeless Services,45019225,2022,Target Budget,YTD,2021-12-31,Office of Homeless Services,OHS,24
Office of Human Resources,3260039,2022,Target Budget,YTD,2021-12-31,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,43492329,2022,Target Budget,YTD,2021-12-31,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,10694195,2022,Target Budget,YTD,2021-12-31,OIT: 911,,04911
Office of the Inspector General,768929,2022,Target Budget,YTD,2021-12-31,Office of the Inspector General,OIG,48
Office of Property Assessment,7438154,2022,Target Budget,YTD,2021-12-31,Office of Property Assessment,OPA,59
Office of Sustainability,699603,2022,Target Budget,YTD,2021-12-31,Office of Sustainability,Sustainability,49
Parks and Recreation,33470584,2022,Target Budget,YTD,2021-12-31,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,10420460,2022,Target Budget,YTD,2021-12-31,Department of Planning and Development,Planning & Development,72
Police,339157774,2022,Target Budget,YTD,2021-12-31,Police Department,Police,11
Prisons,135631150,2022,Target Budget,YTD,2021-12-31,Philadelphia Prison System,Prisons,23
Procurement,2269484,2022,Target Budget,YTD,2021-12-31,Procurement Department,Procurement,38
Public Health,99023915,2022,Target Budget,YTD,2021-12-31,Department of Public Health,Public Health,14
Public Property,36297402,2022,Target Budget,YTD,2021-12-31,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,45607000,2022,Target Budget,YTD,2021-12-31,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,28303502,2022,Target Budget,YTD,2021-12-31,Public Property: Space Rentals,,20SR
Public Property-Utilities,21230276,2022,Target Budget,YTD,2021-12-31,Public Property: Utilities,,20U
Records,2168192,2022,Target Budget,YTD,2021-12-31,Department of Records,Records,31
Register of Wills,2077207,2022,Target Budget,YTD,2021-12-31,Register of Wills,,68
Revenue,11810316,2022,Target Budget,YTD,2021-12-31,Department of Revenue,Revenue,36
Sheriff,13091970,2022,Target Budget,YTD,2021-12-31,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),182671432,2022,Target Budget,YTD,2021-12-31,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,28090748,2022,Target Budget,YTD,2021-12-31,Streets: Disposal,,12D
Streets,54081841,2022,Target Budget,YTD,2021-12-31,Streets Department,Streets,12
Art Museum Subsidy,1020000,2022,Actual,YTD,2021-12-31,Art Museum,,34
Auditing (City Controller's Office),5059716,2022,Actual,YTD,2021-12-31,City Controller's Office,,61
Board of Ethics,408333,2022,Actual,YTD,2021-12-31,Board of Ethics,,45
Board of Revision of Taxes,493642,2022,Actual,YTD,2021-12-31,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),9316788,2022,Actual,YTD,2021-12-31,City Commissioner's Office,City Commissioners,73
City Council,8527060,2022,Actual,YTD,2021-12-31,City Council,,01
City Treasurer,2224829,2022,Actual,YTD,2021-12-31,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,93426,2022,Actual,YTD,2021-12-31,Civil Service Commission,,55
Commerce,8314922,2022,Actual,YTD,2021-12-31,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2022,Actual,YTD,2021-12-31,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,5834550,2022,Actual,YTD,2021-12-31,Commerce: Economic Stimulus,,42ES
District Attorney,21582425,2022,Actual,YTD,2021-12-31,District Attorney's Office,DAO,69
Finance,16301549,2022,Actual,YTD,2021-12-31,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2022,Actual,YTD,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,1297826,2022,Actual,YTD,2021-12-31,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,0,2022,Actual,YTD,2021-12-31,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,48128075,2022,Actual,YTD,2021-12-31,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,439158967,2022,Actual,YTD,2021-12-31,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,54000,2022,Actual,YTD,2021-12-31,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,29388090,2022,Actual,YTD,2021-12-31,Finance: Indemnities,,35IN
Finance-Refunds,1288,2022,Actual,YTD,2021-12-31,Finance: Refunds,,35R
Finance-School District Contribution,127976601,2022,Actual,YTD,2021-12-31,Finance: School District Contribution,,35SD
Finance-Witness Fees,112824,2022,Actual,YTD,2021-12-31,Finance: Witness Fees,,35WF
Fire,148078080,2022,Actual,YTD,2021-12-31,Fire Department,Fire,13
First Judicial District,53639776,2022,Actual,YTD,2021-12-31,First Judicial District,FJD,84
Fleet Services,23044851,2022,Actual,YTD,2021-12-31,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,8635614,2022,Actual,YTD,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V
Free Library,21634080,2022,Actual,YTD,2021-12-31,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,1129534,2022,Actual,YTD,2021-12-31,Commission on Human Relations,Human Relations,54
Human Services,137573226,2022,Actual,YTD,2021-12-31,Department of Human Services,DHS,22
Labor,1268810,2022,Actual,YTD,2021-12-31,Labor,,03
Law,11106404,2022,Actual,YTD,2021-12-31,Law Department,Law,44
Licenses & Inspections,19854245,2022,Actual,YTD,2021-12-31,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,43297,2022,Actual,YTD,2021-12-31,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,72842,2022,Actual,YTD,2021-12-31,L&I: Board of Review,,27
Managing Director's Office,49446648,2022,Actual,YTD,2021-12-31,Managing Director's Office,MDO,10
Managing Director-Legal Services,52404449,2022,Actual,YTD,2021-12-31,MDO: Legal Services,,10LS
Mayor's Office,3143055,2022,Actual,YTD,2021-12-31,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,130000,2022,Actual,YTD,2021-12-31,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,788000,2022,Actual,YTD,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,188734,2022,Actual,YTD,2021-12-31,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,16823323,2022,Actual,YTD,2021-12-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,3254388,2022,Actual,YTD,2021-12-31,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,214706,2022,Actual,YTD,2021-12-31,Office of Children and Families,OCF,66
Office of Homeless Services,45019225,2022,Actual,YTD,2021-12-31,Office of Homeless Services,OHS,24
Office of Human Resources,3260039,2022,Actual,YTD,2021-12-31,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,43492329,2022,Actual,YTD,2021-12-31,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,10694195,2022,Actual,YTD,2021-12-31,OIT: 911,,04911
Office of the Inspector General,768929,2022,Actual,YTD,2021-12-31,Office of the Inspector General,OIG,48
Office of Property Assessment,7438154,2022,Actual,YTD,2021-12-31,Office of Property Assessment,OPA,59
Office of Sustainability,699603,2022,Actual,YTD,2021-12-31,Office of Sustainability,Sustainability,49
Parks and Recreation,33470584,2022,Actual,YTD,2021-12-31,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,10420460,2022,Actual,YTD,2021-12-31,Department of Planning and Development,Planning & Development,72
Police,339157774,2022,Actual,YTD,2021-12-31,Police Department,Police,11
Prisons,135631150,2022,Actual,YTD,2021-12-31,Philadelphia Prison System,Prisons,23
Procurement,2269484,2022,Actual,YTD,2021-12-31,Procurement Department,Procurement,38
Public Health,99023915,2022,Actual,YTD,2021-12-31,Department of Public Health,Public Health,14
Public Property,36297402,2022,Actual,YTD,2021-12-31,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,45607000,2022,Actual,YTD,2021-12-31,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,28303502,2022,Actual,YTD,2021-12-31,Public Property: Space Rentals,,20SR
Public Property-Utilities,21230276,2022,Actual,YTD,2021-12-31,Public Property: Utilities,,20U
Records,2168192,2022,Actual,YTD,2021-12-31,Department of Records,Records,31
Register of Wills,2077207,2022,Actual,YTD,2021-12-31,Register of Wills,,68
Revenue,11810316,2022,Actual,YTD,2021-12-31,Department of Revenue,Revenue,36
Sheriff,13091970,2022,Actual,YTD,2021-12-31,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),182671432,2022,Actual,YTD,2021-12-31,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,28090748,2022,Actual,YTD,2021-12-31,Streets: Disposal,,12D
Streets,54081841,2022,Actual,YTD,2021-12-31,Streets Department,Streets,12
Art Museum Subsidy,2040000,2022,Adopted Budget,Full Year,2021-12-31,Art Museum,,34
Auditing (City Controller's Office),9853289,2022,Adopted Budget,Full Year,2021-12-31,City Controller's Office,,61
Board of Ethics,975196,2022,Adopted Budget,Full Year,2021-12-31,Board of Ethics,,45
Board of Revision of Taxes,1053462,2022,Adopted Budget,Full Year,2021-12-31,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),18046852,2022,Adopted Budget,Full Year,2021-12-31,City Commissioner's Office,City Commissioners,73
City Council,18677973,2022,Adopted Budget,Full Year,2021-12-31,City Council,,01
City Treasurer,4740997,2022,Adopted Budget,Full Year,2021-12-31,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,25207742,2022,Adopted Budget,Full Year,2021-12-31,Civil Service Commission,,55
Commerce,14640094,2022,Adopted Budget,Full Year,2021-12-31,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2022,Adopted Budget,Full Year,2021-12-31,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,6015000,2022,Adopted Budget,Full Year,2021-12-31,Commerce: Economic Stimulus,,42ES
District Attorney,40431659,2022,Adopted Budget,Full Year,2021-12-31,District Attorney's Office,DAO,69
Finance,41126320,2022,Adopted Budget,Full Year,2021-12-31,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2022,Adopted Budget,Full Year,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,2293165,2022,Adopted Budget,Full Year,2021-12-31,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,75000000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,48128075,2022,Adopted Budget,Full Year,2021-12-31,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,1438592740,2022,Adopted Budget,Full Year,2021-12-31,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,25000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,49246000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Indemnities,,35IN
Finance-Refunds,250000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Refunds,,35R
Finance-School District Contribution,255953201,2022,Adopted Budget,Full Year,2021-12-31,Finance: School District Contribution,,35SD
Finance-Witness Fees,171518,2022,Adopted Budget,Full Year,2021-12-31,Finance: Witness Fees,,35WF
Fire,361066229,2022,Adopted Budget,Full Year,2021-12-31,Fire Department,Fire,13
First Judicial District,116199029,2022,Adopted Budget,Full Year,2021-12-31,First Judicial District,FJD,84
Fleet Services,45346718,2022,Adopted Budget,Full Year,2021-12-31,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,9745852,2022,Adopted Budget,Full Year,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V
Free Library,42786864,2022,Adopted Budget,Full Year,2021-12-31,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,2387728,2022,Adopted Budget,Full Year,2021-12-31,Commission on Human Relations,Human Relations,54
Human Services,178273808,2022,Adopted Budget,Full Year,2021-12-31,Department of Human Services,DHS,22
Labor,3313659,2022,Adopted Budget,Full Year,2021-12-31,Labor,,03
Law,18947270,2022,Adopted Budget,Full Year,2021-12-31,Law Department,Law,44
Licenses & Inspections,38934445,2022,Adopted Budget,Full Year,2021-12-31,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,82018,2022,Adopted Budget,Full Year,2021-12-31,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,176071,2022,Adopted Budget,Full Year,2021-12-31,L&I: Board of Review,,27
Managing Director's Office,125584461,2022,Adopted Budget,Full Year,2021-12-31,Managing Director's Office,MDO,10
Managing Director-Legal Services,52404449,2022,Adopted Budget,Full Year,2021-12-31,MDO: Legal Services,,10LS
Mayor's Office,6714201,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,100000,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,1509000,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,2652179,2022,Adopted Budget,Full Year,2021-12-31,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,23546932,2022,Adopted Budget,Full Year,2021-12-31,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,10944536,2022,Adopted Budget,Full Year,2021-12-31,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,442000,2022,Adopted Budget,Full Year,2021-12-31,Office of Children and Families,OCF,66
Office of Homeless Services,55321342,2022,Adopted Budget,Full Year,2021-12-31,Office of Homeless Services,OHS,24
Office of Human Resources,6470804,2022,Adopted Budget,Full Year,2021-12-31,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,78787583,2022,Adopted Budget,Full Year,2021-12-31,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,31334577,2022,Adopted Budget,Full Year,2021-12-31,OIT: 911,,04911
Office of the Inspector General,1607423,2022,Adopted Budget,Full Year,2021-12-31,Office of the Inspector General,OIG,48
Office of Property Assessment,16783833,2022,Adopted Budget,Full Year,2021-12-31,Office of Property Assessment,OPA,59
Office of Sustainability,1574587,2022,Adopted Budget,Full Year,2021-12-31,Office of Sustainability,Sustainability,49
Parks and Recreation,62564553,2022,Adopted Budget,Full Year,2021-12-31,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,17073828,2022,Adopted Budget,Full Year,2021-12-31,Department of Planning and Development,Planning & Development,72
Police,729347734,2022,Adopted Budget,Full Year,2021-12-31,Police Department,Police,11
Prisons,237651313,2022,Adopted Budget,Full Year,2021-12-31,Philadelphia Prison System,Prisons,23
Procurement,6056338,2022,Adopted Budget,Full Year,2021-12-31,Procurement Department,Procurement,38
Public Health,163004196,2022,Adopted Budget,Full Year,2021-12-31,Department of Public Health,Public Health,14
Public Property,73425346,2022,Adopted Budget,Full Year,2021-12-31,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,91214000,2022,Adopted Budget,Full Year,2021-12-31,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,30631626,2022,Adopted Budget,Full Year,2021-12-31,Public Property: Space Rentals,,20SR
Public Property-Utilities,24875748,2022,Adopted Budget,Full Year,2021-12-31,Public Property: Utilities,,20U
Records,3912713,2022,Adopted Budget,Full Year,2021-12-31,Department of Records,Records,31
Register of Wills,4281429,2022,Adopted Budget,Full Year,2021-12-31,Register of Wills,,68
Revenue,26943273,2022,Adopted Budget,Full Year,2021-12-31,Department of Revenue,Revenue,36
Sheriff,26795874,2022,Adopted Budget,Full Year,2021-12-31,Office of the Sheriff,Sheriff,70
Sinking Fund Commission (Debt Service),297227515,2022,Adopted Budget,Full Year,2021-12-31,Sinking Fund Commission,Sinking Fund,37
Streets-Disposal,59762580,2022,Adopted Budget,Full Year,2021-12-31,Streets: Disposal,,12D
Streets,113672053,2022,Adopted Budget,Full Year,2021-12-31,Streets Department,Streets,12
Art Museum Subsidy,2040000,2022,Target Budget,Full Year,2021-12-31,Art Museum,,34
Auditing (City Controller's Office),9853289,2022,Target Budget,Full Year,2021-12-31,City Controller's Office,,61
Board of Ethics,975196,2022,Target Budget,Full Year,2021-12-31,Board of Ethics,,45
Board of Revision of Taxes,1053462,2022,Target Budget,Full Year,2021-12-31,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),22023052,2022,Target Budget,Full Year,2021-12-31,City Commissioner's Office,City Commissioners,73
City Council,18677973,2022,Target Budget,Full Year,2021-12-31,City Council,,01
