full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
1,113833,596,2009,Actual,YTD,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
2,112733,3103,2009,Adopted Budget,Full Year,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
2,113833,596,2009,Target Budget,Full Year,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
1,113833,596,2009,Current Projection,Full Year,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
0,0,0,2006,Actual,Full Year,Board of Ethics,2006-06-30,Board of Ethics,45,
0,0,0,2007,Actual,Full Year,Board of Ethics,2007-06-30,Board of Ethics,45,
6,378707,0,2008,Actual,Full Year,Board of Ethics,2008-06-30,Board of Ethics,45,
9,700000,0,2009,Target Budget,YTD,Board of Ethics,2009-06-30,Board of Ethics,45,
9,700000,0,2009,Actual,YTD,Board of Ethics,2009-06-30,Board of Ethics,45,
11,835000,0,2009,Adopted Budget,Full Year,Board of Ethics,2009-06-30,Board of Ethics,45,
9,700000,0,2009,Target Budget,Full Year,Board of Ethics,2009-06-30,Board of Ethics,45,
9,700000,0,2009,Current Projection,Full Year,Board of Ethics,2009-06-30,Board of Ethics,45,
2,159089,233,2006,Actual,Full Year,Board of L & Review,2006-06-30,L&I: Board of Review,27,
3,179400,2383,2007,Actual,Full Year,Board of L & Review,2007-06-30,L&I: Board of Review,27,
3,196609,690,2008,Actual,Full Year,Board of L & Review,2008-06-30,L&I: Board of Review,27,
3,199208,0,2009,Target Budget,YTD,Board of L & Review,2009-06-30,L&I: Board of Review,27,
2,199208,0,2009,Actual,YTD,Board of L & Review,2009-06-30,L&I: Board of Review,27,
3,198108,2550,2009,Adopted Budget,Full Year,Board of L & Review,2009-06-30,L&I: Board of Review,27,
3,199208,0,2009,Target Budget,Full Year,Board of L & Review,2009-06-30,L&I: Board of Review,27,
2,199208,0,2009,Current Projection,Full Year,Board of L & Review,2009-06-30,L&I: Board of Review,27,
134,7380015,16873,2006,Actual,Full Year,Bd. of Revision of Taxes,2006-06-30,Board of Revision of Taxes,63,BRT
128,7772791,23915,2007,Actual,Full Year,Bd. of Revision of Taxes,2007-06-30,Board of Revision of Taxes,63,BRT
139,7861365,29048,2008,Actual,Full Year,Bd. of Revision of Taxes,2008-06-30,Board of Revision of Taxes,63,BRT
139,8251456,9463,2009,Target Budget,YTD,Bd. of Revision of Taxes,2009-06-30,Board of Revision of Taxes,63,BRT
133,8251456,9591,2009,Actual,YTD,Bd. of Revision of Taxes,2009-06-30,Board of Revision of Taxes,63,BRT
145,8128256,18000,2009,Adopted Budget,Full Year,Bd. of Revision of Taxes,2009-06-30,Board of Revision of Taxes,63,BRT
139,8251456,9463,2009,Target Budget,Full Year,Bd. of Revision of Taxes,2009-06-30,Board of Revision of Taxes,63,BRT
133,8251456,9591,2009,Current Projection,Full Year,Bd. of Revision of Taxes,2009-06-30,Board of Revision of Taxes,63,BRT
3,138213,0,2006,Actual,Full Year,Camp William Penn,2006-06-30,Camp William Penn,19,
3,164382,90,2007,Actual,Full Year,Camp William Penn,2007-06-30,Camp William Penn,19,
1,238996,0,2008,Actual,Full Year,Camp William Penn,2008-06-30,Camp William Penn,19,
1,32000,0,2009,Target Budget,YTD,Camp William Penn,2009-06-30,Camp William Penn,19,
1,32000,0,2009,Actual,YTD,Camp William Penn,2009-06-30,Camp William Penn,19,
0,0,0,2009,Adopted Budget,Full Year,Camp William Penn,2009-06-30,Camp William Penn,19,
1,32000,0,2009,Target Budget,Full Year,Camp William Penn,2009-06-30,Camp William Penn,19,
1,32000,0,2009,Current Projection,Full Year,Camp William Penn,2009-06-30,Camp William Penn,19,
14,713697,14344,2006,Actual,Full Year,"Capital Program Office, Mayor -",2006-06-30,Capital Program Office,07,
14,753799,12131,2007,Actual,Full Year,"Capital Program Office, Mayor -",2007-06-30,Capital Program Office,07,
21,1358012,23425,2008,Actual,Full Year,"Capital Program Office, Mayor -",2008-06-30,Capital Program Office,07,
39,2075265,50000,2009,Target Budget,YTD,"Capital Program Office, Mayor -",2009-06-30,Capital Program Office,07,
24,2075265,4575,2009,Actual,YTD,"Capital Program Office, Mayor -",2009-06-30,Capital Program Office,07,
39,2533997,50000,2009,Adopted Budget,Full Year,"Capital Program Office, Mayor -",2009-06-30,Capital Program Office,07,
39,2075265,50000,2009,Target Budget,Full Year,"Capital Program Office, Mayor -",2009-06-30,Capital Program Office,07,
24,2075265,4575,2009,Current Projection,Full Year,"Capital Program Office, Mayor -",2009-06-30,Capital Program Office,07,
93,4503445,934049,2006,Actual,Full Year,City Commissioners,2006-06-30,City Commissioner's Office,73,City Commissioners
90,4858835,1062483,2007,Actual,Full Year,City Commissioners,2007-06-30,City Commissioner's Office,73,City Commissioners
91,5656970,1119682,2008,Actual,Full Year,City Commissioners,2008-06-30,City Commissioner's Office,73,City Commissioners
88,5858250,890423,2009,Target Budget,YTD,City Commissioners,2009-06-30,City Commissioner's Office,73,City Commissioners
100,5858250,1118209,2009,Actual,YTD,City Commissioners,2009-06-30,City Commissioner's Office,73,City Commissioners
88,5345789,890423,2009,Adopted Budget,Full Year,City Commissioners,2009-06-30,City Commissioner's Office,73,City Commissioners
88,5858250,890423,2009,Target Budget,Full Year,City Commissioners,2009-06-30,City Commissioner's Office,73,City Commissioners
100,5858250,1118209,2009,Current Projection,Full Year,City Commissioners,2009-06-30,City Commissioner's Office,73,City Commissioners
180,10676871,32732,2006,Actual,Full Year,City Council,2006-06-30,City Council,01,
187,10591117,0,2007,Actual,Full Year,City Council,2007-06-30,City Council,01,
192,11747063,0,2008,Actual,Full Year,City Council,2008-06-30,City Council,01,
195,13033838,0,2009,Target Budget,YTD,City Council,2009-06-30,City Council,01,
185,13033838,195,2009,Actual,YTD,City Council,2009-06-30,City Council,01,
195,13283838,24000,2009,Adopted Budget,Full Year,City Council,2009-06-30,City Council,01,
195,13033838,0,2009,Target Budget,Full Year,City Council,2009-06-30,City Council,01,
185,13033838,195,2009,Current Projection,Full Year,City Council,2009-06-30,City Council,01,
45,2970994,12,2006,Actual,Full Year,City Planning Commission,2006-06-30,City Planning Commission,51,
44,3042704,85,2007,Actual,Full Year,City Planning Commission,2007-06-30,City Planning Commission,51,
44,2990671,0,2008,Actual,Full Year,City Planning Commission,2008-06-30,City Planning Commission,51,
49,3192103,0,2009,Target Budget,YTD,City Planning Commission,2009-06-30,City Planning Commission,51,
42,3192103,168,2009,Actual,YTD,City Planning Commission,2009-06-30,City Planning Commission,51,
49,3152503,0,2009,Adopted Budget,Full Year,City Planning Commission,2009-06-30,City Planning Commission,51,
49,3192103,0,2009,Target Budget,Full Year,City Planning Commission,2009-06-30,City Planning Commission,51,
42,3192103,168,2009,Current Projection,Full Year,City Planning Commission,2009-06-30,City Planning Commission,51,
0,0,0,2006,Actual,Full Year,City Representative,2006-06-30,Office of the City Representative,41,City Rep
0,0,0,2007,Actual,Full Year,City Representative,2007-06-30,Office of the City Representative,41,City Rep
0,0,0,2008,Actual,Full Year,City Representative,2008-06-30,Office of the City Representative,41,City Rep
0,623408,10000,2009,Target Budget,YTD,City Representative,2009-06-30,Office of the City Representative,41,City Rep
6,623408,11393,2009,Actual,YTD,City Representative,2009-06-30,Office of the City Representative,41,City Rep
13,689008,10000,2009,Adopted Budget,Full Year,City Representative,2009-06-30,Office of the City Representative,41,City Rep
0,623408,10000,2009,Target Budget,Full Year,City Representative,2009-06-30,Office of the City Representative,41,City Rep
6,623408,11393,2009,Current Projection,Full Year,City Representative,2009-06-30,Office of the City Representative,41,City Rep
11,603563,0,2006,Actual,Full Year,City Treasurer,2006-06-30,Office of the City Treasurer,40,City Treasurer
11,555419,22,2007,Actual,Full Year,City Treasurer,2007-06-30,Office of the City Treasurer,40,City Treasurer
11,637361,8625,2008,Actual,Full Year,City Treasurer,2008-06-30,Office of the City Treasurer,40,City Treasurer
13,679592,0,2009,Target Budget,YTD,City Treasurer,2009-06-30,Office of the City Treasurer,40,City Treasurer
11,679592,9987,2009,Actual,YTD,City Treasurer,2009-06-30,Office of the City Treasurer,40,City Treasurer
13,672992,0,2009,Adopted Budget,Full Year,City Treasurer,2009-06-30,Office of the City Treasurer,40,City Treasurer
13,679592,0,2009,Target Budget,Full Year,City Treasurer,2009-06-30,Office of the City Treasurer,40,City Treasurer
11,679592,9987,2009,Current Projection,Full Year,City Treasurer,2009-06-30,Office of the City Treasurer,40,City Treasurer
2,128924,1105,2006,Actual,Full Year,Civil Service Commission,2006-06-30,Civil Service Commission,55,
2,119559,345,2007,Actual,Full Year,Civil Service Commission,2007-06-30,Civil Service Commission,55,
2,122147,0,2008,Actual,Full Year,Civil Service Commission,2008-06-30,Civil Service Commission,55,
2,143747,0,2009,Target Budget,YTD,Civil Service Commission,2009-06-30,Civil Service Commission,55,
2,143747,0,2009,Actual,YTD,Civil Service Commission,2009-06-30,Civil Service Commission,55,
2,142647,0,2009,Adopted Budget,Full Year,Civil Service Commission,2009-06-30,Civil Service Commission,55,
2,143747,0,2009,Target Budget,Full Year,Civil Service Commission,2009-06-30,Civil Service Commission,55,
2,143747,0,2009,Current Projection,Full Year,Civil Service Commission,2009-06-30,Civil Service Commission,55,
113,4219043,167660,2006,Actual,Full Year,Clerk of Quarter Sessions,2006-06-30,Clerk of Quarter Sessions,64,
114,4642061,283501,2007,Actual,Full Year,Clerk of Quarter Sessions,2007-06-30,Clerk of Quarter Sessions,64,
117,4807963,273562,2008,Actual,Full Year,Clerk of Quarter Sessions,2008-06-30,Clerk of Quarter Sessions,64,
121,5207591,250000,2009,Target Budget,YTD,Clerk of Quarter Sessions,2009-06-30,Clerk of Quarter Sessions,64,
110,5207591,163348,2009,Actual,YTD,Clerk of Quarter Sessions,2009-06-30,Clerk of Quarter Sessions,64,
121,4930938,250000,2009,Adopted Budget,Full Year,Clerk of Quarter Sessions,2009-06-30,Clerk of Quarter Sessions,64,
121,5207591,250000,2009,Target Budget,Full Year,Clerk of Quarter Sessions,2009-06-30,Clerk of Quarter Sessions,64,
110,5207591,163348,2009,Current Projection,Full Year,Clerk of Quarter Sessions,2009-06-30,Clerk of Quarter Sessions,64,
12,1103496,14358,2006,Actual,Full Year,Commerce,2006-06-30,Office of the Director of Commerce,42,Commerce
12,1165372,18982,2007,Actual,Full Year,Commerce,2007-06-30,Office of the Director of Commerce,42,Commerce
13,1052506,18023,2008,Actual,Full Year,Commerce,2008-06-30,Office of the Director of Commerce,42,Commerce
25,1491358,0,2009,Target Budget,YTD,Commerce,2009-06-30,Office of the Director of Commerce,42,Commerce
23,1491358,0,2009,Actual,YTD,Commerce,2009-06-30,Office of the Director of Commerce,42,Commerce
10,1028904,1000,2009,Adopted Budget,Full Year,Commerce,2009-06-30,Office of the Director of Commerce,42,Commerce
29,1491358,0,2009,Target Budget,Full Year,Commerce,2009-06-30,Office of the Director of Commerce,42,Commerce
23,1491358,0,2009,Current Projection,Full Year,Commerce,2009-06-30,Office of the Director of Commerce,42,Commerce
424,26188801,123693,2006,Actual,Full Year,District Attorney,2006-06-30,District Attorney's Office,69,DAO
424,27643334,75652,2007,Actual,Full Year,District Attorney,2007-06-30,District Attorney's Office,69,DAO
437,29774477,167534,2008,Actual,Full Year,District Attorney,2008-06-30,District Attorney's Office,69,DAO
449,28311222,145263,2009,Target Budget,YTD,District Attorney,2009-06-30,District Attorney's Office,69,DAO
441,28311222,174690,2009,Actual,YTD,District Attorney,2009-06-30,District Attorney's Office,69,DAO
450,29604687,224484,2009,Adopted Budget,Full Year,District Attorney,2009-06-30,District Attorney's Office,69,DAO
449,28311222,145263,2009,Target Budget,Full Year,District Attorney,2009-06-30,District Attorney's Office,69,DAO
441,28311222,174690,2009,Current Projection,Full Year,District Attorney,2009-06-30,District Attorney's Office,69,DAO
157,8429422,1430753,2006,Actual,Full Year,Fairmount Park,2006-06-30,Fairmount Park Commission,17,
155,8641840,1545224,2007,Actual,Full Year,Fairmount Park,2007-06-30,Fairmount Park Commission,17,
156,9255784,1762220,2008,Actual,Full Year,Fairmount Park,2008-06-30,Fairmount Park Commission,17,
170,9505043,1767287,2009,Target Budget,YTD,Fairmount Park,2009-06-30,Fairmount Park Commission,17,
159,9505043,1329249,2009,Actual,YTD,Fairmount Park,2009-06-30,Fairmount Park Commission,17,
189,10006560,1657829,2009,Adopted Budget,Full Year,Fairmount Park,2009-06-30,Fairmount Park Commission,17,
170,9505043,1767287,2009,Target Budget,Full Year,Fairmount Park,2009-06-30,Fairmount Park Commission,17,
159,9505043,1329249,2009,Current Projection,Full Year,Fairmount Park,2009-06-30,Fairmount Park Commission,17,
164,8617260,44495,2006,Actual,Full Year,Finance,2006-06-30,Office of the Director of Finance,35,Finance
164,9455980,16457,2007,Actual,Full Year,Finance,2007-06-30,Office of the Director of Finance,35,Finance
170,10337578,16631,2008,Actual,Full Year,Finance,2008-06-30,Office of the Director of Finance,35,Finance
143,8860324,15735,2009,Target Budget,YTD,Finance,2009-06-30,Office of the Director of Finance,35,Finance
143,8860324,14037,2009,Actual,YTD,Finance,2009-06-30,Office of the Director of Finance,35,Finance
169,9530137,20000,2009,Adopted Budget,Full Year,Finance,2009-06-30,Office of the Director of Finance,35,Finance
143,8860324,15735,2009,Target Budget,Full Year,Finance,2009-06-30,Office of the Director of Finance,35,Finance
143,8860324,14037,2009,Current Projection,Full Year,Finance,2009-06-30,Office of the Director of Finance,35,Finance
2270,153483021,25351516,2006,Actual,Full Year,Fire,2006-06-30,Fire Department,13,Fire
2399,175768344,30894895,2007,Actual,Full Year,Fire,2007-06-30,Fire Department,13,Fire
2326,169912740,23708740,2008,Actual,Full Year,Fire,2008-06-30,Fire Department,13,Fire
2357,173790021,17079337,2009,Target Budget,YTD,Fire,2009-06-30,Fire Department,13,Fire
2259,173790021,20523357,2009,Actual,YTD,Fire,2009-06-30,Fire Department,13,Fire
2505,172281307,22314217,2009,Adopted Budget,Full Year,Fire,2009-06-30,Fire Department,13,Fire
2357,173790021,17079337,2009,Target Budget,Full Year,Fire,2009-06-30,Fire Department,13,Fire
2259,173790021,20523357,2009,Current Projection,Full Year,Fire,2009-06-30,Fire Department,13,Fire
1936,87149961,344184,2006,Actual,Full Year,First Judicial District,2006-06-30,First Judicial District,84,FJD
1928,88826470,392191,2007,Actual,Full Year,First Judicial District,2007-06-30,First Judicial District,84,FJD
1970,91950443,201814,2008,Actual,Full Year,First Judicial District,2008-06-30,First Judicial District,84,FJD
1965,84374842,96000,2009,Target Budget,YTD,First Judicial District,2009-06-30,First Judicial District,84,FJD
1898,84374842,126110,2009,Actual,YTD,First Judicial District,2009-06-30,First Judicial District,84,FJD
1965,88815623,96000,2009,Adopted Budget,Full Year,First Judicial District,2009-06-30,First Judicial District,84,FJD
1965,84374842,96000,2009,Target Budget,Full Year,First Judicial District,2009-06-30,First Judicial District,84,FJD
1898,84374842,126110,2009,Current Projection,Full Year,First Judicial District,2009-06-30,First Judicial District,84,FJD
313,16060639,2500861,2006,Actual,Full Year,Fleet Management,2006-06-30,Office of Fleet Management,25,Fleet
300,17158282,2593241,2007,Actual,Full Year,Fleet Management,2007-06-30,Office of Fleet Management,25,Fleet
307,17745176,3203337,2008,Actual,Full Year,Fleet Management,2008-06-30,Office of Fleet Management,25,Fleet
306,17302592,3073098,2009,Target Budget,YTD,Fleet Management,2009-06-30,Office of Fleet Management,25,Fleet
302,17302592,2179011,2009,Actual,YTD,Fleet Management,2009-06-30,Office of Fleet Management,25,Fleet
329,18687192,3127502,2009,Adopted Budget,Full Year,Fleet Management,2009-06-30,Office of Fleet Management,25,Fleet
306,17302592,3073098,2009,Target Budget,Full Year,Fleet Management,2009-06-30,Office of Fleet Management,25,Fleet
302,17302592,2179011,2009,Current Projection,Full Year,Fleet Management,2009-06-30,Office of Fleet Management,25,Fleet
732,31984257,896586,2006,Actual,Full Year,Free Library,2006-06-30,The Free Library of Philadelphia,52,Free Library
724,33995130,1037731,2007,Actual,Full Year,Free Library,2007-06-30,The Free Library of Philadelphia,52,Free Library
713,34683010,1083881,2008,Actual,Full Year,Free Library,2008-06-30,The Free Library of Philadelphia,52,Free Library
619,32404855,862014,2009,Target Budget,YTD,Free Library,2009-06-30,The Free Library of Philadelphia,52,Free Library
629,32404855,680909,2009,Actual,YTD,Free Library,2009-06-30,The Free Library of Philadelphia,52,Free Library
730,34682920,1093916,2009,Adopted Budget,Full Year,Free Library,2009-06-30,The Free Library of Philadelphia,52,Free Library
619,32404855,862014,2009,Target Budget,Full Year,Free Library,2009-06-30,The Free Library of Philadelphia,52,Free Library
629,32404855,680909,2009,Current Projection,Full Year,Free Library,2009-06-30,The Free Library of Philadelphia,52,Free Library
5,251717,1598,2006,Actual,Full Year,Historical Commission,2006-06-30,Historical Commission,32,
6,290833,853,2007,Actual,Full Year,Historical Commission,2007-06-30,Historical Commission,32,
6,336836,182,2008,Actual,Full Year,Historical Commission,2008-06-30,Historical Commission,32,
6,335995,0,2009,Target Budget,YTD,Historical Commission,2009-06-30,Historical Commission,32,
6,335995,82,2009,Actual,YTD,Historical Commission,2009-06-30,Historical Commission,32,
6,330495,384,2009,Adopted Budget,Full Year,Historical Commission,2009-06-30,Historical Commission,32,
6,335995,0,2009,Target Budget,Full Year,Historical Commission,2009-06-30,Historical Commission,32,
6,335995,82,2009,Current Projection,Full Year,Historical Commission,2009-06-30,Historical Commission,32,
33,1971753,0,2006,Actual,Full Year,Human Relations Commission,2006-06-30,Commission on Human Relations,54,Human Relations
35,2111219,341,2007,Actual,Full Year,Human Relations Commission,2007-06-30,Commission on Human Relations,54,Human Relations
34,2070825,0,2008,Actual,Full Year,Human Relations Commission,2008-06-30,Commission on Human Relations,54,Human Relations
34,2087386,0,2009,Target Budget,YTD,Human Relations Commission,2009-06-30,Commission on Human Relations,54,Human Relations
34,2087386,0,2009,Actual,YTD,Human Relations Commission,2009-06-30,Commission on Human Relations,54,Human Relations
34,2119686,250,2009,Adopted Budget,Full Year,Human Relations Commission,2009-06-30,Commission on Human Relations,54,Human Relations
34,2087386,0,2009,Target Budget,Full Year,Human Relations Commission,2009-06-30,Commission on Human Relations,54,Human Relations
34,2087386,0,2009,Current Projection,Full Year,Human Relations Commission,2009-06-30,Commission on Human Relations,54,Human Relations
1703,85263449,6457374,2006,Actual,Full Year,Human Services,2006-06-30,Department of Human Services,22,DHS
1721,90561664,8309665,2007,Actual,Full Year,Human Services,2007-06-30,Department of Human Services,22,DHS
1784,96250356,11383838,2008,Actual,Full Year,Human Services,2008-06-30,Department of Human Services,22,DHS
1860,102995265,10515683,2009,Target Budget,YTD,Human Services,2009-06-30,Department of Human Services,22,DHS
1741,102995265,8571960,2009,Actual,YTD,Human Services,2009-06-30,Department of Human Services,22,DHS
1871,102382665,8668003,2009,Adopted Budget,Full Year,Human Services,2009-06-30,Department of Human Services,22,DHS
1860,102995265,10515683,2009,Target Budget,Full Year,Human Services,2009-06-30,Department of Human Services,22,DHS
1741,102995265,8571960,2009,Current Projection,Full Year,Human Services,2009-06-30,Department of Human Services,22,DHS
96,6140711,23807,2006,Actual,Full Year,"Information Services, Mayor's Office of",2006-06-30,Office of Innovation and Technology,04,OIT
112,6699907,26852,2007,Actual,Full Year,"Information Services, Mayor's Office of",2007-06-30,Office of Innovation and Technology,04,OIT
141,9634660,268625,2008,Actual,Full Year,"Information Services, Mayor's Office of",2008-06-30,Office of Innovation and Technology,04,OIT
152,9310472,119321,2009,Target Budget,YTD,"Information Services, Mayor's Office of",2009-06-30,Office of Innovation and Technology,04,OIT
146,9310472,134528,2009,Actual,YTD,"Information Services, Mayor's Office of",2009-06-30,Office of Innovation and Technology,04,OIT
156,9252172,117000,2009,Adopted Budget,Full Year,"Information Services, Mayor's Office of",2009-06-30,Office of Innovation and Technology,04,OIT
152,9310472,119321,2009,Target Budget,Full Year,"Information Services, Mayor's Office of",2009-06-30,Office of Innovation and Technology,04,OIT
146,9310472,134528,2009,Current Projection,Full Year,"Information Services, Mayor's Office of",2009-06-30,Office of Innovation and Technology,04,OIT
7,567778,495,2006,Actual,Full Year,"Labor Relations, Mayor's Office of",2006-06-30,Labor,03,
7,495014,7020,2007,Actual,Full Year,"Labor Relations, Mayor's Office of",2007-06-30,Labor,03,
7,498189,7341,2008,Actual,Full Year,"Labor Relations, Mayor's Office of",2008-06-30,Labor,03,
7,511436,9172,2009,Target Budget,YTD,"Labor Relations, Mayor's Office of",2009-06-30,Labor,03,
7,511436,8911,2009,Actual,YTD,"Labor Relations, Mayor's Office of",2009-06-30,Labor,03,
7,511436,4557,2009,Adopted Budget,Full Year,"Labor Relations, Mayor's Office of",2009-06-30,Labor,03,
7,511436,9172,2009,Target Budget,Full Year,"Labor Relations, Mayor's Office of",2009-06-30,Labor,03,
7,511436,8911,2009,Current Projection,Full Year,"Labor Relations, Mayor's Office of",2009-06-30,Labor,03,
175,9455099,4474,2006,Actual,Full Year,Law,2006-06-30,Law Department,44,Law
193,10091089,9360,2007,Actual,Full Year,Law,2007-06-30,Law Department,44,Law
192,10872968,14384,2008,Actual,Full Year,Law,2008-06-30,Law Department,44,Law
204,11484683,4100,2009,Target Budget,YTD,Law,2009-06-30,Law Department,44,Law
182,11484683,1623,2009,Actual,YTD,Law,2009-06-30,Law Department,44,Law
220,11415383,12000,2009,Adopted Budget,Full Year,Law,2009-06-30,Law Department,44,Law
204,11484683,4100,2009,Target Budget,Full Year,Law,2009-06-30,Law Department,44,Law
182,11484683,1623,2009,Current Projection,Full Year,Law,2009-06-30,Law Department,44,Law
355,16439330,729822,2006,Actual,Full Year,Licenses & Inspections,2006-06-30,Department of Licenses and Inspections,26,L&I
351,16511531,767225,2007,Actual,Full Year,Licenses & Inspections,2007-06-30,Department of Licenses and Inspections,26,L&I
356,17773107,1164539,2008,Actual,Full Year,Licenses & Inspections,2008-06-30,Department of Licenses and Inspections,26,L&I
326,16823707,870792,2009,Target Budget,YTD,Licenses & Inspections,2009-06-30,Department of Licenses and Inspections,26,L&I
309,16823707,578879,2009,Actual,YTD,Licenses & Inspections,2009-06-30,Department of Licenses and Inspections,26,L&I
374,17204314,995792,2009,Adopted Budget,Full Year,Licenses & Inspections,2009-06-30,Department of Licenses and Inspections,26,L&I
326,16823707,870792,2009,Target Budget,Full Year,Licenses & Inspections,2009-06-30,Department of Licenses and Inspections,26,L&I
309,16823707,578879,2009,Current Projection,Full Year,Licenses & Inspections,2009-06-30,Department of Licenses and Inspections,26,L&I
87,7057558,445965,2006,Actual,Full Year,Managing Director,2006-06-30,Managing Director's Office,10,MDO
102,8117286,473765,2007,Actual,Full Year,Managing Director,2007-06-30,Managing Director's Office,10,MDO
95,8034882,91631,2008,Actual,Full Year,Managing Director,2008-06-30,Managing Director's Office,10,MDO
163,12569564,550000,2009,Target Budget,YTD,Managing Director,2009-06-30,Managing Director's Office,10,MDO
128,12569564,928801,2009,Actual,YTD,Managing Director,2009-06-30,Managing Director's Office,10,MDO
163,10643679,424331,2009,Adopted Budget,Full Year,Managing Director,2009-06-30,Managing Director's Office,10,MDO
163,12569564,550000,2009,Target Budget,Full Year,Managing Director,2009-06-30,Managing Director's Office,10,MDO
128,12569564,928801,2009,Current Projection,Full Year,Managing Director,2009-06-30,Managing Director's Office,10,MDO
55,3784126,2678,2006,Actual,Full Year,Mayor,2006-06-30,Mayor's Office,05,Mayor
56,4277032,5639,2007,Actual,Full Year,Mayor,2007-06-30,Mayor's Office,05,Mayor
72,4793689,1731,2008,Actual,Full Year,Mayor,2008-06-30,Mayor's Office,05,Mayor
70,5734265,0,2009,Target Budget,YTD,Mayor,2009-06-30,Mayor's Office,05,Mayor
71,5734265,0,2009,Actual,YTD,Mayor,2009-06-30,Mayor's Office,05,Mayor
84,6192305,0,2009,Adopted Budget,Full Year,Mayor,2009-06-30,Mayor's Office,05,Mayor
77,5734265,0,2009,Target Budget,Full Year,Mayor,2009-06-30,Mayor's Office,05,Mayor
71,5734265,0,2009,Current Projection,Full Year,Mayor,2009-06-30,Mayor's Office,05,Mayor
21,3068,0,2006,Actual,Full Year,Mayor's Office of Community Services,2006-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,0,0,2007,Actual,Full Year,Mayor's Office of Community Services,2007-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
22,3540164,216946,2008,Actual,Full Year,Mayor's Office of Community Services,2008-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,0,0,2009,Target Budget,YTD,Mayor's Office of Community Services,2009-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
87,0,0,2009,Actual,YTD,Mayor's Office of Community Services,2009-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,0,0,2009,Adopted Budget,Full Year,Mayor's Office of Community Services,2009-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,0,0,2009,Target Budget,Full Year,Mayor's Office of Community Services,2009-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
87,0,0,2009,Current Projection,Full Year,Mayor's Office of Community Services,2009-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
0,0,0,2006,Actual,Full Year,Mayor's Office of Transportation,2006-06-30,Mayor's Office of Transportation and Utilities,46,
0,0,0,2007,Actual,Full Year,Mayor's Office of Transportation,2007-06-30,Mayor's Office of Transportation and Utilities,46,
0,0,0,2008,Actual,Full Year,Mayor's Office of Transportation,2008-06-30,Mayor's Office of Transportation and Utilities,46,
