full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
44,3506080,7000,2020,Current Projection,Full Year,Commerce,2020-06-30,Office of the Director of Commerce,Commerce,42
492,32689069,54772,2017,Actual,Full Year,District Attorney,2017-06-30,District Attorney's Office,DAO,69
455,32249281,52297,2018,Actual,Full Year,District Attorney,2018-06-30,District Attorney's Office,DAO,69
491,34265564,155103,2019,Actual,Full Year,District Attorney,2019-06-30,District Attorney's Office,DAO,69
513,35016343,209000,2020,Adopted Budget,Full Year,District Attorney,2020-06-30,District Attorney's Office,DAO,69
513,37587796,209000,2020,Target Budget,Full Year,District Attorney,2020-06-30,District Attorney's Office,DAO,69
545,37620523,140000,2020,Current Projection,Full Year,District Attorney,2020-06-30,District Attorney's Office,DAO,69
111,6669543,18057,2017,Actual,Full Year,Finance,2017-06-30,Office of the Director of Finance,Finance,35
115,6963917,45510,2018,Actual,Full Year,Finance,2018-06-30,Office of the Director of Finance,Finance,35
116,7756138,74302,2019,Actual,Full Year,Finance,2019-06-30,Office of the Director of Finance,Finance,35
124,9084313,35040,2020,Adopted Budget,Full Year,Finance,2020-06-30,Office of the Director of Finance,Finance,35
124,9241878,60000,2020,Target Budget,Full Year,Finance,2020-06-30,Office of the Director of Finance,Finance,35
119,9266821,80000,2020,Current Projection,Full Year,Finance,2020-06-30,Office of the Director of Finance,Finance,35
0,1987825,0,2017,Actual,Full Year,Finance Reg #32 Disability,2017-06-30,Finance: Reg #32,,35R32
0,2556892,0,2018,Actual,Full Year,Finance Reg #32 Disability,2018-06-30,Finance: Reg #32,,35R32
0,2413758,0,2019,Actual,Full Year,Finance Reg #32 Disability,2019-06-30,Finance: Reg #32,,35R32
0,2650000,0,2020,Adopted Budget,Full Year,Finance Reg #32 Disability,2020-06-30,Finance: Reg #32,,35R32
0,2650000,0,2020,Target Budget,Full Year,Finance Reg #32 Disability,2020-06-30,Finance: Reg #32,,35R32
0,2650000,0,2020,Current Projection,Full Year,Finance Reg #32 Disability,2020-06-30,Finance: Reg #32,,35R32
2281,214434520,25016458,2017,Actual,Full Year,Fire,2017-06-30,Fire Department,Fire,13
2511,244026657,36673566,2018,Actual,Full Year,Fire,2018-06-30,Fire Department,Fire,13
2530,283319650,50943620,2019,Actual,Full Year,Fire,2019-06-30,Fire Department,Fire,13
2704,273966292,37823353,2020,Adopted Budget,Full Year,Fire,2020-06-30,Fire Department,Fire,13
2704,288953567,66854426,2020,Target Budget,Full Year,Fire,2020-06-30,Fire Department,Fire,13
2628,289014272,64000000,2020,Current Projection,Full Year,Fire,2020-06-30,Fire Department,Fire,13
1856,94649818,7095,2017,Actual,Full Year,First Judicial District,2017-06-30,First Judicial District,FJD,84
1867,98343914,25034,2018,Actual,Full Year,First Judicial District,2018-06-30,First Judicial District,FJD,84
1842,100719400,24242,2019,Actual,Full Year,First Judicial District,2019-06-30,First Judicial District,FJD,84
1850,104792068,94840,2020,Adopted Budget,Full Year,First Judicial District,2020-06-30,First Judicial District,FJD,84
1850,105610726,54840,2020,Target Budget,Full Year,First Judicial District,2020-06-30,First Judicial District,FJD,84
1825,105610726,48000,2020,Current Projection,Full Year,First Judicial District,2020-06-30,First Judicial District,FJD,84
270,16491089,2126729,2017,Actual,Full Year,Fleet Management,2017-06-30,Office of Fleet Management,Fleet,25
281,17532835,2249940,2018,Actual,Full Year,Fleet Management,2018-06-30,Office of Fleet Management,Fleet,25
286,18501080,2406919,2019,Actual,Full Year,Fleet Management,2019-06-30,Office of Fleet Management,Fleet,25
310,19416871,2315880,2020,Adopted Budget,Full Year,Fleet Management,2020-06-30,Office of Fleet Management,Fleet,25
310,19436197,2315880,2020,Target Budget,Full Year,Fleet Management,2020-06-30,Office of Fleet Management,Fleet,25
282,19599366,1700000,2020,Current Projection,Full Year,Fleet Management,2020-06-30,Office of Fleet Management,Fleet,25
643,35905717,1762275,2017,Actual,Full Year,Free Library,2017-06-30,The Free Library of Philadelphia,Free Library,52
649,36929841,1576070,2018,Actual,Full Year,Free Library,2018-06-30,The Free Library of Philadelphia,Free Library,52
651,38004616,1667956,2019,Actual,Full Year,Free Library,2019-06-30,The Free Library of Philadelphia,Free Library,52
737,40633647,1331159,2020,Adopted Budget,Full Year,Free Library,2020-06-30,The Free Library of Philadelphia,Free Library,52
737,40855038,2031159,2020,Target Budget,Full Year,Free Library,2020-06-30,The Free Library of Philadelphia,Free Library,52
677,41140877,1675000,2020,Current Projection,Full Year,Free Library,2020-06-30,The Free Library of Philadelphia,Free Library,52
6,400662,0,2017,Actual,Full Year,Historical Commission,2017-06-30,Historical Commission,,32
0,0,0,2018,Actual,Full Year,Historical Commission,2018-06-30,Historical Commission,,32
0,0,0,2019,Actual,Full Year,Historical Commission,2019-06-30,Historical Commission,,32
0,0,0,2020,Adopted Budget,Full Year,Historical Commission,2020-06-30,Historical Commission,,32
0,0,0,2020,Target Budget,Full Year,Historical Commission,2020-06-30,Historical Commission,,32
0,0,0,2020,Current Projection,Full Year,Historical Commission,2020-06-30,Historical Commission,,32
31,1949691,0,2017,Actual,Full Year,Human Relations Commission,2017-06-30,Commission on Human Relations,Human Relations,54
32,2033062,0,2018,Actual,Full Year,Human Relations Commission,2018-06-30,Commission on Human Relations,Human Relations,54
32,2071428,0,2019,Actual,Full Year,Human Relations Commission,2019-06-30,Commission on Human Relations,Human Relations,54
35,2323714,0,2020,Adopted Budget,Full Year,Human Relations Commission,2020-06-30,Commission on Human Relations,Human Relations,54
35,2357738,2000,2020,Target Budget,Full Year,Human Relations Commission,2020-06-30,Commission on Human Relations,Human Relations,54
34,2360050,5000,2020,Current Projection,Full Year,Human Relations Commission,2020-06-30,Commission on Human Relations,Human Relations,54
385,26260507,5627058,2017,Actual,Full Year,Human Services,2017-06-30,Department of Human Services,DHS,22
517,30712077,3968761,2018,Actual,Full Year,Human Services,2018-06-30,Department of Human Services,DHS,22
396,22738842,2644765,2019,Actual,Full Year,Human Services,2019-06-30,Department of Human Services,DHS,22
437,27646449,3232445,2020,Adopted Budget,Full Year,Human Services,2020-06-30,Department of Human Services,DHS,22
437,28313180,3232445,2020,Target Budget,Full Year,Human Services,2020-06-30,Department of Human Services,DHS,22
437,28714875,3232445,2020,Current Projection,Full Year,Human Services,2020-06-30,Department of Human Services,DHS,22
16,919175,0,2017,Actual,Full Year,Labor,2017-06-30,Labor,,03
20,1425750,71,2018,Actual,Full Year,Labor,2018-06-30,Labor,,03
22,1586766,274,2019,Actual,Full Year,Labor,2019-06-30,Labor,,03
30,2065091,0,2020,Adopted Budget,Full Year,Labor,2020-06-30,Labor,,03
30,2121104,1200,2020,Target Budget,Full Year,Labor,2020-06-30,Labor,,03
27,2121104,1000,2020,Current Projection,Full Year,Labor,2020-06-30,Labor,,03
119,8085037,0,2017,Actual,Full Year,Law,2017-06-30,Law Department,Law,44
121,7978352,1254,2018,Actual,Full Year,Law,2018-06-30,Law Department,Law,44
128,8802032,72,2019,Actual,Full Year,Law,2019-06-30,Law Department,Law,44
133,9427335,0,2020,Adopted Budget,Full Year,Law,2020-06-30,Law Department,Law,44
133,9702333,100,2020,Target Budget,Full Year,Law,2020-06-30,Law Department,Law,44
130,9715678,100,2020,Current Projection,Full Year,Law,2020-06-30,Law Department,Law,44
348,19578047,1563457,2017,Actual,Full Year,Licenses & Inspections,2017-06-30,Department of Licenses and Inspections,L&I,26
396,22292655,1306891,2018,Actual,Full Year,Licenses & Inspections,2018-06-30,Department of Licenses and Inspections,L&I,26
372,23626633,1432352,2019,Actual,Full Year,Licenses & Inspections,2019-06-30,Department of Licenses and Inspections,L&I,26
466,25967209,1165385,2020,Adopted Budget,Full Year,Licenses & Inspections,2020-06-30,Department of Licenses and Inspections,L&I,26
481,26654803,1565385,2020,Target Budget,Full Year,Licenses & Inspections,2020-06-30,Department of Licenses and Inspections,L&I,26
394,26811159,1415000,2020,Current Projection,Full Year,Licenses & Inspections,2020-06-30,Department of Licenses and Inspections,L&I,26
1,69683,117,2017,Actual,Full Year,L&I-Board of Building Standards,2017-06-30,L&I: Board of Building and Standards,,29
1,67339,0,2018,Actual,Full Year,L&I-Board of Building Standards,2018-06-30,L&I: Board of Building and Standards,,29
1,83562,0,2019,Actual,Full Year,L&I-Board of Building Standards,2019-06-30,L&I: Board of Building and Standards,,29
1,80366,0,2020,Adopted Budget,Full Year,L&I-Board of Building Standards,2020-06-30,L&I: Board of Building and Standards,,29
1,80602,0,2020,Target Budget,Full Year,L&I-Board of Building Standards,2020-06-30,L&I: Board of Building and Standards,,29
1,80602,0,2020,Current Projection,Full Year,L&I-Board of Building Standards,2020-06-30,L&I: Board of Building and Standards,,29
2,148864,1132,2017,Actual,Full Year,L&I-Board of L & I Review,2017-06-30,L&I: Board of Review,,27
2,143207,1372,2018,Actual,Full Year,L&I-Board of L & I Review,2018-06-30,L&I: Board of Review,,27
2,129561,1164,2019,Actual,Full Year,L&I-Board of L & I Review,2019-06-30,L&I: Board of Review,,27
2,163434,0,2020,Adopted Budget,Full Year,L&I-Board of L & I Review,2020-06-30,L&I: Board of Review,,27
2,164293,50,2020,Target Budget,Full Year,L&I-Board of L & I Review,2020-06-30,L&I: Board of Review,,27
2,165175,50,2020,Current Projection,Full Year,L&I-Board of L & I Review,2020-06-30,L&I: Board of Review,,27
5,320504,402,2017,Actual,Full Year,L&I-Zoning Board of Adjustment,2017-06-30,Zoning Board of Adjustments,ZBA,30
0,0,0,2018,Actual,Full Year,L&I-Zoning Board of Adjustment,2018-06-30,Zoning Board of Adjustments,ZBA,30
0,0,0,2019,Actual,Full Year,L&I-Zoning Board of Adjustment,2019-06-30,Zoning Board of Adjustments,ZBA,30
0,0,0,2020,Adopted Budget,Full Year,L&I-Zoning Board of Adjustment,2020-06-30,Zoning Board of Adjustments,ZBA,30
0,0,0,2020,Target Budget,Full Year,L&I-Zoning Board of Adjustment,2020-06-30,Zoning Board of Adjustments,ZBA,30
0,0,0,2020,Current Projection,Full Year,L&I-Zoning Board of Adjustment,2020-06-30,Zoning Board of Adjustments,ZBA,30
296,18885758,444040,2017,Actual,Full Year,Managing Director,2017-06-30,Managing Director's Office,MDO,10
307,20292249,471245,2018,Actual,Full Year,Managing Director,2018-06-30,Managing Director's Office,MDO,10
307,20519487,501777,2019,Actual,Full Year,Managing Director,2019-06-30,Managing Director's Office,MDO,10
344,23170579,485000,2020,Adopted Budget,Full Year,Managing Director,2020-06-30,Managing Director's Office,MDO,10
365,50110339,785000,2020,Target Budget,Full Year,Managing Director,2020-06-30,Managing Director's Office,MDO,10
287,50147542,840000,2020,Current Projection,Full Year,Managing Director,2020-06-30,Managing Director's Office,MDO,10
42,3647357,0,2017,Actual,Full Year,Mayor's Office,2017-06-30,Mayor's Office,Mayor,05
41,3487719,0,2018,Actual,Full Year,Mayor's Office,2018-06-30,Mayor's Office,Mayor,05
51,4779593,0,2019,Actual,Full Year,Mayor's Office,2019-06-30,Mayor's Office,Mayor,05
60,5393827,0,2020,Adopted Budget,Full Year,Mayor's Office,2020-06-30,Mayor's Office,Mayor,05
60,5578480,100,2020,Target Budget,Full Year,Mayor's Office,2020-06-30,Mayor's Office,Mayor,05
61,5578480,100,2020,Current Projection,Full Year,Mayor's Office,2020-06-30,Mayor's Office,Mayor,05
0,90000,0,2017,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2017-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
2,233263,0,2018,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2018-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
0,90000,0,2019,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2019-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
0,90000,0,2020,Adopted Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2020-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
0,90000,0,2020,Target Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2020-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
0,90000,0,2020,Current Projection,Full Year,Mayor's Office of Community Empowerment and Opportunity,2020-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
10,528228,14905,2017,Actual,Full Year,Mural Arts Program,2017-06-30,Mural Arts Program,Mural Arts,50
11,545525,28588,2018,Actual,Full Year,Mural Arts Program,2018-06-30,Mural Arts Program,Mural Arts,50
11,587931,16444,2019,Actual,Full Year,Mural Arts Program,2019-06-30,Mural Arts Program,Mural Arts,50
12,638987,13609,2020,Adopted Budget,Full Year,Mural Arts Program,2020-06-30,Mural Arts Program,Mural Arts,50
12,649569,20609,2020,Target Budget,Full Year,Mural Arts Program,2020-06-30,Mural Arts Program,Mural Arts,50
10,649569,12000,2020,Current Projection,Full Year,Mural Arts Program,2020-06-30,Mural Arts Program,Mural Arts,50
4,236770,0,2017,Actual,Full Year,Office of Arts and Culture,2017-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
5,274563,0,2018,Actual,Full Year,Office of Arts and Culture,2018-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
7,453399,40,2019,Actual,Full Year,Office of Arts and Culture,2019-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
8,508300,0,2020,Adopted Budget,Full Year,Office of Arts and Culture,2020-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
8,579428,200,2020,Target Budget,Full Year,Office of Arts and Culture,2020-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
2,579428,200,2020,Current Projection,Full Year,Office of Arts and Culture,2020-06-30,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
16,1006269,9922,2017,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2017-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
16,1558164,6737,2018,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2018-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
16,1580748,6906,2019,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2019-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
23,1534468,6000,2020,Adopted Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2020-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
23,1555369,7000,2020,Target Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2020-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
24,1556209,7000,2020,Current Projection,Full Year,Office of Behavioral Health and Intellectual disAbility,2020-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
55,3830324,6608,2017,Actual,Full Year,Office of the Chief Administrative Officer,2017-06-30,Office of the Chief Administrative Officer,CAO,65
58,4045694,54046,2018,Actual,Full Year,Office of the Chief Administrative Officer,2018-06-30,Office of the Chief Administrative Officer,CAO,65
56,3831785,21904,2019,Actual,Full Year,Office of the Chief Administrative Officer,2019-06-30,Office of the Chief Administrative Officer,CAO,65
74,4784551,40798,2020,Adopted Budget,Full Year,Office of the Chief Administrative Officer,2020-06-30,Office of the Chief Administrative Officer,CAO,65
74,4856824,10798,2020,Target Budget,Full Year,Office of the Chief Administrative Officer,2020-06-30,Office of the Chief Administrative Officer,CAO,65
64,4866328,3000,2020,Current Projection,Full Year,Office of the Chief Administrative Officer,2020-06-30,Office of the Chief Administrative Officer,CAO,65
32,1933963,0,2017,Actual,Full Year,Office of Education,2017-06-30,Office of Children and Families,OCF,66
33,2215607,0,2018,Actual,Full Year,Office of Education,2018-06-30,Office of Children and Families,OCF,66
32,2318022,0,2019,Actual,Full Year,Office of Education,2019-06-30,Office of Children and Families,OCF,66
47,3292180,0,2020,Adopted Budget,Full Year,Office of Education,2020-06-30,Office of Children and Families,OCF,66
47,3292180,0,2020,Target Budget,Full Year,Office of Education,2020-06-30,Office of Children and Families,OCF,66
40,3292180,0,2020,Current Projection,Full Year,Office of Education,2020-06-30,Office of Children and Families,OCF,66
146,8491983,201512,2017,Actual,Full Year,Office of Homeless Services,2017-06-30,Office of Homeless Services,OHS,24
150,8685048,145390,2018,Actual,Full Year,Office of Homeless Services,2018-06-30,Office of Homeless Services,OHS,24
151,9056465,201728,2019,Actual,Full Year,Office of Homeless Services,2019-06-30,Office of Homeless Services,OHS,24
160,9545748,228734,2020,Adopted Budget,Full Year,Office of Homeless Services,2020-06-30,Office of Homeless Services,OHS,24
160,9614067,228734,2020,Target Budget,Full Year,Office of Homeless Services,2020-06-30,Office of Homeless Services,OHS,24
151,9657675,340000,2020,Current Projection,Full Year,Office of Homeless Services,2020-06-30,Office of Homeless Services,OHS,24
85,5327367,48476,2017,Actual,Full Year,Office of Human Resources,2017-06-30,Office of Human Resources,OHR,56
78,4766878,44902,2018,Actual,Full Year,Office of Human Resources,2018-06-30,Office of Human Resources,OHR,56
77,4913051,45485,2019,Actual,Full Year,Office of Human Resources,2019-06-30,Office of Human Resources,OHR,56
88,5555785,45000,2020,Adopted Budget,Full Year,Office of Human Resources,2020-06-30,Office of Human Resources,OHR,56
88,5591299,85000,2020,Target Budget,Full Year,Office of Human Resources,2020-06-30,Office of Human Resources,OHR,56
79,5608379,65000,2020,Current Projection,Full Year,Office of Human Resources,2020-06-30,Office of Human Resources,OHR,56
274,19875293,664825,2017,Actual,Full Year,Office of Innovation and Technology,2017-06-30,Office of Innovation and Technology,OIT,04
284,20852810,561859,2018,Actual,Full Year,Office of Innovation and Technology,2018-06-30,Office of Innovation and Technology,OIT,04
277,20875286,489644,2019,Actual,Full Year,Office of Innovation and Technology,2019-06-30,Office of Innovation and Technology,OIT,04
316,23878695,636386,2020,Adopted Budget,Full Year,Office of Innovation and Technology,2020-06-30,Office of Innovation and Technology,OIT,04
316,24287517,596386,2020,Target Budget,Full Year,Office of Innovation and Technology,2020-06-30,Office of Innovation and Technology,OIT,04
317,24302982,490000,2020,Current Projection,Full Year,Office of Innovation and Technology,2020-06-30,Office of Innovation and Technology,OIT,04
18,1355599,0,2017,Actual,Full Year,Office of the Inspector General,2017-06-30,Office of the Inspector General,OIG,48
19,1409169,0,2018,Actual,Full Year,Office of the Inspector General,2018-06-30,Office of the Inspector General,OIG,48
18,1415627,0,2019,Actual,Full Year,Office of the Inspector General,2019-06-30,Office of the Inspector General,OIG,48
21,1577241,0,2020,Adopted Budget,Full Year,Office of the Inspector General,2020-06-30,Office of the Inspector General,OIG,48
21,1639223,0,2020,Target Budget,Full Year,Office of the Inspector General,2020-06-30,Office of the Inspector General,OIG,48
16,1639223,0,2020,Current Projection,Full Year,Office of the Inspector General,2020-06-30,Office of the Inspector General,OIG,48
4,450687,0,2017,Actual,Full Year,Office of Planning and Development,2017-06-30,Mayor's Office of Planning and Development,,62
0,0,0,2018,Actual,Full Year,Office of Planning and Development,2018-06-30,Mayor's Office of Planning and Development,,62
0,0,0,2019,Actual,Full Year,Office of Planning and Development,2019-06-30,Mayor's Office of Planning and Development,,62
0,0,0,2020,Adopted Budget,Full Year,Office of Planning and Development,2020-06-30,Mayor's Office of Planning and Development,,62
0,0,0,2020,Target Budget,Full Year,Office of Planning and Development,2020-06-30,Mayor's Office of Planning and Development,,62
0,0,0,2020,Current Projection,Full Year,Office of Planning and Development,2020-06-30,Mayor's Office of Planning and Development,,62
199,11324075,59841,2017,Actual,Full Year,Office of Property Assessment,2017-06-30,Office of Property Assessment,OPA,59
193,11852174,29688,2018,Actual,Full Year,Office of Property Assessment,2018-06-30,Office of Property Assessment,OPA,59
196,12500926,94062,2019,Actual,Full Year,Office of Property Assessment,2019-06-30,Office of Property Assessment,OPA,59
251,14127682,20000,2020,Adopted Budget,Full Year,Office of Property Assessment,2020-06-30,Office of Property Assessment,OPA,59
251,14240098,90000,2020,Target Budget,Full Year,Office of Property Assessment,2020-06-30,Office of Property Assessment,OPA,59
195,14271114,80000,2020,Current Projection,Full Year,Office of Property Assessment,2020-06-30,Office of Property Assessment,OPA,59
7,513653,0,2017,Actual,Full Year,Office of Sustainability,2017-06-30,Office of Sustainability,Sustainability,49
9,498576,495,2018,Actual,Full Year,Office of Sustainability,2018-06-30,Office of Sustainability,Sustainability,49
9,548133,139,2019,Actual,Full Year,Office of Sustainability,2019-06-30,Office of Sustainability,Sustainability,49
9,551910,0,2020,Adopted Budget,Full Year,Office of Sustainability,2020-06-30,Office of Sustainability,Sustainability,49
9,556456,200,2020,Target Budget,Full Year,Office of Sustainability,2020-06-30,Office of Sustainability,Sustainability,49
7,556456,100,2020,Current Projection,Full Year,Office of Sustainability,2020-06-30,Office of Sustainability,Sustainability,49
607,43978477,3525788,2017,Actual,Full Year,Parks and Recreation,2017-06-30,Department of Parks and Recreation,Parks & Recreation,16
629,47030321,3720838,2018,Actual,Full Year,Parks and Recreation,2018-06-30,Department of Parks and Recreation,Parks & Recreation,16
647,48579951,3538131,2019,Actual,Full Year,Parks and Recreation,2019-06-30,Department of Parks and Recreation,Parks & Recreation,16
759,52490935,3477271,2020,Adopted Budget,Full Year,Parks and Recreation,2020-06-30,Department of Parks and Recreation,Parks & Recreation,16
