dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code,report_quarter,report_fiscal_year,dept_major_code
Commerce-Convention Center Subsidy,15000000,2022,Adopted Budget,Full Year,2021-12-31,Commerce: Convention Center Subsidy,,42CC,2,2022,42
Commerce-Economic Stimulus,6015000,2022,Adopted Budget,Full Year,2021-12-31,Commerce: Economic Stimulus,,42ES,2,2022,42
District Attorney,40431659,2022,Adopted Budget,Full Year,2021-12-31,District Attorney's Office,DAO,69,2,2022,69
Finance,41126320,2022,Adopted Budget,Full Year,2021-12-31,Office of the Director of Finance,Finance,35,2,2022,35
Finance-Budget Stabilization Reserve,0,2022,Adopted Budget,Full Year,2021-12-31,Finance: Budget Stabilization Reserve,,35BSR,2,2022,35
Finance-Disability-Reg #32 Payroll,2293165,2022,Adopted Budget,Full Year,2021-12-31,Finance: Reg #32,,35R32,2,2022,35
Finance-Recession Reserve and Reopening,75000000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Recession Reserve,,35RR,2,2022,35
Finance-Community College Subsidy,48128075,2022,Adopted Budget,Full Year,2021-12-31,Finance: Community College Subsidy,,35CC,2,2022,35
Finance - Employee Benefits *,1438592740,2022,Adopted Budget,Full Year,2021-12-31,Finance: Employee Benefits,,35EB,2,2022,35
Finance-Hero Scholarship Awards,25000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Hero Scholarship Awards,,35HA,2,2022,35
Finance-Indemnities,49246000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Indemnities,,35IN,2,2022,35
Finance-Refunds,250000,2022,Adopted Budget,Full Year,2021-12-31,Finance: Refunds,,35R,2,2022,35
Finance-School District Contribution,255953201,2022,Adopted Budget,Full Year,2021-12-31,Finance: School District Contribution,,35SD,2,2022,35
Finance-Witness Fees,171518,2022,Adopted Budget,Full Year,2021-12-31,Finance: Witness Fees,,35WF,2,2022,35
Fire,361066229,2022,Adopted Budget,Full Year,2021-12-31,Fire Department,Fire,13,2,2022,13
First Judicial District,116199029,2022,Adopted Budget,Full Year,2021-12-31,First Judicial District,FJD,84,2,2022,84
Fleet Services,45346718,2022,Adopted Budget,Full Year,2021-12-31,Office of Fleet Management,Fleet,25,2,2022,25
Fleet Services - Vehicle Purchases,9745852,2022,Adopted Budget,Full Year,2021-12-31,Fleet: Vehicle Lease/Purchases,,25V,2,2022,25
Free Library,42786864,2022,Adopted Budget,Full Year,2021-12-31,The Free Library of Philadelphia,Free Library,52,2,2022,52
Human Relations Commission,2387728,2022,Adopted Budget,Full Year,2021-12-31,Commission on Human Relations,Human Relations,54,2,2022,54
Human Services,178273808,2022,Adopted Budget,Full Year,2021-12-31,Department of Human Services,DHS,22,2,2022,22
Labor,3313659,2022,Adopted Budget,Full Year,2021-12-31,Labor,,03,2,2022,03
Law,18947270,2022,Adopted Budget,Full Year,2021-12-31,Law Department,Law,44,2,2022,44
Licenses & Inspections,38934445,2022,Adopted Budget,Full Year,2021-12-31,Department of Licenses and Inspections,L&I,26,2,2022,26
L&I-Board of Building Standards,82018,2022,Adopted Budget,Full Year,2021-12-31,L&I: Board of Building and Standards,,29,2,2022,29
L&I-Board of L & I Review,176071,2022,Adopted Budget,Full Year,2021-12-31,L&I: Board of Review,,27,2,2022,27
Managing Director's Office,125584461,2022,Adopted Budget,Full Year,2021-12-31,Managing Director's Office,MDO,10,2,2022,10
Managing Director-Legal Services,52404449,2022,Adopted Budget,Full Year,2021-12-31,MDO: Legal Services,,10LS,2,2022,10
Mayor's Office,6714201,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office,Mayor,05,2,2022,05
Mayor's Office-Scholarships,100000,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office: Scholarships,,05S,2,2022,05
Mayor's Office-Comm. Empowerment & Opp.,1509000,2022,Adopted Budget,Full Year,2021-12-31,Mayor's Office of Community Empowerment and Opportunity,CEO,08,2,2022,08
