0,1,2,3,4,5,6
Finance-Witness Fees,"98,988","171,518","171,518","171,518",0,0
Fire,"309,671,593","298,549,278","314,995,553","315,056,258","(16,506,980)","(60,705)"
First Judicial District,"113,236,838","115,503,975","116,322,633","116,322,633","(818,658)",0
Fleet Management,"47,005,990","50,114,034","50,133,360","50,296,529","(182,495)","(163,169)"
Fleet Management - Vehicle Purchases,"17,297,617","17,286,549","17,286,549","17,286,549",0,0
Free Library,"42,596,496","45,760,383","45,981,774","46,267,613","(507,230)","(285,839)"
Human Relations Commission,"2,127,256","2,386,402","2,420,426","2,422,738","(36,336)","(2,312)"
Human Services,"107,447,455","118,965,013","119,631,744","120,033,439","(1,068,426)","(401,695)"
Labor,"1,769,531","2,454,828","2,510,841","2,510,841","(56,013)",0
Law,"15,462,819","16,085,045","16,360,043","16,373,388","(288,343)","(13,345)"
Licenses & Inspections,"38,311,706","41,282,551","42,223,989","40,380,345","902,206","1,843,644"
L&I-Board of Building Standards,"83,562","80,366","80,602","80,602",(236),0
L&I-Board of L & I Review,"139,997","173,870","174,729","175,611","(1,741)",(882)
Managing Director's Office,"45,304,925","55,280,720","161,018,172","160,607,184","(105,326,464)","410,988"
Managing Director-Legal Services,"51,574,391","50,938,541","50,938,541","50,938,541",0,0
Mayor's Office,"5,435,738","6,113,633","6,298,286","6,298,286","(184,653)",0
Mayor's Office-Scholarships,"181,000","200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"88,250","90,000","90,000","90,000",0,0
Mural Arts Program,"2,367,227","2,499,602","2,545,184","2,545,184","(45,582)",0
Office of Arts and Culture,"4,310,450","4,098,002","4,419,130","4,419,130","(321,128)",0
Office of Behavioral Hith & Intellectual disAbility,"17,115,534","15,895,444","15,916,345","15,917,185","(21,741)",(840)
Office of the Chief Administrative Officer,"5,996,422","7,438,265","7,510,538","7,520,042","(81,777)","(9,504)"
Office of Education,"26,141,449","45,350,014","45,350,014","43,950,014","1,400,000","1,400,000"
Office of Homeless Services,"56,769,589","59,945,719","60,869,901","60,913,509","(967,790)","(43,608)"
Office of Human Resources,"5,695,053","6,874,287","6,909,801","6,926,881","(52,594)","(17,080)"
Office of Innovation and Technology-Base,"65,709,411","71,198,539","76,019,361","76,034,826","(4,836,287)","(15,465)"
Office of Innovation and Technology-911,"12,895,463","41,235,086","41,235,086","41,235,086",0,0
Office of the Inspector General,"1,513,853","1,680,441","1,742,423","1,742,423","(61,982)",0
Office of Property Assessment,"13,934,797","17,318,408","17,430,824","17,461,840","(143,432)","(31,016)"
Office of Sustainability,"955,678","1,213,258","1,467,804","1,467,804","(254,546)",0
Parks and Recreation,"67,144,275","65,058,055","65,589,963","65,838,407","(780,352)","(248,444)"
