sector,parent_sector,year,fiscal_year,fiscal_quarter,total,date
College and Universities,Education,2022,2023,2,41675752.0,2022-10-01
Management Consulting,Professional Services,2022,2023,2,14194850.0,2022-10-01
Legal Services,Professional Services,2022,2023,2,17420489.0,2022-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2022,2023,2,9492153.0,2022-10-01
Transportation Equipment,Manufacturing,2022,2023,2,2588158.0,2022-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2022,2023,2,2668598.0,2022-10-01
Hotels,,2022,2023,1,2844136.0,2022-07-01
Management Consulting,Professional Services,2022,2023,1,12164009.0,2022-07-01
Securities / Financial Investments,,2022,2023,1,10524336.0,2022-07-01
Other Governments,Government,2022,2023,1,768324.0,2022-07-01
Unclassified Accounts,,2022,2023,1,2289361.0,2022-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2022,2023,1,12638312.0,2022-07-01
Other Educational Services,Education,2022,2023,1,3407188.0,2022-07-01
Federal Government,Government,2022,2023,1,19952288.0,2022-07-01
"Arts, Entertainment, and Other Recreation",,2022,2023,1,4312567.0,2022-07-01
Food & Beverage Products,Manufacturing,2022,2023,1,4704333.0,2022-07-01
"Real Estate, Rental and Leasing",,2022,2023,1,7641585.0,2022-07-01
Insurance,,2022,2023,1,12205880.0,2022-07-01
Nursing & Personal Care Facilities,Health and Social Services,2022,2023,1,10832942.0,2022-07-01
Sport Teams,,2022,2023,1,7746052.0,2022-07-01
Engineering & Architectural Services,Professional Services,2022,2023,1,6690305.0,2022-07-01
"Publishing, Broadcasting, and Other Information",,2022,2023,1,6762061.0,2022-07-01
"Chemicals, Petroleum Refining",Manufacturing,2022,2023,1,3016546.0,2022-07-01
Public Utilities,,2022,2023,1,3426228.0,2022-07-01
"Elementary, Secondary Schools",Education,2022,2023,1,8513705.0,2022-07-01
Professional Services,,2022,2023,1,62005410.0,2022-07-01
Transportation and Warehousing,,2022,2023,1,17701457.0,2022-07-01
College and Universities,Education,2022,2023,1,39625614.0,2022-07-01
Pharmaceuticals,Manufacturing,2022,2023,1,5896750.0,2022-07-01
Social Services,Health and Social Services,2022,2023,1,20179864.0,2022-07-01
Education,,2022,2023,1,51546507.0,2022-07-01
Other Sectors,,2022,2023,1,40374527.0,2022-07-01
Employment/Outsourcing Agencies,Other Sectors,2022,2023,1,10868637.0,2022-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2022,2023,1,2500612.0,2022-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2022,2023,1,17070405.0,2022-07-01
Banking & Credit Unions,,2022,2023,1,7062243.0,2022-07-01
Legal Services,Professional Services,2022,2023,1,14876841.0,2022-07-01
Services to Buildings,Other Sectors,2022,2023,1,3324022.0,2022-07-01
State Government (PA),Government,2022,2023,1,3440098.0,2022-07-01
Construction,,2022,2023,1,19272730.0,2022-07-01
Government,,2022,2023,1,60170878.0,2022-07-01
Retail Trade,,2022,2023,1,27507124.0,2022-07-01
Wholesale Trade,,2022,2023,1,10401140.0,2022-07-01
Restaurants,,2022,2023,1,15065324.0,2022-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2022,2023,1,8257842.0,2022-07-01
Miscellaneous Manufacturing,Manufacturing,2022,2023,1,6690639.0,2022-07-01
"City, School District, Local Quasi Govt.",Government,2022,2023,1,36010168.0,2022-07-01
Advertising and Other Professional Services,Professional Services,2022,2023,1,13896217.0,2022-07-01
Hospitals,Health and Social Services,2022,2023,1,60575196.0,2022-07-01
Manufacturing,,2022,2023,1,27202995.0,2022-07-01
Metal Manufacturing,Manufacturing,2022,2023,1,1873367.0,2022-07-01
Health and Social Services,,2022,2023,1,121296719.0,2022-07-01
Security and Investigation Services,Other Sectors,2022,2023,1,2874333.0,2022-07-01
Telecommunication,,2022,2023,1,11869086.0,2022-07-01
Transportation Equipment,Manufacturing,2022,2023,1,2520749.0,2022-07-01
Computer,Professional Services,2022,2023,1,6120197.0,2022-07-01
Membership Organizations,Other Sectors,2022,2023,1,8690011.0,2022-07-01
Miscellaneous Sectors,Other Sectors,2022,2023,1,14617523.0,2022-07-01
Pharmaceuticals,Manufacturing,2022,2022,4,7461812.0,2022-04-01
Transportation Equipment,Manufacturing,2022,2022,4,2441072.0,2022-04-01
Legal Services,Professional Services,2022,2022,4,15773990.0,2022-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2022,2022,4,15049099.0,2022-04-01
Engineering & Architectural Services,Professional Services,2022,2022,4,6571200.0,2022-04-01
Services to Buildings,Other Sectors,2022,2022,4,3190425.0,2022-04-01
College and Universities,Education,2022,2022,4,35008648.0,2022-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2022,2022,4,19562257.0,2022-04-01
"Elementary, Secondary Schools",Education,2022,2022,4,8638644.0,2022-04-01
Computer,Professional Services,2022,2022,4,6398324.0,2022-04-01
Education,,2022,2022,4,47326342.0,2022-04-01
Banking & Credit Unions,,2022,2022,4,7425651.0,2022-04-01
Professional Services,,2022,2022,4,71099801.0,2022-04-01
Hospitals,Health and Social Services,2022,2022,4,60086498.0,2022-04-01
"Chemicals, Petroleum Refining",Manufacturing,2022,2022,4,3647778.0,2022-04-01
Membership Organizations,Other Sectors,2022,2022,4,9925080.0,2022-04-01
Transportation and Warehousing,,2022,2022,4,17966718.0,2022-04-01
Telecommunication,,2022,2022,4,13787118.0,2022-04-01
Restaurants,,2022,2022,4,14957605.0,2022-04-01
Employment/Outsourcing Agencies,Other Sectors,2022,2022,4,11375236.0,2022-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2022,2022,4,2925912.0,2022-04-01
Metal Manufacturing,Manufacturing,2022,2022,4,1843900.0,2022-04-01
Security and Investigation Services,Other Sectors,2022,2022,4,2909358.0,2022-04-01
Social Services,Health and Social Services,2022,2022,4,19772144.0,2022-04-01
Securities / Financial Investments,,2022,2022,4,15475246.0,2022-04-01
"Arts, Entertainment, and Other Recreation",,2022,2022,4,4404802.0,2022-04-01
Other Sectors,,2022,2022,4,42840047.0,2022-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2022,2022,4,12477288.0,2022-04-01
Construction,,2022,2022,4,18386228.0,2022-04-01
Government,,2022,2022,4,55194878.0,2022-04-01
Public Utilities,,2022,2022,4,3606577.0,2022-04-01
Retail Trade,,2022,2022,4,36174489.0,2022-04-01
Unclassified Accounts,,2022,2022,4,1796915.0,2022-04-01
Insurance,,2022,2022,4,14107397.0,2022-04-01
Nursing & Personal Care Facilities,Health and Social Services,2022,2022,4,11330807.0,2022-04-01
Miscellaneous Sectors,Other Sectors,2022,2022,4,15439948.0,2022-04-01
"Real Estate, Rental and Leasing",,2022,2022,4,7897268.0,2022-04-01
Other Educational Services,Education,2022,2022,4,3679050.0,2022-04-01
Food & Beverage Products,Manufacturing,2022,2022,4,4810756.0,2022-04-01
State Government (PA),Government,2022,2022,4,3334939.0,2022-04-01
"City, School District, Local Quasi Govt.",Government,2022,2022,4,33000820.0,2022-04-01
Hotels,,2022,2022,4,3012129.0,2022-04-01
Health and Social Services,,2022,2022,4,123228993.0,2022-04-01
Management Consulting,Professional Services,2022,2022,4,12725453.0,2022-04-01
"Publishing, Broadcasting, and Other Information",,2022,2022,4,7171910.0,2022-04-01
Federal Government,Government,2022,2022,4,18122732.0,2022-04-01
Miscellaneous Manufacturing,Manufacturing,2022,2022,4,7206772.0,2022-04-01
Sport Teams,,2022,2022,4,7882176.0,2022-04-01
Advertising and Other Professional Services,Professional Services,2022,2022,4,14581734.0,2022-04-01
Manufacturing,,2022,2022,4,30338002.0,2022-04-01
Other Governments,Government,2022,2022,4,736387.0,2022-04-01
Wholesale Trade,,2022,2022,4,11235174.0,2022-04-01
Security and Investigation Services,Other Sectors,2022,2022,3,2870489.0,2022-01-01
Securities / Financial Investments,,2022,2022,3,20311546.0,2022-01-01
"Publishing, Broadcasting, and Other Information",,2022,2022,3,8020870.0,2022-01-01
Computer,Professional Services,2022,2022,3,6310767.0,2022-01-01
"City, School District, Local Quasi Govt.",Government,2022,2022,3,33126869.0,2022-01-01
Unclassified Accounts,,2022,2022,3,1091750.0,2022-01-01
Education,,2022,2022,3,61444500.0,2022-01-01
Restaurants,,2022,2022,3,14014922.0,2022-01-01
Retail Trade,,2022,2022,3,33038693.0,2022-01-01
"Real Estate, Rental and Leasing",,2022,2022,3,9652055.0,2022-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2022,2022,3,13753892.0,2022-01-01
"Chemicals, Petroleum Refining",Manufacturing,2022,2022,3,5596158.0,2022-01-01
Construction,,2022,2022,3,18387858.0,2022-01-01
Services to Buildings,Other Sectors,2022,2022,3,3133754.0,2022-01-01
Sport Teams,,2022,2022,3,5345031.0,2022-01-01
Public Utilities,,2022,2022,3,4695445.0,2022-01-01
Food & Beverage Products,Manufacturing,2022,2022,3,4558731.0,2022-01-01
"Arts, Entertainment, and Other Recreation",,2022,2022,3,4077736.0,2022-01-01
Other Educational Services,Education,2022,2022,3,3608820.0,2022-01-01
Nursing & Personal Care Facilities,Health and Social Services,2022,2022,3,11046438.0,2022-01-01
Government,,2022,2022,3,57786316.0,2022-01-01
Miscellaneous Sectors,Other Sectors,2022,2022,3,15539580.0,2022-01-01
Health and Social Services,,2022,2022,3,111867571.0,2022-01-01
Advertising and Other Professional Services,Professional Services,2022,2022,3,15818247.0,2022-01-01
Miscellaneous Manufacturing,Manufacturing,2022,2022,3,7459582.0,2022-01-01
Hospitals,Health and Social Services,2022,2022,3,57986053.0,2022-01-01
Telecommunication,,2022,2022,3,23825804.0,2022-01-01
Metal Manufacturing,Manufacturing,2022,2022,3,1910661.0,2022-01-01
Membership Organizations,Other Sectors,2022,2022,3,11113590.0,2022-01-01
Hotels,,2022,2022,3,2638400.0,2022-01-01
Transportation Equipment,Manufacturing,2022,2022,3,3083483.0,2022-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2022,2022,3,10990478.0,2022-01-01
Manufacturing,,2022,2022,3,35268580.0,2022-01-01
Insurance,,2022,2022,3,18711145.0,2022-01-01
Management Consulting,Professional Services,2022,2022,3,15691541.0,2022-01-01
Legal Services,Professional Services,2022,2022,3,24870554.0,2022-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2022,2022,3,2771764.0,2022-01-01
Transportation and Warehousing,,2022,2022,3,18819883.0,2022-01-01
Wholesale Trade,,2022,2022,3,12961081.0,2022-01-01
State Government (PA),Government,2022,2022,3,3525787.0,2022-01-01
College and Universities,Education,2022,2022,3,38945102.0,2022-01-01
Pharmaceuticals,Manufacturing,2022,2022,3,9888202.0,2022-01-01
Banking & Credit Unions,,2022,2022,3,12800094.0,2022-01-01
Employment/Outsourcing Agencies,Other Sectors,2022,2022,3,10970634.0,2022-01-01
Engineering & Architectural Services,Professional Services,2022,2022,3,7626637.0,2022-01-01
Other Sectors,,2022,2022,3,43628047.0,2022-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2022,2022,3,19790079.0,2022-01-01
Social Services,Health and Social Services,2022,2022,3,19533642.0,2022-01-01
Professional Services,,2022,2022,3,81308224.0,2022-01-01
Other Governments,Government,2022,2022,3,685379.0,2022-01-01
Federal Government,Government,2022,2022,3,20448282.0,2022-01-01
"Elementary, Secondary Schools",Education,2022,2022,3,8648044.0,2022-01-01
Hotels,,2021,2022,2,2535027.0,2021-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2021,2022,2,2483236.0,2021-10-01
Employment/Outsourcing Agencies,Other Sectors,2021,2022,2,9222187.0,2021-10-01
Computer,Professional Services,2021,2022,2,6430240.0,2021-10-01
Retail Trade,,2021,2022,2,28432971.0,2021-10-01
Legal Services,Professional Services,2021,2022,2,16022712.0,2021-10-01
Securities / Financial Investments,,2021,2022,2,11838402.0,2021-10-01
Pharmaceuticals,Manufacturing,2021,2022,2,5876556.0,2021-10-01
Manufacturing,,2021,2022,2,27742506.0,2021-10-01
Insurance,,2021,2022,2,10512153.0,2021-10-01
Professional Services,,2021,2022,2,61821878.0,2021-10-01
Unclassified Accounts,,2021,2022,2,211068.0,2021-10-01
Management Consulting,Professional Services,2021,2022,2,13150570.0,2021-10-01
Membership Organizations,Other Sectors,2021,2022,2,10119405.0,2021-10-01
Food & Beverage Products,Manufacturing,2021,2022,2,5051997.0,2021-10-01
Metal Manufacturing,Manufacturing,2021,2022,2,1885595.0,2021-10-01
Other Sectors,,2021,2022,2,38276972.0,2021-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2021,2022,2,12448652.0,2021-10-01
"Real Estate, Rental and Leasing",,2021,2022,2,7085685.0,2021-10-01
College and Universities,Education,2021,2022,2,46201181.0,2021-10-01
Other Educational Services,Education,2021,2022,2,3576600.0,2021-10-01
Nursing & Personal Care Facilities,Health and Social Services,2021,2022,2,10142246.0,2021-10-01
Government,,2021,2022,2,67790861.0,2021-10-01
Federal Government,Government,2021,2022,2,25872599.0,2021-10-01
"Elementary, Secondary Schools",Education,2021,2022,2,8514958.0,2021-10-01
Construction,,2021,2022,2,16958476.0,2021-10-01
Other Governments,Government,2021,2022,2,611140.0,2021-10-01
Restaurants,,2021,2022,2,13650064.0,2021-10-01
Miscellaneous Sectors,Other Sectors,2021,2022,2,12987638.0,2021-10-01
Health and Social Services,,2021,2022,2,110899087.0,2021-10-01
Engineering & Architectural Services,Professional Services,2021,2022,2,6800291.0,2021-10-01
Miscellaneous Manufacturing,Manufacturing,2021,2022,2,6537024.0,2021-10-01
Hospitals,Health and Social Services,2021,2022,2,53482337.0,2021-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2021,2022,2,17797478.0,2021-10-01
"Publishing, Broadcasting, and Other Information",,2021,2022,2,6759892.0,2021-10-01
Education,,2021,2022,2,58292739.0,2021-10-01
Public Utilities,,2021,2022,2,3065709.0,2021-10-01
Transportation and Warehousing,,2021,2022,2,18706343.0,2021-10-01
State Government (PA),Government,2021,2022,2,3357555.0,2021-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2021,2022,2,6298061.0,2021-10-01
Transportation Equipment,Manufacturing,2021,2022,2,2549243.0,2021-10-01
Security and Investigation Services,Other Sectors,2021,2022,2,2908918.0,2021-10-01
"Arts, Entertainment, and Other Recreation",,2021,2022,2,3889421.0,2021-10-01
"City, School District, Local Quasi Govt.",Government,2021,2022,2,37949566.0,2021-10-01
Banking & Credit Unions,,2021,2022,2,8576195.0,2021-10-01
Wholesale Trade,,2021,2022,2,11085654.0,2021-10-01
Social Services,Health and Social Services,2021,2022,2,17028374.0,2021-10-01
Sport Teams,,2021,2022,2,6790203.0,2021-10-01
"Chemicals, Petroleum Refining",Manufacturing,2021,2022,2,3358855.0,2021-10-01
Advertising and Other Professional Services,Professional Services,2021,2022,2,13120003.0,2021-10-01
Services to Buildings,Other Sectors,2021,2022,2,3038824.0,2021-10-01
Telecommunication,,2021,2022,2,9129649.0,2021-10-01
"Chemicals, Petroleum Refining",Manufacturing,2021,2022,1,3015430.0,2021-07-01
"Publishing, Broadcasting, and Other Information",,2021,2022,1,6414879.0,2021-07-01
"City, School District, Local Quasi Govt.",Government,2021,2022,1,33166971.0,2021-07-01
Wholesale Trade,,2021,2022,1,9979705.0,2021-07-01
Other Sectors,,2021,2022,1,35714183.0,2021-07-01
Education,,2021,2022,1,42332751.0,2021-07-01
Security and Investigation Services,Other Sectors,2021,2022,1,2587348.0,2021-07-01
Manufacturing,,2021,2022,1,25148985.0,2021-07-01
Transportation and Warehousing,,2021,2022,1,17396823.0,2021-07-01
College and Universities,Education,2021,2022,1,31939084.0,2021-07-01
Federal Government,Government,2021,2022,1,19666262.0,2021-07-01
Sport Teams,,2021,2022,1,6549683.0,2021-07-01
Services to Buildings,Other Sectors,2021,2022,1,3044786.0,2021-07-01
Restaurants,,2021,2022,1,12008634.0,2021-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2021,2022,1,17427328.0,2021-07-01
Engineering & Architectural Services,Professional Services,2021,2022,1,5711854.0,2021-07-01
Legal Services,Professional Services,2021,2022,1,12098434.0,2021-07-01
Banking & Credit Unions,,2021,2022,1,7420070.0,2021-07-01
Construction,,2021,2022,1,17491949.0,2021-07-01
Pharmaceuticals,Manufacturing,2021,2022,1,4960449.0,2021-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2021,2022,1,5495695.0,2021-07-01
Employment/Outsourcing Agencies,Other Sectors,2021,2022,1,7803735.0,2021-07-01
Insurance,,2021,2022,1,9024286.0,2021-07-01
"Real Estate, Rental and Leasing",,2021,2022,1,6633348.0,2021-07-01
Social Services,Health and Social Services,2021,2022,1,17037501.0,2021-07-01
Professional Services,,2021,2022,1,50579951.0,2021-07-01
"Elementary, Secondary Schools",Education,2021,2022,1,7219245.0,2021-07-01
Public Utilities,,2021,2022,1,2253715.0,2021-07-01
Management Consulting,Professional Services,2021,2022,1,9838518.0,2021-07-01
Metal Manufacturing,Manufacturing,2021,2022,1,1887510.0,2021-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2021,2022,1,12174062.0,2021-07-01
Retail Trade,,2021,2022,1,27113108.0,2021-07-01
Transportation Equipment,Manufacturing,2021,2022,1,2379322.0,2021-07-01
Hospitals,Health and Social Services,2021,2022,1,54835253.0,2021-07-01
Miscellaneous Manufacturing,Manufacturing,2021,2022,1,6022900.0,2021-07-01
Advertising and Other Professional Services,Professional Services,2021,2022,1,12088567.0,2021-07-01
Telecommunication,,2021,2022,1,6182013.0,2021-07-01
Securities / Financial Investments,,2021,2022,1,8900964.0,2021-07-01
Health and Social Services,,2021,2022,1,111879137.0,2021-07-01
Membership Organizations,Other Sectors,2021,2022,1,9422643.0,2021-07-01
Miscellaneous Sectors,Other Sectors,2021,2022,1,12855671.0,2021-07-01
State Government (PA),Government,2021,2022,1,3273213.0,2021-07-01
Government,,2021,2022,1,56728002.0,2021-07-01
Other Governments,Government,2021,2022,1,621556.0,2021-07-01
Nursing & Personal Care Facilities,Health and Social Services,2021,2022,1,10404993.0,2021-07-01
Hotels,,2021,2022,1,2164013.0,2021-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2021,2022,1,2467920.0,2021-07-01
Unclassified Accounts,,2021,2022,1,2238130.0,2021-07-01
"Arts, Entertainment, and Other Recreation",,2021,2022,1,3254154.0,2021-07-01
Computer,Professional Services,2021,2022,1,5346884.0,2021-07-01
Other Educational Services,Education,2021,2022,1,3174423.0,2021-07-01
Food & Beverage Products,Manufacturing,2021,2022,1,4415454.0,2021-07-01
Manufacturing,,2021,2021,4,25947378.0,2021-04-01
Health and Social Services,,2021,2021,4,107541332.0,2021-04-01
Food & Beverage Products,Manufacturing,2021,2021,4,4514003.0,2021-04-01
"Chemicals, Petroleum Refining",Manufacturing,2021,2021,4,2928750.0,2021-04-01
Telecommunication,,2021,2021,4,6109602.0,2021-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2021,2021,4,11589015.0,2021-04-01
Management Consulting,Professional Services,2021,2021,4,10274559.0,2021-04-01
Membership Organizations,Other Sectors,2021,2021,4,8525167.0,2021-04-01
Federal Government,Government,2021,2021,4,31262136.0,2021-04-01
"Elementary, Secondary Schools",Education,2021,2021,4,7217679.0,2021-04-01
Advertising and Other Professional Services,Professional Services,2021,2021,4,12067629.0,2021-04-01
Other Governments,Government,2021,2021,4,536495.0,2021-04-01
Education,,2021,2021,4,38996491.0,2021-04-01
"Publishing, Broadcasting, and Other Information",,2021,2021,4,6081490.0,2021-04-01
Miscellaneous Manufacturing,Manufacturing,2021,2021,4,6361002.0,2021-04-01
Hospitals,Health and Social Services,2021,2021,4,51722527.0,2021-04-01
Sport Teams,,2021,2021,4,6191504.0,2021-04-01
Services to Buildings,Other Sectors,2021,2021,4,2906556.0,2021-04-01
Public Utilities,,2021,2021,4,3350637.0,2021-04-01
Miscellaneous Sectors,Other Sectors,2021,2021,4,12383351.0,2021-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2021,2021,4,5289095.0,2021-04-01
Transportation Equipment,Manufacturing,2021,2021,4,2346030.0,2021-04-01
Engineering & Architectural Services,Professional Services,2021,2021,4,5456791.0,2021-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2021,2021,4,17441195.0,2021-04-01
Other Educational Services,Education,2021,2021,4,3087574.0,2021-04-01
Banking & Credit Unions,,2021,2021,4,7852492.0,2021-04-01
"Arts, Entertainment, and Other Recreation",,2021,2021,4,2875740.0,2021-04-01
Nursing & Personal Care Facilities,Health and Social Services,2021,2021,4,10088212.0,2021-04-01
Pharmaceuticals,Manufacturing,2021,2021,4,5672819.0,2021-04-01
Hotels,,2021,2021,4,1804008.0,2021-04-01
Government,,2021,2021,4,66178600.0,2021-04-01
Insurance,,2021,2021,4,10877902.0,2021-04-01
Other Sectors,,2021,2021,4,33861400.0,2021-04-01
Employment/Outsourcing Agencies,Other Sectors,2021,2021,4,7432369.0,2021-04-01
State Government (PA),Government,2021,2021,4,3227497.0,2021-04-01
Social Services,Health and Social Services,2021,2021,4,16700384.0,2021-04-01
Professional Services,,2021,2021,4,49298212.0,2021-04-01
College and Universities,Education,2021,2021,4,28691239.0,2021-04-01
Metal Manufacturing,Manufacturing,2021,2021,4,1800364.0,2021-04-01
Computer,Professional Services,2021,2021,4,5634525.0,2021-04-01
Securities / Financial Investments,,2021,2021,4,10621581.0,2021-04-01
"Real Estate, Rental and Leasing",,2021,2021,4,6632459.0,2021-04-01
Legal Services,Professional Services,2021,2021,4,10575614.0,2021-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2021,2021,4,2324410.0,2021-04-01
Security and Investigation Services,Other Sectors,2021,2021,4,2613957.0,2021-04-01
Retail Trade,,2021,2021,4,26960577.0,2021-04-01
Transportation and Warehousing,,2021,2021,4,16340752.0,2021-04-01
Wholesale Trade,,2021,2021,4,10550686.0,2021-04-01
Restaurants,,2021,2021,4,9113005.0,2021-04-01
Unclassified Accounts,,2021,2021,4,2371476.0,2021-04-01
Construction,,2021,2021,4,17448887.0,2021-04-01
"City, School District, Local Quasi Govt.",Government,2021,2021,4,31152473.0,2021-04-01
Engineering & Architectural Services,Professional Services,2021,2021,3,7470710.0,2021-01-01
Insurance,,2021,2021,3,15625476.0,2021-01-01
State Government (PA),Government,2021,2021,3,3422911.0,2021-01-01
Management Consulting,Professional Services,2021,2021,3,12150138.0,2021-01-01
Legal Services,Professional Services,2021,2021,3,20462521.0,2021-01-01
"City, School District, Local Quasi Govt.",Government,2021,2021,3,33653778.0,2021-01-01
"Chemicals, Petroleum Refining",Manufacturing,2021,2021,3,4796464.0,2021-01-01
Food & Beverage Products,Manufacturing,2021,2021,3,4748917.0,2021-01-01
Social Services,Health and Social Services,2021,2021,3,17419515.0,2021-01-01
Membership Organizations,Other Sectors,2021,2021,3,8819664.0,2021-01-01
Public Utilities,,2021,2021,3,4858488.0,2021-01-01
Other Governments,Government,2021,2021,3,635673.0,2021-01-01
Security and Investigation Services,Other Sectors,2021,2021,3,2530226.0,2021-01-01
Retail Trade,,2021,2021,3,27184357.0,2021-01-01
Transportation and Warehousing,,2021,2021,3,15945355.0,2021-01-01
Sport Teams,,2021,2021,3,3700705.0,2021-01-01
Federal Government,Government,2021,2021,3,24161444.0,2021-01-01
Pharmaceuticals,Manufacturing,2021,2021,3,8137516.0,2021-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2021,2021,3,13140675.0,2021-01-01
Computer,Professional Services,2021,2021,3,5491258.0,2021-01-01
"Elementary, Secondary Schools",Education,2021,2021,3,7608403.0,2021-01-01
Construction,,2021,2021,3,17382586.0,2021-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2021,2021,3,5737669.0,2021-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2021,2021,3,18877032.0,2021-01-01
Restaurants,,2021,2021,3,8489395.0,2021-01-01
Manufacturing,,2021,2021,3,30889686.0,2021-01-01
Banking & Credit Unions,,2021,2021,3,12568124.0,2021-01-01
Professional Services,,2021,2021,3,63808292.0,2021-01-01
"Real Estate, Rental and Leasing",,2021,2021,3,7898507.0,2021-01-01
Other Sectors,,2021,2021,3,34635197.0,2021-01-01
Unclassified Accounts,,2021,2021,3,2096216.0,2021-01-01
Government,,2021,2021,3,61873807.0,2021-01-01
Metal Manufacturing,Manufacturing,2021,2021,3,1692976.0,2021-01-01
College and Universities,Education,2021,2021,3,28729824.0,2021-01-01
Hospitals,Health and Social Services,2021,2021,3,56371888.0,2021-01-01
