dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,abbreviation,dept_code,dept_name,dept_major_code
Parks and Recreation (1),39078562.0,5120107.0,2580235.0,3050000.0,0.0,0.0,2011,0,49828904.0,Parks & Recreation,16,Department of Parks and Recreation,16
Police,522833048.0,7114147.0,8456085.0,0.0,0.0,0.0,2011,0,538403280.0,Police,11,Police Department,11
Prisons,120058997.0,108010372.0,4768744.0,1301757.0,0.0,0.0,2011,0,234139870.0,Prisons,23,Philadelphia Prison System,23
Procurement,2423253.0,1766267.0,49054.0,0.0,0.0,0.0,2011,0,4238574.0,Procurement,38,Procurement Department,38
Public Health,39395153.0,69267458.0,4799737.0,0.0,0.0,500000.0,2011,0,113962348.0,Public Health,14,Department of Public Health,14
Public Property,6963124.0,22209529.0,925018.0,0.0,0.0,20930040.0,2011,0,51027711.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,65878000.0,0.0,0.0,0.0,0.0,2011,0,65878000.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,15083108.0,0.0,0.0,0.0,0.0,2011,0,15083108.0,,20SR,Public Property: Space Rentals,20
Public Property-Telecomm,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,0.0,,20T,Public Property: Telecommunications,20
Public Property-Utilities,0.0,32890000.0,0.0,0.0,0.0,0.0,2011,0,32890000.0,,20U,Public Property: Utilities,20
Records,2845219.0,1083779.0,78758.0,1456.0,0.0,0.0,2011,0,4009212.0,Records,31,Department of Records,31
Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,2011,0,250000.0,,35R,Finance: Refunds,35
Register of Wills,3290582.0,75486.0,33210.0,0.0,0.0,0.0,2011,0,3399278.0,,68,Register of Wills,68
Revenue,12463851.0,2074783.0,511178.0,0.0,0.0,0.0,2011,0,15049812.0,Revenue,36,Department of Revenue,36
Sheriff,12322083.0,445042.0,321532.0,0.0,0.0,0.0,2011,0,13088657.0,Sheriff,70,Office of the Sheriff,70
Streets,21113190.0,1596391.0,2336556.0,5000.0,0.0,0.0,2011,0,25051137.0,Streets,12,Streets Department,12
Streets - Sanitation,46645923.0,39831831.0,1613406.0,48171.0,0.0,0.0,2011,0,88139331.0,,12S,Streets: Sanitation,12
Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,2011,0,171518.0,,35WF,Finance: Witness Fees,35
Youth Commission,47000.0,50200.0,2800.0,0.0,0.0,0.0,2011,0,100000.0,,47,Youth Commission,47
Zoning Bd. of Adi.,334333.0,43538.0,0.0,0.0,0.0,0.0,2011,0,377871.0,ZBA,30,Zoning Board of Adjustments,30
Zoning Code Commission,150000.0,330000.0,20000.0,0.0,0.0,0.0,2011,0,500000.0,,57,Zoning Code Commission,57
inance-Contribution  to School District,0.0,0.0,0.0,38600000.0,0.0,0.0,2011,0,38600000.0,,35SD,Finance: School District Contribution,35
of Arts & Culture& the Creative  Economy,192625.0,273800.0,8000.0,3430688.0,0.0,0.0,2011,0,3905113.0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy",58
