dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Finance-Community College Subsidy,0.0,0.0,0.0,29909207.0,0.0,0.0,0.0,29909207.0,2017,,35CC,Finance: Community College Subsidy,35
Finance-Employee Benefits,1229793961.0,0.0,0.0,0.0,0.0,0.0,0.0,1229793961.0,2017,,35EB,Finance: Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2017,,35HA,Finance: Hero Scholarship Awards,35
Finance-Indemnities,0.0,0.0,0.0,40675000.0,0.0,0.0,0.0,40675000.0,2017,,35IN,Finance: Indemnities,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2017,,35R,Finance: Refunds,35
Finance-School District Contribution,0.0,0.0,0.0,104263617.0,0.0,0.0,0.0,104263617.0,2017,,35SD,Finance: School District Contribution,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2017,,35WF,Finance: Witness Fees,35
Fire,201369162.0,5375153.0,7421014.0,0.0,0.0,7647000.0,0.0,221812329.0,2017,Fire,13,Fire Department,13
First Judicial District,97254698.0,10656574.0,2391868.0,0.0,0.0,0.0,0.0,110303140.0,2017,FJD,84,First Judicial District,84
Fleet Management,16613280.0,5104396.0,26463211.0,0.0,0.0,0.0,0.0,48180887.0,2017,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,4500000.0,8465000.0,0.0,0.0,0.0,0.0,12965000.0,2017,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,35454254.0,2324077.0,2302659.0,0.0,0.0,0.0,0.0,40080990.0,2017,Free Library,52,The Free Library of Philadelphia,52
Historical Commission,429943.0,980.0,809.0,0.0,0.0,0.0,0.0,431732.0,2017,,32,Historical Commission,32
Human Relations Commission,2127519.0,34657.0,28031.0,0.0,0.0,0.0,0.0,2190207.0,2017,Human Relations,54,Commission on Human Relations,54
Human Services,23454344.0,78896204.0,868952.0,0.0,0.0,0.0,0.0,103219500.0,2017,DHS,22,Department of Human Services,22
L&I-Board of Building Standards,75419.0,0.0,0.0,0.0,0.0,0.0,0.0,75419.0,2017,,29,L&I: Board of Building and Standards,29
L&I-Board of L&I Review,159201.0,10436.0,0.0,0.0,0.0,0.0,0.0,169637.0,2017,,27,L&I: Board of Review,27
L&I-Zoning Board of Adjustments,337749.0,34541.0,0.0,0.0,0.0,0.0,0.0,372290.0,2017,ZBA,30,Zoning Board of Adjustments,30
Labor Relations,1082792.0,5277.0,8160.0,0.0,0.0,0.0,0.0,1096229.0,2017,,03,Labor,03
Law,7934005.0,8410034.0,248676.0,0.0,0.0,0.0,0.0,16592715.0,2017,Law,44,Law Department,44
Licenses & Inspections,21272576.0,11053079.0,1286464.0,0.0,0.0,0.0,0.0,33612119.0,2017,L&I,26,Department of Licenses and Inspections,26
Managing Director,19115427.0,19129401.0,803779.0,0.0,0.0,0.0,0.0,39048607.0,2017,MDO,10,Managing Director's Office,10
Managing Director-Legal Services,0.0,45793831.0,0.0,0.0,0.0,0.0,0.0,45793831.0,2017,,10LS,MDO: Legal Services,10
Mayor - Office of Community Schools & Pre-K,1704925.0,25115000.0,400000.0,250000.0,0.0,0.0,0.0,27469925.0,2017,OCF,66,Office of Children and Families,66
Mayor - Office of the Chief Administrative Officer,3962776.0,1637049.0,16665.0,0.0,0.0,0.0,0.0,5616490.0,2017,CAO,65,Office of the Chief Administrative Officer,65
Mayor - Planning and Development,416000.0,40000.0,60000.0,500000.0,0.0,0.0,0.0,1016000.0,2017,,62,Mayor's Office of Planning and Development,62
Mayor's Office,3742849.0,464046.0,54245.0,0.0,0.0,0.0,0.0,4261140.0,2017,Mayor,05,Mayor's Office,05
Mayor's Office - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,2017,,05S,Mayor's Office: Scholarships,05
Mayor's Office of Community Empowerment and Opportunity,90000.0,2435318.0,0.0,0.0,0.0,0.0,0.0,2525318.0,2017,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Mayor's Office of Transportation & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,,46,Mayor's Office of Transportation and Utilities,46
Mural Arts Program,533401.0,1145615.0,0.0,0.0,0.0,0.0,0.0,1679016.0,2017,Mural Arts,50,Mural Arts Program,50
Office of Arts & Culture & the Creative Economy,312767.0,482400.0,7000.0,3370688.0,0.0,0.0,0.0,4172855.0,2017,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy",58
Office of Behavioral Health and Intellectual disAbility,1010566.0,13125510.0,0.0,0.0,0.0,0.0,0.0,14136076.0,2017,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Housing and Community Development,0.0,2865000.0,0.0,0.0,0.0,0.0,0.0,2865000.0,2017,,06,Office of Housing and Community Development,06
Office of Human Resources,5403578.0,952070.0,69932.0,0.0,0.0,0.0,0.0,6425580.0,2017,OHR,56,Office of Human Resources,56
Office of Innovation and Technology,20089718.0,53130443.0,22092058.0,0.0,0.0,0.0,0.0,95312219.0,2017,OIT,04,Office of Innovation and Technology,04
Office of Property Assessment,10434139.0,1578126.0,782600.0,0.0,0.0,0.0,0.0,12794865.0,2017,OPA,59,Office of Property Assessment,59
Office of Supportive Housing,8636443.0,37644215.0,344127.0,32421.0,0.0,0.0,0.0,46657206.0,2017,OHS,24,Office of Homeless Services,24
Office of Sustainability,537979.0,279508.0,17840.0,0.0,0.0,0.0,0.0,835327.0,2017,Sustainability,49,Office of Sustainability,49
Office of the Inspector General,1390611.0,272975.0,5225.0,0.0,0.0,0.0,0.0,1668811.0,2017,OIG,48,Office of the Inspector General,48
Parks and Recreation,45386251.0,9294525.0,2673805.0,2527500.0,0.0,0.0,0.0,59882081.0,2017,Parks & Recreation,16,Department of Parks and Recreation,16
Police,629443111.0,7462807.0,13270952.0,0.0,0.0,0.0,0.0,650176870.0,2017,Police,11,Police Department,11
Prisons,147301168.0,105455001.0,4773744.0,1301757.0,0.0,0.0,0.0,258831670.0,2017,Prisons,23,Philadelphia Prison System,23
Procurement,2504399.0,2316267.0,49054.0,0.0,0.0,0.0,0.0,4869720.0,2017,Procurement,38,Procurement Department,38
Public Health,50960468.0,66892802.0,5490768.0,0.0,0.0,500000.0,0.0,123844038.0,2017,Public Health,14,Department of Public Health,14
Public Property,8318847.0,28122008.0,1338535.0,0.0,0.0,23916920.0,0.0,61696310.0,2017,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,79720000.0,0.0,0.0,0.0,0.0,0.0,79720000.0,2017,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,20875402.0,0.0,0.0,0.0,0.0,0.0,20875402.0,2017,,20SR,Public Property: Space Rentals,20
Public Property-Utilities,0.0,30656047.0,0.0,0.0,0.0,0.0,0.0,30656047.0,2017,,20U,Public Property: Utilities,20
Records,3083221.0,1538779.0,143758.0,1456.0,0.0,0.0,0.0,4767214.0,2017,Records,31,Department of Records,31
Register of Wills,3563499.0,75486.0,33210.0,0.0,0.0,0.0,0.0,3672195.0,2017,,68,Register of Wills,68
Revenue,21657214.0,7523149.0,1023476.0,0.0,0.0,0.0,0.0,30203839.0,2017,Revenue,36,Department of Revenue,36
Sheriff,19008101.0,715267.0,418907.0,0.0,0.0,0.0,0.0,20142275.0,2017,Sheriff,70,Office of the Sheriff,70
Sinking Fund Commission (Debt Service),0.0,121389615.0,0.0,0.0,153950119.0,0.0,0.0,275339734.0,2017,Sinking Fund,37,Sinking Fund Commission,37
Streets - Sanitation,50292850.0,40563117.0,1608212.0,48171.0,0.0,0.0,0.0,92512350.0,2017,,12S,Streets: Sanitation,12
Streets-Transportation,22414754.0,8426338.0,2201750.0,5000.0,0.0,0.0,0.0,33047842.0,2017,,12T,Streets: Transportation,12
Youth Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,,47,Youth Commission,47
