dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Office of Behavioral Health and Intellectual disAbility,1076779.0,13125510.0,0.0,0.0,0.0,0.0,0.0,14202289.0,2019,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Community Empowerment and Opportunity,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,2019,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Office of Education,2592084.0,22211818.0,45550.0,100000.0,0.0,0.0,0.0,24949452.0,2019,OCF,66,Office of Children and Families,66
Office of Homeless Services,8830135.0,43554815.0,344127.0,32421.0,0.0,0.0,0.0,52761498.0,2019,OHS,24,Office of Homeless Services,24
Office of Housing and Community Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,,06,Office of Housing and Community Development,06
Office of Human Resources,5035367.0,1239070.0,69432.0,0.0,0.0,0.0,0.0,6343869.0,2019,OHR,56,Office of Human Resources,56
Office of Innovation and Technology,19856817.0,39750610.0,5884500.0,0.0,0.0,0.0,0.0,65491927.0,2019,OIT,04,Office of Innovation and Technology,04
Office of Innovation and Technology-911,960906.0,26354703.0,8064399.0,0.0,0.0,0.0,0.0,35380008.0,2019,,04911,OIT: 911,04
Office of Planning and Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,,62,Mayor's Office of Planning and Development,62
Office of Property Assessment,11890699.0,1703126.0,622600.0,0.0,0.0,0.0,0.0,14216425.0,2019,OPA,59,Office of Property Assessment,59
Office of Sustainability,537979.0,393508.0,17840.0,0.0,0.0,0.0,0.0,949327.0,2019,Sustainability,49,Office of Sustainability,49
Office of the Chief Administrative Officer,4137615.0,2465049.0,16665.0,0.0,0.0,0.0,0.0,6619329.0,2019,CAO,65,Office of the Chief Administrative Officer,65
Office of the Inspector General,1533111.0,97975.0,5225.0,0.0,0.0,0.0,0.0,1636311.0,2019,OIG,48,Office of the Inspector General,48
Parks and Recreation,49347561.0,9516490.0,2750630.0,2897500.0,0.0,1550000.0,0.0,66062181.0,2019,Parks & Recreation,16,Department of Parks and Recreation,16
Planning and Development,4651095.0,3900596.0,91978.0,4168000.0,0.0,0.0,0.0,12811669.0,2019,Planning & Development,72,Department of Planning and Development,72
Police,688759185.0,7462807.0,13270952.0,0.0,0.0,0.0,0.0,709492944.0,2019,Police,11,Police Department,11
Prisons,145430918.0,98365387.0,4373744.0,1201757.0,0.0,0.0,0.0,249371806.0,2019,Prisons,23,Philadelphia Prison System,23
Procurement,2573121.0,2316267.0,49054.0,0.0,0.0,0.0,0.0,4938442.0,2019,Procurement,38,Procurement Department,38
Public Health,54853461.0,92882896.0,8397518.0,0.0,0.0,500000.0,0.0,156633875.0,2019,Public Health,14,Department of Public Health,14
Public Property,8659293.0,30107724.0,1435535.0,0.0,0.0,27678994.0,0.0,67881546.0,2019,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,84608000.0,0.0,0.0,0.0,0.0,0.0,84608000.0,2019,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,22457948.0,0.0,0.0,0.0,0.0,0.0,22457948.0,2019,,20SR,Public Property: Space Rentals,20
Public Property-Utilities,0.0,25008269.0,0.0,0.0,0.0,0.0,0.0,25008269.0,2019,,20U,Public Property: Utilities,20
Records,3084514.0,1538779.0,143758.0,1456.0,0.0,0.0,0.0,4768507.0,2019,Records,31,Department of Records,31
Register of Wills,4173645.0,200486.0,64750.0,0.0,0.0,0.0,0.0,4438881.0,2019,,68,Register of Wills,68
Revenue,22156816.0,7630749.0,919976.0,0.0,0.0,0.0,0.0,30707541.0,2019,Revenue,36,Department of Revenue,36
Sheriff,24570248.0,1105267.0,474907.0,0.0,0.0,0.0,0.0,26150422.0,2019,Sheriff,70,Office of the Sheriff,70
Sinking Fund Commission (Debt Service),0.0,125536378.0,0.0,0.0,169496126.0,0.0,0.0,295032504.0,2019,Sinking Fund,37,Sinking Fund Commission,37
Streets,84297081.0,9698129.0,8442104.0,53171.0,0.0,0.0,0.0,102490485.0,2019,Streets,12,Streets Department,12
Streets-Disposal,0.0,39490785.0,0.0,0.0,0.0,0.0,0.0,39490785.0,2019,,12D,Streets: Disposal,12
