dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
District Attorney,34686670.0,2594296.0,529521.0,0.0,0.0,0.0,0.0,37810487.0,2018,DAO,69,District Attorney's Office,69
Finance,7328177.0,3029912.0,103109.0,4400000.0,0.0,0.0,50893000.0,65754198.0,2018,Finance,35,Office of the Director of Finance,35
Finance-Community College Subsidy,0.0,0.0,0.0,30409207.0,0.0,0.0,0.0,30409207.0,2018,,35CC,Finance: Community College Subsidy,35
Finance-Employee Benefits,1307799345.0,0.0,0.0,0.0,0.0,0.0,0.0,1307799345.0,2018,,35EB,Finance: Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2018,,35HA,Finance: Hero Scholarship Awards,35
Finance-Indemnities,0.0,0.0,0.0,44920000.0,0.0,0.0,0.0,44920000.0,2018,,35IN,Finance: Indemnities,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2018,,35R,Finance: Refunds,35
Finance-School District Contribution,0.0,0.0,0.0,104348281.0,0.0,0.0,0.0,104348281.0,2018,,35SD,Finance: School District Contribution,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2018,,35WF,Finance: Witness Fees,35
Fire,225242832.0,5789667.0,8541535.0,0.0,0.0,7972000.0,0.0,247546034.0,2018,Fire,13,Fire Department,13
First Judicial District,99505601.0,9545039.0,2391868.0,0.0,0.0,0.0,0.0,111442508.0,2018,FJD,84,First Judicial District,84
Fleet Management,18009259.0,5104396.0,26463211.0,0.0,0.0,0.0,0.0,49576866.0,2018,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,4500000.0,9465000.0,0.0,0.0,0.0,0.0,13965000.0,2018,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,36310826.0,2324077.0,2302659.0,0.0,0.0,0.0,0.0,40937562.0,2018,Free Library,52,The Free Library of Philadelphia,52
Historical Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,,32,Historical Commission,32
Human Relations Commission,2141591.0,34657.0,28031.0,0.0,0.0,0.0,0.0,2204279.0,2018,Human Relations,54,Commission on Human Relations,54
Human Services,30720570.0,77424027.0,890933.0,0.0,0.0,0.0,0.0,109035530.0,2018,DHS,22,Department of Human Services,22
L&I-Board of Building Standards,75419.0,0.0,0.0,0.0,0.0,0.0,0.0,75419.0,2018,,29,L&I: Board of Building and Standards,29
L&I-Board of L&I Review,161349.0,10436.0,0.0,0.0,0.0,0.0,0.0,171785.0,2018,,27,L&I: Board of Review,27
L&I-Zoning Board of Adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,ZBA,30,Zoning Board of Adjustments,30
Labor,1588459.0,17277.0,11660.0,0.0,0.0,0.0,0.0,1617396.0,2018,,03,Labor,03
Law,8484481.0,7010034.0,248676.0,0.0,0.0,0.0,0.0,15743191.0,2018,Law,44,Law Department,44
Licenses & Inspection,23019730.0,11823061.0,912475.0,0.0,0.0,0.0,0.0,35755266.0,2018,L&I,26,Department of Licenses and Inspections,26
Managing Director,20231006.0,19287351.0,767479.0,0.0,0.0,0.0,0.0,40285836.0,2018,MDO,10,Managing Director's Office,10
Managing Director-Legal Services,0.0,48414381.0,0.0,0.0,0.0,0.0,0.0,48414381.0,2018,,10LS,MDO: Legal Services,10
Mayor's Office,3835550.0,743046.0,55545.0,0.0,0.0,0.0,0.0,4634141.0,2018,Mayor,05,Mayor's Office,05
Mayor's Office - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,200000.0,2018,,05S,Mayor's Office: Scholarships,05
Mural Arts Program,548987.0,1375615.0,0.0,0.0,0.0,0.0,0.0,1924602.0,2018,Mural Arts,50,Mural Arts Program,50
Office of Arts & Culture & the Creative Economy,319878.0,482400.0,7000.0,3370688.0,0.0,0.0,0.0,4179966.0,2018,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy",58
Office of Behavioral Health and Intellectual disAbility,1093064.0,13125510.0,0.0,0.0,0.0,0.0,0.0,14218574.0,2018,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Community Empowerment and Opportunity,230000.0,1445000.0,0.0,0.0,0.0,0.0,0.0,1675000.0,2018,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Office of Community Schools & Pre-K,2679927.0,39407000.0,364750.0,100000.0,0.0,0.0,0.0,42551677.0,2018,OCF,66,Office of Children and Families,66
Office of Homeless Services,8802194.0,39069215.0,344127.0,32421.0,0.0,0.0,0.0,48247957.0,2018,OHS,24,Office of Homeless Services,24
Office of Housing and Community Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,,06,Office of Housing and Community Development,06
Office of Human Resources,4983106.0,959070.0,69432.0,0.0,0.0,0.0,0.0,6011608.0,2018,OHR,56,Office of Human Resources,56
Office of Innovation and Technology,21019003.0,53127957.0,9590548.0,0.0,0.0,0.0,0.0,83737508.0,2018,OIT,04,Office of Innovation and Technology,04
Office of Property Assessment,11313100.0,1828126.0,782600.0,0.0,0.0,0.0,0.0,13923826.0,2018,OPA,59,Office of Property Assessment,59
Office of Sustainability,557790.0,393508.0,17840.0,0.0,0.0,0.0,0.0,969138.0,2018,Sustainability,49,Office of Sustainability,49
Office of Transportation & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,,46,Mayor's Office of Transportation and Utilities,46
Office of the Chief Administrative Officer,4084873.0,1652049.0,16665.0,0.0,0.0,0.0,0.0,5753587.0,2018,CAO,65,Office of the Chief Administrative Officer,65
Office of the Inspector General,1444811.0,197975.0,5225.0,0.0,0.0,0.0,0.0,1648011.0,2018,OIG,48,Office of the Inspector General,48
Parks and Recreation,46948421.0,9401490.0,2735630.0,2647500.0,0.0,0.0,0.0,61733041.0,2018,Parks & Recreation,16,Department of Parks and Recreation,16
Planning and Development,3899308.0,3345113.0,101461.0,850000.0,0.0,0.0,0.0,8195882.0,2018,Planning & Development,72,Department of Planning and Development,72
Police,631372338.0,7462807.0,13270952.0,0.0,0.0,0.0,0.0,652106097.0,2018,Police,11,Police Department,11
Prisons,147427858.0,105455001.0,4773744.0,1301757.0,0.0,0.0,0.0,258958360.0,2018,Prisons,23,Philadelphia Prison System,23
Procurement,2566732.0,2316267.0,49054.0,0.0,0.0,0.0,0.0,4932053.0,2018,Procurement,38,Procurement Department,38
Public Health,54454436.0,73897713.0,7509918.0,0.0,0.0,500000.0,0.0,136362067.0,2018,Public Health,14,Department of Public Health,14
Public Property,8547886.0,28008008.0,1338535.0,0.0,0.0,27554294.0,0.0,65448723.0,2018,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,82749000.0,0.0,0.0,0.0,0.0,0.0,82749000.0,2018,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,20950268.0,0.0,0.0,0.0,0.0,0.0,20950268.0,2018,,20SR,Public Property: Space Rentals,20
Public Property-Utilities,0.0,24655024.0,0.0,0.0,0.0,0.0,0.0,24655024.0,2018,,20U,Public Property: Utilities,20
Records,3194935.0,1538779.0,143758.0,1456.0,0.0,0.0,0.0,4878928.0,2018,Records,31,Department of Records,31
Register of Wills,3979046.0,75486.0,189750.0,0.0,0.0,0.0,0.0,4244282.0,2018,,68,Register of Wills,68
Revenue,22231193.0,7350349.0,910976.0,0.0,0.0,0.0,0.0,30492518.0,2018,Revenue,36,Department of Revenue,36
Sheriff,21522650.0,1105267.0,443907.0,0.0,0.0,0.0,0.0,23071824.0,2018,Sheriff,70,Office of the Sheriff,70
Sinking Fund Commission (Debt Service),0.0,138697144.0,0.0,0.0,157322070.0,0.0,0.0,296019214.0,2018,Sinking Fund,37,Sinking Fund Commission,37
Streets,78481768.0,49726261.0,9071224.0,53171.0,0.0,0.0,0.0,137332424.0,2018,Streets,12,Streets Department,12
Youth Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,,47,Youth Commission,47
