dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,abbreviation,dept_code
Office of Innovation and Technology,General,273,0,2017,Actual,YTD,2016-12-31,273,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,17,0,2017,Actual,YTD,2016-12-31,17,Office of the Inspector General,OIG,48
Office of Planning and Development,General,3,0,2017,Actual,YTD,2016-12-31,3,Mayor's Office of Planning and Development,,62
Office of Property Assessment,General,198,0,2017,Actual,YTD,2016-12-31,198,Office of Property Assessment,OPA,59
Office of Sustainability,General,8,0,2017,Actual,YTD,2016-12-31,8,Office of Sustainability,Sustainability,49
Parks and Recreation,General,594,0,2017,Actual,YTD,2016-12-31,594,Department of Parks and Recreation,Parks & Recreation,16
Prisons,General,2325,0,2017,Actual,YTD,2016-12-31,2325,Philadelphia Prison System,Prisons,23
Procurement,General,46,0,2017,Actual,YTD,2016-12-31,46,Procurement Department,Procurement,38
Public Health,General,675,0,2017,Actual,YTD,2016-12-31,675,Department of Public Health,Public Health,14
Public Property,General,149,0,2017,Actual,YTD,2016-12-31,149,Department of Public Property,Public Property,20
Records,General,53,0,2017,Actual,YTD,2016-12-31,53,Department of Records,Records,31
Register of Wills,General,71,0,2017,Actual,YTD,2016-12-31,71,Register of Wills,,68
Revenue,General,391,0,2017,Actual,YTD,2016-12-31,391,Department of Revenue,Revenue,36
Sheriff,General,345,0,2017,Actual,YTD,2016-12-31,345,Office of the Sheriff,Sheriff,70
Streets Sanitation,General,1174,0,2017,Actual,YTD,2016-12-31,1174,Streets: Sanitation,,12S
Streets - Transportation,General,518,0,2017,Actual,YTD,2016-12-31,518,Streets: Transportation,,12T
Water,General,0,0,2017,Actual,YTD,2016-12-31,0,Water Department,Water,28
Youth Commission,General,0,0,2017,Actual,YTD,2016-12-31,0,Youth Commission,,47
Atwater Kent Museum,Other,0,0,2017,Actual,YTD,2016-12-31,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2017,Actual,YTD,2016-12-31,0,City Controller's Office,,61
Board of Ethics,Other,0,0,2017,Actual,YTD,2016-12-31,0,Board of Ethics,,45
Board of Pensions,Other,58,0,2017,Actual,YTD,2016-12-31,58,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2017,Actual,YTD,2016-12-31,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2017,Actual,YTD,2016-12-31,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2017,Actual,YTD,2016-12-31,0,City Council,,01
City Planning Commission,Other,5,0,2017,Actual,YTD,2016-12-31,5,City Planning Commission,,51
City Representative,Other,1,0,2017,Actual,YTD,2016-12-31,1,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2017,Actual,YTD,2016-12-31,0,Civil Service Commission,,55
Commerce,Other,771,0,2017,Actual,YTD,2016-12-31,771,Office of the Director of Commerce,Commerce,42
Finance,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of the Director of Finance,Finance,35
First Judicial District,Other,499,0,2017,Actual,YTD,2016-12-31,499,First Judicial District,FJD,84
Fleet Management,Other,75,0,2017,Actual,YTD,2016-12-31,75,Office of Fleet Management,Fleet,25
Free Library,Other,13,0,2017,Actual,YTD,2016-12-31,13,The Free Library of Philadelphia,Free Library,52
Historical Commission,Other,0,0,2017,Actual,YTD,2016-12-31,0,Historical Commission,,32
Human Relations Commission,Other,0,0,2017,Actual,YTD,2016-12-31,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,1157,0,2017,Actual,YTD,2016-12-31,1157,Department of Human Services,DHS,22
"Labor, Mayor's Office of",Other,0,0,2017,Actual,YTD,2016-12-31,0,Labor,,03
Law,Other,45,0,2017,Actual,YTD,2016-12-31,45,Law Department,Law,44
Licenses & Inspections,Other,8,0,2017,Actual,YTD,2016-12-31,8,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Other,0,0,2017,Actual,YTD,2016-12-31,0,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Other,0,0,2017,Actual,YTD,2016-12-31,0,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,Other,0,0,2017,Actual,YTD,2016-12-31,0,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,Other,32,0,2017,Actual,YTD,2016-12-31,32,Managing Director's Office,MDO,10
Mayor's Office,Other,3,0,2017,Actual,YTD,2016-12-31,3,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,Other,38,0,2017,Actual,YTD,2016-12-31,38,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,Other,0,0,2017,Actual,YTD,2016-12-31,0,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Other,0,0,2017,Actual,YTD,2016-12-31,0,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Other,0,0,2017,Actual,YTD,2016-12-31,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,Other,237,0,2017,Actual,YTD,2016-12-31,237,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of the Chief Administrative Officer,CAO,65
Office of Community Schools and Pre-K,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of Children and Families,OCF,66
Office of Homeless Services,Other,12,0,2017,Actual,YTD,2016-12-31,12,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,Other,49,0,2017,Actual,YTD,2016-12-31,49,Office of Housing and Community Development,,06
Office of Human Resources,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of Human Resources,OHR,56
Office of Innovation and Technology,Other,86,0,2017,Actual,YTD,2016-12-31,86,Office of Innovation and Technology,OIT,04
Office of the Inspector General,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of the Inspector General,OIG,48
Office of Planning and Development,Other,0,0,2017,Actual,YTD,2016-12-31,0,Mayor's Office of Planning and Development,,62
Office of Property Assessment,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of Property Assessment,OPA,59
Office of Sustainability,Other,1,0,2017,Actual,YTD,2016-12-31,1,Office of Sustainability,Sustainability,49
Parks and Recreation,Other,22,0,2017,Actual,YTD,2016-12-31,22,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Other,0,0,2017,Actual,YTD,2016-12-31,0,Philadelphia Prison System,Prisons,23
Procurement,Other,2,0,2017,Actual,YTD,2016-12-31,2,Procurement Department,Procurement,38
Public Health,Other,161,0,2017,Actual,YTD,2016-12-31,161,Department of Public Health,Public Health,14
Public Property,Other,0,0,2017,Actual,YTD,2016-12-31,0,Department of Public Property,Public Property,20
Records,Other,0,0,2017,Actual,YTD,2016-12-31,0,Department of Records,Records,31
Register of Wills,Other,0,0,2017,Actual,YTD,2016-12-31,0,Register of Wills,,68
Revenue,Other,237,0,2017,Actual,YTD,2016-12-31,237,Department of Revenue,Revenue,36
Sheriff,Other,0,0,2017,Actual,YTD,2016-12-31,0,Office of the Sheriff,Sheriff,70
Streets Sanitation,Other,0,0,2017,Actual,YTD,2016-12-31,0,Streets: Sanitation,,12S
Streets - Transportation,Other,1,0,2017,Actual,YTD,2016-12-31,1,Streets: Transportation,,12T
Water,Other,1817,0,2017,Actual,YTD,2016-12-31,1817,Water Department,Water,28
Youth Commission,Other,0,0,2017,Actual,YTD,2016-12-31,0,Youth Commission,,47
Atwater Kent Museum,Total,4,0,2017,Actual,YTD,2016-12-31,4,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Total,131,0,2017,Actual,YTD,2016-12-31,131,City Controller's Office,,61
Board of Ethics,Total,11,0,2017,Actual,YTD,2016-12-31,11,Board of Ethics,,45
Board of Pensions,Total,58,0,2017,Actual,YTD,2016-12-31,58,Board of Pensions,Pensions,53
Board of Revision of Taxes,Total,14,0,2017,Actual,YTD,2016-12-31,14,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Total,98,0,2017,Actual,YTD,2016-12-31,98,City Commissioner's Office,City Commissioners,73
City Council,Total,192,0,2017,Actual,YTD,2016-12-31,192,City Council,,01
City Planning Commission,Total,34,0,2017,Actual,YTD,2016-12-31,34,City Planning Commission,,51
City Representative,Total,7,0,2017,Actual,YTD,2016-12-31,7,Office of the City Representative,City Rep,41
City Treasurer,Total,14,0,2017,Actual,YTD,2016-12-31,14,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Total,2,0,2017,Actual,YTD,2016-12-31,2,Civil Service Commission,,55
Commerce,Total,800,0,2017,Actual,YTD,2016-12-31,800,Office of the Director of Commerce,Commerce,42
Finance,Total,110,0,2017,Actual,YTD,2016-12-31,110,Office of the Director of Finance,Finance,35
First Judicial District,Total,2361,0,2017,Actual,YTD,2016-12-31,2361,First Judicial District,FJD,84
Fleet Management,Total,343,0,2017,Actual,YTD,2016-12-31,343,Office of Fleet Management,Fleet,25
Free Library,Total,651,0,2017,Actual,YTD,2016-12-31,651,The Free Library of Philadelphia,Free Library,52
Historical Commission,Total,6,0,2017,Actual,YTD,2016-12-31,6,Historical Commission,,32
Human Relations Commission,Total,32,0,2017,Actual,YTD,2016-12-31,32,Commission on Human Relations,Human Relations,54
Human Services (1),Total,1542,0,2017,Actual,YTD,2016-12-31,1542,Department of Human Services,DHS,22
"Labor, Mayor's Office of",Total,13,0,2017,Actual,YTD,2016-12-31,13,Labor,,03
Law,Total,169,0,2017,Actual,YTD,2016-12-31,169,Law Department,Law,44
Licenses & Inspections,Total,340,0,2017,Actual,YTD,2016-12-31,340,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Total,1,0,2017,Actual,YTD,2016-12-31,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Total,2,0,2017,Actual,YTD,2016-12-31,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,Total,5,0,2017,Actual,YTD,2016-12-31,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,Total,326,0,2017,Actual,YTD,2016-12-31,326,Managing Director's Office,MDO,10
Mayor's Office,Total,46,0,2017,Actual,YTD,2016-12-31,46,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,Total,38,0,2017,Actual,YTD,2016-12-31,38,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,Total,0,0,2017,Actual,YTD,2016-12-31,0,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Total,11,0,2017,Actual,YTD,2016-12-31,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Total,4,0,2017,Actual,YTD,2016-12-31,4,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,Total,253,0,2017,Actual,YTD,2016-12-31,253,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,Total,58,0,2017,Actual,YTD,2016-12-31,58,Office of the Chief Administrative Officer,CAO,65
Office of Community Schools and Pre-K,Total,32,0,2017,Actual,YTD,2016-12-31,32,Office of Children and Families,OCF,66
Office of Homeless Services,Total,162,0,2017,Actual,YTD,2016-12-31,162,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,Total,49,0,2017,Actual,YTD,2016-12-31,49,Office of Housing and Community Development,,06
Office of Human Resources,Total,85,0,2017,Actual,YTD,2016-12-31,85,Office of Human Resources,OHR,56
Office of Innovation and Technology,Total,359,0,2017,Actual,YTD,2016-12-31,359,Office of Innovation and Technology,OIT,04
Office of the Inspector General,Total,17,0,2017,Actual,YTD,2016-12-31,17,Office of the Inspector General,OIG,48
Office of Planning and Development,Total,3,0,2017,Actual,YTD,2016-12-31,3,Mayor's Office of Planning and Development,,62
Office of Property Assessment,Total,198,0,2017,Actual,YTD,2016-12-31,198,Office of Property Assessment,OPA,59
Office of Sustainability,Total,9,0,2017,Actual,YTD,2016-12-31,9,Office of Sustainability,Sustainability,49
Parks and Recreation,Total,616,0,2017,Actual,YTD,2016-12-31,616,Department of Parks and Recreation,Parks & Recreation,16
Prisons,Total,2325,0,2017,Actual,YTD,2016-12-31,2325,Philadelphia Prison System,Prisons,23
Procurement,Total,48,0,2017,Actual,YTD,2016-12-31,48,Procurement Department,Procurement,38
Public Health,Total,836,0,2017,Actual,YTD,2016-12-31,836,Department of Public Health,Public Health,14
Public Property,Total,149,0,2017,Actual,YTD,2016-12-31,149,Department of Public Property,Public Property,20
Records,Total,53,0,2017,Actual,YTD,2016-12-31,53,Department of Records,Records,31
Register of Wills,Total,71,0,2017,Actual,YTD,2016-12-31,71,Register of Wills,,68
Revenue,Total,628,0,2017,Actual,YTD,2016-12-31,628,Department of Revenue,Revenue,36
Sheriff,Total,345,0,2017,Actual,YTD,2016-12-31,345,Office of the Sheriff,Sheriff,70
Streets Sanitation,Total,1174,0,2017,Actual,YTD,2016-12-31,1174,Streets: Sanitation,,12S
Streets - Transportation,Total,519,0,2017,Actual,YTD,2016-12-31,519,Streets: Transportation,,12T
Water,Total,1817,0,2017,Actual,YTD,2016-12-31,1817,Water Department,Water,28
Youth Commission,Total,0,0,2017,Actual,YTD,2016-12-31,0,Youth Commission,,47
Police,General,825,6108,2017,Actual,YTD,2016-12-31,6933,Police Department,Police,11
Police,Other,10,153,2017,Actual,YTD,2016-12-31,163,Police Department,Police,11
Police,Total,835,6261,2017,Actual,YTD,2016-12-31,7096,Police Department,Police,11
Fire,General,112,2177,2017,Actual,YTD,2016-12-31,2289,Fire Department,Fire,13
Fire,Other,10,221,2017,Actual,YTD,2016-12-31,231,Fire Department,Fire,13
Fire,Total,122,2398,2017,Actual,YTD,2016-12-31,2520,Fire Department,Fire,13
District Attorney,General,460,33,2017,Actual,YTD,2016-12-31,493,District Attorney's Office,DAO,69
District Attorney,Other,57,17,2017,Actual,YTD,2016-12-31,74,District Attorney's Office,DAO,69
District Attorney,Total,517,50,2017,Actual,YTD,2016-12-31,567,District Attorney's Office,DAO,69
Atwater Kent Museum,General,3,0,2016,Actual,Full Year,2016-06-30,3,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),General,137,0,2016,Actual,Full Year,2016-06-30,137,City Controller's Office,,61
Board of Ethics,General,10,0,2016,Actual,Full Year,2016-06-30,10,Board of Ethics,,45
Board of Pensions,General,0,0,2016,Actual,Full Year,2016-06-30,0,Board of Pensions,Pensions,53
Board of Revision of Taxes,General,14,0,2016,Actual,Full Year,2016-06-30,14,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),General,92,0,2016,Actual,Full Year,2016-06-30,92,City Commissioner's Office,City Commissioners,73
City Council,General,187,0,2016,Actual,Full Year,2016-06-30,187,City Council,,01
City Planning Commission,General,31,0,2016,Actual,Full Year,2016-06-30,31,City Planning Commission,,51
City Representative,General,7,0,2016,Actual,Full Year,2016-06-30,7,Office of the City Representative,City Rep,41
City Treasurer,General,15,0,2016,Actual,Full Year,2016-06-30,15,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,General,2,0,2016,Actual,Full Year,2016-06-30,2,Civil Service Commission,,55
Commerce,General,34,0,2016,Actual,Full Year,2016-06-30,34,Office of the Director of Commerce,Commerce,42
Finance,General,165,0,2016,Actual,Full Year,2016-06-30,165,Office of the Director of Finance,Finance,35
First Judicial District,General,1839,0,2016,Actual,Full Year,2016-06-30,1839,First Judicial District,FJD,84
Fleet Management,General,263,0,2016,Actual,Full Year,2016-06-30,263,Office of Fleet Management,Fleet,25
Free Library,General,636,0,2016,Actual,Full Year,2016-06-30,636,The Free Library of Philadelphia,Free Library,52
Historical Commission,General,5,0,2016,Actual,Full Year,2016-06-30,5,Historical Commission,,32
Human Relations Commission,General,32,0,2016,Actual,Full Year,2016-06-30,32,Commission on Human Relations,Human Relations,54
Human Services (1),General,449,0,2016,Actual,Full Year,2016-06-30,449,Department of Human Services,DHS,22
"Labor, Mayor's Office of",General,7,0,2016,Actual,Full Year,2016-06-30,7,Labor,,03
Law,General,126,0,2016,Actual,Full Year,2016-06-30,126,Law Department,Law,44
Licenses & Inspections,General,335,0,2016,Actual,Full Year,2016-06-30,335,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,General,1,0,2016,Actual,Full Year,2016-06-30,1,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,General,2,0,2016,Actual,Full Year,2016-06-30,2,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,General,5,0,2016,Actual,Full Year,2016-06-30,5,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,General,258,0,2016,Actual,Full Year,2016-06-30,258,Managing Director's Office,MDO,10
Mayor's Office,General,48,0,2016,Actual,Full Year,2016-06-30,48,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,General,0,0,2016,Actual,Full Year,2016-06-30,0,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,General,8,0,2016,Actual,Full Year,2016-06-30,8,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,General,11,0,2016,Actual,Full Year,2016-06-30,11,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,General,2,0,2016,Actual,Full Year,2016-06-30,2,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,General,16,0,2016,Actual,Full Year,2016-06-30,16,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,General,0,0,2016,Actual,Full Year,2016-06-30,0,Office of the Chief Administrative Officer,CAO,65
Office of Community Schools and Pre-K,General,0,0,2016,Actual,Full Year,2016-06-30,0,Office of Children and Families,OCF,66
Office of Homeless Services,General,146,0,2016,Actual,Full Year,2016-06-30,146,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,General,0,0,2016,Actual,Full Year,2016-06-30,0,Office of Housing and Community Development,,06
Office of Human Resources,General,84,0,2016,Actual,Full Year,2016-06-30,84,Office of Human Resources,OHR,56
Office of Innovation and Technology,General,271,0,2016,Actual,Full Year,2016-06-30,271,Office of Innovation and Technology,OIT,04
Office of the Inspector General,General,19,0,2016,Actual,Full Year,2016-06-30,19,Office of the Inspector General,OIG,48
Office of Planning and Development,General,0,0,2016,Actual,Full Year,2016-06-30,0,Mayor's Office of Planning and Development,,62
Office of Property Assessment,General,200,0,2016,Actual,Full Year,2016-06-30,200,Office of Property Assessment,OPA,59
Office of Sustainability,General,8,0,2016,Actual,Full Year,2016-06-30,8,Office of Sustainability,Sustainability,49
Parks and Recreation,General,593,0,2016,Actual,Full Year,2016-06-30,593,Department of Parks and Recreation,Parks & Recreation,16
Prisons,General,2289,0,2016,Actual,Full Year,2016-06-30,2289,Philadelphia Prison System,Prisons,23
Procurement,General,42,0,2016,Actual,Full Year,2016-06-30,42,Procurement Department,Procurement,38
Public Health,General,653,0,2016,Actual,Full Year,2016-06-30,653,Department of Public Health,Public Health,14
Public Property,General,135,0,2016,Actual,Full Year,2016-06-30,135,Department of Public Property,Public Property,20
Records,General,57,0,2016,Actual,Full Year,2016-06-30,57,Department of Records,Records,31
Register of Wills,General,69,0,2016,Actual,Full Year,2016-06-30,69,Register of Wills,,68
Revenue,General,378,0,2016,Actual,Full Year,2016-06-30,378,Department of Revenue,Revenue,36
Sheriff,General,330,0,2016,Actual,Full Year,2016-06-30,330,Office of the Sheriff,Sheriff,70
Streets Sanitation,General,1145,0,2016,Actual,Full Year,2016-06-30,1145,Streets: Sanitation,,12S
Streets - Transportation,General,531,0,2016,Actual,Full Year,2016-06-30,531,Streets: Transportation,,12T
Water,General,0,0,2016,Actual,Full Year,2016-06-30,0,Water Department,Water,28
Youth Commission,General,1,0,2016,Actual,Full Year,2016-06-30,1,Youth Commission,,47
Atwater Kent Museum,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Atwater Kent Museum,Atwater Kent,18
Auditing (City Controller's Office),Other,0,0,2016,Actual,Full Year,2016-06-30,0,City Controller's Office,,61
Board of Ethics,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Board of Ethics,,45
Board of Pensions,Other,42,0,2016,Actual,Full Year,2016-06-30,42,Board of Pensions,Pensions,53
Board of Revision of Taxes,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),Other,0,0,2016,Actual,Full Year,2016-06-30,0,City Commissioner's Office,City Commissioners,73
City Council,Other,0,0,2016,Actual,Full Year,2016-06-30,0,City Council,,01
City Planning Commission,Other,5,0,2016,Actual,Full Year,2016-06-30,5,City Planning Commission,,51
City Representative,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Office of the City Representative,City Rep,41
City Treasurer,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Civil Service Commission,,55
Commerce,Other,768,0,2016,Actual,Full Year,2016-06-30,768,Office of the Director of Commerce,Commerce,42
Finance,Other,8,0,2016,Actual,Full Year,2016-06-30,8,Office of the Director of Finance,Finance,35
First Judicial District,Other,494,0,2016,Actual,Full Year,2016-06-30,494,First Judicial District,FJD,84
Fleet Management,Other,65,0,2016,Actual,Full Year,2016-06-30,65,Office of Fleet Management,Fleet,25
Free Library,Other,15,0,2016,Actual,Full Year,2016-06-30,15,The Free Library of Philadelphia,Free Library,52
Historical Commission,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Historical Commission,,32
Human Relations Commission,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Commission on Human Relations,Human Relations,54
Human Services (1),Other,986,0,2016,Actual,Full Year,2016-06-30,986,Department of Human Services,DHS,22
"Labor, Mayor's Office of",Other,0,0,2016,Actual,Full Year,2016-06-30,0,Labor,,03
Law,Other,112,0,2016,Actual,Full Year,2016-06-30,112,Law Department,Law,44
Licenses & Inspections,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,Other,0,0,2016,Actual,Full Year,2016-06-30,0,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,Other,0,0,2016,Actual,Full Year,2016-06-30,0,L&I: Board of Review,,27
L&I-Zoning Board of Adjustment,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Zoning Board of Adjustments,ZBA,30
Managing Director's Office,Other,48,0,2016,Actual,Full Year,2016-06-30,48,Managing Director's Office,MDO,10
Mayor's Office,Other,3,0,2016,Actual,Full Year,2016-06-30,3,Mayor's Office,Mayor,05
Mayor's Off. of Comm Empowerment/Oppor.,Other,34,0,2016,Actual,Full Year,2016-06-30,34,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mayor's Office of Transportation & Utilities,Other,4,0,2016,Actual,Full Year,2016-06-30,4,Mayor's Office of Transportation and Utilities,,46
Mural Arts Program,Other,1,0,2016,Actual,Full Year,2016-06-30,1,Mural Arts Program,Mural Arts,50
Office of Arts and Culture,Other,0,0,2016,Actual,Full Year,2016-06-30,0,"Office of Arts, Culture, and the Creative Economy",Arts & Culture,58
Office of Behavioral Hith/Intel. disAbility,Other,219,0,2016,Actual,Full Year,2016-06-30,219,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Office of the Chief Administrative Officer,CAO,65
Office of Community Schools and Pre-K,Other,0,0,2016,Actual,Full Year,2016-06-30,0,Office of Children and Families,OCF,66
Office of Homeless Services,Other,12,0,2016,Actual,Full Year,2016-06-30,12,Office of Homeless Services,OHS,24
Office of Housing & Comm. Development,Other,48,0,2016,Actual,Full Year,2016-06-30,48,Office of Housing and Community Development,,06
