dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,abbreviation,dept_code,dept_name
"Water,Sewer & Stormwater Rate Board",Total,1,0,2022,Actual,YTD,2021-12-31,1,,67,"Water, Sewer, and Stormwater Rate Board"
Police,General,826,5929,2022,Actual,YTD,2021-12-31,6755,Police,11,Police Department
Police,Other,11,134,2022,Actual,YTD,2021-12-31,145,Police,11,Police Department
Police,Total,837,6063,2022,Actual,YTD,2021-12-31,6900,Police,11,Police Department
Fire,General,109,2600,2022,Actual,YTD,2021-12-31,2709,Fire,13,Fire Department
Fire,Other,1,76,2022,Actual,YTD,2021-12-31,77,Fire,13,Fire Department
Fire,Total,110,2676,2022,Actual,YTD,2021-12-31,2786,Fire,13,Fire Department
District Attorney,General,496,35,2022,Actual,YTD,2021-12-31,531,DAO,69,District Attorney's Office
District Attorney,Other,91,7,2022,Actual,YTD,2021-12-31,98,DAO,69,District Attorney's Office
District Attorney,Total,587,42,2022,Actual,YTD,2021-12-31,629,DAO,69,District Attorney's Office
Auditing (City Controller's Office),General,118,0,2021,Actual,Full Year,2021-06-30,118,,61,City Controller's Office
Board of Ethics,General,9,0,2021,Actual,Full Year,2021-06-30,9,,45,Board of Ethics
Board of Pensions,General,0,0,2021,Actual,Full Year,2021-06-30,0,Pensions,53,Board of Pensions
Board of Revision of Taxes,General,15,0,2021,Actual,Full Year,2021-06-30,15,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),General,137,0,2021,Actual,Full Year,2021-06-30,137,City Commissioners,73,City Commissioner's Office
City Council,General,182,0,2021,Actual,Full Year,2021-06-30,182,,01,City Council
City Representative,General,0,0,2021,Actual,Full Year,2021-06-30,0,City Rep,41,Office of the City Representative
City Treasurer,General,16,0,2021,Actual,Full Year,2021-06-30,16,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,General,1,0,2021,Actual,Full Year,2021-06-30,1,,55,Civil Service Commission
Commerce,General,37,0,2021,Actual,Full Year,2021-06-30,37,Commerce,42,Office of the Director of Commerce
Finance,General,119,0,2021,Actual,Full Year,2021-06-30,119,Finance,35,Office of the Director of Finance
First Judicial District,General,1773,0,2021,Actual,Full Year,2021-06-30,1773,FJD,84,First Judicial District
Fleet Services,General,268,0,2021,Actual,Full Year,2021-06-30,268,Fleet,25,Office of Fleet Management
Free Library,General,634,0,2021,Actual,Full Year,2021-06-30,634,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,General,32,0,2021,Actual,Full Year,2021-06-30,32,Human Relations,54,Commission on Human Relations
Human Services (1),General,492,0,2021,Actual,Full Year,2021-06-30,492,DHS,22,Department of Human Services
Labor,General,26,0,2021,Actual,Full Year,2021-06-30,26,,03,Labor
Law,General,127,0,2021,Actual,Full Year,2021-06-30,127,Law,44,Law Department
Licenses & Inspections,General,372,0,2021,Actual,Full Year,2021-06-30,372,L&I,26,Department of Licenses and Inspections
L&I-Board of Building Standards,General,1,0,2021,Actual,Full Year,2021-06-30,1,,29,L&I: Board of Building and Standards
L&I-Board of L & I Review,General,1,0,2021,Actual,Full Year,2021-06-30,1,,27,L&I: Board of Review
Managing Director's Office,General,290,0,2021,Actual,Full Year,2021-06-30,290,MDO,10,Managing Director's Office
Mayor's Office,General,61,0,2021,Actual,Full Year,2021-06-30,61,Mayor,05,Mayor's Office
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,Full Year,2021-06-30,0,CEO,08,Mayor's Office of Community Empowerment and Opportunity
Mural Arts Program,General,8,0,2021,Actual,Full Year,2021-06-30,8,Mural Arts,50,Mural Arts Program
Office of Arts and Culture,General,0,0,2021,Actual,Full Year,2021-06-30,0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy"
Office of Behavioral Hlth & Intellectual disAbility,General,23,0,2021,Actual,Full Year,2021-06-30,23,DBH/IDS,15,Behavioral Health and Intellectual Disability Services
Office of the Chief Administrative Officer,General,59,0,2021,Actual,Full Year,2021-06-30,59,CAO,65,Office of the Chief Administrative Officer
Office of Children and Families,General,3,0,2021,Actual,Full Year,2021-06-30,3,OCF,66,Office of Children and Families
Office of Homeless Services,General,127,0,2021,Actual,Full Year,2021-06-30,127,OHS,24,Office of Homeless Services
Office of Human Resources,General,75,0,2021,Actual,Full Year,2021-06-30,75,OHR,56,Office of Human Resources
Office of Innovation and Technology,General,313,0,2021,Actual,Full Year,2021-06-30,313,OIT,04,Office of Innovation and Technology
Office of the Inspector General,General,18,0,2021,Actual,Full Year,2021-06-30,18,OIG,48,Office of the Inspector General
Office of Property Assessment,General,190,0,2021,Actual,Full Year,2021-06-30,190,OPA,59,Office of Property Assessment
Office of Sustainability,General,8,0,2021,Actual,Full Year,2021-06-30,8,Sustainability,49,Office of Sustainability
Parks and Recreation,General,644,0,2021,Actual,Full Year,2021-06-30,644,Parks & Recreation,16,Department of Parks and Recreation
Planning & Development,General,55,0,2021,Actual,Full Year,2021-06-30,55,Planning & Development,72,Department of Planning and Development
Prisons,General,1620,0,2021,Actual,Full Year,2021-06-30,1620,Prisons,23,Philadelphia Prison System
Procurement,General,35,0,2021,Actual,Full Year,2021-06-30,35,Procurement,38,Procurement Department
Public Health,General,716,0,2021,Actual,Full Year,2021-06-30,716,Public Health,14,Department of Public Health
Public Property,General,142,0,2021,Actual,Full Year,2021-06-30,142,Public Property,20,Department of Public Property
Records,General,51,0,2021,Actual,Full Year,2021-06-30,51,Records,31,Department of Records
Register of Wills,General,70,0,2021,Actual,Full Year,2021-06-30,70,,68,Register of Wills
Revenue,General,386,0,2021,Actual,Full Year,2021-06-30,386,Revenue,36,Department of Revenue
Sheriff,General,367,0,2021,Actual,Full Year,2021-06-30,367,Sheriff,70,Office of the Sheriff
Streets,General,1941,0,2021,Actual,Full Year,2021-06-30,1941,Streets,12,Streets Department
Water,General,0,0,2021,Actual,Full Year,2021-06-30,0,Water,28,Water Department
"Water,Sewer & Stormwater Rate Board",General,0,0,2021,Actual,Full Year,2021-06-30,0,,67,"Water, Sewer, and Stormwater Rate Board"
Auditing (City Controller's Office),Other,0,0,2021,Actual,Full Year,2021-06-30,0,,61,City Controller's Office
Board of Ethics,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,45,Board of Ethics
Board of Pensions,Other,55,0,2021,Actual,Full Year,2021-06-30,55,Pensions,53,Board of Pensions
Board of Revision of Taxes,Other,0,0,2021,Actual,Full Year,2021-06-30,0,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Commissioners,73,City Commissioner's Office
City Council,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,01,City Council
City Representative,Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Rep,41,Office of the City Representative
City Treasurer,Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,55,Civil Service Commission
Commerce,Other,730,0,2021,Actual,Full Year,2021-06-30,730,Commerce,42,Office of the Director of Commerce
Finance,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Finance,35,Office of the Director of Finance
First Judicial District,Other,452,0,2021,Actual,Full Year,2021-06-30,452,FJD,84,First Judicial District
Fleet Services,Other,67,0,2021,Actual,Full Year,2021-06-30,67,Fleet,25,Office of Fleet Management
Free Library,Other,11,0,2021,Actual,Full Year,2021-06-30,11,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Human Relations,54,Commission on Human Relations
Human Services (1),Other,972,0,2021,Actual,Full Year,2021-06-30,972,DHS,22,Department of Human Services
Labor,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,03,Labor
Law,Other,48,0,2021,Actual,Full Year,2021-06-30,48,Law,44,Law Department
Licenses & Inspections,Other,8,0,2021,Actual,Full Year,2021-06-30,8,L&I,26,Department of Licenses and Inspections
L&I-Board of Building Standards,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,29,L&I: Board of Building and Standards
L&I-Board of L & I Review,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,27,L&I: Board of Review
Managing Director's Office,Other,125,0,2021,Actual,Full Year,2021-06-30,125,MDO,10,Managing Director's Office
Mayor's Office,Other,3,0,2021,Actual,Full Year,2021-06-30,3,Mayor,05,Mayor's Office
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2021,Actual,Full Year,2021-06-30,29,CEO,08,Mayor's Office of Community Empowerment and Opportunity
Mural Arts Program,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Mural Arts,50,Mural Arts Program
Office of Arts and Culture,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Arts & Culture,58,"Office of Arts, Culture, and the Creative Economy"
Office of Behavioral Hlth & Intellectual disAbility,Other,230,0,2021,Actual,Full Year,2021-06-30,230,DBH/IDS,15,Behavioral Health and Intellectual Disability Services
Office of the Chief Administrative Officer,Other,0,0,2021,Actual,Full Year,2021-06-30,0,CAO,65,Office of the Chief Administrative Officer
Office of Children and Families,Other,0,0,2021,Actual,Full Year,2021-06-30,0,OCF,66,Office of Children and Families
Office of Homeless Services,Other,43,0,2021,Actual,Full Year,2021-06-30,43,OHS,24,Office of Homeless Services
Office of Human Resources,Other,0,0,2021,Actual,Full Year,2021-06-30,0,OHR,56,Office of Human Resources
Office of Innovation and Technology,Other,102,0,2021,Actual,Full Year,2021-06-30,102,OIT,04,Office of Innovation and Technology
Office of the Inspector General,Other,0,0,2021,Actual,Full Year,2021-06-30,0,OIG,48,Office of the Inspector General
Office of Property Assessment,Other,0,0,2021,Actual,Full Year,2021-06-30,0,OPA,59,Office of Property Assessment
Office of Sustainability,Other,2,0,2021,Actual,Full Year,2021-06-30,2,Sustainability,49,Office of Sustainability
Parks and Recreation,Other,26,0,2021,Actual,Full Year,2021-06-30,26,Parks & Recreation,16,Department of Parks and Recreation
Planning & Development,Other,51,0,2021,Actual,Full Year,2021-06-30,51,Planning & Development,72,Department of Planning and Development
Prisons,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Prisons,23,Philadelphia Prison System
Procurement,Other,2,0,2021,Actual,Full Year,2021-06-30,2,Procurement,38,Procurement Department
Public Health,Other,182,0,2021,Actual,Full Year,2021-06-30,182,Public Health,14,Department of Public Health
Public Property,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Public Property,20,Department of Public Property
Records,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Records,31,Department of Records
Register of Wills,Other,0,0,2021,Actual,Full Year,2021-06-30,0,,68,Register of Wills
Revenue,Other,193,0,2021,Actual,Full Year,2021-06-30,193,Revenue,36,Department of Revenue
Sheriff,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Sheriff,70,Office of the Sheriff
Streets,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Streets,12,Streets Department
Water,Other,1922,0,2021,Actual,Full Year,2021-06-30,1922,Water,28,Water Department
"Water,Sewer & Stormwater Rate Board",Other,1,0,2021,Actual,Full Year,2021-06-30,1,,67,"Water, Sewer, and Stormwater Rate Board"
Auditing (City Controller's Office),Total,118,0,2021,Actual,Full Year,2021-06-30,118,,61,City Controller's Office
Board of Ethics,Total,9,0,2021,Actual,Full Year,2021-06-30,9,,45,Board of Ethics
Board of Pensions,Total,55,0,2021,Actual,Full Year,2021-06-30,55,Pensions,53,Board of Pensions
Board of Revision of Taxes,Total,15,0,2021,Actual,Full Year,2021-06-30,15,BRT,63,Board of Revision of Taxes
City Commissioners (Election Board),Total,137,0,2021,Actual,Full Year,2021-06-30,137,City Commissioners,73,City Commissioner's Office
City Council,Total,182,0,2021,Actual,Full Year,2021-06-30,182,,01,City Council
City Representative,Total,0,0,2021,Actual,Full Year,2021-06-30,0,City Rep,41,Office of the City Representative
City Treasurer,Total,16,0,2021,Actual,Full Year,2021-06-30,16,City Treasurer,40,Office of the City Treasurer
Civil Service Commission,Total,1,0,2021,Actual,Full Year,2021-06-30,1,,55,Civil Service Commission
Commerce,Total,767,0,2021,Actual,Full Year,2021-06-30,767,Commerce,42,Office of the Director of Commerce
Finance,Total,119,0,2021,Actual,Full Year,2021-06-30,119,Finance,35,Office of the Director of Finance
First Judicial District,Total,2225,0,2021,Actual,Full Year,2021-06-30,2225,FJD,84,First Judicial District
Fleet Services,Total,335,0,2021,Actual,Full Year,2021-06-30,335,Fleet,25,Office of Fleet Management
Free Library,Total,645,0,2021,Actual,Full Year,2021-06-30,645,Free Library,52,The Free Library of Philadelphia
Human Relations Commission,Total,32,0,2021,Actual,Full Year,2021-06-30,32,Human Relations,54,Commission on Human Relations
Human Services (1),Total,1464,0,2021,Actual,Full Year,2021-06-30,1464,DHS,22,Department of Human Services
Labor,Total,26,0,2021,Actual,Full Year,2021-06-30,26,,03,Labor
Law,Total,175,0,2021,Actual,Full Year,2021-06-30,175,Law,44,Law Department
