full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_code,dept_name,abbreviation
16,997835,0,2022,Adopted Budget,Full Year,Board of Revision of Taxes,2021-12-31,63,Board of Revision of Taxes,BRT
16,997835,3000,2022,Target Budget,Full Year,Board of Revision of Taxes,2021-12-31,63,Board of Revision of Taxes,BRT
16,1019348,3000,2022,Current Projection,Full Year,Board of Revision of Taxes,2021-12-31,63,Board of Revision of Taxes,BRT
94,5830533,1033718,2019,Actual,Full Year,City Commissioners,2019-06-30,73,City Commissioner's Office,City Commissioners
98,7075077,1592963,2020,Actual,Full Year,City Commissioners,2020-06-30,73,City Commissioner's Office,City Commissioners
137,8293480,1531588,2021,Actual,Full Year,City Commissioners,2021-06-30,73,City Commissioner's Office,City Commissioners
123,3620181,526669,2022,Target Budget,YTD,City Commissioners,2021-12-31,73,City Commissioner's Office,City Commissioners
123,3620181,546751,2022,Actual,YTD,City Commissioners,2021-12-31,73,City Commissioner's Office,City Commissioners
106,8413534,1053337,2022,Adopted Budget,Full Year,City Commissioners,2021-12-31,73,City Commissioner's Office,City Commissioners
106,8413534,1053337,2022,Target Budget,Full Year,City Commissioners,2021-12-31,73,City Commissioner's Office,City Commissioners
106,10936150,1053337,2022,Current Projection,Full Year,City Commissioners,2021-12-31,73,City Commissioner's Office,City Commissioners
197,14104805,2882,2019,Actual,Full Year,City Council,2019-06-30,01,City Council,
180,14433197,0,2020,Actual,Full Year,City Council,2020-06-30,01,City Council,
182,14051449,245,2021,Actual,Full Year,City Council,2021-06-30,01,City Council,
180,6910608,0,2022,Target Budget,YTD,City Council,2021-12-31,01,City Council,
180,6910608,0,2022,Actual,YTD,City Council,2021-12-31,01,City Council,
188,15627138,0,2022,Adopted Budget,Full Year,City Council,2021-12-31,01,City Council,
188,15627138,0,2022,Target Budget,Full Year,City Council,2021-12-31,01,City Council,
188,15814053,0,2022,Current Projection,Full Year,City Council,2021-12-31,01,City Council,
8,714833,2239,2019,Actual,Full Year,City Representative,2019-06-30,41,Office of the City Representative,City Rep
5,683372,0,2020,Actual,Full Year,City Representative,2020-06-30,41,Office of the City Representative,City Rep
0,0,0,2021,Actual,Full Year,City Representative,2021-06-30,41,Office of the City Representative,City Rep
0,0,0,2022,Target Budget,YTD,City Representative,2021-12-31,41,Office of the City Representative,City Rep
0,0,0,2022,Actual,YTD,City Representative,2021-12-31,41,Office of the City Representative,City Rep
0,0,0,2022,Adopted Budget,Full Year,City Representative,2021-12-31,41,Office of the City Representative,City Rep
0,0,0,2022,Target Budget,Full Year,City Representative,2021-12-31,41,Office of the City Representative,City Rep
0,0,0,2022,Current Projection,Full Year,City Representative,2021-12-31,41,Office of the City Representative,City Rep
16,1098380,3927,2019,Actual,Full Year,City Treasurer,2019-06-30,40,Office of the City Treasurer,City Treasurer
16,1268936,8586,2020,Actual,Full Year,City Treasurer,2020-06-30,40,Office of the City Treasurer,City Treasurer
16,1230203,56626,2021,Actual,Full Year,City Treasurer,2021-06-30,40,Office of the City Treasurer,City Treasurer
17,651084,21034,2022,Target Budget,YTD,City Treasurer,2021-12-31,40,Office of the City Treasurer,City Treasurer
17,651084,33629,2022,Actual,YTD,City Treasurer,2021-12-31,40,Office of the City Treasurer,City Treasurer
18,1395075,10000,2022,Adopted Budget,Full Year,City Treasurer,2021-12-31,40,Office of the City Treasurer,City Treasurer
18,1395075,42068,2022,Target Budget,Full Year,City Treasurer,2021-12-31,40,Office of the City Treasurer,City Treasurer
18,1447348,62068,2022,Current Projection,Full Year,City Treasurer,2021-12-31,40,Office of the City Treasurer,City Treasurer
2,168597,0,2019,Actual,Full Year,Civil Service Commission,2019-06-30,55,Civil Service Commission,
2,160826,0,2020,Actual,Full Year,Civil Service Commission,2020-06-30,55,Civil Service Commission,
1,140533,0,2021,Actual,Full Year,Civil Service Commission,2021-06-30,55,Civil Service Commission,
2,63926,0,2022,Target Budget,YTD,Civil Service Commission,2021-12-31,55,Civil Service Commission,
2,63926,0,2022,Actual,YTD,Civil Service Commission,2021-12-31,55,Civil Service Commission,
2,177148,0,2022,Adopted Budget,Full Year,Civil Service Commission,2021-12-31,55,Civil Service Commission,
2,177148,0,2022,Target Budget,Full Year,Civil Service Commission,2021-12-31,55,Civil Service Commission,
2,179944,0,2022,Current Projection,Full Year,Civil Service Commission,2021-12-31,55,Civil Service Commission,
48,3028159,5257,2019,Actual,Full Year,Commerce,2019-06-30,42,Office of the Director of Commerce,Commerce
44,3453180,6816,2020,Actual,Full Year,Commerce,2020-06-30,42,Office of the Director of Commerce,Commerce
37,2499341,0,2021,Actual,Full Year,Commerce,2021-06-30,42,Office of the Director of Commerce,Commerce
31,1262750,5000,2022,Target Budget,YTD,Commerce,2021-12-31,42,Office of the Director of Commerce,Commerce
31,1262750,0,2022,Actual,YTD,Commerce,2021-12-31,42,Office of the Director of Commerce,Commerce
51,3614341,10000,2022,Adopted Budget,Full Year,Commerce,2021-12-31,42,Office of the Director of Commerce,Commerce
51,3614341,10000,2022,Target Budget,Full Year,Commerce,2021-12-31,42,Office of the Director of Commerce,Commerce
51,3681294,5000,2022,Current Projection,Full Year,Commerce,2021-12-31,42,Office of the Director of Commerce,Commerce
491,34265564,155103,2019,Actual,Full Year,District Attorney,2019-06-30,69,District Attorney's Office,DAO
545,38029618,135138,2020,Actual,Full Year,District Attorney,2020-06-30,69,District Attorney's Office,DAO
521,38421902,141860,2021,Actual,Full Year,District Attorney,2021-06-30,69,District Attorney's Office,DAO
540,18427698,82000,2022,Target Budget,YTD,District Attorney,2021-12-31,69,District Attorney's Office,DAO
531,18427698,153726,2022,Actual,YTD,District Attorney,2021-12-31,69,District Attorney's Office,DAO
540,36562904,164000,2022,Adopted Budget,Full Year,District Attorney,2021-12-31,69,District Attorney's Office,DAO
540,37962904,164000,2022,Target Budget,Full Year,District Attorney,2021-12-31,69,District Attorney's Office,DAO
540,38812427,164000,2022,Current Projection,Full Year,District Attorney,2021-12-31,69,District Attorney's Office,DAO
116,7756138,74302,2019,Actual,Full Year,Finance,2019-06-30,35,Office of the Director of Finance,Finance
119,9222201,74119,2020,Actual,Full Year,Finance,2020-06-30,35,Office of the Director of Finance,Finance
119,9293924,128747,2021,Actual,Full Year,Finance,2021-06-30,35,Office of the Director of Finance,Finance
118,4774016,68844,2022,Target Budget,YTD,Finance,2021-12-31,35,Office of the Director of Finance,Finance
118,4774016,63143,2022,Actual,YTD,Finance,2021-12-31,35,Office of the Director of Finance,Finance
132,10185891,85259,2022,Adopted Budget,Full Year,Finance,2021-12-31,35,Office of the Director of Finance,Finance
129,9974320,137689,2022,Target Budget,Full Year,Finance,2021-12-31,35,Office of the Director of Finance,Finance
129,10315325,137689,2022,Current Projection,Full Year,Finance,2021-12-31,35,Office of the Director of Finance,Finance
0,2413758,0,2019,Actual,Full Year,Finance Reg #32 Disability,2019-06-30,35R32,Finance: Reg #32,
0,1092451,0,2020,Actual,Full Year,Finance Reg #32 Disability,2020-06-30,35R32,Finance: Reg #32,
0,2167137,0,2021,Actual,Full Year,Finance Reg #32 Disability,2021-06-30,35R32,Finance: Reg #32,
0,1297826,0,2022,Target Budget,YTD,Finance Reg #32 Disability,2021-12-31,35R32,Finance: Reg #32,
0,1297826,0,2022,Actual,YTD,Finance Reg #32 Disability,2021-12-31,35R32,Finance: Reg #32,
0,2293165,0,2022,Adopted Budget,Full Year,Finance Reg #32 Disability,2021-12-31,35R32,Finance: Reg #32,
0,2293165,0,2022,Target Budget,Full Year,Finance Reg #32 Disability,2021-12-31,35R32,Finance: Reg #32,
0,2293165,0,2022,Current Projection,Full Year,Finance Reg #32 Disability,2021-12-31,35R32,Finance: Reg #32,
2530,283319650,50943620,2019,Actual,Full Year,Fire,2019-06-30,13,Fire Department,Fire
2628,303857650,63932091,2020,Actual,Full Year,Fire,2020-06-30,13,Fire Department,Fire
2678,318512653,62597682,2021,Actual,Full Year,Fire,2021-06-30,13,Fire Department,Fire
2709,140649600,34892136,2022,Target Budget,YTD,Fire,2021-12-31,13,Fire Department,Fire
2709,140649600,27999148,2022,Actual,YTD,Fire,2021-12-31,13,Fire Department,Fire
3368,332992022,69784271,2022,Adopted Budget,Full Year,Fire,2021-12-31,13,Fire Department,Fire
2928,330437819,69784271,2022,Target Budget,Full Year,Fire,2021-12-31,13,Fire Department,Fire
2928,344579456,69784271,2022,Current Projection,Full Year,Fire,2021-12-31,13,Fire Department,Fire
1842,100719400,24242,2019,Actual,Full Year,First Judicial District,2019-06-30,84,First Judicial District,FJD
1825,103276427,47641,2020,Actual,Full Year,First Judicial District,2020-06-30,84,First Judicial District,FJD
1773,102667998,12832,2021,Actual,Full Year,First Judicial District,2021-06-30,84,First Judicial District,FJD
1700,46828574,47420,2022,Target Budget,YTD,First Judicial District,2021-12-31,84,First Judicial District,FJD
1700,46828574,3635,2022,Actual,YTD,First Judicial District,2021-12-31,84,First Judicial District,FJD
1822,105324122,94840,2022,Adopted Budget,Full Year,First Judicial District,2021-12-31,84,First Judicial District,FJD
1822,106324122,94840,2022,Target Budget,Full Year,First Judicial District,2021-12-31,84,First Judicial District,FJD
1822,107950378,24840,2022,Current Projection,Full Year,First Judicial District,2021-12-31,84,First Judicial District,FJD
286,18501080,2406919,2019,Actual,Full Year,Fleet Services,2019-06-30,25,Office of Fleet Management,Fleet
282,18563332,1679115,2020,Actual,Full Year,Fleet Services,2020-06-30,25,Office of Fleet Management,Fleet
268,17982245,1413920,2021,Actual,Full Year,Fleet Services,2021-06-30,25,Office of Fleet Management,Fleet
263,8444951,814914,2022,Target Budget,YTD,Fleet Services,2021-12-31,25,Office of Fleet Management,Fleet
263,8444951,740679,2022,Actual,YTD,Fleet Services,2021-12-31,25,Office of Fleet Management,Fleet
315,19260680,1629828,2022,Adopted Budget,Full Year,Fleet Services,2021-12-31,25,Office of Fleet Management,Fleet
315,19260680,1629828,2022,Target Budget,Full Year,Fleet Services,2021-12-31,25,Office of Fleet Management,Fleet
315,20150027,1629828,2022,Current Projection,Full Year,Fleet Services,2021-12-31,25,Office of Fleet Management,Fleet
651,38004616,1667956,2019,Actual,Full Year,Free Library,2019-06-30,52,The Free Library of Philadelphia,Free Library
677,41221658,1646292,2020,Actual,Full Year,Free Library,2020-06-30,52,The Free Library of Philadelphia,Free Library
634,36056416,325884,2021,Actual,Full Year,Free Library,2021-06-30,52,The Free Library of Philadelphia,Free Library
630,17890716,542500,2022,Target Budget,YTD,Free Library,2021-12-31,52,The Free Library of Philadelphia,Free Library
630,17890716,228494,2022,Actual,YTD,Free Library,2021-12-31,52,The Free Library of Philadelphia,Free Library
715,38171857,1885000,2022,Adopted Budget,Full Year,Free Library,2021-12-31,52,The Free Library of Philadelphia,Free Library
715,39104952,1085000,2022,Target Budget,Full Year,Free Library,2021-12-31,52,The Free Library of Philadelphia,Free Library
715,41456287,547000,2022,Current Projection,Full Year,Free Library,2021-12-31,52,The Free Library of Philadelphia,Free Library
32,2071428,0,2019,Actual,Full Year,Human Relations Commission,2019-06-30,54,Commission on Human Relations,Human Relations
34,2286672,23,2020,Actual,Full Year,Human Relations Commission,2020-06-30,54,Commission on Human Relations,Human Relations
32,2267083,4569,2021,Actual,Full Year,Human Relations Commission,2021-06-30,54,Commission on Human Relations,Human Relations
30,1117512,0,2022,Target Budget,YTD,Human Relations Commission,2021-12-31,54,Commission on Human Relations,Human Relations
30,1117512,18048,2022,Actual,YTD,Human Relations Commission,2021-12-31,54,Commission on Human Relations,Human Relations
33,2325040,0,2022,Adopted Budget,Full Year,Human Relations Commission,2021-12-31,54,Commission on Human Relations,Human Relations
33,2325040,0,2022,Target Budget,Full Year,Human Relations Commission,2021-12-31,54,Commission on Human Relations,Human Relations
33,2463907,0,2022,Current Projection,Full Year,Human Relations Commission,2021-12-31,54,Commission on Human Relations,Human Relations
396,22738842,2644765,2019,Actual,Full Year,Human Services,2019-06-30,22,Department of Human Services,DHS
437,22404173,2993692,2020,Actual,Full Year,Human Services,2020-06-30,22,Department of Human Services,DHS
492,28025714,3324490,2021,Actual,Full Year,Human Services,2021-06-30,22,Department of Human Services,DHS
492,7322863,1894517,2022,Target Budget,YTD,Human Services,2021-12-31,22,Department of Human Services,DHS
492,7322863,894764,2022,Actual,YTD,Human Services,2021-12-31,22,Department of Human Services,DHS
492,32182866,3789034,2022,Adopted Budget,Full Year,Human Services,2021-12-31,22,Department of Human Services,DHS
492,32182866,3789034,2022,Target Budget,Full Year,Human Services,2021-12-31,22,Department of Human Services,DHS
492,34254330,3789034,2022,Current Projection,Full Year,Human Services,2021-12-31,22,Department of Human Services,DHS
22,1586766,274,2019,Actual,Full Year,Labor,2019-06-30,03,Labor,
27,1945732,986,2020,Actual,Full Year,Labor,2020-06-30,03,Labor,
26,1991712,59,2021,Actual,Full Year,Labor,2021-06-30,03,Labor,
25,1050959,2975,2022,Target Budget,YTD,Labor,2021-12-31,03,Labor,
25,1050959,2876,2022,Actual,YTD,Labor,2021-12-31,03,Labor,
39,2939422,35950,2022,Adopted Budget,Full Year,Labor,2021-12-31,03,Labor,
37,2840422,5950,2022,Target Budget,Full Year,Labor,2021-12-31,03,Labor,
37,2884257,5950,2022,Current Projection,Full Year,Labor,2021-12-31,03,Labor,
128,8802032,72,2019,Actual,Full Year,Law,2019-06-30,44,Law Department,Law
130,9733493,6,2020,Actual,Full Year,Law,2020-06-30,44,Law Department,Law
127,9640029,6050,2021,Actual,Full Year,Law,2021-06-30,44,Law Department,Law
173,6463493,0,2022,Target Budget,YTD,Law,2021-12-31,44,Law Department,Law
173,6463493,0,2022,Actual,YTD,Law,2021-12-31,44,Law Department,Law
180,13329167,0,2022,Adopted Budget,Full Year,Law,2021-12-31,44,Law Department,Law
180,13529379,0,2022,Target Budget,Full Year,Law,2021-12-31,44,Law Department,Law
180,13740897,0,2022,Current Projection,Full Year,Law,2021-12-31,44,Law Department,Law
372,23626633,1432352,2019,Actual,Full Year,Licenses & Inspections,2019-06-30,26,Department of Licenses and Inspections,L&I
394,24986716,1408144,2020,Actual,Full Year,Licenses & Inspections,2020-06-30,26,Department of Licenses and Inspections,L&I
372,24779256,845614,2021,Actual,Full Year,Licenses & Inspections,2021-06-30,26,Department of Licenses and Inspections,L&I
345,11814925,503107,2022,Target Budget,YTD,Licenses & Inspections,2021-12-31,26,Department of Licenses and Inspections,L&I
345,11814925,595583,2022,Actual,YTD,Licenses & Inspections,2021-12-31,26,Department of Licenses and Inspections,L&I
426,24577968,1156213,2022,Adopted Budget,Full Year,Licenses & Inspections,2021-12-31,26,Department of Licenses and Inspections,L&I
426,24427968,1006213,2022,Target Budget,Full Year,Licenses & Inspections,2021-12-31,26,Department of Licenses and Inspections,L&I
426,25792609,1006213,2022,Current Projection,Full Year,Licenses & Inspections,2021-12-31,26,Department of Licenses and Inspections,L&I
1,83562,0,2019,Actual,Full Year,L&I-Board of Building Standards,2019-06-30,29,L&I: Board of Building and Standards,
1,79592,0,2020,Actual,Full Year,L&I-Board of Building Standards,2020-06-30,29,L&I: Board of Building and Standards,
1,85061,0,2021,Actual,Full Year,L&I-Board of Building Standards,2021-06-30,29,L&I: Board of Building and Standards,
1,43297,0,2022,Target Budget,YTD,L&I-Board of Building Standards,2021-12-31,29,L&I: Board of Building and Standards,
0,43297,0,2022,Actual,YTD,L&I-Board of Building Standards,2021-12-31,29,L&I: Board of Building and Standards,
1,82018,0,2022,Adopted Budget,Full Year,L&I-Board of Building Standards,2021-12-31,29,L&I: Board of Building and Standards,
1,79557,0,2022,Target Budget,Full Year,L&I-Board of Building Standards,2021-12-31,29,L&I: Board of Building and Standards,
1,82151,0,2022,Current Projection,Full Year,L&I-Board of Building Standards,2021-12-31,29,L&I: Board of Building and Standards,
2,129561,1164,2019,Actual,Full Year,L&I-Board of L & I Review,2019-06-30,27,L&I: Board of Review,
2,126329,35,2020,Actual,Full Year,L&I-Board of L & I Review,2020-06-30,27,L&I: Board of Review,
1,118576,0,2021,Actual,Full Year,L&I-Board of L & I Review,2021-06-30,27,L&I: Board of Review,
2,62406,1150,2022,Target Budget,YTD,L&I-Board of L & I Review,2021-12-31,27,L&I: Board of Review,
2,62406,1100,2022,Actual,YTD,L&I-Board of L & I Review,2021-12-31,27,L&I: Board of Review,
2,165635,0,2022,Adopted Budget,Full Year,L&I-Board of L & I Review,2021-12-31,27,L&I: Board of Review,
2,165635,2300,2022,Target Budget,Full Year,L&I-Board of L & I Review,2021-12-31,27,L&I: Board of Review,
2,171162,2300,2022,Current Projection,Full Year,L&I-Board of L & I Review,2021-12-31,27,L&I: Board of Review,
307,20519487,501777,2019,Actual,Full Year,Managing Director,2019-06-30,10,Managing Director's Office,MDO
287,40052290,1088557,2020,Actual,Full Year,Managing Director,2020-06-30,10,Managing Director's Office,MDO
290,28719552,824568,2021,Actual,Full Year,Managing Director,2021-06-30,10,Managing Director's Office,MDO
300,12801947,372325,2022,Target Budget,YTD,Managing Director,2021-12-31,10,Managing Director's Office,MDO
300,12801947,343409,2022,Actual,YTD,Managing Director,2021-12-31,10,Managing Director's Office,MDO
456,43754013,864650,2022,Adopted Budget,Full Year,Managing Director,2021-12-31,10,Managing Director's Office,MDO
450,43157013,744650,2022,Target Budget,Full Year,Managing Director,2021-12-31,10,Managing Director's Office,MDO
450,44046920,694650,2022,Current Projection,Full Year,Managing Director,2021-12-31,10,Managing Director's Office,MDO
51,4779593,0,2019,Actual,Full Year,Mayor's Office,2019-06-30,05,Mayor's Office,Mayor
61,5526098,88,2020,Actual,Full Year,Mayor's Office,2020-06-30,05,Mayor's Office,Mayor
61,5574446,0,2021,Actual,Full Year,Mayor's Office,2021-06-30,05,Mayor's Office,Mayor
58,2712738,0,2022,Target Budget,YTD,Mayor's Office,2021-12-31,05,Mayor's Office,Mayor
58,2712738,0,2022,Actual,YTD,Mayor's Office,2021-12-31,05,Mayor's Office,Mayor
62,5892600,0,2022,Adopted Budget,Full Year,Mayor's Office,2021-12-31,05,Mayor's Office,Mayor
62,5892600,0,2022,Target Budget,Full Year,Mayor's Office,2021-12-31,05,Mayor's Office,Mayor
62,5970633,0,2022,Current Projection,Full Year,Mayor's Office,2021-12-31,05,Mayor's Office,Mayor
0,90000,0,2019,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2019-06-30,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,90000,0,2020,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2020-06-30,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,45000,0,2021,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-06-30,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,0,0,2022,Target Budget,YTD,Mayor's Office of Community Empowerment and Opportunity,2021-12-31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,0,0,2022,Actual,YTD,Mayor's Office of Community Empowerment and Opportunity,2021-12-31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,45000,0,2022,Adopted Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-12-31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,45000,0,2022,Target Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-12-31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
0,45000,0,2022,Current Projection,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-12-31,08,Mayor's Office of Community Empowerment and Opportunity,CEO
11,587931,16444,2019,Actual,Full Year,Mural Arts Program,2019-06-30,50,Mural Arts Program,Mural Arts
10,598178,11874,2020,Actual,Full Year,Mural Arts Program,2020-06-30,50,Mural Arts Program,Mural Arts
8,577153,2317,2021,Actual,Full Year,Mural Arts Program,2021-06-30,50,Mural Arts Program,Mural Arts
9,188734,8500,2022,Target Budget,YTD,Mural Arts Program,2021-12-31,50,Mural Arts Program,Mural Arts
9,188734,3192,2022,Actual,YTD,Mural Arts Program,2021-12-31,50,Mural Arts Program,Mural Arts
10,586569,17000,2022,Adopted Budget,Full Year,Mural Arts Program,2021-12-31,50,Mural Arts Program,Mural Arts
10,586569,17000,2022,Target Budget,Full Year,Mural Arts Program,2021-12-31,50,Mural Arts Program,Mural Arts
10,593403,17000,2022,Current Projection,Full Year,Mural Arts Program,2021-12-31,50,Mural Arts Program,Mural Arts
7,453399,40,2019,Actual,Full Year,Office of Arts and Culture,2019-06-30,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
2,544982,150,2020,Actual,Full Year,Office of Arts and Culture,2020-06-30,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2021,Actual,Full Year,Office of Arts and Culture,2021-06-30,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2022,Target Budget,YTD,Office of Arts and Culture,2021-12-31,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2022,Actual,YTD,Office of Arts and Culture,2021-12-31,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2022,Adopted Budget,Full Year,Office of Arts and Culture,2021-12-31,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2022,Target Budget,Full Year,Office of Arts and Culture,2021-12-31,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
0,0,0,2022,Current Projection,Full Year,Office of Arts and Culture,2021-12-31,58,"Office of Arts, Culture, and the Creative Economy",Arts & Culture
16,1580748,6906,2019,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2019-06-30,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
24,1550431,6636,2020,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2020-06-30,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
23,1546510,7582,2021,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-06-30,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
27,874025,37619,2022,Target Budget,YTD,Office of Behavioral Health and Intellectual disAbility,2021-12-31,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
27,874025,28288,2022,Actual,YTD,Office of Behavioral Health and Intellectual disAbility,2021-12-31,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
47,2980922,4000,2022,Adopted Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-12-31,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
46,2910281,75237,2022,Target Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-12-31,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
46,2963046,75237,2022,Current Projection,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-12-31,15,Behavioral Health and Intellectual Disability Services,DBH/IDS
56,3831785,21904,2019,Actual,Full Year,Office of the Chief Administrative Officer,2019-06-30,65,Office of the Chief Administrative Officer,CAO
64,4435378,2621,2020,Actual,Full Year,Office of the Chief Administrative Officer,2020-06-30,65,Office of the Chief Administrative Officer,CAO
59,4005063,443,2021,Actual,Full Year,Office of the Chief Administrative Officer,2021-06-30,65,Office of the Chief Administrative Officer,CAO
61,1942922,4099,2022,Target Budget,YTD,Office of the Chief Administrative Officer,2021-12-31,65,Office of the Chief Administrative Officer,CAO
61,1942922,245,2022,Actual,YTD,Office of the Chief Administrative Officer,2021-12-31,65,Office of the Chief Administrative Officer,CAO
77,5062173,8198,2022,Adopted Budget,Full Year,Office of the Chief Administrative Officer,2021-12-31,65,Office of the Chief Administrative Officer,CAO
72,4733837,8198,2022,Target Budget,Full Year,Office of the Chief Administrative Officer,2021-12-31,65,Office of the Chief Administrative Officer,CAO
72,4825798,3198,2022,Current Projection,Full Year,Office of the Chief Administrative Officer,2021-12-31,65,Office of the Chief Administrative Officer,CAO
32,2318022,0,2019,Actual,Full Year,Office of Children and Families,2019-06-30,66,Office of Children and Families,OCF
40,2789271,0,2020,Actual,Full Year,Office of Children and Families,2020-06-30,66,Office of Children and Families,OCF
3,418820,0,2021,Actual,Full Year,Office of Children and Families,2021-06-30,66,Office of Children and Families,OCF
3,214706,0,2022,Target Budget,YTD,Office of Children and Families,2021-12-31,66,Office of Children and Families,OCF
3,214706,0,2022,Actual,YTD,Office of Children and Families,2021-12-31,66,Office of Children and Families,OCF
3,442000,0,2022,Adopted Budget,Full Year,Office of Children and Families,2021-12-31,66,Office of Children and Families,OCF
3,442000,0,2022,Target Budget,Full Year,Office of Children and Families,2021-12-31,66,Office of Children and Families,OCF
3,447742,0,2022,Current Projection,Full Year,Office of Children and Families,2021-12-31,66,Office of Children and Families,OCF
151,9056465,201728,2019,Actual,Full Year,Office of Homeless Services,2019-06-30,24,Office of Homeless Services,OHS
151,9589667,332810,2020,Actual,Full Year,Office of Homeless Services,2020-06-30,24,Office of Homeless Services,OHS
127,7600652,314954,2021,Actual,Full Year,Office of Homeless Services,2021-06-30,24,Office of Homeless Services,OHS
125,4525746,100250,2022,Target Budget,YTD,Office of Homeless Services,2021-12-31,24,Office of Homeless Services,OHS
125,4525746,77736,2022,Actual,YTD,Office of Homeless Services,2021-12-31,24,Office of Homeless Services,OHS
162,9307467,200500,2022,Adopted Budget,Full Year,Office of Homeless Services,2021-12-31,24,Office of Homeless Services,OHS
162,9307467,200500,2022,Target Budget,Full Year,Office of Homeless Services,2021-12-31,24,Office of Homeless Services,OHS
162,9786985,145500,2022,Current Projection,Full Year,Office of Homeless Services,2021-12-31,24,Office of Homeless Services,OHS
77,4913051,45485,2019,Actual,Full Year,Office of Human Resources,2019-06-30,56,Office of Human Resources,OHR
79,5185267,63347,2020,Actual,Full Year,Office of Human Resources,2020-06-30,56,Office of Human Resources,OHR
75,5133178,81009,2021,Actual,Full Year,Office of Human Resources,2021-06-30,56,Office of Human Resources,OHR
