dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation
Commerce,Other,639,0,2023,Actual,YTD,2023-03-31,639,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,411,0,2023,Actual,YTD,2023-03-31,411,First Judicial District,84,FJD
Fleet Services,Other,60,0,2023,Actual,YTD,2023-03-31,60,Office of Fleet Management,25,Fleet
Free Library,Other,9,0,2023,Actual,YTD,2023-03-31,9,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2023,Actual,YTD,2023-03-31,0,Commission on Human Relations,54,Human Relations
Human Services (1),Other,1039,0,2023,Actual,YTD,2023-03-31,1039,Department of Human Services,22,DHS
Labor,Other,0,0,2023,Actual,YTD,2023-03-31,0,Labor,03,
Law,Other,49,0,2023,Actual,YTD,2023-03-31,49,Law Department,44,Law
Licenses & Inspections,Other,8,0,2023,Actual,YTD,2023-03-31,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2023,Actual,YTD,2023-03-31,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2023,Actual,YTD,2023-03-31,0,L&I: Board of Review,27,
Managing Director's Office,Other,113,0,2023,Actual,YTD,2023-03-31,113,Managing Director's Office,10,MDO
Mayor's Office,Other,5,0,2023,Actual,YTD,2023-03-31,5,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2023,Actual,YTD,2023-03-31,29,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2023,Actual,YTD,2023-03-31,0,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Other,0,0,2023,Actual,YTD,2023-03-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Other,222,0,2023,Actual,YTD,2023-03-31,222,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,20,0,2023,Actual,YTD,2023-03-31,20,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,107,0,2023,Actual,YTD,2023-03-31,107,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2023,Actual,YTD,2023-03-31,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,25,0,2023,Actual,YTD,2023-03-31,25,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,61,0,2023,Actual,YTD,2023-03-31,61,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2023,Actual,YTD,2023-03-31,0,Philadelphia Prison System,23,Prisons
Procurement,Other,1,0,2023,Actual,YTD,2023-03-31,1,Procurement Department,38,Procurement
Public Health,Other,181,0,2023,Actual,YTD,2023-03-31,181,Department of Public Health,14,Public Health
Public Property,Other,0,0,2023,Actual,YTD,2023-03-31,0,Department of Public Property,20,Public Property
Records,Other,0,0,2023,Actual,YTD,2023-03-31,0,Department of Records,31,Records
Register of Wills,Other,0,0,2023,Actual,YTD,2023-03-31,0,Register of Wills,68,
Revenue,Other,167,0,2023,Actual,YTD,2023-03-31,167,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2023,Actual,YTD,2023-03-31,0,Office of the Sheriff,70,Sheriff
Streets,Other,1,0,2023,Actual,YTD,2023-03-31,1,Streets Department,12,Streets
Water,Other,1965,0,2023,Actual,YTD,2023-03-31,1965,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,1,0,2023,Actual,YTD,2023-03-31,1,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,105,0,2023,Actual,YTD,2023-03-31,105,City Controller's Office,61,
Board of Ethics,Total,9,0,2023,Actual,YTD,2023-03-31,9,Board of Ethics,45,
Board of Pensions,Total,53,0,2023,Actual,YTD,2023-03-31,53,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,15,0,2023,Actual,YTD,2023-03-31,15,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,143,0,2023,Actual,YTD,2023-03-31,143,City Commissioner's Office,73,City Commissioners
City Council,Total,168,0,2023,Actual,YTD,2023-03-31,168,City Council,01,
City Representative,Total,0,0,2023,Actual,YTD,2023-03-31,0,Office of the City Representative,41,City Rep
City Treasurer,Total,20,0,2023,Actual,YTD,2023-03-31,20,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2023,Actual,YTD,2023-03-31,2,Civil Service Commission,55,
Commerce,Total,691,0,2023,Actual,YTD,2023-03-31,691,Office of the Director of Commerce,42,Commerce
Finance,Total,122,0,2023,Actual,YTD,2023-03-31,122,Office of the Director of Finance,35,Finance
First Judicial District,Total,2099,0,2023,Actual,YTD,2023-03-31,2099,First Judicial District,84,FJD
Fleet Services,Total,321,0,2023,Actual,YTD,2023-03-31,321,Office of Fleet Management,25,Fleet
Free Library,Total,702,0,2023,Actual,YTD,2023-03-31,702,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,29,0,2023,Actual,YTD,2023-03-31,29,Commission on Human Relations,54,Human Relations
Human Services (1),Total,1432,0,2023,Actual,YTD,2023-03-31,1432,Department of Human Services,22,DHS
Labor,Total,35,0,2023,Actual,YTD,2023-03-31,35,Labor,03,
Law,Total,241,0,2023,Actual,YTD,2023-03-31,241,Law Department,44,Law
Licenses & Inspections,Total,351,0,2023,Actual,YTD,2023-03-31,351,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Total,1,0,2023,Actual,YTD,2023-03-31,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Total,2,0,2023,Actual,YTD,2023-03-31,2,L&I: Board of Review,27,
Managing Director's Office,Total,477,0,2023,Actual,YTD,2023-03-31,477,Managing Director's Office,10,MDO
Mayor's Office,Total,59,0,2023,Actual,YTD,2023-03-31,59,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Total,29,0,2023,Actual,YTD,2023-03-31,29,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Total,10,0,2023,Actual,YTD,2023-03-31,10,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Total,0,0,2023,Actual,YTD,2023-03-31,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Total,267,0,2023,Actual,YTD,2023-03-31,267,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Total,76,0,2023,Actual,YTD,2023-03-31,76,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Total,6,0,2023,Actual,YTD,2023-03-31,6,Office of Children and Families,66,OCF
Office of Homeless Services,Total,134,0,2023,Actual,YTD,2023-03-31,134,Office of Homeless Services,24,OHS
Office of Human Resources,Total,80,0,2023,Actual,YTD,2023-03-31,80,Office of Human Resources,56,OHR
Office of Innovation and Technology,Total,429,0,2023,Actual,YTD,2023-03-31,429,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Total,16,0,2023,Actual,YTD,2023-03-31,16,Office of the Inspector General,48,OIG
Office of Property Assessment,Total,177,0,2023,Actual,YTD,2023-03-31,177,Office of Property Assessment,59,OPA
Office of Sustainability,Total,19,0,2023,Actual,YTD,2023-03-31,19,Office of Sustainability,49,Sustainability
Parks and Recreation,Total,644,0,2023,Actual,YTD,2023-03-31,644,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Total,120,0,2023,Actual,YTD,2023-03-31,120,Department of Planning and Development,72,Planning & Development
Prisons,Total,1327,0,2023,Actual,YTD,2023-03-31,1327,Philadelphia Prison System,23,Prisons
Procurement,Total,35,0,2023,Actual,YTD,2023-03-31,35,Procurement Department,38,Procurement
Public Health,Total,860,0,2023,Actual,YTD,2023-03-31,860,Department of Public Health,14,Public Health
Public Property,Total,127,0,2023,Actual,YTD,2023-03-31,127,Department of Public Property,20,Public Property
Records,Total,54,0,2023,Actual,YTD,2023-03-31,54,Department of Records,31,Records
Register of Wills,Total,62,0,2023,Actual,YTD,2023-03-31,62,Register of Wills,68,
Revenue,Total,496,0,2023,Actual,YTD,2023-03-31,496,Department of Revenue,36,Revenue
Sheriff,Total,333,0,2023,Actual,YTD,2023-03-31,333,Office of the Sheriff,70,Sheriff
Streets,Total,2002,0,2023,Actual,YTD,2023-03-31,2002,Streets Department,12,Streets
Water,Total,1965,0,2023,Actual,YTD,2023-03-31,1965,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Total,1,0,2023,Actual,YTD,2023-03-31,1,"Water, Sewer, and Stormwater Rate Board",67,
Police,General,850,5586,2023,Actual,YTD,2023-03-31,6436,Police Department,11,Police
Police,Other,8,120,2023,Actual,YTD,2023-03-31,128,Police Department,11,Police
Police,Total,858,5706,2023,Actual,YTD,2023-03-31,6564,Police Department,11,Police
Fire,General,135,2605,2023,Actual,YTD,2023-03-31,2740,Fire Department,13,Fire
Fire,Other,1,73,2023,Actual,YTD,2023-03-31,74,Fire Department,13,Fire
Fire,Total,136,2678,2023,Actual,YTD,2023-03-31,2814,Fire Department,13,Fire
District Attorney,General,538,32,2023,Actual,YTD,2023-03-31,570,District Attorney's Office,69,DAO
District Attorney,Other,98,5,2023,Actual,YTD,2023-03-31,103,District Attorney's Office,69,DAO
District Attorney,Total,636,37,2023,Actual,YTD,2023-03-31,673,District Attorney's Office,69,DAO
Auditing (City Controller's Office),General,109,0,2022,Actual,Full Year,2022-06-30,109,City Controller's Office,61,
Board of Ethics,General,9,0,2022,Actual,Full Year,2022-06-30,9,Board of Ethics,45,
Board of Pensions,General,0,0,2022,Actual,Full Year,2022-06-30,0,Board of Pensions,53,Pensions
Board of Revision of Taxes,General,14,0,2022,Actual,Full Year,2022-06-30,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),General,134,0,2022,Actual,Full Year,2022-06-30,134,City Commissioner's Office,73,City Commissioners
City Council,General,175,0,2022,Actual,Full Year,2022-06-30,175,City Council,01,
City Representative,General,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,General,17,0,2022,Actual,Full Year,2022-06-30,17,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,General,2,0,2022,Actual,Full Year,2022-06-30,2,Civil Service Commission,55,
Commerce,General,35,0,2022,Actual,Full Year,2022-06-30,35,Office of the Director of Commerce,42,Commerce
Finance,General,122,0,2022,Actual,Full Year,2022-06-30,122,Office of the Director of Finance,35,Finance
First Judicial District,General,1686,0,2022,Actual,Full Year,2022-06-30,1686,First Judicial District,84,FJD
Fleet Services,General,266,0,2022,Actual,Full Year,2022-06-30,266,Office of Fleet Management,25,Fleet
Free Library,General,618,0,2022,Actual,Full Year,2022-06-30,618,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,General,32,0,2022,Actual,Full Year,2022-06-30,32,Commission on Human Relations,54,Human Relations
Human Services (1),General,492,0,2022,Actual,Full Year,2022-06-30,492,Department of Human Services,22,DHS
Labor,General,28,0,2022,Actual,Full Year,2022-06-30,28,Labor,03,
Law,General,175,0,2022,Actual,Full Year,2022-06-30,175,Law Department,44,Law
Licenses & Inspections,General,346,0,2022,Actual,Full Year,2022-06-30,346,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,General,1,0,2022,Actual,Full Year,2022-06-30,1,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,General,2,0,2022,Actual,Full Year,2022-06-30,2,L&I: Board of Review,27,
Managing Director's Office,General,324,0,2022,Actual,Full Year,2022-06-30,324,Managing Director's Office,10,MDO
Mayor's Office,General,60,0,2022,Actual,Full Year,2022-06-30,60,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2022,Actual,Full Year,2022-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,General,8,0,2022,Actual,Full Year,2022-06-30,8,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,General,0,0,2022,Actual,Full Year,2022-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,General,30,0,2022,Actual,Full Year,2022-06-30,30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,General,75,0,2022,Actual,Full Year,2022-06-30,75,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,General,2,0,2022,Actual,Full Year,2022-06-30,2,Office of Children and Families,66,OCF
Office of Homeless Services,General,114,0,2022,Actual,Full Year,2022-06-30,114,Office of Homeless Services,24,OHS
Office of Human Resources,General,73,0,2022,Actual,Full Year,2022-06-30,73,Office of Human Resources,56,OHR
Office of Innovation and Technology,General,300,0,2022,Actual,Full Year,2022-06-30,300,Office of Innovation and Technology,04,OIT
Office of the Inspector General,General,16,0,2022,Actual,Full Year,2022-06-30,16,Office of the Inspector General,48,OIG
Office of Property Assessment,General,177,0,2022,Actual,Full Year,2022-06-30,177,Office of Property Assessment,59,OPA
Office of Sustainability,General,11,0,2022,Actual,Full Year,2022-06-30,11,Office of Sustainability,49,Sustainability
Parks and Recreation,General,613,0,2022,Actual,Full Year,2022-06-30,613,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,General,54,0,2022,Actual,Full Year,2022-06-30,54,Department of Planning and Development,72,Planning & Development
Prisons,General,1393,0,2022,Actual,Full Year,2022-06-30,1393,Philadelphia Prison System,23,Prisons
Procurement,General,35,0,2022,Actual,Full Year,2022-06-30,35,Procurement Department,38,Procurement
Public Health,General,689,0,2022,Actual,Full Year,2022-06-30,689,Department of Public Health,14,Public Health
Public Property,General,133,0,2022,Actual,Full Year,2022-06-30,133,Department of Public Property,20,Public Property
Records,General,54,0,2022,Actual,Full Year,2022-06-30,54,Department of Records,31,Records
Register of Wills,General,67,0,2022,Actual,Full Year,2022-06-30,67,Register of Wills,68,
Revenue,General,328,0,2022,Actual,Full Year,2022-06-30,328,Department of Revenue,36,Revenue
Sheriff,General,343,0,2022,Actual,Full Year,2022-06-30,343,Office of the Sheriff,70,Sheriff
Streets,General,2072,0,2022,Actual,Full Year,2022-06-30,2072,Streets Department,12,Streets
Water,General,0,0,2022,Actual,Full Year,2022-06-30,0,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",General,0,0,2022,Actual,Full Year,2022-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Other,0,0,2022,Actual,Full Year,2022-06-30,0,City Controller's Office,61,
Board of Ethics,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Board of Ethics,45,
Board of Pensions,Other,58,0,2022,Actual,Full Year,2022-06-30,58,Board of Pensions,53,Pensions
Board of Revision of Taxes,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Other,0,0,2022,Actual,Full Year,2022-06-30,0,City Commissioner's Office,73,City Commissioners
City Council,Other,0,0,2022,Actual,Full Year,2022-06-30,0,City Council,01,
City Representative,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Civil Service Commission,55,
Commerce,Other,622,0,2022,Actual,Full Year,2022-06-30,622,Office of the Director of Commerce,42,Commerce
Finance,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the Director of Finance,35,Finance
First Judicial District,Other,408,0,2022,Actual,Full Year,2022-06-30,408,First Judicial District,84,FJD
Fleet Services,Other,56,0,2022,Actual,Full Year,2022-06-30,56,Office of Fleet Management,25,Fleet
Free Library,Other,12,0,2022,Actual,Full Year,2022-06-30,12,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Commission on Human Relations,54,Human Relations
Human Services (1),Other,989,0,2022,Actual,Full Year,2022-06-30,989,Department of Human Services,22,DHS
Labor,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Labor,03,
Law,Other,53,0,2022,Actual,Full Year,2022-06-30,53,Law Department,44,Law
Licenses & Inspections,Other,8,0,2022,Actual,Full Year,2022-06-30,8,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,Other,0,0,2022,Actual,Full Year,2022-06-30,0,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,Other,0,0,2022,Actual,Full Year,2022-06-30,0,L&I: Board of Review,27,
Managing Director's Office,Other,115,0,2022,Actual,Full Year,2022-06-30,115,Managing Director's Office,10,MDO
Mayor's Office,Other,6,0,2022,Actual,Full Year,2022-06-30,6,Mayor's Office,05,Mayor
Mayor's Office-Comm. Empowerment & Opp.,Other,27,0,2022,Actual,Full Year,2022-06-30,27,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,Other,0,0,2022,Actual,Full Year,2022-06-30,0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral HIth & Intellectual disAbility,Other,233,0,2022,Actual,Full Year,2022-06-30,233,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of Children and Families,66,OCF
Office of Homeless Services,Other,23,0,2022,Actual,Full Year,2022-06-30,23,Office of Homeless Services,24,OHS
Office of Human Resources,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of Human Resources,56,OHR
Office of Innovation and Technology,Other,103,0,2022,Actual,Full Year,2022-06-30,103,Office of Innovation and Technology,04,OIT
Office of the Inspector General,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the Inspector General,48,OIG
Office of Property Assessment,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of Property Assessment,59,OPA
Office of Sustainability,Other,2,0,2022,Actual,Full Year,2022-06-30,2,Office of Sustainability,49,Sustainability
Parks and Recreation,Other,27,0,2022,Actual,Full Year,2022-06-30,27,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,Other,52,0,2022,Actual,Full Year,2022-06-30,52,Department of Planning and Development,72,Planning & Development
Prisons,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Philadelphia Prison System,23,Prisons
Procurement,Other,2,0,2022,Actual,Full Year,2022-06-30,2,Procurement Department,38,Procurement
Public Health,Other,171,0,2022,Actual,Full Year,2022-06-30,171,Department of Public Health,14,Public Health
Public Property,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Department of Public Property,20,Public Property
Records,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Department of Records,31,Records
Register of Wills,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Register of Wills,68,
Revenue,Other,167,0,2022,Actual,Full Year,2022-06-30,167,Department of Revenue,36,Revenue
Sheriff,Other,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the Sheriff,70,Sheriff
Streets,Other,1,0,2022,Actual,Full Year,2022-06-30,1,Streets Department,12,Streets
Water,Other,1924,0,2022,Actual,Full Year,2022-06-30,1924,Water Department,28,Water
"Water,Sewer & Stormwater Rate Board",Other,1,0,2022,Actual,Full Year,2022-06-30,1,"Water, Sewer, and Stormwater Rate Board",67,
Auditing (City Controller's Office),Total,109,0,2022,Actual,Full Year,2022-06-30,109,City Controller's Office,61,
Board of Ethics,Total,9,0,2022,Actual,Full Year,2022-06-30,9,Board of Ethics,45,
Board of Pensions,Total,58,0,2022,Actual,Full Year,2022-06-30,58,Board of Pensions,53,Pensions
Board of Revision of Taxes,Total,14,0,2022,Actual,Full Year,2022-06-30,14,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),Total,134,0,2022,Actual,Full Year,2022-06-30,134,City Commissioner's Office,73,City Commissioners
City Council,Total,175,0,2022,Actual,Full Year,2022-06-30,175,City Council,01,
City Representative,Total,0,0,2022,Actual,Full Year,2022-06-30,0,Office of the City Representative,41,City Rep
City Treasurer,Total,17,0,2022,Actual,Full Year,2022-06-30,17,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,Total,2,0,2022,Actual,Full Year,2022-06-30,2,Civil Service Commission,55,
Commerce,Total,657,0,2022,Actual,Full Year,2022-06-30,657,Office of the Director of Commerce,42,Commerce
Finance,Total,122,0,2022,Actual,Full Year,2022-06-30,122,Office of the Director of Finance,35,Finance
First Judicial District,Total,2094,0,2022,Actual,Full Year,2022-06-30,2094,First Judicial District,84,FJD
Fleet Services,Total,322,0,2022,Actual,Full Year,2022-06-30,322,Office of Fleet Management,25,Fleet
Free Library,Total,630,0,2022,Actual,Full Year,2022-06-30,630,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,Total,32,0,2022,Actual,Full Year,2022-06-30,32,Commission on Human Relations,54,Human Relations
Human Services (1),Total,1481,0,2022,Actual,Full Year,2022-06-30,1481,Department of Human Services,22,DHS
Labor,Total,28,0,2022,Actual,Full Year,2022-06-30,28,Labor,03,
Law,Total,228,0,2022,Actual,Full Year,2022-06-30,228,Law Department,44,Law
Licenses & Inspections,Total,354,0,2022,Actual,Full Year,2022-06-30,354,Department of Licenses and Inspections,26,L&I
