dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
First Judicial District,108950101.0,8643039.0,2231868.0,0.0,0.0,0.0,0.0,119825008.0,2023,First Judicial District,84,FJD,84
Fleet Services,20510205.0,5449396.0,23232642.0,0.0,0.0,0.0,0.0,49192243.0,2023,Office of Fleet Management,25,Fleet,25
Fleet Services -Vehicle Lease/Purch.,0.0,0.0,9307852.0,0.0,0.0,0.0,0.0,9307852.0,2023,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,50220431.0,3496262.0,2042128.0,0.0,0.0,0.0,0.0,55758821.0,2023,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,2495189.0,43333.0,28031.0,0.0,0.0,0.0,0.0,2566553.0,2023,Commission on Human Relations,54,Human Relations,54
Human Services,34348905.0,151445655.0,2111970.0,0.0,0.0,0.0,0.0,187906530.0,2023,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,84116.0,0.0,0.0,0.0,0.0,0.0,0.0,84116.0,2023,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,170377.0,10436.0,0.0,0.0,0.0,0.0,0.0,180813.0,2023,L&I: Board of Review,27,,27
Labor,3414271.0,462617.0,24420.0,0.0,0.0,0.0,0.0,3901308.0,2023,Labor,03,,03
Law,15307139.0,5979915.0,190676.0,0.0,0.0,0.0,0.0,21477730.0,2023,Law Department,44,Law,44
Licenses & Inspection,26590298.0,13146162.0,809475.0,0.0,0.0,0.0,0.0,40545935.0,2023,Department of Licenses and Inspections,26,L&I,26
Managing Director,35448189.0,83855209.0,2418018.0,3000000.0,0.0,0.0,0.0,124721416.0,2023,Managing Director's Office,10,MDO,10
Managing Director-Legal Services,0.0,52487199.0,0.0,0.0,0.0,0.0,0.0,52487199.0,2023,MDO: Legal Services,10-LS,,10
Mayor's Office,6123607.0,815680.0,31341.0,0.0,0.0,0.0,0.0,6970628.0,2023,Mayor's Office,05,Mayor,05
Mayor's Office - Scholarships,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,2023,Mayor's Office: Scholarships,05-S,,05
Mural Arts Program,598075.0,1920610.0,0.0,0.0,0.0,0.0,0.0,2518685.0,2023,Mural Arts Program,50,Mural Arts,50
Office of Behavioral Health and Intellectual disAbility,3554824.0,23723599.0,0.0,0.0,0.0,0.0,0.0,27278423.0,2023,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Children and Families,453946.0,0.0,0.0,0.0,0.0,0.0,0.0,453946.0,2023,Office of Children and Families,66,OCF,66
Office of Community Empowerment and Opportunity,177185.0,1714007.0,3808.0,0.0,0.0,0.0,0.0,1895000.0,2023,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
Office of Homeless Services,9881368.0,58638836.0,344127.0,32421.0,0.0,0.0,0.0,68896752.0,2023,Office of Homeless Services,24,OHS,24
Office of Human Resources,5753121.0,966067.0,69432.0,0.0,0.0,0.0,0.0,6788620.0,2023,Office of Human Resources,56,OHR,56
Office of Innovation and Technology,30744051.0,53368720.0,2986610.0,0.0,0.0,0.0,0.0,87099381.0,2023,Office of Innovation and Technology,04,OIT,04
Office of Innovation and Technology-911,1416547.0,20150466.0,8064399.0,0.0,0.0,0.0,0.0,29631412.0,2023,OIT: 911,04-911,,04
Office of Property Assessment,15524777.0,1926020.0,362600.0,0.0,0.0,0.0,0.0,17813397.0,2023,Office of Property Assessment,59,OPA,59
Office of Sustainability,870116.0,271366.0,1000.0,0.0,0.0,175000.0,0.0,1317482.0,2023,Office of Sustainability,49,Sustainability,49
Office of the Chief Administrative Officer,6238627.0,6327056.0,2082265.0,0.0,0.0,0.0,0.0,14647948.0,2023,Office of the Chief Administrative Officer,65,CAO,65
Office of the Inspector General,2148400.0,97975.0,5225.0,0.0,0.0,0.0,0.0,2251600.0,2023,Office of the Inspector General,48,OIG,48
Parks and Recreation,56916061.0,6975582.0,2754425.0,1500000.0,0.0,0.0,0.0,68146068.0,2023,Department of Parks and Recreation,16,Parks & Recreation,16
Planning and Development,5735470.0,3839463.0,89761.0,3000000.0,0.0,0.0,0.0,12664694.0,2023,Department of Planning and Development,72,Planning & Development,72
Police,752550599.0,12667116.0,16549152.0,0.0,0.0,0.0,0.0,781766867.0,2023,Police Department,11,Police,11
Prisons,135495470.0,104696211.0,4674595.0,1201757.0,0.0,0.0,0.0,246068033.0,2023,Philadelphia Prison System,23,Prisons,23
Procurement,3298639.0,3431115.0,39359.0,0.0,0.0,0.0,0.0,6769113.0,2023,Procurement Department,38,Procurement,38
Public Health,62683660.0,88784022.0,6746403.0,0.0,0.0,923404.0,0.0,159137489.0,2023,Department of Public Health,14,Public Health,14
Public Property,10700937.0,37608915.0,1338535.0,0.0,0.0,27184004.0,0.0,76832391.0,2023,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,100699000.0,0.0,0.0,0.0,0.0,0.0,100699000.0,2023,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,31124135.0,0.0,0.0,0.0,0.0,0.0,31124135.0,2023,Public Property: Space Rentals,20-SR,,20
Public Property-Utilities,0.0,25291034.0,0.0,0.0,0.0,0.0,0.0,25291034.0,2023,Public Property: Utilities,20-U,,20
Records,3364422.0,758985.0,143758.0,0.0,0.0,0.0,0.0,4267165.0,2023,Department of Records,31,Records,31
Register of Wills,4130872.0,406959.0,140236.0,0.0,0.0,0.0,0.0,4678067.0,2023,Register of Wills,68,,68
Revenue,21756185.0,4106407.0,774976.0,0.0,0.0,0.0,0.0,26637568.0,2023,Department of Revenue,36,Revenue,36
Sheriff,26844230.0,1305267.0,848157.0,0.0,0.0,0.0,0.0,28997654.0,2023,Office of the Sheriff,70,Sheriff,70
Sinking Fund Commission (Debt Service),0.0,115087498.0,0.0,0.0,193710223.0,0.0,0.0,308797721.0,2023,Sinking Fund Commission,37,Sinking Fund,37
Streets,122120102.0,13325345.0,21994981.0,53171.0,0.0,0.0,0.0,157493599.0,2023,Streets Department,12,Streets,12
Streets-Disposal,0.0,55027802.0,0.0,0.0,0.0,0.0,0.0,55027802.0,2023,Streets: Disposal,12-D,,12
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,20000000.0,2023,Finance: Recession Reserve,35-RR,Recession Reserve,35
