dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,abbreviation,dept_code,dept_name,dept_major_code
Office of Planning and Development,450687.0,24535.0,51305.0,450000.0,0.0,0.0,0.0,976527.0,2017,,62,Mayor's Office of Planning and Development,62
Office of Property Assessment,11324075.0,1123780.0,246522.0,0.0,0.0,0.0,0.0,12694377.0,2017,OPA,59,Office of Property Assessment,59
Office of Sustainability,513653.0,273505.0,13782.0,0.0,0.0,0.0,0.0,800940.0,2017,Sustainability,49,Office of Sustainability,49
Office of the Chief Administrative Officer,3830324.0,1591592.0,15807.0,0.0,0.0,0.0,0.0,5437723.0,2017,CAO,65,Office of the Chief Administrative Officer,65
Office of the Inspector General,1355599.0,122322.0,5181.0,0.0,0.0,0.0,0.0,1483102.0,2017,OIG,48,Office of the Inspector General,48
Parks and Recreation,43978477.0,9380888.0,2729342.0,5045402.0,0.0,0.0,0.0,61134109.0,2017,Parks & Recreation,16,Department of Parks and Recreation,16
Planning and Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,Planning & Development,72,Department of Planning and Development,72
Police,631459043.0,7425914.0,12516712.0,14874051.0,0.0,0.0,0.0,666275720.0,2017,Police,11,Police Department,11
Prisons,148514858.0,105330348.0,4773561.0,2273324.0,0.0,0.0,0.0,260892091.0,2017,Prisons,23,Philadelphia Prison System,23
Procurement,2420035.0,2333751.0,48914.0,1125.0,0.0,0.0,0.0,4803825.0,2017,Procurement,38,Procurement Department,38
Public Health,51023872.0,70730733.0,5449070.0,270408.0,0.0,5500000.0,0.0,132974083.0,2017,Public Health,14,Department of Public Health,14
Public Property,8654937.0,29694728.0,1314120.0,1114758.0,0.0,23162734.0,0.0,63941277.0,2017,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,79720000.0,0.0,0.0,0.0,0.0,0.0,79720000.0,2017,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,19816086.0,0.0,0.0,0.0,0.0,0.0,19816086.0,2017,,20SR,Public Property: Space Rentals,20
Public Property-Utilities,0.0,29294870.0,0.0,0.0,0.0,0.0,0.0,29294870.0,2017,,20U,Public Property: Utilities,20
Records,2822489.0,1472961.0,142539.0,1450.0,0.0,0.0,0.0,4439439.0,2017,Records,31,Department of Records,31
Register of Wills,3842824.0,48971.0,24629.0,0.0,0.0,0.0,0.0,3916424.0,2017,,68,Register of Wills,68
Revenue,20417912.0,7971138.0,767395.0,4000.0,0.0,0.0,0.0,29160445.0,2017,Revenue,36,Department of Revenue,36
Sheriff,25144829.0,715006.0,389946.0,138618.0,0.0,0.0,0.0,26388399.0,2017,Sheriff,70,Office of the Sheriff,70
Sinking Fund Commission (Debt Service),0.0,97474248.0,0.0,0.0,140892996.0,0.0,0.0,238367244.0,2017,Sinking Fund,37,Sinking Fund Commission,37
Streets,76897341.0,7537854.0,3610624.0,15386277.0,0.0,213764.0,0.0,103645860.0,2017,Streets,12,Streets Department,12
Streets-Disposal,0.0,38634506.0,0.0,0.0,0.0,0.0,0.0,38634506.0,2017,,12D,Streets: Disposal,12
