dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Finance-Contribution  to School District,0.0,0.0,0.0,38540000.0,0.0,0.0,0.0,2010,38540000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,829855069.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,829855069.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2010,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,169463842.0,6915300.0,6516662.0,0.0,0.0,5992000.0,0.0,2010,188887804.0,Fire Department,13,Fire,13
First Judicial District,81332197.0,23669831.0,2225041.0,0.0,0.0,0.0,0.0,2010,107227069.0,First Judicial District,84,FJD,84
Fleet Management,16666891.0,4640777.0,23293313.0,0.0,0.0,0.0,0.0,2010,44600981.0,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Lease/Purch.,0.0,0.0,2722425.0,0.0,0.0,0.0,0.0,2010,2722425.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,29099281.0,1512374.0,1869357.0,0.0,0.0,0.0,0.0,2010,32481012.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,42500.0,0.0,0.0,0.0,2010,42500.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,360053.0,20919.0,5852.0,0.0,0.0,0.0,0.0,2010,386824.0,Historical Commission,32,,32
Human Relations,1947511.0,26432.0,9477.0,0.0,0.0,0.0,0.0,2010,1983420.0,Commission on Human Relations,54,Human Relations,54
Human Services (1),94110383.0,465526642.0,1445049.0,0.0,0.0,0.0,0.0,2010,561082074.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,32718289.0,0.0,0.0,0.0,2010,32718289.0,Finance: Indemnities,35-IN,,35
Labor Relations,509093.0,4606.0,9472.0,0.0,0.0,0.0,0.0,2010,523171.0,Labor,03,,03
Law,10065455.0,7595951.0,228570.0,0.0,0.0,0.0,0.0,2010,17889976.0,Law Department,44,Law,44
Legal Services,0.0,35941188.0,0.0,0.0,0.0,0.0,0.0,2010,35941188.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,14202452.0,8227383.0,266979.0,0.0,0.0,0.0,0.0,2010,22696814.0,Department of Licenses and Inspections,26,L&I,26
Managing Director,12308160.0,3718407.0,444780.0,0.0,0.0,0.0,0.0,2010,16471347.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,460634.0,512548.0,0.0,0.0,0.0,0.0,0.0,2010,973182.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,193305.0,0.0,0.0,0.0,2010,193305.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,3146395.0,418143.0,33041.0,0.0,0.0,0.0,0.0,2010,3597579.0,Mayor's Office,05,Mayor,05
Mayor's Office of Transportation,482014.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,482014.0,Mayor's Office of Transportation and Utilities,46,,46
Office of Behavioral Health and  Intellectual Disability,1563276.0,12675594.0,0.0,0.0,0.0,0.0,0.0,2010,14238870.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Human Resources,3313279.0,692524.0,41240.0,0.0,0.0,0.0,0.0,2010,4047043.0,Office of Human Resources,56,OHR,56
Office of Property Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0.0,Office of Property Assessment,59,OPA,59
Office of Supportive Housing,6343923.0,31697539.0,316157.0,29045.0,0.0,0.0,0.0,2010,38386664.0,Office of Homeless Services,24,OHS,24
Office of the Inspector General,1064724.0,69521.0,11728.0,0.0,0.0,0.0,0.0,2010,1145973.0,Office of the Inspector General,48,OIG,48
Parks and Recreation (2),35858647.0,4342029.0,2156710.0,3050000.0,0.0,0.0,0.0,2010,45407386.0,Department of Parks and Recreation,16,Parks & Recreation,16
Police,512452670.0,8381762.0,8019302.0,0.0,0.0,0.0,0.0,2010,528853734.0,Police Department,11,Police,11
Prisons,120886049.0,106388253.0,5338137.0,1201749.0,0.0,0.0,0.0,2010,233814188.0,Philadelphia Prison System,23,Prisons,23
Procurement,2231737.0,2120072.0,45490.0,0.0,0.0,0.0,0.0,2010,4397299.0,Procurement Department,38,Procurement,38
Public Health,41387238.0,64756623.0,4455033.0,0.0,0.0,500000.0,0.0,2010,111098894.0,Department of Public Health,14,Public Health,14
Public Property,6646774.0,24488142.0,847331.0,0.0,0.0,19563692.0,0.0,2010,51545939.0,Department of Public Property,20,Public Property,20
Public Property-SEPTA Subsidy,0.0,64164000.0,0.0,0.0,0.0,0.0,0.0,2010,64164000.0,Public Property: SEPTA Subsidy,20-SS,,20
Public Property-Space Rentals,0.0,15039531.0,0.0,0.0,0.0,0.0,0.0,2010,15039531.0,Public Property: Space Rentals,20-SR,,20
Public Property-Utilities,0.0,32537690.0,0.0,0.0,0.0,0.0,0.0,2010,32537690.0,Public Property: Utilities,20-U,,20
Records,2685140.0,2385978.0,122913.0,966.0,0.0,0.0,0.0,2010,5194997.0,Department of Records,31,Records,31
Refunds,0.0,0.0,0.0,781.0,0.0,0.0,0.0,2010,781.0,Finance: Refunds,35-R,,35
Register of Wills,3112064.0,71930.0,24701.0,0.0,0.0,0.0,0.0,2010,3208695.0,Register of Wills,68,,68
Revenue,11554600.0,4353650.0,491029.0,0.0,0.0,0.0,0.0,2010,16399279.0,Department of Revenue,36,Revenue,36
Service (Sinking Fund),0.0,79950861.0,0.0,0.0,105513466.0,0.0,0.0,2010,185464327.0,Sinking Fund Commission,37,Sinking Fund,37
Sheriff,14537592.0,421138.0,302769.0,0.0,0.0,0.0,0.0,2010,15261499.0,Office of the Sheriff,70,Sheriff,70
Streets,22394204.0,12606359.0,3117089.0,0.0,0.0,0.0,0.0,2010,38117652.0,Streets Department,12,Streets,12
Streets Sanitation,47455599.0,43251949.0,1482927.0,48171.0,0.0,0.0,0.0,2010,92238646.0,Streets: Sanitation,12-S,,12
Witness Fees,0.0,104142.0,0.0,0.0,0.0,0.0,0.0,2010,104142.0,Finance: Witness Fees,35-WF,,35
Youth Commission,39347.0,44419.0,1515.0,0.0,0.0,0.0,0.0,2010,85281.0,Youth Commission,47,,47
Zoning Bd. of Adj.,274892.0,35883.0,0.0,0.0,0.0,0.0,0.0,2010,310775.0,Zoning Board of Adjustments,30,ZBA,30
Zoning Code Commission,127639.0,338772.0,1131.0,0.0,0.0,0.0,0.0,2010,467542.0,Zoning Code Commission,57,,57
of Arts & Culture & the Creative  Economy,194947.0,317495.0,0.0,3430600.0,0.0,0.0,0.0,2010,3943042.0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,58
of Housing and Comm. Dev.,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,2010,2800000.0,Office of Housing and Community Development,06,,06
Recession Reserve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,0.0,Finance: Recession Reserve,35-RR,Recession Reserve,35
