0,1,2,3,4,0.1,1.1,2.1,3.1,4.1
Public Property SEPTA Subsidy,"65,878,000","49,770,000","49,770,000",o,"66,360,000","66,360,000","66,360,000",o,o
Public Property Space Rentals,"15,211,472","17,284,671","16,949,068","335,603","18,221,209","17,284,671","17,284,671","936,538",o
Public Property Utilities,"33,099,864","32,540,354","32,225,954","314,400","32,224,809","32,540,354","32,540,354","(315,545)",o
Records,"3,982,310","3,169,468","2,866,275","303,193","4,009,212","4,009,212","4,009,212",o,0
Refunds,25,"187,500",362,"187,138","250,000","250,000","250,000",o,o
Register of Wills,"3,239,193","2,359,250","2,345,017","14,233","3,399,278","3,331,292","3,331,292","67,986",o
Revenue,"14,155,313","13,935,458","13,733,547","201,911","19,899,715","19,501,721","19,501,721","397,994",o
Sheriff,"14,051,802","11,137,795","11,243,655","(105,860)","13,088,657","15,588,657","15,588,657","(2,500,000)",o
Sinking Fund (Debt Service),"197,918,470","189,581,566","189,581,566",o,"223,906,507","216,906,507","216,906,507","7,000,000",0
Streets,"33,779,435","23,442,260","18,032,904","5,409,356","30,407,311","29,862,962","25,862,962","4,544,349","4,000,000"
Engineering Design & Surveying,"4,777,947","3,658,523","3,494,157","164,366","5,078,489","5,078,489","5,078,489",0,o
General Support,"2,915,173","2,358,052","2,144,113","213,939","3,189,859","3,189,859","3,189,859",o,o
Highways,"20,130,929","12,190,854","8,142,034","4,048,820","15,364,561","15,364,561","11,364,561","4,000,000","4,000,000"
Street Lighting,"2,327,998","2,349,360","1,636,019","713,341","3,327,329","2,782,980","2,782,980","544,349",o
Traffic Engineering,"3,627,388","2,885,471","2,616,581","268,890","3,447,073","3,447,073","3,447,073",o,o
Streets Sanitation,"90,319,991","78,284,976","78,909,196","(624,220)","90,945,823","89,896,981","89,896,981","1,048,842",0
Witness Fees,"131,755","128,639","113,217","15,422","171,518","171,518","171,518",o,o
Youth Commission,"77,942","70,560","35,561","34,999","96,000","94,080","94,080","1,920",o
Zoning Board of Adjustment,"329,950","254,888","259,124","(4,236)","362,756","355,501","355,501","7,255",o
Zoning Code Commission,"464,923","181,088","150,124","30,964","225,000","220,500","220,500","4,500",o
TOTAL GENERAL FUND,"3,785,293,330","2,730,617,577","2,711,507,508","19,110,069","3,470,094,630","3,490,369,593","3,487,469,593","(17,374,963)","2,900,000"
