Streets,"24,063,025","21,386,074","18,524,884","2,861,190","27,248,278","30,148,769","26,148,769","1,099,509","4,000,000"
Engineering Design & Surveying,"4,812,522","4,528,000","4,079,296","448,704","6,252,139","6,252,139","6,252,139",0,0
General Support,"2,849,391","3,340,171","3,632,481","(292,310)","4,150,175","5,050,666","5,050,666","(900,491)",o
Highways,"10,529,277","8,638,122","6,653,066","1,985,056","11,130,911","13,130,911","9,130,911","2,000,000","4,000,000"
Street Lighting,"2,714,823","1,781,051","1,358,451","422,600","2,115,980","2,115,980","2,115,980",o,o
Traffic Engineering,"3,157,012","3,098,730","2,801,590","297,140","3,599,073","3,599,073","3,599,073",o,o
Streets Sanitation,"91,814,084","72,434,979","72,244,714","190,265","84,569,823","84,148,823","84,148,823","421,000",0
Witness Fees,"140,479","103,336","103,336",0,"171,518","171,518","171,518",0,o
Youth Commission,"41,737","35,100","35,100",0,"94,080","93,139","93,139",941,0
Zoning Board of Adjustment,"366,353","249,038","254,484","(5,446)","355,501","356,923","356,923","(1,422)",0
Zoning Code Commission,"216,237",o,o,0,0,0,0,o,0
Provision for DC #33 Contract,,,,,0,"11,633,384","11,633,384","(11,633,384)",0
Provision for a portion of the IAFF Arbitration,Award under appeal,,,,0,0,"31,394,721","(31,394,721)","(31,394,721)"
TOTAL GENERAL FUND,"3,484,874,625","2,783,088,285","2,762,496,677","20,591,608","3,603,867,000","3,667,734,043","3,699,128,764","(95,261,764)","(31,394,721)"
