Phila. Nursing Home,"37,784,745","36,899,437","36,899,437",o,"40,377,775","40,377,775","40,377,775",0,0
Environmental Protection Services,"5,777,400","1,287,507","1,287,507",o,"6,272,520","6,272,520","6,272,520",0,0
Administration and Support Svcs,"6,710,274","2,036,132","2,036,132",o,"7,281,792","7,281,792","7,281,792",0,0
Medical Examiner's Office,"3,846,811","1,128,298","1,128,298",o,"3,965,469","3,965,469","3,965,469",0,0
Infectious Disease Control,"5,558,725","3,119,903","3,119,903",o,"5,630,971","5,630,971","5,630,971",o,0
Chronic Disease Control,"492,202","734,351","734,351",o,"1,963,326","1,963,326","1,963,326",0,0
Public Property,"53,167,614","20,527,750","20,527,750",0,"65,028,173","65,028,173","66,028,173","(1,000,000)","(1,000,000)"
Public Property SEPTA Subsidy,"66,360,000","16,230,000","16,230,000",0,"66,360,000","66,360,000","66,360,000",0,0
Public Property Space Rentals,"16,795,777","17,267,661","17,267,661",0,"17,267,661","17,267,661","17,267,661",0,0
Public Property Utilities,"31,157,967","16,524,328","16,524,328",0,"32,015,165","32,015,165","32,015,165",0,0
Records,"3,840,761","1,454,265","1,454,265",0,"4,009,212","4,009,212","4,009,212",0,0
Refunds,382,35,35,0,"250,000","250,000","250,000",0,0
Register of Wills,"3,311,831","719,553","719,553",0,"3,331,292","3,331,292","3,331,292",0,0
Revenue,"18,821,178","4,612,675","4,612,675",0,"19,337,750","19,457,750","19,457,750","(120,000)",0
Sheriff,"15,445,690","3,170,004","3,170,004",0,"14,088,657","14,088,657","15,588,657","(1,500,000)","(1,500,000)"
Sinking Fund (Debt Service),"201,045,528","103,752,706","103,752,706",0,"222,473,567","222,473,567","222,473,567",0,0
Streets,"24,063,025","7,931,435","7,931,435",0,"27,248,278","29,748,278","29,748,278","(2,500,000)",0
Engineering Design & Surveying,"4,812,522","1,301,719","1,301,719",0,"6,252,139","6,252,139","6,252,139",0,0
General Support,"2,849,391","1,696,819","1,696,819",o,"4,150,175","4,650,175","4,650,175","(500,000)",0
Highways,"10,529,277","3,211,040","3,211,040",o,"11,130,911","13,130,911","13,130,911","(2,000,000)",o
Street Lighting,"2,714,823","690,577","690,577",o,"2,115,980","2,115,980","2,115,980",0,0
Traffic Engineering,"3,157,012","1,031,280","1,031,280",o,"3,599,073","3,599,073","3,599,073",o,o
Streets Sanitation,"91,814,084","49,176,869","49,176,869",o,"84,569,823","84,632,823","84,632,823","(63,000)",0
Witness Fees,"140,479","28,223","28,223",0,"171,518","171,518","171,518",o,0
Youth Commission,"41,737","9,731","9,731",0,"94,080","94,080","94,080",0,0
Zoning Board of Adjustment,"366,353","73,517","73,517",0,"355,501","355,501","355,501",0,0
Zoning Code Commission,"216,237",o,0,0,0,0,0,0,0
Non-Rep/Exempt Compensation Package,,,,,0,0,"3,400,000","(3,400,000)","(3,400,000)"
TOTAL GENERAL FUND,"3,484,874,625","1,046,976,467","1,046,976,467",0,"3,603,867,000","3,622,521,988","3,638,721,988","(34,854,988)","(16,200,000)"
