0,1,2,3,4,0.1,1.1,2.1,3.1,4.1
Public Property,"54,595,326","26,470,644","26,168,478","302,166","52,027,433","51,721,912","51,721,912","305,521",
Public Property SEPTA Subsidy,"65,878,000","33,180,000","33,180,000",o,"66,360,000","66,360,000","66,360,000",o,
Public Property Space Rentals,"15,211,472","17,282,671","17,282,171",500,"18,221,209","17,284,671","17,284,671","936,538",
Public Property Utilities,"33,099,864","31,784,079","32,225,375","(441,296)","32,224,809","32,540,354","32,540,354","(315,545)",
Records,"3,982,310","2,085,515","2,034,148","51,367","4,009,212","4,009,212","4,009,212",0,
Refunds,25,"125,000",238,"124,762","250,000","250,000","250,000",o,
Register of Wills,"3,239,193","1,605,980","1,595,036","10,944","3,399,278","3,331,292","3,331,292","67,986",
Revenue,"14,155,313","9,348,742","9,690,795","(342,053)","19,899,715","19,501,721","19,501,721","397,994",
Sheriff,"14,051,802","6,331,879","7,743,728","(1,411,849)","13,088,657","13,088,657","15,588,657","(2,500,000)","(2,500,000)"
Sinking Fund (Debt Service),"197,918,470","127,025,198","127,025,198",o,"223,906,507","216,906,507","216,906,507","7,000,000",
Streets,"33,779,435","13,194,290","11,430,766","1,763,524","30,407,311","29,862,962","29,862,962","544,349",
Engineering Design & Surveying,"4,777,947","2,240,815","2,176,676","64,139","5,078,489","5,078,489","5,078,489",0,
General Support,"2,915,173","1,524,695","1,393,580","131,115","3,189,859","3,189,859","3,189,859",o,
Highways,"20,130,929","5,426,962","4,733,693","693,269","15,364,561","15,364,561","15,364,561",o,
Street Lighting,"2,327,998","1,908,107","1,190,021","718,086","3,327,329","2,782,980","2,782,980","544,349",
Traffic Engineering,"3,627,388","2,093,711","1,936,796","156,915","3,447,073","3,447,073","3,447,073",o,
Streets Sanitation,"90,319,991","66,675,076","66,802,147","(127,071)","90,945,823","89,896,981","89,896,981","1,048,842",
Witness Fees,"131,755","85,759","64,477","21,282","171,518","171,518","171,518",o,
Youth Commission,"77,942","48,000","27,715","20,285","96,000","94,080","94,080","1,920",
Zoning Board of Adjustment,"329,950","174,106","175,176","(1,070)","362,756","355,501","355,501","7,255",
Zoning Code Commission,"464,923","140,932","145,668","(4,736)","225,000","220,500","220,500","4,500",
TOTAL GENERAL FUND,3785293330,1650590442,1659152728,-8562286,"3,470,094,630","3,451,889,916","3,474,089,916","(3,995,286)","(22,200,000)"
