category,fiscal_month,amount,fiscal_year,quarter,month
Total Cash Receipts,6,356.3,2023,3,12
Real Estate Tax,7,52.2,2023,3,1
"Wage, Earnings, Net Profits",7,184.9,2023,3,1
Realty Transfer Tax,7,22.8,2023,3,1
Sales Tax,7,16.1,2023,3,1
BIRT,7,13.8,2023,3,1
Beverage Tax,7,7.8,2023,3,1
Other Taxes,7,12.8,2023,3,1
Locally Generated Non-Tax,7,26.9,2023,3,1
Other Governments,7,22.9,2023,3,1
PICA Other Governments,7,49.4,2023,3,1
Interfund Transfers,7,0.0,2023,3,1
Total Current Revenue,7,409.5,2023,3,1
Prior Year Revenue,7,0.0,2023,3,1
Other Adjustments,7,0.0,2023,3,1
Total Cash Receipts,7,409.5,2023,3,1
Real Estate Tax,8,66.5,2023,3,2
"Wage, Earnings, Net Profits",8,119.1,2023,3,2
Realty Transfer Tax,8,19.3,2023,3,2
Sales Tax,8,19.7,2023,3,2
BIRT,8,15.6,2023,3,2
Beverage Tax,8,5.4,2023,3,2
Other Taxes,8,11.8,2023,3,2
Locally Generated Non-Tax,8,29.7,2023,3,2
Other Governments,8,6.0,2023,3,2
PICA Other Governments,8,34.6,2023,3,2
Interfund Transfers,8,0.0,2023,3,2
Total Current Revenue,8,327.8,2023,3,2
Prior Year Revenue,8,0.0,2023,3,2
Other Adjustments,8,0.0,2023,3,2
Total Cash Receipts,8,327.8,2023,3,2
Real Estate Tax,9,487.5,2023,3,3
"Wage, Earnings, Net Profits",9,160.2,2023,3,3
Realty Transfer Tax,9,21.2,2023,3,3
Sales Tax,9,16.1,2023,3,3
BIRT,9,49.6,2023,3,3
Beverage Tax,9,5.4,2023,3,3
Other Taxes,9,12.2,2023,3,3
Locally Generated Non-Tax,9,51.8,2023,3,3
Other Governments,9,71.8,2023,3,3
PICA Other Governments,9,54.5,2023,3,3
Interfund Transfers,9,335.0,2023,3,3
Total Current Revenue,9,1265.2,2023,3,3
Prior Year Revenue,9,0.0,2023,3,3
Other Adjustments,9,0.0,2023,3,3
Total Cash Receipts,9,1265.2,2023,3,3
Real Estate Tax,10,121.7,2023,3,4
"Wage, Earnings, Net Profits",10,170.6,2023,3,4
Realty Transfer Tax,10,20.6,2023,3,4
Sales Tax,10,31.5,2023,3,4
BIRT,10,364.7,2023,3,4
Beverage Tax,10,6.1,2023,3,4
Other Taxes,10,15.0,2023,3,4
Locally Generated Non-Tax,10,24.3,2023,3,4
Other Governments,10,15.7,2023,3,4
PICA Other Governments,10,57.4,2023,3,4
Interfund Transfers,10,0.0,2023,3,4
Total Current Revenue,10,827.7,2023,3,4
Prior Year Revenue,10,0.0,2023,3,4
Other Adjustments,10,0.0,2023,3,4
Total Cash Receipts,10,827.7,2023,3,4
Real Estate Tax,11,8.5,2023,3,5
"Wage, Earnings, Net Profits",11,136.5,2023,3,5
Realty Transfer Tax,11,32.7,2023,3,5
Sales Tax,11,31.1,2023,3,5
BIRT,11,70.7,2023,3,5
Beverage Tax,11,4.3,2023,3,5
Other Taxes,11,9.6,2023,3,5
Locally Generated Non-Tax,11,23.2,2023,3,5
Other Governments,11,28.4,2023,3,5
PICA Other Governments,11,57.6,2023,3,5
Interfund Transfers,11,0.0,2023,3,5
Total Current Revenue,11,402.6,2023,3,5
Prior Year Revenue,11,0.0,2023,3,5
Other Adjustments,11,0.0,2023,3,5
Total Cash Receipts,11,402.6,2023,3,5
Real Estate Tax,12,-5.7,2023,3,6
"Wage, Earnings, Net Profits",12,124.4,2023,3,6
Realty Transfer Tax,12,35.9,2023,3,6
Sales Tax,12,29.6,2023,3,6
BIRT,12,66.8,2023,3,6
Beverage Tax,12,4.2,2023,3,6
Other Taxes,12,9.2,2023,3,6
Locally Generated Non-Tax,12,23.3,2023,3,6
Other Governments,12,2.8,2023,3,6
PICA Other Governments,12,42.5,2023,3,6
Interfund Transfers,12,25.9,2023,3,6
Total Current Revenue,12,358.8,2023,3,6
Prior Year Revenue,12,0.0,2023,3,6
Other Adjustments,12,0.0,2023,3,6
Total Cash Receipts,12,358.8,2023,3,6
Real Estate Tax,1,11.6,2023,2,7
"Wage, Earnings, Net Profits",1,125.5,2023,2,7
Realty Transfer Tax,1,51.5,2023,2,7
Sales Tax,1,35.9,2023,2,7
BIRT,1,12.1,2023,2,7
Beverage Tax,1,6.3,2023,2,7
Other Taxes,1,12.0,2023,2,7
Locally Generated Non-Tax,1,33.8,2023,2,7
Other Governments,1,11.6,2023,2,7
PICA Other Governments,1,83.1,2023,2,7
Interfund Transfers,1,0.0,2023,2,7
Total Current Revenue,1,383.3,2023,2,7
Prior Year Revenue,1,30.1,2023,2,7
Other Adjustments,1,0.0,2023,2,7
Total Cash Receipts,1,413.4,2023,2,7
Real Estate Tax,2,10.6,2023,2,8
"Wage, Earnings, Net Profits",2,159.7,2023,2,8
Realty Transfer Tax,2,53.1,2023,2,8
Sales Tax,2,35.0,2023,2,8
BIRT,2,9.8,2023,2,8
Beverage Tax,2,4.8,2023,2,8
Other Taxes,2,14.7,2023,2,8
Locally Generated Non-Tax,2,38.4,2023,2,8
Other Governments,2,61.7,2023,2,8
PICA Other Governments,2,8.5,2023,2,8
Interfund Transfers,2,0.0,2023,2,8
Total Current Revenue,2,396.4,2023,2,8
Prior Year Revenue,2,0.0,2023,2,8
Other Adjustments,2,0.0,2023,2,8
Total Cash Receipts,2,396.4,2023,2,8
Real Estate Tax,3,5.2,2023,2,9
"Wage, Earnings, Net Profits",3,107.8,2023,2,9
Realty Transfer Tax,3,48.7,2023,2,9
Sales Tax,3,14.9,2023,2,9
BIRT,3,36.2,2023,2,9
Beverage Tax,3,6.2,2023,2,9
Other Taxes,3,11.1,2023,2,9
Locally Generated Non-Tax,3,34.9,2023,2,9
Other Governments,3,6.0,2023,2,9
PICA Other Governments,3,35.3,2023,2,9
Interfund Transfers,3,0.0,2023,2,9
Total Current Revenue,3,306.4,2023,2,9
Prior Year Revenue,3,34.0,2023,2,9
Other Adjustments,3,0.0,2023,2,9
Total Cash Receipts,3,340.5,2023,2,9
Real Estate Tax,4,17.7,2023,2,10
"Wage, Earnings, Net Profits",4,188.1,2023,2,10
Realty Transfer Tax,4,39.0,2023,2,10
Sales Tax,4,16.4,2023,2,10
BIRT,4,31.8,2023,2,10
Beverage Tax,4,7.2,2023,2,10
Other Taxes,4,10.3,2023,2,10
Locally Generated Non-Tax,4,22.5,2023,2,10
Other Governments,4,100.5,2023,2,10
PICA Other Governments,4,60.8,2023,2,10
Interfund Transfers,4,0.0,2023,2,10
Total Current Revenue,4,494.4,2023,2,10
Prior Year Revenue,4,83.8,2023,2,10
Other Adjustments,4,0.0,2023,2,10
Total Cash Receipts,4,578.2,2023,2,10
Real Estate Tax,5,5.4,2023,2,11
"Wage, Earnings, Net Profits",5,131.9,2023,2,11
Realty Transfer Tax,5,31.6,2023,2,11
Sales Tax,5,17.5,2023,2,11
BIRT,5,11.8,2023,2,11
Beverage Tax,5,5.8,2023,2,11
Other Taxes,5,11.7,2023,2,11
Locally Generated Non-Tax,5,39.1,2023,2,11
Other Governments,5,8.7,2023,2,11
PICA Other Governments,5,66.0,2023,2,11
Interfund Transfers,5,0.0,2023,2,11
Total Current Revenue,5,329.4,2023,2,11
Prior Year Revenue,5,0.0,2023,2,11
Other Adjustments,5,0.0,2023,2,11
Total Cash Receipts,5,329.4,2023,2,11
Real Estate Tax,6,32.7,2023,2,12
"Wage, Earnings, Net Profits",6,134.7,2023,2,12
Realty Transfer Tax,6,22.3,2023,2,12
Sales Tax,6,16.4,2023,2,12
BIRT,6,46.6,2023,2,12
Beverage Tax,6,5.7,2023,2,12
Other Taxes,6,8.2,2023,2,12
Locally Generated Non-Tax,6,28.2,2023,2,12
Other Governments,6,11.6,2023,2,12
PICA Other Governments,6,50.0,2023,2,12
Interfund Transfers,6,0.0,2023,2,12
Total Current Revenue,6,356.3,2023,2,12
Prior Year Revenue,6,0.0,2023,2,12
Other Adjustments,6,0.0,2023,2,12
Total Cash Receipts,6,356.3,2023,2,12
Real Estate Tax,7,52.2,2023,2,1
"Wage, Earnings, Net Profits",7,184.9,2023,2,1
Realty Transfer Tax,7,22.8,2023,2,1
Sales Tax,7,16.1,2023,2,1
BIRT,7,13.8,2023,2,1
Beverage Tax,7,7.8,2023,2,1
Other Taxes,7,12.8,2023,2,1
Locally Generated Non-Tax,7,26.9,2023,2,1
Other Governments,7,22.9,2023,2,1
PICA Other Governments,7,49.4,2023,2,1
Interfund Transfers,7,0.0,2023,2,1
Total Current Revenue,7,409.5,2023,2,1
Prior Year Revenue,7,0.0,2023,2,1
Other Adjustments,7,0.0,2023,2,1
Total Cash Receipts,7,409.5,2023,2,1
Real Estate Tax,8,81.4,2023,2,2
"Wage, Earnings, Net Profits",8,129.6,2023,2,2
Realty Transfer Tax,8,25.4,2023,2,2
Sales Tax,8,20.1,2023,2,2
BIRT,8,6.4,2023,2,2
Beverage Tax,8,4.6,2023,2,2
Other Taxes,8,12.7,2023,2,2
Locally Generated Non-Tax,8,22.0,2023,2,2
Other Governments,8,54.7,2023,2,2
PICA Other Governments,8,47.1,2023,2,2
Interfund Transfers,8,0.0,2023,2,2
Total Current Revenue,8,403.9,2023,2,2
Prior Year Revenue,8,0.0,2023,2,2
Other Adjustments,8,0.0,2023,2,2
Total Cash Receipts,8,403.9,2023,2,2
Real Estate Tax,9,445.4,2023,2,3
"Wage, Earnings, Net Profits",9,148.6,2023,2,3
Realty Transfer Tax,9,33.4,2023,2,3
Sales Tax,9,15.5,2023,2,3
BIRT,9,63.9,2023,2,3
Beverage Tax,9,4.6,2023,2,3
Other Taxes,9,12.8,2023,2,3
Locally Generated Non-Tax,9,26.7,2023,2,3
Other Governments,9,25.0,2023,2,3
PICA Other Governments,9,71.6,2023,2,3
Interfund Transfers,9,335.0,2023,2,3
Total Current Revenue,9,1182.5,2023,2,3
Prior Year Revenue,9,0.0,2023,2,3
Other Adjustments,9,0.0,2023,2,3
Total Cash Receipts,9,1182.5,2023,2,3
Real Estate Tax,10,125.0,2023,2,4
"Wage, Earnings, Net Profits",10,172.2,2023,2,4
Realty Transfer Tax,10,31.8,2023,2,4
Sales Tax,10,24.5,2023,2,4
BIRT,10,402.8,2023,2,4
Beverage Tax,10,5.4,2023,2,4
Other Taxes,10,14.1,2023,2,4
Locally Generated Non-Tax,10,21.6,2023,2,4
Other Governments,10,18.7,2023,2,4
PICA Other Governments,10,41.7,2023,2,4
Interfund Transfers,10,0.0,2023,2,4
Total Current Revenue,10,857.8,2023,2,4
Prior Year Revenue,10,0.0,2023,2,4
Other Adjustments,10,0.0,2023,2,4
Total Cash Receipts,10,857.8,2023,2,4
Real Estate Tax,11,16.5,2023,2,5
"Wage, Earnings, Net Profits",11,136.4,2023,2,5
Realty Transfer Tax,11,32.7,2023,2,5
Sales Tax,11,34.8,2023,2,5
BIRT,11,70.7,2023,2,5
Beverage Tax,11,5.1,2023,2,5
Other Taxes,11,11.6,2023,2,5
Locally Generated Non-Tax,11,30.5,2023,2,5
Other Governments,11,16.0,2023,2,5
PICA Other Governments,11,47.6,2023,2,5
Interfund Transfers,11,0.0,2023,2,5
Total Current Revenue,11,401.8,2023,2,5
Prior Year Revenue,11,0.0,2023,2,5
Other Adjustments,11,0.0,2023,2,5
Total Cash Receipts,11,401.8,2023,2,5
Real Estate Tax,12,10.2,2023,2,6
"Wage, Earnings, Net Profits",12,124.1,2023,2,6
Realty Transfer Tax,12,31.4,2023,2,6
Sales Tax,12,33.1,2023,2,6
BIRT,12,23.6,2023,2,6
Beverage Tax,12,4.7,2023,2,6
Other Taxes,12,10.6,2023,2,6
Locally Generated Non-Tax,12,23.3,2023,2,6
Other Governments,12,8.8,2023,2,6
PICA Other Governments,12,38.7,2023,2,6
Interfund Transfers,12,25.9,2023,2,6
Total Current Revenue,12,334.2,2023,2,6
Prior Year Revenue,12,0.0,2023,2,6
Other Adjustments,12,0.0,2023,2,6
Total Cash Receipts,12,334.2,2023,2,6
Real Estate Tax,1,11.6,2023,1,7
"Wage, Earnings, Net Profits",1,125.5,2023,1,7
Realty Transfer Tax,1,51.5,2023,1,7
Sales Tax,1,35.9,2023,1,7
BIRT,1,12.1,2023,1,7
Beverage Tax,1,6.3,2023,1,7
Other Taxes,1,12.0,2023,1,7
Locally Generated Non-Tax,1,33.8,2023,1,7
Other Governments,1,11.6,2023,1,7
PICA Other Governments,1,83.1,2023,1,7
Interfund Transfers,1,0.0,2023,1,7
Total Current Revenue,1,383.3,2023,1,7
Prior Year Revenue,1,30.1,2023,1,7
Other Adjustments,1,0.0,2023,1,7
Total Cash Receipts,1,413.4,2023,1,7
Real Estate Tax,2,10.6,2023,1,8
"Wage, Earnings, Net Profits",2,159.7,2023,1,8
Realty Transfer Tax,2,53.1,2023,1,8
Sales Tax,2,35.0,2023,1,8
BIRT,2,9.8,2023,1,8
Beverage Tax,2,4.8,2023,1,8
Other Taxes,2,14.7,2023,1,8
Locally Generated Non-Tax,2,38.4,2023,1,8
Other Governments,2,61.7,2023,1,8
PICA Other Governments,2,8.5,2023,1,8
Interfund Transfers,2,0.0,2023,1,8
Total Current Revenue,2,396.4,2023,1,8
Prior Year Revenue,2,0.0,2023,1,8
Other Adjustments,2,0.0,2023,1,8
Total Cash Receipts,2,396.4,2023,1,8
Real Estate Tax,3,5.2,2023,1,9
"Wage, Earnings, Net Profits",3,107.8,2023,1,9
Realty Transfer Tax,3,48.7,2023,1,9
Sales Tax,3,14.9,2023,1,9
BIRT,3,36.2,2023,1,9
Beverage Tax,3,6.2,2023,1,9
Other Taxes,3,11.1,2023,1,9
Locally Generated Non-Tax,3,34.9,2023,1,9
Other Governments,3,6.0,2023,1,9
PICA Other Governments,3,35.3,2023,1,9
Interfund Transfers,3,0.0,2023,1,9
Total Current Revenue,3,306.4,2023,1,9
Prior Year Revenue,3,34.0,2023,1,9
Other Adjustments,3,0.0,2023,1,9
Total Cash Receipts,3,340.5,2023,1,9
Real Estate Tax,4,17.7,2023,1,10
"Wage, Earnings, Net Profits",4,188.1,2023,1,10
Realty Transfer Tax,4,39.0,2023,1,10
Sales Tax,4,16.4,2023,1,10
BIRT,4,31.8,2023,1,10
Beverage Tax,4,7.2,2023,1,10
Other Taxes,4,10.3,2023,1,10
Locally Generated Non-Tax,4,22.5,2023,1,10
Other Governments,4,100.5,2023,1,10
PICA Other Governments,4,60.8,2023,1,10
Interfund Transfers,4,0.0,2023,1,10
Total Current Revenue,4,494.4,2023,1,10
Prior Year Revenue,4,83.8,2023,1,10
Other Adjustments,4,0.0,2023,1,10
Total Cash Receipts,4,578.2,2023,1,10
Real Estate Tax,5,7.1,2023,1,11
"Wage, Earnings, Net Profits",5,132.5,2023,1,11
Realty Transfer Tax,5,29.1,2023,1,11
Sales Tax,5,17.5,2023,1,11
BIRT,5,4.8,2023,1,11
Beverage Tax,5,6.4,2023,1,11
Other Taxes,5,10.6,2023,1,11
Locally Generated Non-Tax,5,29.3,2023,1,11
Other Governments,5,62.7,2023,1,11
PICA Other Governments,5,46.1,2023,1,11
Interfund Transfers,5,0.0,2023,1,11
Total Current Revenue,5,346.1,2023,1,11
Prior Year Revenue,5,0.0,2023,1,11
Other Adjustments,5,0.0,2023,1,11
Total Cash Receipts,5,346.1,2023,1,11
Real Estate Tax,6,30.6,2023,1,12
"Wage, Earnings, Net Profits",6,124.0,2023,1,12
Realty Transfer Tax,6,22.1,2023,1,12
Sales Tax,6,16.3,2023,1,12
BIRT,6,25.5,2023,1,12
Beverage Tax,6,6.4,2023,1,12
Other Taxes,6,10.1,2023,1,12
Locally Generated Non-Tax,6,25.4,2023,1,12
Other Governments,6,0.6,2023,1,12
PICA Other Governments,6,33.9,2023,1,12
Interfund Transfers,6,0.0,2023,1,12
Total Current Revenue,6,295.0,2023,1,12
Prior Year Revenue,6,0.0,2023,1,12
Other Adjustments,6,0.0,2023,1,12
Total Cash Receipts,6,295.0,2023,1,12
Real Estate Tax,7,33.2,2023,1,1
"Wage, Earnings, Net Profits",7,179.0,2023,1,1
Realty Transfer Tax,7,20.7,2023,1,1
Sales Tax,7,15.7,2023,1,1
BIRT,7,28.2,2023,1,1
Beverage Tax,7,6.6,2023,1,1
Other Taxes,7,10.7,2023,1,1
Locally Generated Non-Tax,7,29.3,2023,1,1
Other Governments,7,25.5,2023,1,1
PICA Other Governments,7,46.1,2023,1,1
Interfund Transfers,7,0.0,2023,1,1
Total Current Revenue,7,395.2,2023,1,1
Prior Year Revenue,7,0.0,2023,1,1
Other Adjustments,7,0.0,2023,1,1
Total Cash Receipts,7,395.2,2023,1,1
Real Estate Tax,8,81.4,2023,1,2
"Wage, Earnings, Net Profits",8,129.6,2023,1,2
Realty Transfer Tax,8,14.4,2023,1,2
Sales Tax,8,19.0,2023,1,2
BIRT,8,6.4,2023,1,2
Beverage Tax,8,6.1,2023,1,2
Other Taxes,8,10.1,2023,1,2
Locally Generated Non-Tax,8,24.0,2023,1,2
Other Governments,8,0.5,2023,1,2
PICA Other Governments,8,47.1,2023,1,2
Interfund Transfers,8,0.0,2023,1,2
Total Current Revenue,8,338.5,2023,1,2
Prior Year Revenue,8,0.0,2023,1,2
Other Adjustments,8,0.0,2023,1,2
Total Cash Receipts,8,338.5,2023,1,2
Real Estate Tax,9,465.4,2023,1,3
"Wage, Earnings, Net Profits",9,147.6,2023,1,3
Realty Transfer Tax,9,22.4,2023,1,3
Sales Tax,9,17.2,2023,1,3
BIRT,9,63.9,2023,1,3
Beverage Tax,9,6.0,2023,1,3
Other Taxes,9,10.8,2023,1,3
Locally Generated Non-Tax,9,28.7,2023,1,3
Other Governments,9,27.6,2023,1,3
PICA Other Governments,9,90.1,2023,1,3
Interfund Transfers,9,335.0,2023,1,3
Total Current Revenue,9,1214.7,2023,1,3
Prior Year Revenue,9,0.0,2023,1,3
Other Adjustments,9,0.0,2023,1,3
Total Cash Receipts,9,1214.7,2023,1,3
Real Estate Tax,10,125.0,2023,1,4
"Wage, Earnings, Net Profits",10,172.8,2023,1,4
Realty Transfer Tax,10,20.8,2023,1,4
Sales Tax,10,29.4,2023,1,4
BIRT,10,339.5,2023,1,4
Beverage Tax,10,6.8,2023,1,4
Other Taxes,10,12.1,2023,1,4
Locally Generated Non-Tax,10,23.6,2023,1,4
Other Governments,10,20.6,2023,1,4
PICA Other Governments,10,41.7,2023,1,4
Interfund Transfers,10,0.0,2023,1,4
Total Current Revenue,10,792.2,2023,1,4
Prior Year Revenue,10,0.0,2023,1,4
Other Adjustments,10,0.0,2023,1,4
Total Cash Receipts,10,792.2,2023,1,4
Real Estate Tax,11,16.5,2023,1,5
"Wage, Earnings, Net Profits",11,135.4,2023,1,5
Realty Transfer Tax,11,21.7,2023,1,5
Sales Tax,11,35.4,2023,1,5
BIRT,11,70.7,2023,1,5
Beverage Tax,11,6.6,2023,1,5
Other Taxes,11,9.6,2023,1,5
Locally Generated Non-Tax,11,30.9,2023,1,5
Other Governments,11,16.0,2023,1,5
PICA Other Governments,11,47.6,2023,1,5
Interfund Transfers,11,0.0,2023,1,5
Total Current Revenue,11,390.3,2023,1,5
Prior Year Revenue,11,0.0,2023,1,5
Other Adjustments,11,0.0,2023,1,5
Total Cash Receipts,11,390.3,2023,1,5
Real Estate Tax,12,10.2,2023,1,6
"Wage, Earnings, Net Profits",12,124.7,2023,1,6
Realty Transfer Tax,12,20.3,2023,1,6
Sales Tax,12,33.7,2023,1,6
BIRT,12,23.6,2023,1,6
Beverage Tax,12,6.8,2023,1,6
Other Taxes,12,8.6,2023,1,6
Locally Generated Non-Tax,12,25.3,2023,1,6
Other Governments,12,14.0,2023,1,6
PICA Other Governments,12,38.7,2023,1,6
Interfund Transfers,12,25.9,2023,1,6
Total Current Revenue,12,331.7,2023,1,6
Prior Year Revenue,12,0.0,2023,1,6
Other Adjustments,12,0.0,2023,1,6
Total Cash Receipts,12,331.7,2023,1,6
Real Estate Tax,1,7.2,2022,4,7
"Wage, Earnings, Net Profits",1,93.6,2022,4,7
Realty Transfer Tax,1,14.2,2022,4,7
Sales Tax,1,31.5,2022,4,7
BIRT,1,9.7,2022,4,7
Beverage Tax,1,7.1,2022,4,7
Other Taxes,1,8.0,2022,4,7
Locally Generated Non-Tax,1,34.1,2022,4,7
Other Governments,1,10.4,2022,4,7
PICA Other Governments,1,19.5,2022,4,7
Interfund Transfers,1,0.0,2022,4,7
Total Current Revenue,1,235.1,2022,4,7
Prior Year Revenue,1,3.3,2022,4,7
Other Adjustments,1,0.0,2022,4,7
Total Cash Receipts,1,238.4,2022,4,7
Real Estate Tax,2,7.5,2022,4,8
"Wage, Earnings, Net Profits",2,132.0,2022,4,8
Realty Transfer Tax,2,25.2,2022,4,8
Sales Tax,2,34.5,2022,4,8
BIRT,2,7.9,2022,4,8
Beverage Tax,2,6.8,2022,4,8
Other Taxes,2,12.3,2022,4,8
Locally Generated Non-Tax,2,33.2,2022,4,8
Other Governments,2,52.9,2022,4,8
PICA Other Governments,2,43.7,2022,4,8
Interfund Transfers,2,0.0,2022,4,8
Total Current Revenue,2,356.0,2022,4,8
Prior Year Revenue,2,35.6,2022,4,8
Other Adjustments,2,0.0,2022,4,8
Total Cash Receipts,2,391.6,2022,4,8
Real Estate Tax,3,5.3,2022,4,9
"Wage, Earnings, Net Profits",3,120.6,2022,4,9
Realty Transfer Tax,3,23.2,2022,4,9
Sales Tax,3,16.3,2022,4,9
BIRT,3,32.0,2022,4,9
Beverage Tax,3,6.6,2022,4,9
Other Taxes,3,9.6,2022,4,9
Locally Generated Non-Tax,3,25.7,2022,4,9
Other Governments,3,85.3,2022,4,9
PICA Other Governments,3,54.7,2022,4,9
Interfund Transfers,3,0.0,2022,4,9
Total Current Revenue,3,379.3,2022,4,9
Prior Year Revenue,3,2.0,2022,4,9
Other Adjustments,3,0.0,2022,4,9
Total Cash Receipts,3,381.3,2022,4,9
Real Estate Tax,4,3.9,2022,4,10
"Wage, Earnings, Net Profits",4,120.1,2022,4,10
Realty Transfer Tax,4,17.2,2022,4,10
Sales Tax,4,15.3,2022,4,10
BIRT,4,21.1,2022,4,10
Beverage Tax,4,8.2,2022,4,10
Other Taxes,4,8.9,2022,4,10
Locally Generated Non-Tax,4,24.6,2022,4,10
Other Governments,4,14.6,2022,4,10
PICA Other Governments,4,21.9,2022,4,10
Interfund Transfers,4,0.0,2022,4,10
Total Current Revenue,4,255.6,2022,4,10
Prior Year Revenue,4,11.3,2022,4,10
Other Adjustments,4,0.0,2022,4,10
Total Cash Receipts,4,266.9,2022,4,10
Real Estate Tax,5,4.4,2022,4,11
"Wage, Earnings, Net Profits",5,144.6,2022,4,11
Realty Transfer Tax,5,25.7,2022,4,11
Sales Tax,5,17.2,2022,4,11
BIRT,5,17.3,2022,4,11
Beverage Tax,5,4.8,2022,4,11
Other Taxes,5,15.5,2022,4,11
Locally Generated Non-Tax,5,23.9,2022,4,11
Other Governments,5,43.2,2022,4,11
PICA Other Governments,5,0.0,2022,4,11
Interfund Transfers,5,0.0,2022,4,11
Total Current Revenue,5,296.5,2022,4,11
Prior Year Revenue,5,0.0,2022,4,11
Other Adjustments,5,0.0,2022,4,11
Total Cash Receipts,5,296.5,2022,4,11
Real Estate Tax,6,36.1,2022,4,12
"Wage, Earnings, Net Profits",6,139.0,2022,4,12
Realty Transfer Tax,6,67.4,2022,4,12
Sales Tax,6,15.8,2022,4,12
BIRT,6,66.5,2022,4,12
Beverage Tax,6,7.1,2022,4,12
Other Taxes,6,4.0,2022,4,12
Locally Generated Non-Tax,6,53.1,2022,4,12
Other Governments,6,0.6,2022,4,12
PICA Other Governments,6,33.9,2022,4,12
Interfund Transfers,6,0.0,2022,4,12
Total Current Revenue,6,423.5,2022,4,12
Prior Year Revenue,6,0.0,2022,4,12
Other Adjustments,6,0.0,2022,4,12
