dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
First Judicial District,79003779.0,2022,Target Budget,YTD,2022-03-31,First Judicial District,84,FJD,3,2022,84
Fleet Services,36626856.0,2022,Target Budget,YTD,2022-03-31,Office of Fleet Management,25,Fleet,3,2022,25
Fleet Services - Vehicle Purchases,9057518.0,2022,Target Budget,YTD,2022-03-31,Fleet: Vehicle Lease/Purchases,25-V,,3,2022,25
Free Library,30435011.0,2022,Target Budget,YTD,2022-03-31,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,1666268.0,2022,Target Budget,YTD,2022-03-31,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services,154681113.0,2022,Target Budget,YTD,2022-03-31,Department of Human Services,22,DHS,3,2022,22
Labor,1872074.0,2022,Target Budget,YTD,2022-03-31,Labor,03,,3,2022,03
Law,14764074.0,2022,Target Budget,YTD,2022-03-31,Law Department,44,Law,3,2022,44
Licenses & Inspections,28374786.0,2022,Target Budget,YTD,2022-03-31,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,53936.0,2022,Target Budget,YTD,2022-03-31,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,101193.0,2022,Target Budget,YTD,2022-03-31,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,67460075.0,2022,Target Budget,YTD,2022-03-31,Managing Director's Office,10,MDO,3,2022,10
Managing Director-Legal Services,52404449.0,2022,Target Budget,YTD,2022-03-31,MDO: Legal Services,10-LS,,3,2022,10
Mayor's Office,4527487.0,2022,Target Budget,YTD,2022-03-31,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Scholarships,130000.0,2022,Target Budget,YTD,2022-03-31,Mayor's Office: Scholarships,05-S,,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,802000.0,2022,Target Budget,YTD,2022-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,2358137.0,2022,Target Budget,YTD,2022-03-31,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,21621148.0,2022,Target Budget,YTD,2022-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,4865750.0,2022,Target Budget,YTD,2022-03-31,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,303611.0,2022,Target Budget,YTD,2022-03-31,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,51216513.0,2022,Target Budget,YTD,2022-03-31,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,4407242.0,2022,Target Budget,YTD,2022-03-31,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology-Base,54092914.0,2022,Target Budget,YTD,2022-03-31,Office of Innovation and Technology,04,OIT,3,2022,04
Office of Innovation and Technology-911,17416253.0,2022,Target Budget,YTD,2022-03-31,OIT: 911,04-911,,3,2022,04
Office of the Inspector General,1110742.0,2022,Target Budget,YTD,2022-03-31,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,10911829.0,2022,Target Budget,YTD,2022-03-31,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,1041502.0,2022,Target Budget,YTD,2022-03-31,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,46978691.0,2022,Target Budget,YTD,2022-03-31,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,11723926.0,2022,Target Budget,YTD,2022-03-31,Department of Planning and Development,72,Planning & Development,3,2022,72
Police,525732733.0,2022,Target Budget,YTD,2022-03-31,Police Department,11,Police,3,2022,11
Prisons,177335777.0,2022,Target Budget,YTD,2022-03-31,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,3016809.0,2022,Target Budget,YTD,2022-03-31,Procurement Department,38,Procurement,3,2022,38
Public Health,124384038.0,2022,Target Budget,YTD,2022-03-31,Department of Public Health,14,Public Health,3,2022,14
Public Property,42234251.0,2022,Target Budget,YTD,2022-03-31,Department of Public Property,20,Public Property,3,2022,20
Public Property-SEPTA Subsidy,65910500.0,2022,Target Budget,YTD,2022-03-31,Public Property: SEPTA Subsidy,20-SS,,3,2022,20
Public Property-Space Rentals,30427005.0,2022,Target Budget,YTD,2022-03-31,Public Property: Space Rentals,20-SR,,3,2022,20
Public Property-Utilities,22294483.0,2022,Target Budget,YTD,2022-03-31,Public Property: Utilities,20-U,,3,2022,20
Records,3064567.0,2022,Target Budget,YTD,2022-03-31,Department of Records,31,Records,3,2022,31
Register of Wills,3168483.0,2022,Target Budget,YTD,2022-03-31,Register of Wills,68,,3,2022,68
Revenue,16964618.0,2022,Target Budget,YTD,2022-03-31,Department of Revenue,36,Revenue,3,2022,36
Sheriff,19069925.0,2022,Target Budget,YTD,2022-03-31,Office of the Sheriff,70,Sheriff,3,2022,70
Sinking Fund Commission (Debt Service),253579391.0,2022,Target Budget,YTD,2022-03-31,Sinking Fund Commission,37,Sinking Fund,3,2022,37
Streets-Disposal,38322870.0,2022,Target Budget,YTD,2022-03-31,Streets: Disposal,12-D,,3,2022,12
Streets,87714484.0,2022,Target Budget,YTD,2022-03-31,Streets Department,12,Streets,3,2022,12
Art Museum Subsidy,1530000.0,2022,Actual,YTD,2022-03-31,Art Museum,34,,3,2022,34
Auditing (City Controller's Office),7369031.0,2022,Actual,YTD,2022-03-31,City Controller's Office,61,,3,2022,61
Board of Ethics,598092.0,2022,Actual,YTD,2022-03-31,Board of Ethics,45,,3,2022,45
Board of Revision of Taxes,759997.0,2022,Actual,YTD,2022-03-31,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),12414353.0,2022,Actual,YTD,2022-03-31,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,12177701.0,2022,Actual,YTD,2022-03-31,City Council,01,,3,2022,01
City Treasurer,2102376.0,2022,Actual,YTD,2022-03-31,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,127221.0,2022,Actual,YTD,2022-03-31,Civil Service Commission,55,,3,2022,55
Commerce,10317319.0,2022,Actual,YTD,2022-03-31,Office of the Director of Commerce,42,Commerce,3,2022,42
Commerce-Convention Center Subsidy,15000000.0,2022,Actual,YTD,2022-03-31,Commerce: Convention Center Subsidy,42-CC,,3,2022,42
Commerce-Economic Stimulus,5834550.0,2022,Actual,YTD,2022-03-31,Commerce: Economic Stimulus,42-ES,,3,2022,42
District Attorney,32707433.0,2022,Actual,YTD,2022-03-31,District Attorney's Office,69,DAO,3,2022,69
Finance,23564115.0,2022,Actual,YTD,2022-03-31,Office of the Director of Finance,35,Finance,3,2022,35
Finance-Budget Stabilization Reserve,0.0,2022,Actual,YTD,2022-03-31,Finance: Budget Stabilization Reserve,35-BSR,,3,2022,35
Finance-Disability-Reg #32 Payroll,1840134.0,2022,Actual,YTD,2022-03-31,Finance: Reg #32,35-R32,,3,2022,35
Finance-Recession Reserve and Reopening,0.0,2022,Actual,YTD,2022-03-31,Finance: Recession Reserve,35-RR,,3,2022,35
Finance-Community College Subsidy,48128075.0,2022,Actual,YTD,2022-03-31,Finance: Community College Subsidy,35-CC,,3,2022,35
Finance - Employee Benefits *,1241307821.0,2022,Actual,YTD,2022-03-31,Finance: Employee Benefits,35-EB,Employee Benefits,3,2022,35
Employee Benefits: Unemployment Compensation,1573300.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2022,35
Employee Benefits: Employee Disability,65087464.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Employee Disability,35-EB-DIS,,3,2022,35
Employee Benefits: Pension Obligation Bonds,104777475.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2022,35
Employee Benefits: Pension,643524668.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Pension,35-EB-PEN,,3,2022,35
Employee Benefits: FICA,61332317.0,2022,Actual,YTD,2022-03-31,Employee Benefits: FICA,35-EB-FICA,,3,2022,35
Employee Benefits: Flex Cash Payments,830862.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2022,35
Employee Benefits: Health/Medical,356369256.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Health/Medical,35-EB-HM,,3,2022,35
Employee Benefits: Group Life Insurance,3154127.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2022,35
Employee Benefits: Group Legal,4489427.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Group Legal,35-EB-GL,,3,2022,35
Employee Benefits: Tool Allowance,168925.0,2022,Actual,YTD,2022-03-31,Employee Benefits: Tool Allowance,35-EB-TA,,3,2022,35
Finance-Hero Scholarship Awards,54000.0,2022,Actual,YTD,2022-03-31,Finance: Hero Scholarship Awards,35-HA,,3,2022,35
Finance-Indempities,38876141.0,2022,Actual,YTD,2022-03-31,Finance: Indemnities,35-IN,,3,2022,35
Finance-Refunds,19694.0,2022,Actual,YTD,2022-03-31,Finance: Refunds,35-R,,3,2022,35
Finance-School District Contribution,191964901.0,2022,Actual,YTD,2022-03-31,Finance: School District Contribution,35-SD,,3,2022,35
Finance-Witness Fees,148807.0,2022,Actual,YTD,2022-03-31,Finance: Witness Fees,35-WF,,3,2022,35
Fire,258794960.0,2022,Actual,YTD,2022-03-31,Fire Department,13,Fire,3,2022,13
First Judicial District,79003779.0,2022,Actual,YTD,2022-03-31,First Judicial District,84,FJD,3,2022,84
Fleet Services,36626856.0,2022,Actual,YTD,2022-03-31,Office of Fleet Management,25,Fleet,3,2022,25
Fleet Services - Vehicle Purchases,9057518.0,2022,Actual,YTD,2022-03-31,Fleet: Vehicle Lease/Purchases,25-V,,3,2022,25
Free Library,30435011.0,2022,Actual,YTD,2022-03-31,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,1666268.0,2022,Actual,YTD,2022-03-31,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services,154681113.0,2022,Actual,YTD,2022-03-31,Department of Human Services,22,DHS,3,2022,22
Labor,1872074.0,2022,Actual,YTD,2022-03-31,Labor,03,,3,2022,03
Law,14764074.0,2022,Actual,YTD,2022-03-31,Law Department,44,Law,3,2022,44
Licenses & Inspections,28374786.0,2022,Actual,YTD,2022-03-31,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,53936.0,2022,Actual,YTD,2022-03-31,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,101193.0,2022,Actual,YTD,2022-03-31,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,67460075.0,2022,Actual,YTD,2022-03-31,Managing Director's Office,10,MDO,3,2022,10
Managing Director-Legal Services,52404449.0,2022,Actual,YTD,2022-03-31,MDO: Legal Services,10-LS,,3,2022,10
Mayor's Office,4527487.0,2022,Actual,YTD,2022-03-31,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Scholarships,130000.0,2022,Actual,YTD,2022-03-31,Mayor's Office: Scholarships,05-S,,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,802000.0,2022,Actual,YTD,2022-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,2358137.0,2022,Actual,YTD,2022-03-31,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,21621148.0,2022,Actual,YTD,2022-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,4865750.0,2022,Actual,YTD,2022-03-31,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,303611.0,2022,Actual,YTD,2022-03-31,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,51216513.0,2022,Actual,YTD,2022-03-31,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,4407242.0,2022,Actual,YTD,2022-03-31,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology-Base,54092914.0,2022,Actual,YTD,2022-03-31,Office of Innovation and Technology,04,OIT,3,2022,04
Office of Innovation and Technology-911,17416253.0,2022,Actual,YTD,2022-03-31,OIT: 911,04-911,,3,2022,04
Office of the Inspector General,1110742.0,2022,Actual,YTD,2022-03-31,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,10911829.0,2022,Actual,YTD,2022-03-31,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,1041502.0,2022,Actual,YTD,2022-03-31,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,46978691.0,2022,Actual,YTD,2022-03-31,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,11723926.0,2022,Actual,YTD,2022-03-31,Department of Planning and Development,72,Planning & Development,3,2022,72
Police,525732733.0,2022,Actual,YTD,2022-03-31,Police Department,11,Police,3,2022,11
Prisons,177335777.0,2022,Actual,YTD,2022-03-31,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,3016809.0,2022,Actual,YTD,2022-03-31,Procurement Department,38,Procurement,3,2022,38
Public Health,124384038.0,2022,Actual,YTD,2022-03-31,Department of Public Health,14,Public Health,3,2022,14
Public Property,42234251.0,2022,Actual,YTD,2022-03-31,Department of Public Property,20,Public Property,3,2022,20
Public Property-SEPTA Subsidy,65910500.0,2022,Actual,YTD,2022-03-31,Public Property: SEPTA Subsidy,20-SS,,3,2022,20
Public Property-Space Rentals,30427005.0,2022,Actual,YTD,2022-03-31,Public Property: Space Rentals,20-SR,,3,2022,20
Public Property-Utilities,22294483.0,2022,Actual,YTD,2022-03-31,Public Property: Utilities,20-U,,3,2022,20
Records,3064567.0,2022,Actual,YTD,2022-03-31,Department of Records,31,Records,3,2022,31
Register of Wills,3168483.0,2022,Actual,YTD,2022-03-31,Register of Wills,68,,3,2022,68
