full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
0,0,0,2023,Adopted Budget,Full Year,City Representative,2022-12-31,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2023,Target Budget,Full Year,City Representative,2022-12-31,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2023,Current Projection,Full Year,City Representative,2022-12-31,Office of the City Representative,41,City Rep,2,2023,41
16,1268936,8586,2020,Actual,Full Year,City Treasurer,2020-06-30,Office of the City Treasurer,40,City Treasurer,2,2023,40
16,1230203,56626,2021,Actual,Full Year,City Treasurer,2021-06-30,Office of the City Treasurer,40,City Treasurer,2,2023,40
17,1396762,66607,2022,Actual,Full Year,City Treasurer,2022-06-30,Office of the City Treasurer,40,City Treasurer,2,2023,40
19,737571,25000,2023,Target Budget,YTD,City Treasurer,2022-12-31,Office of the City Treasurer,40,City Treasurer,2,2023,40
19,737571,33315,2023,Actual,YTD,City Treasurer,2022-12-31,Office of the City Treasurer,40,City Treasurer,2,2023,40
19,1579598,50000,2023,Adopted Budget,Full Year,City Treasurer,2022-12-31,Office of the City Treasurer,40,City Treasurer,2,2023,40
20,1579598,50000,2023,Target Budget,Full Year,City Treasurer,2022-12-31,Office of the City Treasurer,40,City Treasurer,2,2023,40
20,1579598,60000,2023,Current Projection,Full Year,City Treasurer,2022-12-31,Office of the City Treasurer,40,City Treasurer,2,2023,40
2,160826,0,2020,Actual,Full Year,Civil Service Commission,2020-06-30,Civil Service Commission,55,,2,2023,55
1,140533,0,2021,Actual,Full Year,Civil Service Commission,2021-06-30,Civil Service Commission,55,,2,2023,55
2,141474,0,2022,Actual,Full Year,Civil Service Commission,2022-06-30,Civil Service Commission,55,,2,2023,55
2,74145,0,2023,Target Budget,YTD,Civil Service Commission,2022-12-31,Civil Service Commission,55,,2,2023,55
2,74145,0,2023,Actual,YTD,Civil Service Commission,2022-12-31,Civil Service Commission,55,,2,2023,55
2,180988,0,2023,Adopted Budget,Full Year,Civil Service Commission,2022-12-31,Civil Service Commission,55,,2,2023,55
2,180988,0,2023,Target Budget,Full Year,Civil Service Commission,2022-12-31,Civil Service Commission,55,,2,2023,55
2,180988,0,2023,Current Projection,Full Year,Civil Service Commission,2022-12-31,Civil Service Commission,55,,2,2023,55
44,3453180,6816,2020,Actual,Full Year,Commerce,2020-06-30,Office of the Director of Commerce,42,Commerce,2,2023,42
37,2499341,0,2021,Actual,Full Year,Commerce,2021-06-30,Office of the Director of Commerce,42,Commerce,2,2023,42
35,2601371,0,2022,Actual,Full Year,Commerce,2022-06-30,Office of the Director of Commerce,42,Commerce,2,2023,42
49,1709334,5000,2023,Target Budget,YTD,Commerce,2022-12-31,Office of the Director of Commerce,42,Commerce,2,2023,42
49,1709334,0,2023,Actual,YTD,Commerce,2022-12-31,Office of the Director of Commerce,42,Commerce,2,2023,42
82,5380613,10000,2023,Adopted Budget,Full Year,Commerce,2022-12-31,Office of the Director of Commerce,42,Commerce,2,2023,42
74,5308213,10000,2023,Target Budget,Full Year,Commerce,2022-12-31,Office of the Director of Commerce,42,Commerce,2,2023,42
74,5308213,10000,2023,Current Projection,Full Year,Commerce,2022-12-31,Office of the Director of Commerce,42,Commerce,2,2023,42
545,38029618,135138,2020,Actual,Full Year,District Attorney,2020-06-30,District Attorney's Office,69,DAO,2,2023,69
521,38421902,141860,2021,Actual,Full Year,District Attorney,2021-06-30,District Attorney's Office,69,DAO,2,2023,69
503,39764411,169371,2022,Actual,Full Year,District Attorney,2022-06-30,District Attorney's Office,69,DAO,2,2023,69
560,20875526,105244,2023,Target Budget,YTD,District Attorney,2022-12-31,District Attorney's Office,69,DAO,2,2023,69
560,20875526,201328,2023,Actual,YTD,District Attorney,2022-12-31,District Attorney's Office,69,DAO,2,2023,69
583,40467055,210488,2023,Adopted Budget,Full Year,District Attorney,2022-12-31,District Attorney's Office,69,DAO,2,2023,69
583,40467055,210488,2023,Target Budget,Full Year,District Attorney,2022-12-31,District Attorney's Office,69,DAO,2,2023,69
583,43531655,210488,2023,Current Projection,Full Year,District Attorney,2022-12-31,District Attorney's Office,69,DAO,2,2023,69
119,9222201,74119,2020,Actual,Full Year,Finance,2020-06-30,Office of the Director of Finance,35,Finance,2,2023,35
119,9293924,128747,2021,Actual,Full Year,Finance,2021-06-30,Office of the Director of Finance,35,Finance,2,2023,35
122,9986109,125778,2022,Actual,Full Year,Finance,2022-06-30,Office of the Director of Finance,35,Finance,2,2023,35
118,5055083,57582,2023,Target Budget,YTD,Finance,2022-12-31,Office of the Director of Finance,35,Finance,2,2023,35
118,5055083,61703,2023,Actual,YTD,Finance,2022-12-31,Office of the Director of Finance,35,Finance,2,2023,35
134,10863735,136163,2023,Adopted Budget,Full Year,Finance,2022-12-31,Office of the Director of Finance,35,Finance,2,2023,35
134,10863735,115163,2023,Target Budget,Full Year,Finance,2022-12-31,Office of the Director of Finance,35,Finance,2,2023,35
134,10863735,115163,2023,Current Projection,Full Year,Finance,2022-12-31,Office of the Director of Finance,35,Finance,2,2023,35
0,1092451,0,2020,Actual,Full Year,Finance Reg #32 Disability,2020-06-30,Finance: Reg #32,35-R32,,2,2023,35
0,2167137,0,2021,Actual,Full Year,Finance Reg #32 Disability,2021-06-30,Finance: Reg #32,35-R32,,2,2023,35
0,2497028,0,2022,Actual,Full Year,Finance Reg #32 Disability,2022-06-30,Finance: Reg #32,35-R32,,2,2023,35
0,2134977,0,2023,Target Budget,YTD,Finance Reg #32 Disability,2022-12-31,Finance: Reg #32,35-R32,,2,2023,35
0,2134977,0,2023,Actual,YTD,Finance Reg #32 Disability,2022-12-31,Finance: Reg #32,35-R32,,2,2023,35
0,2800000,0,2023,Adopted Budget,Full Year,Finance Reg #32 Disability,2022-12-31,Finance: Reg #32,35-R32,,2,2023,35
0,2800000,0,2023,Target Budget,Full Year,Finance Reg #32 Disability,2022-12-31,Finance: Reg #32,35-R32,,2,2023,35
0,2800000,0,2023,Current Projection,Full Year,Finance Reg #32 Disability,2022-12-31,Finance: Reg #32,35-R32,,2,2023,35
2628,303857650,63932091,2020,Actual,Full Year,Fire,2020-06-30,Fire Department,13,Fire,2,2023,13
2678,318512653,62597682,2021,Actual,Full Year,Fire,2021-06-30,Fire Department,13,Fire,2,2023,13
2667,341171247,68452340,2022,Actual,Full Year,Fire,2022-06-30,Fire Department,13,Fire,2,2023,13
2788,168164590,35723878,2023,Target Budget,YTD,Fire,2022-12-31,Fire Department,13,Fire,2,2023,13
2763,168164590,37130429,2023,Actual,YTD,Fire,2022-12-31,Fire Department,13,Fire,2,2023,13
3376,354321176,70697756,2023,Adopted Budget,Full Year,Fire,2022-12-31,Fire Department,13,Fire,2,2023,13
2901,355071176,71447756,2023,Target Budget,Full Year,Fire,2022-12-31,Fire Department,13,Fire,2,2023,13
2901,355071176,72897756,2023,Current Projection,Full Year,Fire,2022-12-31,Fire Department,13,Fire,2,2023,13
1825,103276427,47641,2020,Actual,Full Year,First Judicial District,2020-06-30,First Judicial District,84,FJD,2,2023,84
1773,102667998,12832,2021,Actual,Full Year,First Judicial District,2021-06-30,First Judicial District,84,FJD,2,2023,84
1686,101924504,14688,2022,Actual,Full Year,First Judicial District,2022-06-30,First Judicial District,84,FJD,2,2023,84
1702,47231113,48270,2023,Target Budget,YTD,First Judicial District,2022-12-31,First Judicial District,84,FJD,2,2023,84
1702,47231113,28800,2023,Actual,YTD,First Judicial District,2022-12-31,First Judicial District,84,FJD,2,2023,84
1719,111144985,96540,2023,Adopted Budget,Full Year,First Judicial District,2022-12-31,First Judicial District,84,FJD,2,2023,84
1719,112430762,96540,2023,Target Budget,Full Year,First Judicial District,2022-12-31,First Judicial District,84,FJD,2,2023,84
1719,112430762,96540,2023,Current Projection,Full Year,First Judicial District,2022-12-31,First Judicial District,84,FJD,2,2023,84
282,18563332,1679115,2020,Actual,Full Year,Fleet Services,2020-06-30,Office of Fleet Management,25,Fleet,2,2023,25
268,17982245,1413920,2021,Actual,Full Year,Fleet Services,2021-06-30,Office of Fleet Management,25,Fleet,2,2023,25
266,18075554,1986852,2022,Actual,Full Year,Fleet Services,2022-06-30,Office of Fleet Management,25,Fleet,2,2023,25
291,8799259,1326549,2023,Target Budget,YTD,Fleet Services,2022-12-31,Office of Fleet Management,25,Fleet,2,2023,25
260,8799259,1363379,2023,Actual,YTD,Fleet Services,2022-12-31,Office of Fleet Management,25,Fleet,2,2023,25
318,20534432,1553098,2023,Adopted Budget,Full Year,Fleet Services,2022-12-31,Office of Fleet Management,25,Fleet,2,2023,25
318,20534432,2653098,2023,Target Budget,Full Year,Fleet Services,2022-12-31,Office of Fleet Management,25,Fleet,2,2023,25
318,20534432,2653098,2023,Current Projection,Full Year,Fleet Services,2022-12-31,Office of Fleet Management,25,Fleet,2,2023,25
677,41221658,1646292,2020,Actual,Full Year,Free Library,2020-06-30,The Free Library of Philadelphia,52,Free Library,2,2023,52
634,36056416,325884,2021,Actual,Full Year,Free Library,2021-06-30,The Free Library of Philadelphia,52,Free Library,2,2023,52
618,37737788,587443,2022,Actual,Full Year,Free Library,2022-06-30,The Free Library of Philadelphia,52,Free Library,2,2023,52
770,17591922,802500,2023,Target Budget,YTD,Free Library,2022-12-31,The Free Library of Philadelphia,52,Free Library,2,2023,52
636,17591922,433643,2023,Actual,YTD,Free Library,2022-12-31,The Free Library of Philadelphia,52,Free Library,2,2023,52
961,50911555,1605000,2023,Adopted Budget,Full Year,Free Library,2022-12-31,The Free Library of Philadelphia,52,Free Library,2,2023,52
961,50496555,1605000,2023,Target Budget,Full Year,Free Library,2022-12-31,The Free Library of Philadelphia,52,Free Library,2,2023,52
831,50496555,1605000,2023,Current Projection,Full Year,Free Library,2022-12-31,The Free Library of Philadelphia,52,Free Library,2,2023,52
34,2286672,23,2020,Actual,Full Year,Human Relations Commission,2020-06-30,Commission on Human Relations,54,Human Relations,2,2023,54
32,2267083,4569,2021,Actual,Full Year,Human Relations Commission,2021-06-30,Commission on Human Relations,54,Human Relations,2,2023,54
32,2286733,0,2022,Actual,Full Year,Human Relations Commission,2022-06-30,Commission on Human Relations,54,Human Relations,2,2023,54
32,1183282,0,2023,Target Budget,YTD,Human Relations Commission,2022-12-31,Commission on Human Relations,54,Human Relations,2,2023,54
32,1183282,27207,2023,Actual,YTD,Human Relations Commission,2022-12-31,Commission on Human Relations,54,Human Relations,2,2023,54
33,2502372,0,2023,Adopted Budget,Full Year,Human Relations Commission,2022-12-31,Commission on Human Relations,54,Human Relations,2,2023,54
33,2502372,0,2023,Target Budget,Full Year,Human Relations Commission,2022-12-31,Commission on Human Relations,54,Human Relations,2,2023,54
33,2502372,0,2023,Current Projection,Full Year,Human Relations Commission,2022-12-31,Commission on Human Relations,54,Human Relations,2,2023,54
437,22404173,2993692,2020,Actual,Full Year,Human Services,2020-06-30,Department of Human Services,22,DHS,2,2023,22
492,28025714,3324490,2021,Actual,Full Year,Human Services,2021-06-30,Department of Human Services,22,DHS,2,2023,22
492,28716422,4080821,2022,Actual,Full Year,Human Services,2022-06-30,Department of Human Services,22,DHS,2,2023,22
393,8074557,1678816,2023,Target Budget,YTD,Human Services,2022-12-31,Department of Human Services,22,DHS,2,2023,22
393,8074557,1135688,2023,Actual,YTD,Human Services,2022-12-31,Department of Human Services,22,DHS,2,2023,22
535,34466970,3357632,2023,Adopted Budget,Full Year,Human Services,2022-12-31,Department of Human Services,22,DHS,2,2023,22
535,35030630,3357632,2023,Target Budget,Full Year,Human Services,2022-12-31,Department of Human Services,22,DHS,2,2023,22
535,35030630,3357632,2023,Current Projection,Full Year,Human Services,2022-12-31,Department of Human Services,22,DHS,2,2023,22
27,1945732,986,2020,Actual,Full Year,Labor,2020-06-30,Labor,03,,2,2023,03
26,1991712,59,2021,Actual,Full Year,Labor,2021-06-30,Labor,03,,2,2023,03
28,2246006,8366,2022,Actual,Full Year,Labor,2022-06-30,Labor,03,,2,2023,03
33,1280950,19914,2023,Target Budget,YTD,Labor,2022-12-31,Labor,03,,2,2023,03
33,1280950,0,2023,Actual,YTD,Labor,2022-12-31,Labor,03,,2,2023,03
44,3460299,39828,2023,Adopted Budget,Full Year,Labor,2022-12-31,Labor,03,,2,2023,03
44,3460299,39828,2023,Target Budget,Full Year,Labor,2022-12-31,Labor,03,,2,2023,03
44,3460299,39828,2023,Current Projection,Full Year,Labor,2022-12-31,Labor,03,,2,2023,03
130,9733493,6,2020,Actual,Full Year,Law,2020-06-30,Law Department,44,Law,2,2023,44
127,9640029,6050,2021,Actual,Full Year,Law,2021-06-30,Law Department,44,Law,2,2023,44
175,13550079,0,2022,Actual,Full Year,Law,2022-06-30,Law Department,44,Law,2,2023,44
194,7227209,0,2023,Target Budget,YTD,Law,2022-12-31,Law Department,44,Law,2,2023,44
194,7227209,0,2023,Actual,YTD,Law,2022-12-31,Law Department,44,Law,2,2023,44
198,15705718,0,2023,Adopted Budget,Full Year,Law,2022-12-31,Law Department,44,Law,2,2023,44
198,15705718,0,2023,Target Budget,Full Year,Law,2022-12-31,Law Department,44,Law,2,2023,44
198,15705718,0,2023,Current Projection,Full Year,Law,2022-12-31,Law Department,44,Law,2,2023,44
394,24986716,1408144,2020,Actual,Full Year,Licenses & Inspections,2020-06-30,Department of Licenses and Inspections,26,L&I,2,2023,26
372,24779256,845614,2021,Actual,Full Year,Licenses & Inspections,2021-06-30,Department of Licenses and Inspections,26,L&I,2,2023,26
346,24295338,1342903,2022,Actual,Full Year,Licenses & Inspections,2022-06-30,Department of Licenses and Inspections,26,L&I,2,2023,26
354,11458532,503504,2023,Target Budget,YTD,Licenses & Inspections,2022-12-31,Department of Licenses and Inspections,26,L&I,2,2023,26
354,11458532,549335,2023,Actual,YTD,Licenses & Inspections,2022-12-31,Department of Licenses and Inspections,26,L&I,2,2023,26
425,26670602,1007007,2023,Adopted Budget,Full Year,Licenses & Inspections,2022-12-31,Department of Licenses and Inspections,26,L&I,2,2023,26
425,26670602,1007007,2023,Target Budget,Full Year,Licenses & Inspections,2022-12-31,Department of Licenses and Inspections,26,L&I,2,2023,26
425,26670602,1007007,2023,Current Projection,Full Year,Licenses & Inspections,2022-12-31,Department of Licenses and Inspections,26,L&I,2,2023,26
1,79592,0,2020,Actual,Full Year,L&I-Board of Building Standards,2020-06-30,L&I: Board of Building and Standards,29,,2,2023,29
1,85061,0,2021,Actual,Full Year,L&I-Board of Building Standards,2021-06-30,L&I: Board of Building and Standards,29,,2,2023,29
1,76786,167,2022,Actual,Full Year,L&I-Board of Building Standards,2022-06-30,L&I: Board of Building and Standards,29,,2,2023,29
1,37468,0,2023,Target Budget,YTD,L&I-Board of Building Standards,2022-12-31,L&I: Board of Building and Standards,29,,2,2023,29
1,37468,42,2023,Actual,YTD,L&I-Board of Building Standards,2022-12-31,L&I: Board of Building and Standards,29,,2,2023,29
1,84116,0,2023,Adopted Budget,Full Year,L&I-Board of Building Standards,2022-12-31,L&I: Board of Building and Standards,29,,2,2023,29
1,84116,0,2023,Target Budget,Full Year,L&I-Board of Building Standards,2022-12-31,L&I: Board of Building and Standards,29,,2,2023,29
1,84116,80,2023,Current Projection,Full Year,L&I-Board of Building Standards,2022-12-31,L&I: Board of Building and Standards,29,,2,2023,29
2,126329,35,2020,Actual,Full Year,L&I-Board of L & Review,2020-06-30,L&I: Board of Review,27,,2,2023,27
1,118576,0,2021,Actual,Full Year,L&I-Board of L & Review,2021-06-30,L&I: Board of Review,27,,2,2023,27
2,134513,2983,2022,Actual,Full Year,L&I-Board of L & Review,2022-06-30,L&I: Board of Review,27,,2,2023,27
2,84323,0,2023,Target Budget,YTD,L&I-Board of L & Review,2022-12-31,L&I: Board of Review,27,,2,2023,27
2,84323,0,2023,Actual,YTD,L&I-Board of L & Review,2022-12-31,L&I: Board of Review,27,,2,2023,27
2,170377,0,2023,Adopted Budget,Full Year,L&I-Board of L & Review,2022-12-31,L&I: Board of Review,27,,2,2023,27
2,170377,0,2023,Target Budget,Full Year,L&I-Board of L & Review,2022-12-31,L&I: Board of Review,27,,2,2023,27
2,170377,0,2023,Current Projection,Full Year,L&I-Board of L & Review,2022-12-31,L&I: Board of Review,27,,2,2023,27
287,40052290,1088557,2020,Actual,Full Year,Managing Director's Office,2020-06-30,Managing Director's Office,10,MDO,2,2023,10
290,28719552,824568,2021,Actual,Full Year,Managing Director's Office,2021-06-30,Managing Director's Office,10,MDO,2,2023,10
324,31958314,847036,2022,Actual,Full Year,Managing Director's Office,2022-06-30,Managing Director's Office,10,MDO,2,2023,10
376,10658908,486025,2023,Target Budget,YTD,Managing Director's Office,2022-12-31,Managing Director's Office,10,MDO,2,2023,10
346,10658908,642149,2023,Actual,YTD,Managing Director's Office,2022-12-31,Managing Director's Office,10,MDO,2,2023,10
537,36253382,972050,2023,Adopted Budget,Full Year,Managing Director's Office,2022-12-31,Managing Director's Office,10,MDO,2,2023,10
537,37768654,972050,2023,Target Budget,Full Year,Managing Director's Office,2022-12-31,Managing Director's Office,10,MDO,2,2023,10
487,37768654,1222050,2023,Current Projection,Full Year,Managing Director's Office,2022-12-31,Managing Director's Office,10,MDO,2,2023,10
61,5526098,88,2020,Actual,Full Year,Mayor's Office,2020-06-30,Mayor's Office,05,Mayor,2,2023,05
61,5574446,0,2021,Actual,Full Year,Mayor's Office,2021-06-30,Mayor's Office,05,Mayor,2,2023,05
60,5673722,0,2022,Actual,Full Year,Mayor's Office,2022-06-30,Mayor's Office,05,Mayor,2,2023,05
56,2969021,0,2023,Target Budget,YTD,Mayor's Office,2022-12-31,Mayor's Office,05,Mayor,2,2023,05
56,2969021,0,2023,Actual,YTD,Mayor's Office,2022-12-31,Mayor's Office,05,Mayor,2,2023,05
64,6301957,0,2023,Adopted Budget,Full Year,Mayor's Office,2022-12-31,Mayor's Office,05,Mayor,2,2023,05
64,6301957,0,2023,Target Budget,Full Year,Mayor's Office,2022-12-31,Mayor's Office,05,Mayor,2,2023,05
64,6301957,0,2023,Current Projection,Full Year,Mayor's Office,2022-12-31,Mayor's Office,05,Mayor,2,2023,05
0,90000,0,2020,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2020-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,45000,0,2021,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,44997,0,2022,Actual,Full Year,Mayor's Office of Community Empowerment and Opportunity,2022-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,18820,0,2023,Target Budget,YTD,Mayor's Office of Community Empowerment and Opportunity,2022-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,18820,0,2023,Actual,YTD,Mayor's Office of Community Empowerment and Opportunity,2022-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,177185,0,2023,Adopted Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2022-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,177185,0,2023,Target Budget,Full Year,Mayor's Office of Community Empowerment and Opportunity,2022-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
0,177185,0,2023,Current Projection,Full Year,Mayor's Office of Community Empowerment and Opportunity,2022-12-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,2,2023,08
10,598178,11874,2020,Actual,Full Year,Mural Arts Program,2020-06-30,Mural Arts Program,50,Mural Arts,2,2023,50
8,577153,2317,2021,Actual,Full Year,Mural Arts Program,2021-06-30,Mural Arts Program,50,Mural Arts,2,2023,50
8,404320,5431,2022,Actual,Full Year,Mural Arts Program,2022-06-30,Mural Arts Program,50,Mural Arts,2,2023,50
10,221552,8500,2023,Target Budget,YTD,Mural Arts Program,2022-12-31,Mural Arts Program,50,Mural Arts,2,2023,50
10,221552,4336,2023,Actual,YTD,Mural Arts Program,2022-12-31,Mural Arts Program,50,Mural Arts,2,2023,50
10,610850,17000,2023,Adopted Budget,Full Year,Mural Arts Program,2022-12-31,Mural Arts Program,50,Mural Arts,2,2023,50
10,610850,17000,2023,Target Budget,Full Year,Mural Arts Program,2022-12-31,Mural Arts Program,50,Mural Arts,2,2023,50
10,610850,17000,2023,Current Projection,Full Year,Mural Arts Program,2022-12-31,Mural Arts Program,50,Mural Arts,2,2023,50
2,544982,150,2020,Actual,Full Year,Office of Arts and Culture,2020-06-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2021,Actual,Full Year,Office of Arts and Culture,2021-06-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2022,Actual,Full Year,Office of Arts and Culture,2022-06-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2023,Target Budget,YTD,Office of Arts and Culture,2022-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2023,Actual,YTD,Office of Arts and Culture,2022-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2023,Adopted Budget,Full Year,Office of Arts and Culture,2022-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2023,Target Budget,Full Year,Office of Arts and Culture,2022-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
0,0,0,2023,Current Projection,Full Year,Office of Arts and Culture,2022-12-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,2,2023,58
24,1550431,6636,2020,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2020-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
23,1546510,7582,2021,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2021-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
30,1818626,40229,2022,Actual,Full Year,Office of Behavioral Health and Intellectual disAbility,2022-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
52,1307171,23535,2023,Target Budget,YTD,Office of Behavioral Health and Intellectual disAbility,2022-12-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
46,1307171,76666,2023,Actual,YTD,Office of Behavioral Health and Intellectual disAbility,2022-12-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
53,3590639,47069,2023,Adopted Budget,Full Year,Office of Behavioral Health and Intellectual disAbility,2022-12-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,2,2023,15
