category,fiscal_month,amount,fiscal_year,quarter,month
Advances / Labor Obligations,4,0.0,2023,3,10
Current Year Appropriation,4,390.1,2023,3,10
Prior Year Encumbrances,4,21.4,2023,3,10
Prior Year Vouchers Payable,4,108.2,2023,3,10
Total Disbursements,4,519.7,2023,3,10
Payroll,5,156.3,2023,3,11
Employee Benefits,5,58.1,2023,3,11
Pension,5,-4.2,2023,3,11
Contracts / Leases,5,128.1,2023,3,11
Materials / Equipment,5,8.9,2023,3,11
Contributions / Indemnities,5,6.2,2023,3,11
Short-Term Debt Service,5,0.0,2023,3,11
Long-Term Debt Service,5,0.0,2023,3,11
Interfund Charges,5,0.0,2023,3,11
Advances / Labor Obligations,5,0.0,2023,3,11
Current Year Appropriation,5,353.4,2023,3,11
Prior Year Encumbrances,5,10.5,2023,3,11
Prior Year Vouchers Payable,5,-15.3,2023,3,11
Total Disbursements,5,348.5,2023,3,11
Payroll,6,209.6,2023,3,12
Employee Benefits,6,59.5,2023,3,12
Pension,6,-2.5,2023,3,12
Contracts / Leases,6,76.7,2023,3,12
Materials / Equipment,6,8.1,2023,3,12
Contributions / Indemnities,6,89.2,2023,3,12
Short-Term Debt Service,6,0.1,2023,3,12
Long-Term Debt Service,6,2.9,2023,3,12
Interfund Charges,6,10.9,2023,3,12
Advances / Labor Obligations,6,0.0,2023,3,12
Current Year Appropriation,6,454.5,2023,3,12
Prior Year Encumbrances,6,288.9,2023,3,12
Prior Year Vouchers Payable,6,17.5,2023,3,12
Total Disbursements,6,761.0,2023,3,12
Payroll,7,144.4,2023,3,1
Employee Benefits,7,61.8,2023,3,1
Pension,7,-4.7,2023,3,1
Contracts / Leases,7,85.8,2023,3,1
Materials / Equipment,7,6.0,2023,3,1
Contributions / Indemnities,7,17.4,2023,3,1
Short-Term Debt Service,7,0.0,2023,3,1
Long-Term Debt Service,7,40.9,2023,3,1
Interfund Charges,7,60.0,2023,3,1
Advances / Labor Obligations,7,0.0,2023,3,1
Current Year Appropriation,7,411.5,2023,3,1
Prior Year Encumbrances,7,9.5,2023,3,1
Prior Year Vouchers Payable,7,-39.1,2023,3,1
Total Disbursements,7,382.0,2023,3,1
Payroll,8,161.6,2023,3,2
Employee Benefits,8,46.8,2023,3,2
Pension,8,-4.3,2023,3,2
Contracts / Leases,8,79.5,2023,3,2
Materials / Equipment,8,7.0,2023,3,2
Contributions / Indemnities,8,11.1,2023,3,2
Short-Term Debt Service,8,0.0,2023,3,2
Long-Term Debt Service,8,0.0,2023,3,2
Interfund Charges,8,0.0,2023,3,2
Advances / Labor Obligations,8,0.0,2023,3,2
Current Year Appropriation,8,301.7,2023,3,2
Prior Year Encumbrances,8,8.5,2023,3,2
Prior Year Vouchers Payable,8,33.4,2023,3,2
Total Disbursements,8,343.5,2023,3,2
Payroll,9,163.0,2023,3,3
Employee Benefits,9,55.2,2023,3,3
Pension,9,663.5,2023,3,3
Contracts / Leases,9,100.5,2023,3,3
Materials / Equipment,9,14.6,2023,3,3
Contributions / Indemnities,9,94.1,2023,3,3
Short-Term Debt Service,9,0.0,2023,3,3
Long-Term Debt Service,9,0.0,2023,3,3
Interfund Charges,9,0.0,2023,3,3
Advances / Labor Obligations,9,0.0,2023,3,3
Current Year Appropriation,9,1090.9,2023,3,3
Prior Year Encumbrances,9,10.3,2023,3,3
Prior Year Vouchers Payable,9,-8.9,2023,3,3
Total Disbursements,9,1092.4,2023,3,3
Payroll,10,145.7,2023,3,4
Employee Benefits,10,62.7,2023,3,4
Pension,10,-4.6,2023,3,4
Contracts / Leases,10,80.8,2023,3,4
Materials / Equipment,10,3.8,2023,3,4
Contributions / Indemnities,10,9.2,2023,3,4
Short-Term Debt Service,10,0.0,2023,3,4
Long-Term Debt Service,10,15.2,2023,3,4
Interfund Charges,10,0.0,2023,3,4
Advances / Labor Obligations,10,0.0,2023,3,4
Current Year Appropriation,10,312.8,2023,3,4
Prior Year Encumbrances,10,2.6,2023,3,4
Prior Year Vouchers Payable,10,36.2,2023,3,4
Total Disbursements,10,351.7,2023,3,4
Payroll,11,230.3,2023,3,5
Employee Benefits,11,63.8,2023,3,5
Pension,11,-0.5,2023,3,5
Contracts / Leases,11,107.2,2023,3,5
Materials / Equipment,11,11.1,2023,3,5
Contributions / Indemnities,11,24.7,2023,3,5
Short-Term Debt Service,11,0.0,2023,3,5
Long-Term Debt Service,11,0.2,2023,3,5
Interfund Charges,11,96.0,2023,3,5
Advances / Labor Obligations,11,0.0,2023,3,5
Current Year Appropriation,11,532.8,2023,3,5
Prior Year Encumbrances,11,4.3,2023,3,5
Prior Year Vouchers Payable,11,0.0,2023,3,5
Total Disbursements,11,537.1,2023,3,5
Payroll,12,214.6,2023,3,6
Employee Benefits,12,60.1,2023,3,6
Pension,12,-4.6,2023,3,6
Contracts / Leases,12,80.1,2023,3,6
Materials / Equipment,12,11.5,2023,3,6
Contributions / Indemnities,12,99.8,2023,3,6
Short-Term Debt Service,12,2.2,2023,3,6
Long-Term Debt Service,12,1.0,2023,3,6
Interfund Charges,12,1.1,2023,3,6
Advances / Labor Obligations,12,0.0,2023,3,6
Current Year Appropriation,12,465.9,2023,3,6
Prior Year Encumbrances,12,4.8,2023,3,6
Prior Year Vouchers Payable,12,0.0,2023,3,6
Total Disbursements,12,470.6,2023,3,6
Payroll,1,115.0,2023,2,7
Employee Benefits,1,53.9,2023,2,7
Pension,1,0.4,2023,2,7
Contracts / Leases,1,40.0,2023,2,7
Materials / Equipment,1,1.3,2023,2,7
Contributions / Indemnities,1,7.1,2023,2,7
Short-Term Debt Service,1,0.0,2023,2,7
Long-Term Debt Service,1,123.7,2023,2,7
Interfund Charges,1,0.4,2023,2,7
Advances / Labor Obligations,1,0.0,2023,2,7
Current Year Appropriation,1,341.7,2023,2,7
Prior Year Encumbrances,1,56.1,2023,2,7
Prior Year Vouchers Payable,1,108.3,2023,2,7
Total Disbursements,1,506.1,2023,2,7
Payroll,2,145.7,2023,2,8
Employee Benefits,2,62.5,2023,2,8
Pension,2,-4.4,2023,2,8
Contracts / Leases,2,51.2,2023,2,8
Materials / Equipment,2,6.1,2023,2,8
Contributions / Indemnities,2,16.5,2023,2,8
Short-Term Debt Service,2,0.0,2023,2,8
Long-Term Debt Service,2,1.0,2023,2,8
Interfund Charges,2,29.1,2023,2,8
Advances / Labor Obligations,2,0.0,2023,2,8
Current Year Appropriation,2,307.7,2023,2,8
Prior Year Encumbrances,2,47.2,2023,2,8
Prior Year Vouchers Payable,2,-7.2,2023,2,8
Total Disbursements,2,347.6,2023,2,8
Payroll,3,169.2,2023,2,9
Employee Benefits,3,44.1,2023,2,9
Pension,3,11.4,2023,2,9
Contracts / Leases,3,97.1,2023,2,9
Materials / Equipment,3,12.0,2023,2,9
Contributions / Indemnities,3,79.0,2023,2,9
Short-Term Debt Service,3,0.1,2023,2,9
Long-Term Debt Service,3,0.0,2023,2,9
Interfund Charges,3,40.1,2023,2,9
Advances / Labor Obligations,3,0.0,2023,2,9
Current Year Appropriation,3,452.9,2023,2,9
Prior Year Encumbrances,3,22.7,2023,2,9
Prior Year Vouchers Payable,3,16.3,2023,2,9
Total Disbursements,3,492.0,2023,2,9
Payroll,4,144.5,2023,2,10
Employee Benefits,4,65.1,2023,2,10
Pension,4,79.9,2023,2,10
Contracts / Leases,4,71.7,2023,2,10
Materials / Equipment,4,5.7,2023,2,10
Contributions / Indemnities,4,16.5,2023,2,10
Short-Term Debt Service,4,0.0,2023,2,10
Long-Term Debt Service,4,6.5,2023,2,10
Interfund Charges,4,0.2,2023,2,10
Advances / Labor Obligations,4,0.0,2023,2,10
Current Year Appropriation,4,390.1,2023,2,10
Prior Year Encumbrances,4,21.4,2023,2,10
Prior Year Vouchers Payable,4,108.2,2023,2,10
Total Disbursements,4,519.7,2023,2,10
Payroll,5,156.3,2023,2,11
Employee Benefits,5,58.1,2023,2,11
Pension,5,-4.2,2023,2,11
Contracts / Leases,5,128.1,2023,2,11
Materials / Equipment,5,8.9,2023,2,11
Contributions / Indemnities,5,6.2,2023,2,11
Short-Term Debt Service,5,0.0,2023,2,11
Long-Term Debt Service,5,0.0,2023,2,11
Interfund Charges,5,0.0,2023,2,11
Advances / Labor Obligations,5,0.0,2023,2,11
Current Year Appropriation,5,353.4,2023,2,11
Prior Year Encumbrances,5,10.5,2023,2,11
Prior Year Vouchers Payable,5,-15.3,2023,2,11
Total Disbursements,5,348.5,2023,2,11
Payroll,6,209.6,2023,2,12
Employee Benefits,6,59.5,2023,2,12
Pension,6,-2.5,2023,2,12
Contracts / Leases,6,76.7,2023,2,12
Materials / Equipment,6,8.1,2023,2,12
Contributions / Indemnities,6,89.2,2023,2,12
Short-Term Debt Service,6,0.1,2023,2,12
Long-Term Debt Service,6,2.9,2023,2,12
Interfund Charges,6,10.9,2023,2,12
Advances / Labor Obligations,6,0.0,2023,2,12
Current Year Appropriation,6,454.5,2023,2,12
Prior Year Encumbrances,6,288.9,2023,2,12
Prior Year Vouchers Payable,6,17.5,2023,2,12
Total Disbursements,6,761.0,2023,2,12
Payroll,7,144.4,2023,2,1
Employee Benefits,7,61.8,2023,2,1
Pension,7,-4.7,2023,2,1
Contracts / Leases,7,85.8,2023,2,1
Materials / Equipment,7,6.0,2023,2,1
Contributions / Indemnities,7,17.4,2023,2,1
Short-Term Debt Service,7,0.0,2023,2,1
Long-Term Debt Service,7,40.9,2023,2,1
Interfund Charges,7,60.0,2023,2,1
Advances / Labor Obligations,7,0.0,2023,2,1
Current Year Appropriation,7,411.5,2023,2,1
Prior Year Encumbrances,7,9.5,2023,2,1
Prior Year Vouchers Payable,7,-29.1,2023,2,1
Total Disbursements,7,392.0,2023,2,1
Payroll,8,164.6,2023,2,2
Employee Benefits,8,66.9,2023,2,2
Pension,8,-0.3,2023,2,2
Contracts / Leases,8,76.5,2023,2,2
Materials / Equipment,8,15.9,2023,2,2
Contributions / Indemnities,8,31.4,2023,2,2
Short-Term Debt Service,8,0.0,2023,2,2
Long-Term Debt Service,8,0.2,2023,2,2
Interfund Charges,8,0.0,2023,2,2
Advances / Labor Obligations,8,10.7,2023,2,2
Current Year Appropriation,8,366.0,2023,2,2
Prior Year Encumbrances,8,14.5,2023,2,2
Prior Year Vouchers Payable,8,27.8,2023,2,2
Total Disbursements,8,408.2,2023,2,2
Payroll,9,181.0,2023,2,3
Employee Benefits,9,67.2,2023,2,3
Pension,9,675.6,2023,2,3
Contracts / Leases,9,114.0,2023,2,3
Materials / Equipment,9,18.0,2023,2,3
Contributions / Indemnities,9,77.8,2023,2,3
Short-Term Debt Service,9,0.0,2023,2,3
Long-Term Debt Service,9,0.2,2023,2,3
Interfund Charges,9,0.0,2023,2,3
Advances / Labor Obligations,9,10.7,2023,2,3
Current Year Appropriation,9,1144.6,2023,2,3
Prior Year Encumbrances,9,11.7,2023,2,3
Prior Year Vouchers Payable,9,0.0,2023,2,3
Total Disbursements,9,1156.3,2023,2,3
Payroll,10,181.0,2023,2,4
Employee Benefits,10,67.2,2023,2,4
Pension,10,-0.6,2023,2,4
Contracts / Leases,10,107.4,2023,2,4
Materials / Equipment,10,18.9,2023,2,4
Contributions / Indemnities,10,13.0,2023,2,4
Short-Term Debt Service,10,0.0,2023,2,4
Long-Term Debt Service,10,0.2,2023,2,4
Interfund Charges,10,0.0,2023,2,4
Advances / Labor Obligations,10,10.7,2023,2,4
Current Year Appropriation,10,397.8,2023,2,4
Prior Year Encumbrances,10,6.3,2023,2,4
Prior Year Vouchers Payable,10,0.0,2023,2,4
Total Disbursements,10,404.0,2023,2,4
Payroll,11,195.9,2023,2,5
Employee Benefits,11,69.8,2023,2,5
Pension,11,-0.5,2023,2,5
Contracts / Leases,11,113.2,2023,2,5
Materials / Equipment,11,18.1,2023,2,5
Contributions / Indemnities,11,9.7,2023,2,5
Short-Term Debt Service,11,0.0,2023,2,5
Long-Term Debt Service,11,0.2,2023,2,5
Interfund Charges,11,0.0,2023,2,5
Advances / Labor Obligations,11,10.7,2023,2,5
Current Year Appropriation,11,417.1,2023,2,5
Prior Year Encumbrances,11,4.3,2023,2,5
Prior Year Vouchers Payable,11,0.0,2023,2,5
Total Disbursements,11,421.4,2023,2,5
Payroll,12,198.0,2023,2,6
Employee Benefits,12,70.6,2023,2,6
Pension,12,-4.6,2023,2,6
Contracts / Leases,12,86.1,2023,2,6
Materials / Equipment,12,18.5,2023,2,6
Contributions / Indemnities,12,88.8,2023,2,6
Short-Term Debt Service,12,2.2,2023,2,6
Long-Term Debt Service,12,15.6,2023,2,6
Interfund Charges,12,26.1,2023,2,6
Advances / Labor Obligations,12,10.7,2023,2,6
Current Year Appropriation,12,512.0,2023,2,6
Prior Year Encumbrances,12,4.8,2023,2,6
Prior Year Vouchers Payable,12,0.0,2023,2,6
Total Disbursements,12,516.8,2023,2,6
Payroll,1,115.0,2023,1,7
Employee Benefits,1,53.9,2023,1,7
Pension,1,0.4,2023,1,7
Contracts / Leases,1,40.0,2023,1,7
Materials / Equipment,1,1.3,2023,1,7
Contributions / Indemnities,1,7.1,2023,1,7
Short-Term Debt Service,1,0.0,2023,1,7
Long-Term Debt Service,1,123.7,2023,1,7
Interfund Charges,1,0.4,2023,1,7
Advances / Labor Obligations,1,0.0,2023,1,7
Current Year Appropriation,1,341.7,2023,1,7
Prior Year Encumbrances,1,56.1,2023,1,7
Prior Year Vouchers Payable,1,108.3,2023,1,7
Total Disbursements,1,506.1,2023,1,7
Payroll,2,145.7,2023,1,8
Employee Benefits,2,62.5,2023,1,8
Pension,2,-4.4,2023,1,8
Contracts / Leases,2,51.2,2023,1,8
Materials / Equipment,2,6.1,2023,1,8
Contributions / Indemnities,2,16.5,2023,1,8
Short-Term Debt Service,2,0.0,2023,1,8
Long-Term Debt Service,2,1.0,2023,1,8
Interfund Charges,2,29.1,2023,1,8
Advances / Labor Obligations,2,0.0,2023,1,8
Current Year Appropriation,2,307.7,2023,1,8
Prior Year Encumbrances,2,47.2,2023,1,8
Prior Year Vouchers Payable,2,-7.2,2023,1,8
Total Disbursements,2,347.6,2023,1,8
Payroll,3,169.2,2023,1,9
Employee Benefits,3,44.1,2023,1,9
Pension,3,11.4,2023,1,9
Contracts / Leases,3,97.1,2023,1,9
Materials / Equipment,3,12.0,2023,1,9
Contributions / Indemnities,3,79.0,2023,1,9
Short-Term Debt Service,3,0.1,2023,1,9
Long-Term Debt Service,3,0.0,2023,1,9
Interfund Charges,3,40.1,2023,1,9
Advances / Labor Obligations,3,0.0,2023,1,9
Current Year Appropriation,3,452.9,2023,1,9
Prior Year Encumbrances,3,22.7,2023,1,9
Prior Year Vouchers Payable,3,16.3,2023,1,9
Total Disbursements,3,492.0,2023,1,9
Payroll,4,144.5,2023,1,10
Employee Benefits,4,65.1,2023,1,10
Pension,4,79.9,2023,1,10
Contracts / Leases,4,71.7,2023,1,10
Materials / Equipment,4,5.7,2023,1,10
Contributions / Indemnities,4,16.5,2023,1,10
Short-Term Debt Service,4,0.0,2023,1,10
Long-Term Debt Service,4,6.5,2023,1,10
Interfund Charges,4,0.2,2023,1,10
Advances / Labor Obligations,4,0.0,2023,1,10
Current Year Appropriation,4,390.1,2023,1,10
Prior Year Encumbrances,4,21.4,2023,1,10
Prior Year Vouchers Payable,4,109.3,2023,1,10
Total Disbursements,4,520.8,2023,1,10
Payroll,5,180.3,2023,1,11
Employee Benefits,5,63.8,2023,1,11
Pension,5,-0.3,2023,1,11
Contracts / Leases,5,77.7,2023,1,11
Materials / Equipment,5,12.9,2023,1,11
Contributions / Indemnities,5,17.6,2023,1,11
Short-Term Debt Service,5,0.0,2023,1,11
Long-Term Debt Service,5,0.2,2023,1,11
Interfund Charges,5,0.0,2023,1,11
Advances / Labor Obligations,5,8.1,2023,1,11
Current Year Appropriation,5,360.4,2023,1,11
Prior Year Encumbrances,5,12.6,2023,1,11
Prior Year Vouchers Payable,5,2.6,2023,1,11
Total Disbursements,5,375.6,2023,1,11
Payroll,6,163.4,2023,1,12
Employee Benefits,6,61.2,2023,1,12
Pension,6,3.2,2023,1,12
Contracts / Leases,6,94.5,2023,1,12
Materials / Equipment,6,13.7,2023,1,12
Contributions / Indemnities,6,81.1,2023,1,12
Short-Term Debt Service,6,0.0,2023,1,12
Long-Term Debt Service,6,0.2,2023,1,12
Interfund Charges,6,0.0,2023,1,12
Advances / Labor Obligations,6,8.1,2023,1,12
Current Year Appropriation,6,425.4,2023,1,12
Prior Year Encumbrances,6,10.0,2023,1,12
Prior Year Vouchers Payable,6,0.0,2023,1,12
Total Disbursements,6,435.5,2023,1,12
Payroll,7,235.6,2023,1,1
Employee Benefits,7,83.7,2023,1,1
Pension,7,-0.3,2023,1,1
Contracts / Leases,7,81.7,2023,1,1
Materials / Equipment,7,14.1,2023,1,1
Contributions / Indemnities,7,14.4,2023,1,1
Short-Term Debt Service,7,0.0,2023,1,1
Long-Term Debt Service,7,5.1,2023,1,1
Interfund Charges,7,69.5,2023,1,1
Advances / Labor Obligations,7,8.1,2023,1,1
Current Year Appropriation,7,511.9,2023,1,1
Prior Year Encumbrances,7,12.6,2023,1,1
Prior Year Vouchers Payable,7,0.0,2023,1,1
Total Disbursements,7,524.5,2023,1,1
Payroll,8,164.6,2023,1,2
Employee Benefits,8,60.9,2023,1,2
Pension,8,-0.3,2023,1,2
Contracts / Leases,8,80.5,2023,1,2
Materials / Equipment,8,12.9,2023,1,2
Contributions / Indemnities,8,22.2,2023,1,2
Short-Term Debt Service,8,0.0,2023,1,2
Long-Term Debt Service,8,42.1,2023,1,2
Interfund Charges,8,0.0,2023,1,2
Advances / Labor Obligations,8,8.1,2023,1,2
Current Year Appropriation,8,391.0,2023,1,2
Prior Year Encumbrances,8,14.5,2023,1,2
Prior Year Vouchers Payable,8,0.0,2023,1,2
Total Disbursements,8,405.6,2023,1,2
Payroll,9,165.4,2023,1,3
Employee Benefits,9,61.2,2023,1,3
Pension,9,666.3,2023,1,3
Contracts / Leases,9,118.0,2023,1,3
Materials / Equipment,9,15.0,2023,1,3
Contributions / Indemnities,9,77.8,2023,1,3
Short-Term Debt Service,9,0.0,2023,1,3
Long-Term Debt Service,9,0.2,2023,1,3
Interfund Charges,9,0.0,2023,1,3
Advances / Labor Obligations,9,8.1,2023,1,3
Current Year Appropriation,9,1112.1,2023,1,3
Prior Year Encumbrances,9,11.7,2023,1,3
Prior Year Vouchers Payable,9,0.0,2023,1,3
Total Disbursements,9,1123.8,2023,1,3
Payroll,10,165.4,2023,1,4
Employee Benefits,10,61.2,2023,1,4
Pension,10,-0.6,2023,1,4
Contracts / Leases,10,111.4,2023,1,4
Materials / Equipment,10,15.9,2023,1,4
Contributions / Indemnities,10,13.0,2023,1,4
Short-Term Debt Service,10,0.0,2023,1,4
Long-Term Debt Service,10,0.2,2023,1,4
Interfund Charges,10,0.0,2023,1,4
Advances / Labor Obligations,10,8.1,2023,1,4
Current Year Appropriation,10,374.6,2023,1,4
Prior Year Encumbrances,10,6.3,2023,1,4
Prior Year Vouchers Payable,10,0.0,2023,1,4
Total Disbursements,10,380.9,2023,1,4
Payroll,11,180.3,2023,1,5
Employee Benefits,11,63.8,2023,1,5
Pension,11,-0.5,2023,1,5
Contracts / Leases,11,117.2,2023,1,5
Materials / Equipment,11,15.1,2023,1,5
Contributions / Indemnities,11,9.7,2023,1,5
Short-Term Debt Service,11,0.0,2023,1,5
Long-Term Debt Service,11,0.2,2023,1,5
Interfund Charges,11,0.0,2023,1,5
Advances / Labor Obligations,11,8.1,2023,1,5
Current Year Appropriation,11,393.9,2023,1,5
Prior Year Encumbrances,11,4.3,2023,1,5
Prior Year Vouchers Payable,11,0.0,2023,1,5
Total Disbursements,11,398.3,2023,1,5
Payroll,12,170.4,2023,1,6
Employee Benefits,12,63.5,2023,1,6
Pension,12,-4.6,2023,1,6
Contracts / Leases,12,89.1,2023,1,6
Materials / Equipment,12,15.5,2023,1,6
Contributions / Indemnities,12,88.8,2023,1,6
Short-Term Debt Service,12,2.3,2023,1,6
Long-Term Debt Service,12,12.0,2023,1,6
Interfund Charges,12,26.1,2023,1,6
Advances / Labor Obligations,12,8.5,2023,1,6
Current Year Appropriation,12,471.7,2023,1,6
Prior Year Encumbrances,12,4.8,2023,1,6
Prior Year Vouchers Payable,12,0.0,2023,1,6
Total Disbursements,12,476.4,2023,1,6
Payroll,1,110.4,2022,4,7
Employee Benefits,1,55.1,2022,4,7
Pension,1,3.5,2022,4,7
Contracts / Leases,1,34.5,2022,4,7
Materials / Equipment,1,1.8,2022,4,7
Contributions / Indemnities,1,6.7,2022,4,7
Short-Term Debt Service,1,0.0,2022,4,7
Long-Term Debt Service,1,110.5,2022,4,7
Interfund Charges,1,0.4,2022,4,7
Advances / Labor Obligations,1,0.0,2022,4,7
Current Year Appropriation,1,322.8,2022,4,7
Prior Year Encumbrances,1,44.0,2022,4,7
Prior Year Vouchers Payable,1,145.5,2022,4,7
Total Disbursements,1,512.3,2022,4,7
Payroll,2,135.5,2022,4,8
Employee Benefits,2,55.4,2022,4,8
Pension,2,-0.3,2022,4,8
Contracts / Leases,2,28.5,2022,4,8
Materials / Equipment,2,5.7,2022,4,8
Contributions / Indemnities,2,15.6,2022,4,8
Short-Term Debt Service,2,0.0,2022,4,8
Long-Term Debt Service,2,10.3,2022,4,8
Interfund Charges,2,0.0,2022,4,8
Advances / Labor Obligations,2,0.0,2022,4,8
Current Year Appropriation,2,250.6,2022,4,8
Prior Year Encumbrances,2,37.9,2022,4,8
Prior Year Vouchers Payable,2,-22.8,2022,4,8
Total Disbursements,2,265.7,2022,4,8
Payroll,3,149.7,2022,4,9
Employee Benefits,3,48.0,2022,4,9
Pension,3,10.9,2022,4,9
Contracts / Leases,3,111.4,2022,4,9
Materials / Equipment,3,3.5,2022,4,9
Contributions / Indemnities,3,65.9,2022,4,9
Short-Term Debt Service,3,0.1,2022,4,9
Long-Term Debt Service,3,0.0,2022,4,9
Interfund Charges,3,0.0,2022,4,9
Advances / Labor Obligations,3,0.0,2022,4,9
Current Year Appropriation,3,389.5,2022,4,9
Prior Year Encumbrances,3,15.8,2022,4,9
Prior Year Vouchers Payable,3,16.4,2022,4,9
Total Disbursements,3,421.7,2022,4,9
Payroll,4,153.6,2022,4,10
Employee Benefits,4,53.4,2022,4,10
Pension,4,76.5,2022,4,10
Contracts / Leases,4,51.2,2022,4,10
Materials / Equipment,4,6.0,2022,4,10
Contributions / Indemnities,4,12.2,2022,4,10
Short-Term Debt Service,4,0.0,2022,4,10
Long-Term Debt Service,4,3.0,2022,4,10
Interfund Charges,4,0.0,2022,4,10
Advances / Labor Obligations,4,0.0,2022,4,10
Current Year Appropriation,4,355.9,2022,4,10
Prior Year Encumbrances,4,14.4,2022,4,10
Prior Year Vouchers Payable,4,60.2,2022,4,10
Total Disbursements,4,430.5,2022,4,10
Payroll,5,149.7,2022,4,11
Employee Benefits,5,71.9,2022,4,11
Pension,5,2.2,2022,4,11
Contracts / Leases,5,99.1,2022,4,11
Materials / Equipment,5,4.0,2022,4,11
Contributions / Indemnities,5,73.1,2022,4,11
Short-Term Debt Service,5,0.0,2022,4,11
Long-Term Debt Service,5,0.0,2022,4,11
Interfund Charges,5,6.9,2022,4,11
Advances / Labor Obligations,5,0.0,2022,4,11
Current Year Appropriation,5,406.9,2022,4,11
Prior Year Encumbrances,5,11.7,2022,4,11
Prior Year Vouchers Payable,5,-16.4,2022,4,11
Total Disbursements,5,402.3,2022,4,11
Payroll,6,147.1,2022,4,12
Employee Benefits,6,52.6,2022,4,12
Pension,6,3.3,2022,4,12
Contracts / Leases,6,59.5,2022,4,12
Materials / Equipment,6,6.0,2022,4,12
Contributions / Indemnities,6,13.0,2022,4,12
Short-Term Debt Service,6,0.1,2022,4,12
Long-Term Debt Service,6,3.7,2022,4,12
Interfund Charges,6,0.0,2022,4,12
Advances / Labor Obligations,6,0.0,2022,4,12
Current Year Appropriation,6,285.3,2022,4,12
Prior Year Encumbrances,6,5.6,2022,4,12
Prior Year Vouchers Payable,6,-8.7,2022,4,12
Total Disbursements,6,282.2,2022,4,12
Payroll,7,187.4,2022,4,1
Employee Benefits,7,62.1,2022,4,1
Pension,7,-0.4,2022,4,1
Contracts / Leases,7,59.6,2022,4,1
Materials / Equipment,7,3.7,2022,4,1
Contributions / Indemnities,7,5.1,2022,4,1
Short-Term Debt Service,7,0.0,2022,4,1
Long-Term Debt Service,7,41.8,2022,4,1
Interfund Charges,7,0.0,2022,4,1
Advances / Labor Obligations,7,0.0,2022,4,1
Current Year Appropriation,7,359.3,2022,4,1
Prior Year Encumbrances,7,6.8,2022,4,1
Prior Year Vouchers Payable,7,0.9,2022,4,1
Total Disbursements,7,366.9,2022,4,1
Payroll,8,155.4,2022,4,2
Employee Benefits,8,37.9,2022,4,2
Pension,8,-0.3,2022,4,2
Contracts / Leases,8,83.2,2022,4,2
Materials / Equipment,8,7.7,2022,4,2
Contributions / Indemnities,8,9.4,2022,4,2
Short-Term Debt Service,8,0.0,2022,4,2
Long-Term Debt Service,8,0.0,2022,4,2
Interfund Charges,8,0.0,2022,4,2
Advances / Labor Obligations,8,0.0,2022,4,2
Current Year Appropriation,8,293.3,2022,4,2
Prior Year Encumbrances,8,9.0,2022,4,2
Prior Year Vouchers Payable,8,1.4,2022,4,2
Total Disbursements,8,303.7,2022,4,2
Payroll,9,136.2,2022,4,3
Employee Benefits,9,52.3,2022,4,3
Pension,9,652.6,2022,4,3
Contracts / Leases,9,91.5,2022,4,3
