dept_name_raw,fund,civilian,uniformed,fiscal_year,variable,time_period,as_of_date,total,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
L&I-Board of L & I Review,Other,0,0,2022,Actual,YTD,2022-03-31,0,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,Other,111,0,2022,Actual,YTD,2022-03-31,111,Managing Director's Office,10,MDO,3,2022,10
Mayor's Office,Other,6,0,2022,Actual,YTD,2022-03-31,6,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,Other,30,0,2022,Actual,YTD,2022-03-31,30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,Other,0,0,2022,Actual,YTD,2022-03-31,0,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,Other,232,0,2022,Actual,YTD,2022-03-31,232,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,Other,23,0,2022,Actual,YTD,2022-03-31,23,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology,Other,102,0,2022,Actual,YTD,2022-03-31,102,Office of Innovation and Technology,04,OIT,3,2022,04
Office of the Inspector General,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,Other,1,0,2022,Actual,YTD,2022-03-31,1,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,Other,28,0,2022,Actual,YTD,2022-03-31,28,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,Other,53,0,2022,Actual,YTD,2022-03-31,53,Department of Planning and Development,72,Planning & Development,3,2022,72
Prisons,Other,0,0,2022,Actual,YTD,2022-03-31,0,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,Other,2,0,2022,Actual,YTD,2022-03-31,2,Procurement Department,38,Procurement,3,2022,38
Public Health,Other,170,0,2022,Actual,YTD,2022-03-31,170,Department of Public Health,14,Public Health,3,2022,14
Public Property,Other,0,0,2022,Actual,YTD,2022-03-31,0,Department of Public Property,20,Public Property,3,2022,20
Records,Other,0,0,2022,Actual,YTD,2022-03-31,0,Department of Records,31,Records,3,2022,31
Register of Wills,Other,0,0,2022,Actual,YTD,2022-03-31,0,Register of Wills,68,,3,2022,68
Revenue,Other,171,0,2022,Actual,YTD,2022-03-31,171,Department of Revenue,36,Revenue,3,2022,36
Sheriff,Other,0,0,2022,Actual,YTD,2022-03-31,0,Office of the Sheriff,70,Sheriff,3,2022,70
Streets,Other,1,0,2022,Actual,YTD,2022-03-31,1,Streets Department,12,Streets,3,2022,12
Water,Other,1938,0,2022,Actual,YTD,2022-03-31,1938,Water Department,28,Water,3,2022,28
"Water,Sewer & Stormwater Rate Board",Other,1,0,2022,Actual,YTD,2022-03-31,1,"Water, Sewer, and Stormwater Rate Board",67,,3,2022,67
Auditing (City Controller's Office),Total,109,0,2022,Actual,YTD,2022-03-31,109,City Controller's Office,61,,3,2022,61
Board of Ethics,Total,9,0,2022,Actual,YTD,2022-03-31,9,Board of Ethics,45,,3,2022,45
Board of Pensions,Total,58,0,2022,Actual,YTD,2022-03-31,58,Board of Pensions,53,Pensions,3,2022,53
Board of Revision of Taxes,Total,14,0,2022,Actual,YTD,2022-03-31,14,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),Total,118,0,2022,Actual,YTD,2022-03-31,118,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,Total,178,0,2022,Actual,YTD,2022-03-31,178,City Council,01,,3,2022,01
City Treasurer,Total,17,0,2022,Actual,YTD,2022-03-31,17,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,Total,2,0,2022,Actual,YTD,2022-03-31,2,Civil Service Commission,55,,3,2022,55
Commerce,Total,658,0,2022,Actual,YTD,2022-03-31,658,Office of the Director of Commerce,42,Commerce,3,2022,42
Finance,Total,118,0,2022,Actual,YTD,2022-03-31,118,Office of the Director of Finance,35,Finance,3,2022,35
First Judicial District,Total,2101,0,2022,Actual,YTD,2022-03-31,2101,First Judicial District,84,FJD,3,2022,84
Fleet Services,Total,320,0,2022,Actual,YTD,2022-03-31,320,Office of Fleet Management,25,Fleet,3,2022,25
Free Library,Total,630,0,2022,Actual,YTD,2022-03-31,630,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,Total,31,0,2022,Actual,YTD,2022-03-31,31,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services (1),Total,1462,0,2022,Actual,YTD,2022-03-31,1462,Department of Human Services,22,DHS,3,2022,22
Labor,Total,25,0,2022,Actual,YTD,2022-03-31,25,Labor,03,,3,2022,03
Law,Total,222,0,2022,Actual,YTD,2022-03-31,222,Law Department,44,Law,3,2022,44
Licenses & Inspections,Total,367,0,2022,Actual,YTD,2022-03-31,367,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,Total,1,0,2022,Actual,YTD,2022-03-31,1,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,Total,2,0,2022,Actual,YTD,2022-03-31,2,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,Total,416,0,2022,Actual,YTD,2022-03-31,416,Managing Director's Office,10,MDO,3,2022,10
Mayor's Office,Total,65,0,2022,Actual,YTD,2022-03-31,65,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,Total,30,0,2022,Actual,YTD,2022-03-31,30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,Total,8,0,2022,Actual,YTD,2022-03-31,8,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,Total,255,0,2022,Actual,YTD,2022-03-31,255,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,Total,66,0,2022,Actual,YTD,2022-03-31,66,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,Total,2,0,2022,Actual,YTD,2022-03-31,2,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,Total,143,0,2022,Actual,YTD,2022-03-31,143,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,Total,72,0,2022,Actual,YTD,2022-03-31,72,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology,Total,405,0,2022,Actual,YTD,2022-03-31,405,Office of Innovation and Technology,04,OIT,3,2022,04
Office of the Inspector General,Total,16,0,2022,Actual,YTD,2022-03-31,16,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,Total,184,0,2022,Actual,YTD,2022-03-31,184,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,Total,12,0,2022,Actual,YTD,2022-03-31,12,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,Total,629,0,2022,Actual,YTD,2022-03-31,629,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,Total,107,0,2022,Actual,YTD,2022-03-31,107,Department of Planning and Development,72,Planning & Development,3,2022,72
Prisons,Total,1427,0,2022,Actual,YTD,2022-03-31,1427,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,Total,37,0,2022,Actual,YTD,2022-03-31,37,Procurement Department,38,Procurement,3,2022,38
Public Health,Total,875,0,2022,Actual,YTD,2022-03-31,875,Department of Public Health,14,Public Health,3,2022,14
Public Property,Total,136,0,2022,Actual,YTD,2022-03-31,136,Department of Public Property,20,Public Property,3,2022,20
Records,Total,48,0,2022,Actual,YTD,2022-03-31,48,Department of Records,31,Records,3,2022,31
Register of Wills,Total,67,0,2022,Actual,YTD,2022-03-31,67,Register of Wills,68,,3,2022,68
Revenue,Total,500,0,2022,Actual,YTD,2022-03-31,500,Department of Revenue,36,Revenue,3,2022,36
Sheriff,Total,343,0,2022,Actual,YTD,2022-03-31,343,Office of the Sheriff,70,Sheriff,3,2022,70
Streets,Total,2079,0,2022,Actual,YTD,2022-03-31,2079,Streets Department,12,Streets,3,2022,12
Water,Total,1938,0,2022,Actual,YTD,2022-03-31,1938,Water Department,28,Water,3,2022,28
"Water,Sewer & Stormwater Rate Board",Total,1,0,2022,Actual,YTD,2022-03-31,1,"Water, Sewer, and Stormwater Rate Board",67,,3,2022,67
Police,General,815,5944,2022,Actual,YTD,2022-03-31,6759,Police Department,11,Police,3,2022,11
Police,Other,10,132,2022,Actual,YTD,2022-03-31,142,Police Department,11,Police,3,2022,11
Police,Total,825,6076,2022,Actual,YTD,2022-03-31,6901,Police Department,11,Police,3,2022,11
Fire,General,111,2573,2022,Actual,YTD,2022-03-31,2684,Fire Department,13,Fire,3,2022,13
Fire,Other,1,78,2022,Actual,YTD,2022-03-31,79,Fire Department,13,Fire,3,2022,13
Fire,Total,112,2651,2022,Actual,YTD,2022-03-31,2763,Fire Department,13,Fire,3,2022,13
District Attorney,General,477,35,2022,Actual,YTD,2022-03-31,512,District Attorney's Office,69,DAO,3,2022,69
District Attorney,Other,96,7,2022,Actual,YTD,2022-03-31,103,District Attorney's Office,69,DAO,3,2022,69
District Attorney,Total,573,42,2022,Actual,YTD,2022-03-31,615,District Attorney's Office,69,DAO,3,2022,69
Auditing (City Controller's Office),General,118,0,2021,Actual,Full Year,2021-06-30,118,City Controller's Office,61,,3,2022,61
Board of Ethics,General,9,0,2021,Actual,Full Year,2021-06-30,9,Board of Ethics,45,,3,2022,45
Board of Pensions,General,0,0,2021,Actual,Full Year,2021-06-30,0,Board of Pensions,53,Pensions,3,2022,53
Board of Revision of Taxes,General,15,0,2021,Actual,Full Year,2021-06-30,15,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),General,137,0,2021,Actual,Full Year,2021-06-30,137,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,General,182,0,2021,Actual,Full Year,2021-06-30,182,City Council,01,,3,2022,01
City Treasurer,General,16,0,2021,Actual,Full Year,2021-06-30,16,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,General,1,0,2021,Actual,Full Year,2021-06-30,1,Civil Service Commission,55,,3,2022,55
Commerce,General,37,0,2021,Actual,Full Year,2021-06-30,37,Office of the Director of Commerce,42,Commerce,3,2022,42
Finance,General,119,0,2021,Actual,Full Year,2021-06-30,119,Office of the Director of Finance,35,Finance,3,2022,35
First Judicial District,General,1773,0,2021,Actual,Full Year,2021-06-30,1773,First Judicial District,84,FJD,3,2022,84
Fleet Services,General,268,0,2021,Actual,Full Year,2021-06-30,268,Office of Fleet Management,25,Fleet,3,2022,25
Free Library,General,634,0,2021,Actual,Full Year,2021-06-30,634,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,General,32,0,2021,Actual,Full Year,2021-06-30,32,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services (1),General,492,0,2021,Actual,Full Year,2021-06-30,492,Department of Human Services,22,DHS,3,2022,22
Labor,General,26,0,2021,Actual,Full Year,2021-06-30,26,Labor,03,,3,2022,03
Law,General,127,0,2021,Actual,Full Year,2021-06-30,127,Law Department,44,Law,3,2022,44
Licenses & Inspections,General,372,0,2021,Actual,Full Year,2021-06-30,372,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,General,1,0,2021,Actual,Full Year,2021-06-30,1,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,General,1,0,2021,Actual,Full Year,2021-06-30,1,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,General,290,0,2021,Actual,Full Year,2021-06-30,290,Managing Director's Office,10,MDO,3,2022,10
Mayor's Office,General,61,0,2021,Actual,Full Year,2021-06-30,61,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,General,0,0,2021,Actual,Full Year,2021-06-30,0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,General,8,0,2021,Actual,Full Year,2021-06-30,8,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,General,23,0,2021,Actual,Full Year,2021-06-30,23,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,General,59,0,2021,Actual,Full Year,2021-06-30,59,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,General,3,0,2021,Actual,Full Year,2021-06-30,3,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,General,127,0,2021,Actual,Full Year,2021-06-30,127,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,General,75,0,2021,Actual,Full Year,2021-06-30,75,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology,General,313,0,2021,Actual,Full Year,2021-06-30,313,Office of Innovation and Technology,04,OIT,3,2022,04
Office of the Inspector General,General,18,0,2021,Actual,Full Year,2021-06-30,18,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,General,190,0,2021,Actual,Full Year,2021-06-30,190,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,General,8,0,2021,Actual,Full Year,2021-06-30,8,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,General,644,0,2021,Actual,Full Year,2021-06-30,644,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,General,55,0,2021,Actual,Full Year,2021-06-30,55,Department of Planning and Development,72,Planning & Development,3,2022,72
Prisons,General,1620,0,2021,Actual,Full Year,2021-06-30,1620,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,General,35,0,2021,Actual,Full Year,2021-06-30,35,Procurement Department,38,Procurement,3,2022,38
Public Health,General,716,0,2021,Actual,Full Year,2021-06-30,716,Department of Public Health,14,Public Health,3,2022,14
Public Property,General,142,0,2021,Actual,Full Year,2021-06-30,142,Department of Public Property,20,Public Property,3,2022,20
Records,General,51,0,2021,Actual,Full Year,2021-06-30,51,Department of Records,31,Records,3,2022,31
Register of Wills,General,70,0,2021,Actual,Full Year,2021-06-30,70,Register of Wills,68,,3,2022,68
Revenue,General,386,0,2021,Actual,Full Year,2021-06-30,386,Department of Revenue,36,Revenue,3,2022,36
Sheriff,General,367,0,2021,Actual,Full Year,2021-06-30,367,Office of the Sheriff,70,Sheriff,3,2022,70
Streets,General,1941,0,2021,Actual,Full Year,2021-06-30,1941,Streets Department,12,Streets,3,2022,12
Water,General,0,0,2021,Actual,Full Year,2021-06-30,0,Water Department,28,Water,3,2022,28
"Water,Sewer & Stormwater Rate Board",General,0,0,2021,Actual,Full Year,2021-06-30,0,"Water, Sewer, and Stormwater Rate Board",67,,3,2022,67
Auditing (City Controller's Office),Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Controller's Office,61,,3,2022,61
Board of Ethics,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Board of Ethics,45,,3,2022,45
Board of Pensions,Other,55,0,2021,Actual,Full Year,2021-06-30,55,Board of Pensions,53,Pensions,3,2022,53
Board of Revision of Taxes,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,Other,0,0,2021,Actual,Full Year,2021-06-30,0,City Council,01,,3,2022,01
City Treasurer,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Civil Service Commission,55,,3,2022,55
Commerce,Other,730,0,2021,Actual,Full Year,2021-06-30,730,Office of the Director of Commerce,42,Commerce,3,2022,42
Finance,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of the Director of Finance,35,Finance,3,2022,35
First Judicial District,Other,452,0,2021,Actual,Full Year,2021-06-30,452,First Judicial District,84,FJD,3,2022,84
Fleet Services,Other,67,0,2021,Actual,Full Year,2021-06-30,67,Office of Fleet Management,25,Fleet,3,2022,25
Free Library,Other,11,0,2021,Actual,Full Year,2021-06-30,11,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services (1),Other,972,0,2021,Actual,Full Year,2021-06-30,972,Department of Human Services,22,DHS,3,2022,22
Labor,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Labor,03,,3,2022,03
Law,Other,48,0,2021,Actual,Full Year,2021-06-30,48,Law Department,44,Law,3,2022,44
Licenses & Inspections,Other,8,0,2021,Actual,Full Year,2021-06-30,8,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,Other,0,0,2021,Actual,Full Year,2021-06-30,0,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,Other,0,0,2021,Actual,Full Year,2021-06-30,0,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,Other,125,0,2021,Actual,Full Year,2021-06-30,125,Managing Director's Office,10,MDO,3,2022,10
Mayor's Office,Other,3,0,2021,Actual,Full Year,2021-06-30,3,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,Other,29,0,2021,Actual,Full Year,2021-06-30,29,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,Other,230,0,2021,Actual,Full Year,2021-06-30,230,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,Other,43,0,2021,Actual,Full Year,2021-06-30,43,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology,Other,102,0,2021,Actual,Full Year,2021-06-30,102,Office of Innovation and Technology,04,OIT,3,2022,04
Office of the Inspector General,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,Other,2,0,2021,Actual,Full Year,2021-06-30,2,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,Other,26,0,2021,Actual,Full Year,2021-06-30,26,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,Other,51,0,2021,Actual,Full Year,2021-06-30,51,Department of Planning and Development,72,Planning & Development,3,2022,72
Prisons,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,Other,2,0,2021,Actual,Full Year,2021-06-30,2,Procurement Department,38,Procurement,3,2022,38
Public Health,Other,182,0,2021,Actual,Full Year,2021-06-30,182,Department of Public Health,14,Public Health,3,2022,14
Public Property,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Department of Public Property,20,Public Property,3,2022,20
Records,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Department of Records,31,Records,3,2022,31
Register of Wills,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Register of Wills,68,,3,2022,68
Revenue,Other,193,0,2021,Actual,Full Year,2021-06-30,193,Department of Revenue,36,Revenue,3,2022,36
Sheriff,Other,0,0,2021,Actual,Full Year,2021-06-30,0,Office of the Sheriff,70,Sheriff,3,2022,70
