category,fiscal_month,amount,fiscal_year,quarter,month
Consolidated Cash,1,1797.8,2022,4,7
General Fund,2,833.3,2022,4,8
Grants Fund,2,945.8,2022,4,8
Community Development,2,-6.3,2022,4,8
Vehicle Rental Tax,2,9.1,2022,4,8
Hospital Assessment Fund,2,22.3,2022,4,8
Housing Trust Fund,2,80.9,2022,4,8
Budget Stabilization Fund,2,0.0,2022,4,8
Other Funds,2,10.8,2022,4,8
Total Operating Funds,2,1895.9,2022,4,8
Capital Improvement,2,488.1,2022,4,8
Industrial and Commercial Development,2,10.2,2022,4,8
Total Capital Funds,2,498.4,2022,4,8
Consolidated Cash,2,2394.3,2022,4,8
General Fund,3,792.9,2022,4,9
Grants Fund,3,882.2,2022,4,9
Community Development,3,-3.5,2022,4,9
Vehicle Rental Tax,3,2.9,2022,4,9
Hospital Assessment Fund,3,32.1,2022,4,9
Housing Trust Fund,3,80.2,2022,4,9
Budget Stabilization Fund,3,0.0,2022,4,9
Other Funds,3,10.6,2022,4,9
Total Operating Funds,3,1797.4,2022,4,9
Capital Improvement,3,462.4,2022,4,9
Industrial and Commercial Development,3,10.2,2022,4,9
Total Capital Funds,3,472.6,2022,4,9
Consolidated Cash,3,2270.0,2022,4,9
General Fund,4,629.4,2022,4,10
Grants Fund,4,881.9,2022,4,10
Community Development,4,-14.3,2022,4,10
Vehicle Rental Tax,4,3.5,2022,4,10
Hospital Assessment Fund,4,25.3,2022,4,10
Housing Trust Fund,4,78.0,2022,4,10
Budget Stabilization Fund,4,0.0,2022,4,10
Other Funds,4,10.5,2022,4,10
Total Operating Funds,4,1614.2,2022,4,10
Capital Improvement,4,461.6,2022,4,10
Industrial and Commercial Development,4,10.2,2022,4,10
Total Capital Funds,4,471.9,2022,4,10
Consolidated Cash,4,2086.0,2022,4,10
General Fund,5,523.6,2022,4,11
Grants Fund,5,897.5,2022,4,11
Community Development,5,-23.9,2022,4,11
Vehicle Rental Tax,5,4.1,2022,4,11
Hospital Assessment Fund,5,23.9,2022,4,11
Housing Trust Fund,5,81.3,2022,4,11
Budget Stabilization Fund,5,0.0,2022,4,11
Other Funds,5,9.9,2022,4,11
Total Operating Funds,5,1516.5,2022,4,11
Capital Improvement,5,454.7,2022,4,11
Industrial and Commercial Development,5,10.2,2022,4,11
Total Capital Funds,5,465.0,2022,4,11
Consolidated Cash,5,1981.4,2022,4,11
General Fund,6,664.9,2022,4,12
Grants Fund,6,787.9,2022,4,12
Community Development,6,-30.1,2022,4,12
Vehicle Rental Tax,6,4.7,2022,4,12
Hospital Assessment Fund,6,36.0,2022,4,12
Housing Trust Fund,6,81.2,2022,4,12
Budget Stabilization Fund,6,0.0,2022,4,12
Other Funds,6,9.8,2022,4,12
Total Operating Funds,6,1554.3,2022,4,12
Capital Improvement,6,434.9,2022,4,12
Industrial and Commercial Development,6,10.2,2022,4,12
Total Capital Funds,6,445.2,2022,4,12
Consolidated Cash,6,1999.5,2022,4,12
General Fund,7,798.2,2022,4,1
Grants Fund,7,936.3,2022,4,1
Community Development,7,-18.7,2022,4,1
Vehicle Rental Tax,7,5.1,2022,4,1
Hospital Assessment Fund,7,25.2,2022,4,1
Housing Trust Fund,7,81.9,2022,4,1
Budget Stabilization Fund,7,0.0,2022,4,1
Other Funds,7,13.1,2022,4,1
Total Operating Funds,7,1841.2,2022,4,1
Capital Improvement,7,422.2,2022,4,1
Industrial and Commercial Development,7,10.2,2022,4,1
Total Capital Funds,7,432.4,2022,4,1
Consolidated Cash,7,2273.6,2022,4,1
General Fund,8,838.2,2022,4,2
Grants Fund,8,897.7,2022,4,2
Community Development,8,-9.6,2022,4,2
Vehicle Rental Tax,8,5.5,2022,4,2
Hospital Assessment Fund,8,24.8,2022,4,2
Housing Trust Fund,8,83.6,2022,4,2
Budget Stabilization Fund,8,0.0,2022,4,2
Other Funds,8,13.1,2022,4,2
Total Operating Funds,8,1853.3,2022,4,2
Capital Improvement,8,411.1,2022,4,2
Industrial and Commercial Development,8,10.2,2022,4,2
Total Capital Funds,8,421.4,2022,4,2
Consolidated Cash,8,2274.6,2022,4,2
General Fund,9,974.8,2022,4,3
Grants Fund,9,787.9,2022,4,3
Community Development,9,-4.1,2022,4,3
Vehicle Rental Tax,9,5.9,2022,4,3
Hospital Assessment Fund,9,27.0,2022,4,3
Housing Trust Fund,9,85.3,2022,4,3
Budget Stabilization Fund,9,0.0,2022,4,3
Other Funds,9,13.1,2022,4,3
Total Operating Funds,9,1889.9,2022,4,3
Capital Improvement,9,400.3,2022,4,3
Industrial and Commercial Development,9,10.2,2022,4,3
Total Capital Funds,9,410.6,2022,4,3
Consolidated Cash,9,2300.5,2022,4,3
General Fund,10,1498.9,2022,4,4
Grants Fund,10,788.8,2022,4,4
Community Development,10,4.6,2022,4,4
Vehicle Rental Tax,10,6.4,2022,4,4
Hospital Assessment Fund,10,22.1,2022,4,4
Housing Trust Fund,10,85.2,2022,4,4
Budget Stabilization Fund,10,0.0,2022,4,4
Other Funds,10,13.1,2022,4,4
Total Operating Funds,10,2419.2,2022,4,4
Capital Improvement,10,402.0,2022,4,4
Industrial and Commercial Development,10,10.2,2022,4,4
Total Capital Funds,10,412.3,2022,4,4
Consolidated Cash,10,2831.4,2022,4,4
General Fund,11,1624.8,2022,4,5
Grants Fund,11,729.4,2022,4,5
Community Development,11,-3.3,2022,4,5
Vehicle Rental Tax,11,6.9,2022,4,5
Hospital Assessment Fund,11,57.7,2022,4,5
Housing Trust Fund,11,85.5,2022,4,5
Budget Stabilization Fund,11,0.0,2022,4,5
Other Funds,11,13.2,2022,4,5
Total Operating Funds,11,2514.3,2022,4,5
Capital Improvement,11,389.5,2022,4,5
Industrial and Commercial Development,11,10.2,2022,4,5
Total Capital Funds,11,399.8,2022,4,5
Consolidated Cash,11,2914.1,2022,4,5
General Fund,12,1628.5,2022,4,6
Grants Fund,12,1227.2,2022,4,6
Community Development,12,0.0,2022,4,6
Vehicle Rental Tax,12,7.5,2022,4,6
Hospital Assessment Fund,12,23.8,2022,4,6
Housing Trust Fund,12,84.1,2022,4,6
Budget Stabilization Fund,12,0.0,2022,4,6
Other Funds,12,14.0,2022,4,6
Total Operating Funds,12,2985.1,2022,4,6
Capital Improvement,12,369.7,2022,4,6
Industrial and Commercial Development,12,10.2,2022,4,6
Total Capital Funds,12,379.9,2022,4,6
Consolidated Cash,12,3365.0,2022,4,6
General Fund,1,707.4,2022,3,7
Grants Fund,1,833.6,2022,3,7
Community Development,1,-3.7,2022,3,7
Vehicle Rental Tax,1,8.4,2022,3,7
Hospital Assessment Fund,1,23.0,2022,3,7
Housing Trust Fund,1,83.0,2022,3,7
Budget Stabilization Fund,1,0.0,2022,3,7
Other Funds,1,10.8,2022,3,7
Total Operating Funds,1,1662.4,2022,3,7
Capital Improvement,1,125.2,2022,3,7
Industrial and Commercial Development,1,10.2,2022,3,7
Total Capital Funds,1,135.5,2022,3,7
Consolidated Cash,1,1797.8,2022,3,7
General Fund,2,833.3,2022,3,8
Grants Fund,2,945.8,2022,3,8
Community Development,2,-6.3,2022,3,8
Vehicle Rental Tax,2,9.1,2022,3,8
Hospital Assessment Fund,2,22.3,2022,3,8
Housing Trust Fund,2,80.9,2022,3,8
Budget Stabilization Fund,2,0.0,2022,3,8
Other Funds,2,10.8,2022,3,8
Total Operating Funds,2,1895.9,2022,3,8
Capital Improvement,2,488.1,2022,3,8
Industrial and Commercial Development,2,10.2,2022,3,8
Total Capital Funds,2,498.4,2022,3,8
Consolidated Cash,2,2394.3,2022,3,8
General Fund,3,792.9,2022,3,9
Grants Fund,3,882.2,2022,3,9
Community Development,3,-3.5,2022,3,9
Vehicle Rental Tax,3,2.9,2022,3,9
Hospital Assessment Fund,3,32.1,2022,3,9
Housing Trust Fund,3,80.2,2022,3,9
Budget Stabilization Fund,3,0.0,2022,3,9
Other Funds,3,10.6,2022,3,9
Total Operating Funds,3,1797.4,2022,3,9
Capital Improvement,3,462.4,2022,3,9
Industrial and Commercial Development,3,10.2,2022,3,9
Total Capital Funds,3,472.6,2022,3,9
Consolidated Cash,3,2270.0,2022,3,9
General Fund,4,629.4,2022,3,10
Grants Fund,4,881.9,2022,3,10
Community Development,4,-14.3,2022,3,10
Vehicle Rental Tax,4,3.5,2022,3,10
Hospital Assessment Fund,4,25.3,2022,3,10
Housing Trust Fund,4,78.0,2022,3,10
Budget Stabilization Fund,4,0.0,2022,3,10
Other Funds,4,10.5,2022,3,10
Total Operating Funds,4,1614.2,2022,3,10
Capital Improvement,4,461.6,2022,3,10
Industrial and Commercial Development,4,10.2,2022,3,10
Total Capital Funds,4,471.9,2022,3,10
Consolidated Cash,4,2086.0,2022,3,10
General Fund,5,523.6,2022,3,11
Grants Fund,5,897.5,2022,3,11
Community Development,5,-23.9,2022,3,11
Vehicle Rental Tax,5,4.1,2022,3,11
Hospital Assessment Fund,5,23.9,2022,3,11
Housing Trust Fund,5,81.3,2022,3,11
Budget Stabilization Fund,5,0.0,2022,3,11
Other Funds,5,9.9,2022,3,11
Total Operating Funds,5,1516.5,2022,3,11
Capital Improvement,5,454.7,2022,3,11
Industrial and Commercial Development,5,10.2,2022,3,11
Total Capital Funds,5,465.0,2022,3,11
Consolidated Cash,5,1981.4,2022,3,11
General Fund,6,664.9,2022,3,12
Grants Fund,6,787.9,2022,3,12
Community Development,6,-30.1,2022,3,12
Vehicle Rental Tax,6,4.7,2022,3,12
Hospital Assessment Fund,6,36.0,2022,3,12
Housing Trust Fund,6,81.2,2022,3,12
Budget Stabilization Fund,6,0.0,2022,3,12
Other Funds,6,9.8,2022,3,12
Total Operating Funds,6,1554.3,2022,3,12
Capital Improvement,6,434.9,2022,3,12
Industrial and Commercial Development,6,10.2,2022,3,12
Total Capital Funds,6,445.2,2022,3,12
Consolidated Cash,6,1999.5,2022,3,12
General Fund,7,798.2,2022,3,1
Grants Fund,7,936.3,2022,3,1
Community Development,7,-18.7,2022,3,1
Vehicle Rental Tax,7,5.1,2022,3,1
Hospital Assessment Fund,7,25.2,2022,3,1
Housing Trust Fund,7,81.9,2022,3,1
Budget Stabilization Fund,7,0.0,2022,3,1
Other Funds,7,13.1,2022,3,1
Total Operating Funds,7,1841.2,2022,3,1
Capital Improvement,7,422.2,2022,3,1
Industrial and Commercial Development,7,10.2,2022,3,1
Total Capital Funds,7,432.4,2022,3,1
Consolidated Cash,7,2273.6,2022,3,1
General Fund,8,838.2,2022,3,2
Grants Fund,8,897.7,2022,3,2
Community Development,8,-9.6,2022,3,2
Vehicle Rental Tax,8,5.5,2022,3,2
Hospital Assessment Fund,8,24.8,2022,3,2
Housing Trust Fund,8,83.6,2022,3,2
Budget Stabilization Fund,8,0.0,2022,3,2
Other Funds,8,13.1,2022,3,2
Total Operating Funds,8,1853.3,2022,3,2
Capital Improvement,8,411.1,2022,3,2
Industrial and Commercial Development,8,10.2,2022,3,2
Total Capital Funds,8,421.4,2022,3,2
Consolidated Cash,8,2274.6,2022,3,2
General Fund,9,974.8,2022,3,3
Grants Fund,9,787.9,2022,3,3
Community Development,9,-4.1,2022,3,3
Vehicle Rental Tax,9,5.9,2022,3,3
Hospital Assessment Fund,9,27.0,2022,3,3
Housing Trust Fund,9,85.3,2022,3,3
Budget Stabilization Fund,9,0.0,2022,3,3
Other Funds,9,13.1,2022,3,3
Total Operating Funds,9,1889.9,2022,3,3
Capital Improvement,9,400.3,2022,3,3
Industrial and Commercial Development,9,10.2,2022,3,3
Total Capital Funds,9,410.6,2022,3,3
Consolidated Cash,9,2300.5,2022,3,3
General Fund,10,1498.9,2022,3,4
Grants Fund,10,788.8,2022,3,4
Community Development,10,4.6,2022,3,4
Vehicle Rental Tax,10,6.4,2022,3,4
Hospital Assessment Fund,10,22.1,2022,3,4
Housing Trust Fund,10,85.2,2022,3,4
Budget Stabilization Fund,10,0.0,2022,3,4
Other Funds,10,13.1,2022,3,4
Total Operating Funds,10,2419.2,2022,3,4
Capital Improvement,10,402.0,2022,3,4
Industrial and Commercial Development,10,10.2,2022,3,4
Total Capital Funds,10,412.3,2022,3,4
Consolidated Cash,10,2831.4,2022,3,4
General Fund,11,1383.7,2022,3,5
Grants Fund,11,1241.3,2022,3,5
Community Development,11,2.0,2022,3,5
Vehicle Rental Tax,11,7.1,2022,3,5
Hospital Assessment Fund,11,43.7,2022,3,5
Housing Trust Fund,11,83.1,2022,3,5
Budget Stabilization Fund,11,0.0,2022,3,5
Other Funds,11,13.0,2022,3,5
Total Operating Funds,11,2773.9,2022,3,5
Capital Improvement,11,392.5,2022,3,5
Industrial and Commercial Development,11,10.2,2022,3,5
Total Capital Funds,11,402.8,2022,3,5
Consolidated Cash,11,3176.7,2022,3,5
General Fund,12,1080.3,2022,3,6
Grants Fund,12,1148.2,2022,3,6
Community Development,12,0.0,2022,3,6
Vehicle Rental Tax,12,7.8,2022,3,6
Hospital Assessment Fund,12,19.2,2022,3,6
Housing Trust Fund,12,81.0,2022,3,6
Budget Stabilization Fund,12,0.0,2022,3,6
Other Funds,12,12.8,2022,3,6
Total Operating Funds,12,2349.4,2022,3,6
Capital Improvement,12,383.0,2022,3,6
Industrial and Commercial Development,12,10.2,2022,3,6
Total Capital Funds,12,393.3,2022,3,6
Consolidated Cash,12,2742.7,2022,3,6
General Fund,1,707.4,2022,2,7
Grants Fund,1,833.6,2022,2,7
Community Development,1,-3.7,2022,2,7
Vehicle Rental Tax,1,8.4,2022,2,7
Hospital Assessment Fund,1,23.0,2022,2,7
Housing Trust Fund,1,83.0,2022,2,7
Budget Stabilization Fund,1,0.0,2022,2,7
Other Funds,1,10.8,2022,2,7
Total Operating Funds,1,1662.4,2022,2,7
Capital Improvement,1,125.2,2022,2,7
Industrial and Commercial Development,1,10.2,2022,2,7
Total Capital Funds,1,135.5,2022,2,7
Consolidated Cash,1,1797.8,2022,2,7
General Fund,2,833.3,2022,2,8
Grants Fund,2,945.8,2022,2,8
Community Development,2,-6.3,2022,2,8
Vehicle Rental Tax,2,9.1,2022,2,8
Hospital Assessment Fund,2,22.3,2022,2,8
Housing Trust Fund,2,80.9,2022,2,8
Budget Stabilization Fund,2,0.0,2022,2,8
Other Funds,2,10.8,2022,2,8
Total Operating Funds,2,1895.9,2022,2,8
Capital Improvement,2,488.1,2022,2,8
Industrial and Commercial Development,2,10.2,2022,2,8
Total Capital Funds,2,498.4,2022,2,8
Consolidated Cash,2,2394.3,2022,2,8
General Fund,3,792.9,2022,2,9
Grants Fund,3,882.2,2022,2,9
Community Development,3,-3.5,2022,2,9
Vehicle Rental Tax,3,2.9,2022,2,9
Hospital Assessment Fund,3,32.1,2022,2,9
Housing Trust Fund,3,80.2,2022,2,9
Budget Stabilization Fund,3,0.0,2022,2,9
Other Funds,3,10.6,2022,2,9
Total Operating Funds,3,1797.4,2022,2,9
Capital Improvement,3,462.4,2022,2,9
Industrial and Commercial Development,3,10.2,2022,2,9
Total Capital Funds,3,472.6,2022,2,9
Consolidated Cash,3,2270.0,2022,2,9
General Fund,4,629.4,2022,2,10
Grants Fund,4,881.9,2022,2,10
Community Development,4,-14.3,2022,2,10
Vehicle Rental Tax,4,3.5,2022,2,10
Hospital Assessment Fund,4,25.3,2022,2,10
Housing Trust Fund,4,78.0,2022,2,10
Budget Stabilization Fund,4,0.0,2022,2,10
Other Funds,4,10.5,2022,2,10
Total Operating Funds,4,1614.2,2022,2,10
Capital Improvement,4,461.6,2022,2,10
Industrial and Commercial Development,4,10.2,2022,2,10
Total Capital Funds,4,471.9,2022,2,10
Consolidated Cash,4,2086.0,2022,2,10
General Fund,5,523.6,2022,2,11
Grants Fund,5,897.5,2022,2,11
Community Development,5,-23.9,2022,2,11
Vehicle Rental Tax,5,4.1,2022,2,11
Hospital Assessment Fund,5,23.9,2022,2,11
Housing Trust Fund,5,81.3,2022,2,11
Budget Stabilization Fund,5,0.0,2022,2,11
Other Funds,5,9.9,2022,2,11
Total Operating Funds,5,1516.5,2022,2,11
Capital Improvement,5,454.7,2022,2,11
Industrial and Commercial Development,5,10.2,2022,2,11
Total Capital Funds,5,465.0,2022,2,11
Consolidated Cash,5,1981.4,2022,2,11
General Fund,6,664.9,2022,2,12
Grants Fund,6,787.9,2022,2,12
Community Development,6,-30.1,2022,2,12
Vehicle Rental Tax,6,4.7,2022,2,12
Hospital Assessment Fund,6,36.0,2022,2,12
Housing Trust Fund,6,81.2,2022,2,12
Budget Stabilization Fund,6,0.0,2022,2,12
Other Funds,6,9.8,2022,2,12
Total Operating Funds,6,1554.3,2022,2,12
Capital Improvement,6,434.9,2022,2,12
Industrial and Commercial Development,6,10.2,2022,2,12
Total Capital Funds,6,445.2,2022,2,12
Consolidated Cash,6,1999.5,2022,2,12
General Fund,7,798.6,2022,2,1
Grants Fund,7,936.3,2022,2,1
Community Development,7,-18.7,2022,2,1
Vehicle Rental Tax,7,5.1,2022,2,1
Hospital Assessment Fund,7,25.2,2022,2,1
Housing Trust Fund,7,81.9,2022,2,1
Budget Stabilization Fund,7,0.0,2022,2,1
Other Funds,7,13.1,2022,2,1
Total Operating Funds,7,1841.6,2022,2,1
Capital Improvement,7,422.2,2022,2,1
Industrial and Commercial Development,7,10.2,2022,2,1
Total Capital Funds,7,432.4,2022,2,1
Consolidated Cash,7,2274.1,2022,2,1
General Fund,8,1027.9,2022,2,2
Grants Fund,8,509.7,2022,2,2
Community Development,8,-4.9,2022,2,2
Vehicle Rental Tax,8,5.8,2022,2,2
Hospital Assessment Fund,8,16.2,2022,2,2
Housing Trust Fund,8,79.8,2022,2,2
Budget Stabilization Fund,8,0.0,2022,2,2
Other Funds,8,13.0,2022,2,2
Total Operating Funds,8,1647.5,2022,2,2
Capital Improvement,8,412.7,2022,2,2
Industrial and Commercial Development,8,10.2,2022,2,2
Total Capital Funds,8,422.9,2022,2,2
Consolidated Cash,8,2070.4,2022,2,2
General Fund,9,755.1,2022,2,3
Grants Fund,9,469.7,2022,2,3
Community Development,9,-3.8,2022,2,3
Vehicle Rental Tax,9,6.5,2022,2,3
Hospital Assessment Fund,9,22.5,2022,2,3
Housing Trust Fund,9,77.7,2022,2,3
Budget Stabilization Fund,9,0.0,2022,2,3
Other Funds,9,12.8,2022,2,3
Total Operating Funds,9,1340.6,2022,2,3
Capital Improvement,9,403.2,2022,2,3
Industrial and Commercial Development,9,10.2,2022,2,3
Total Capital Funds,9,413.4,2022,2,3
Consolidated Cash,9,1754.0,2022,2,3
General Fund,10,1058.8,2022,2,4
Grants Fund,10,594.7,2022,2,4
Community Development,10,1.4,2022,2,4
Vehicle Rental Tax,10,7.2,2022,2,4
Hospital Assessment Fund,10,17.2,2022,2,4
Housing Trust Fund,10,75.6,2022,2,4
Budget Stabilization Fund,10,0.0,2022,2,4
Other Funds,10,12.7,2022,2,4
Total Operating Funds,10,1767.7,2022,2,4
Capital Improvement,10,393.7,2022,2,4
Industrial and Commercial Development,10,10.3,2022,2,4
Total Capital Funds,10,403.9,2022,2,4
Consolidated Cash,10,2171.6,2022,2,4
General Fund,11,1019.8,2022,2,5
Grants Fund,11,1241.3,2022,2,5
Community Development,11,2.0,2022,2,5
Vehicle Rental Tax,11,7.9,2022,2,5
Hospital Assessment Fund,11,43.7,2022,2,5
Housing Trust Fund,11,73.5,2022,2,5
Budget Stabilization Fund,11,0.0,2022,2,5
Other Funds,11,12.5,2022,2,5
Total Operating Funds,11,2400.8,2022,2,5
Capital Improvement,11,384.2,2022,2,5
Industrial and Commercial Development,11,10.3,2022,2,5
Total Capital Funds,11,394.5,2022,2,5
Consolidated Cash,11,2795.2,2022,2,5
General Fund,12,888.3,2022,2,6
Grants Fund,12,1199.2,2022,2,6
Community Development,12,-6.7,2022,2,6
Vehicle Rental Tax,12,8.6,2022,2,6
Hospital Assessment Fund,12,19.2,2022,2,6
Housing Trust Fund,12,71.4,2022,2,6
Budget Stabilization Fund,12,0.0,2022,2,6
Other Funds,12,12.4,2022,2,6
Total Operating Funds,12,2192.5,2022,2,6
Capital Improvement,12,374.7,2022,2,6
Industrial and Commercial Development,12,10.3,2022,2,6
Total Capital Funds,12,385.0,2022,2,6
Consolidated Cash,12,2577.4,2022,2,6
General Fund,1,707.4,2022,1,7
Grants Fund,1,833.6,2022,1,7
Community Development,1,-3.7,2022,1,7
Vehicle Rental Tax,1,8.4,2022,1,7
