dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,abbreviation,dept_code,dept_name,dept_major_code
Fire,151895781.0,4733671.0,5558301.0,0.0,0.0,7552573.0,2004,0.0,169740326.0,Fire,13,Fire Department,13
First Judicial District,89208732.0,22993097.0,2622199.0,0.0,0.0,0.0,2004,0.0,114824028.0,FJD,84,First Judicial District,84
Fleet Management,17010161.0,4313390.0,17851563.0,0.0,0.0,0.0,2004,0.0,39175114.0,Fleet,25,Office of Fleet Management,25
Free Library,32190337.0,1512184.0,2355361.0,0.0,0.0,0.0,2004,0.0,36057882.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,2400.0,0.0,0.0,2004,0.0,2400.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,235330.0,17153.0,5201.0,0.0,0.0,0.0,2004,0.0,257684.0,,32,Historical Commission,32
Human Relations,2216668.0,43456.0,19884.0,0.0,0.0,0.0,2004,0.0,2280008.0,Human Relations,54,Commission on Human Relations,54
Human Services,86802456.0,493654524.0,4706861.0,20849.0,0.0,0.0,2004,0.0,585184690.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,18744148.0,0.0,0.0,2004,0.0,18744148.0,,35IN,Finance: Indemnities,35
Labor Relations,420901.0,23061.0,17167.0,0.0,0.0,0.0,2004,0.0,461129.0,,03,Labor,03
Law,9951168.0,6606908.0,271249.0,0.0,0.0,0.0,2004,0.0,16829325.0,Law,44,Law Department,44
Legal Services,0.0,33359468.0,0.0,0.0,0.0,0.0,2004,0.0,33359468.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,17294915.0,5985492.0,595780.0,0.0,0.0,0.0,2004,0.0,23876187.0,L&I,26,Department of Licenses and Inspections,26
Management -Vehicle Purchase,0.0,0.0,6699661.0,0.0,0.0,0.0,2004,0.0,6699661.0,,25V,Fleet: Vehicle Lease/Purchases,25
Managing Director,8105545.0,5604684.0,780678.0,0.0,0.0,0.0,2004,0.0,14490907.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,0.0,0.0,0.0,0.0,0.0,0.0,2004,0.0,0.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,199944.0,0.0,0.0,2004,0.0,199944.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,2989208.0,720362.0,79637.0,4700.0,0.0,0.0,2004,0.0,3793907.0,Mayor,05,Mayor's Office,05
Office of Behavioral Health /  Mental Retardation Services,0.0,0.0,0.0,0.0,0.0,0.0,2004,0.0,0.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Community Services,705215.0,74419.0,40845.0,0.0,0.0,0.0,2004,0.0,820479.0,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Office of Emergency Shelter Services,3428224.0,11762784.0,150434.0,0.0,0.0,0.0,2004,0.0,15341442.0,OHS,24,Office of Homeless Services,24
Office of Information Svcs.,6994694.0,5474390.0,198245.0,0.0,0.0,93614.0,2004,0.0,12760943.0,OIT,04,Office of Innovation and Technology,04
Personnel,4158272.0,604059.0,75799.0,0.0,0.0,0.0,2004,0.0,4838130.0,OHR,56,Office of Human Resources,56
Police,475523727.0,7476824.0,7651014.0,0.0,0.0,2196056.0,2004,0.0,492847621.0,Police,11,Police Department,11
Prisons,98461058.0,80855513.0,4068922.0,984795.0,0.0,0.0,2004,0.0,184370288.0,Prisons,23,Philadelphia Prison System,23
Procurement,3034226.0,2104737.0,77621.0,0.0,0.0,0.0,2004,0.0,5216584.0,Procurement,38,Procurement Department,38
Public Health,41963682.0,68929357.0,3231724.0,0.0,0.0,1666309.0,2004,0.0,115791072.0,Public Health,14,Department of Public Health,14
Public Property,9085302.0,23356743.0,1019882.0,0.0,0.0,15817451.0,2004,0.0,49279378.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,2004,0.0,0.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,13842113.0,0.0,0.0,0.0,0.0,2004,0.0,13842113.0,,20SR,Public Property: Space Rentals,20
Public Property-Telecommunications,0.0,12138124.0,0.0,0.0,0.0,0.0,2004,0.0,12138124.0,,20T,Public Property: Telecommunications,20
Public Property-Utilities,0.0,28223837.0,0.0,0.0,0.0,0.0,2004,0.0,28223837.0,,20U,Public Property: Utilities,20
Records,3536172.0,3149466.0,635595.0,1345.0,0.0,1129515.0,2004,0.0,8452093.0,Records,31,Department of Records,31
Recreation,31336369.0,2169980.0,1494248.0,1800000.0,0.0,0.0,2004,0.0,36800597.0,Parks & Recreation,16,Department of Parks and Recreation,16
Recreation - Stadium Complex,901810.0,2722196.0,83904.0,0.0,0.0,0.0,2004,0.0,3707910.0,,16SC,Parks & Recreation: Stadium Complex,16
Refunds,0.0,0.0,0.0,51445.0,0.0,0.0,2004,0.0,51445.0,,35R,Finance: Refunds,35
Register of Wills,3097049.0,36738.0,27888.0,0.0,0.0,0.0,2004,0.0,3161675.0,,68,Register of Wills,68
Representative/Commerce,1430037.0,54856771.0,106338.0,2150000.0,0.0,0.0,2004,0.0,58543146.0,City Rep,41,Office of the City Representative,41
Revenue,11818853.0,4026703.0,736445.0,0.0,0.0,0.0,2004,0.0,16582001.0,Revenue,36,Department of Revenue,36
Sheriff,13557813.0,629102.0,283715.0,0.0,0.0,0.0,2004,0.0,14470630.0,Sheriff,70,Office of the Sheriff,70
Streets,15520097.0,12314419.0,4905516.0,14061.0,0.0,0.0,2004,0.0,32754093.0,Streets,12,Streets Department,12
Streets - Sanitation,47497073.0,41616890.0,1213102.0,48171.0,0.0,0.0,2004,0.0,90375236.0,,12S,Streets: Sanitation,12
Tax Reform Commission,230000.0,120018.0,2457.0,0.0,0.0,0.0,2004,0.0,352475.0,,02,Tax Reform Commission,02
Witness Fees,0.0,127344.0,0.0,0.0,0.0,0.0,2004,0.0,127344.0,,35WF,Finance: Witness Fees,35
Zoning Bd. of Adji.,407504.0,60413.0,2867.0,0.0,0.0,0.0,2004,0.0,470784.0,ZBA,30,Zoning Board of Adjustments,30
of Housing and Comm. Dev.,275916.0,313980.0,0.0,0.0,0.0,0.0,2004,0.0,589896.0,,06,Office of Housing and Community Development,06
Art Museum,0.0,0.0,0.0,2000000.0,0.0,0.0,2005,0.0,2000000.0,,34,Art Museum,34
Atwater Kent Museum,279409.0,5524.0,0.0,0.0,0.0,0.0,2005,0.0,284933.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6632884.0,432754.0,70927.0,0.0,0.0,0.0,2005,0.0,7136565.0,,61,City Controller's Office,61
Board of Building Standards,97529.0,7.0,529.0,0.0,0.0,0.0,2005,0.0,98065.0,,29,L&I: Board of Building and Standards,29
Board of L.&I. Review,167181.0,7889.0,560.0,0.0,0.0,0.0,2005,0.0,175630.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7273595.0,218871.0,123873.0,0.0,0.0,0.0,2005,0.0,7616339.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,145253.0,93865.0,39496.0,0.0,0.0,0.0,2005,0.0,278614.0,,19,Camp William Penn,19
Capital Program Office,891231.0,328573.0,71062.0,0.0,0.0,572000.0,2005,0.0,1862866.0,,07,Capital Program Office,07
City Commissioners,4702564.0,3780943.0,537375.0,0.0,0.0,0.0,2005,0.0,9020882.0,City Commissioners,73,City Commissioner's Office,73
City Council,10893841.0,1251907.0,395114.0,0.0,0.0,0.0,2005,0.0,12540862.0,,01,City Council,01
City Planning,3189139.0,105958.0,58451.0,0.0,0.0,0.0,2005,0.0,3353548.0,,51,City Planning Commission,51
City Representative/Commerce,1247251.0,1299752.0,93809.0,2000000.0,0.0,0.0,2005,0.0,4640812.0,City Rep,41,Office of the City Representative,41
City Treasurer,503135.0,57847.0,16000.0,0.0,0.0,0.0,2005,0.0,576982.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,116762.0,24500.0,1604.0,0.0,0.0,0.0,2005,0.0,142866.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4334899.0,24359.0,53773.0,0.0,0.0,0.0,2005,0.0,4413031.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,4131250.0,0.0,0.0,0.0,0.0,2005,0.0,4131250.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2005,0.0,22467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,2005,36740403.0,36740403.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,70738604.0,0.0,0.0,89659766.0,0.0,2005,0.0,160398370.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,8537269.0,10890585.0,2108093.0,2504294.0,0.0,247200.0,2005,0.0,24287441.0,Finance,35,Office of the Director of Finance,35
District Attorney,27439298.0,1667645.0,409385.0,0.0,0.0,768246.0,2005,0.0,30284574.0,DAO,69,District Attorney's Office,69
Fairmount Park Commission,9465641.0,2745208.0,614825.0,850000.0,0.0,0.0,2005,0.0,13675674.0,,17,Fairmount Park Commission,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,2005,0.0,35000000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,704732847.0,0.0,0.0,0.0,0.0,0.0,2005,0.0,704732847.0,,35EB,Finance: Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2005,0.0,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,152199383.0,5185129.0,7811965.0,0.0,0.0,7567200.0,2005,0.0,172763677.0,Fire,13,Fire Department,13
First Judicial District,90183427.0,28320600.0,2495554.0,0.0,0.0,0.0,2005,0.0,120999581.0,FJD,84,First Judicial District,84
Fleet Management,16510174.0,4823846.0,20915676.0,0.0,0.0,0.0,2005,0.0,42249696.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Purch.,0.0,0.0,2176478.0,0.0,0.0,0.0,2005,0.0,2176478.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,30765441.0,1417236.0,3752302.0,0.0,0.0,0.0,2005,0.0,35934979.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,14500.0,0.0,0.0,2005,0.0,14500.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,275864.0,12229.0,6037.0,0.0,0.0,0.0,2005,0.0,294130.0,,32,Historical Commission,32
Human Relations,2106329.0,40870.0,15528.0,0.0,0.0,0.0,2005,0.0,2162727.0,Human Relations,54,Commission on Human Relations,54
Human Services,84567438.0,511773104.0,4305854.0,556.0,0.0,0.0,2005,0.0,600646952.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,27523492.0,0.0,0.0,2005,0.0,27523492.0,,35IN,Finance: Indemnities,35
Labor Relations,450680.0,9203.0,12665.0,0.0,0.0,0.0,2005,0.0,472548.0,,03,Labor,03
Law,9434053.0,5602048.0,186943.0,0.0,0.0,0.0,2005,0.0,15223044.0,Law,44,Law Department,44
Legal Services,0.0,33483015.0,0.0,0.0,0.0,0.0,2005,0.0,33483015.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,16396204.0,3109128.0,763329.0,0.0,0.0,0.0,2005,0.0,20268661.0,L&I,26,Department of Licenses and Inspections,26
Licenses & Inspection-Demolition,0.0,0.0,0.0,0.0,0.0,0.0,2005,0.0,0.0,,26D,L&I: Demolition,26
Managing Director,7628825.0,4508114.0,746843.0,0.0,0.0,0.0,2005,0.0,12883782.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,481214.0,305331.0,0.0,0.0,0.0,0.0,2005,0.0,786545.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,199516.0,0.0,0.0,2005,0.0,199516.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,3028861.0,446861.0,52427.0,0.0,0.0,0.0,2005,0.0,3528149.0,Mayor,05,Mayor's Office,05
Mayor's Office of Comm. Services,599181.0,74478.0,17018.0,0.0,0.0,0.0,2005,0.0,690677.0,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Mayor's Office of Information Svcs.,6305036.0,5045949.0,162920.0,0.0,0.0,0.0,2005,0.0,11513905.0,OIT,04,Office of Innovation and Technology,04
Office of Behavioral Health / Mental Retardation Services,2553233.0,12128834.0,0.0,0.0,0.0,0.0,2005,0.0,14682067.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Emerg. Shelter Services,7272056.0,22103342.0,428850.0,21741.0,0.0,0.0,2005,0.0,29825989.0,OHS,24,Office of Homeless Services,24
Office of Housing and Comm. Dev.,244615.0,143231.0,0.0,0.0,0.0,0.0,2005,0.0,387846.0,,06,Office of Housing and Community Development,06
Personnel,3908410.0,291558.0,76479.0,0.0,0.0,0.0,2005,0.0,4276447.0,OHR,56,Office of Human Resources,56
Police,450697679.0,7276514.0,7554370.0,0.0,0.0,2196056.0,2005,0.0,467724619.0,Police,11,Police Department,11
Prisons,102686806.0,84908427.0,3931671.0,1009048.0,0.0,0.0,2005,0.0,192535952.0,Prisons,23,Philadelphia Prison System,23
Procurement,2790321.0,2251262.0,71255.0,0.0,0.0,0.0,2005,0.0,5112838.0,Procurement,38,Procurement Department,38
Public Health,38048911.0,60737891.0,4205323.0,0.0,0.0,2100000.0,2005,0.0,105092125.0,Public Health,14,Department of Public Health,14
Public Property,8470038.0,23170753.0,914911.0,0.0,0.0,23092810.0,2005,0.0,55648512.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,56509711.0,0.0,0.0,0.0,0.0,2005,0.0,56509711.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,14063610.0,0.0,0.0,0.0,0.0,2005,0.0,14063610.0,,20SR,Public Property: Space Rentals,20
Public Property-Telecomm.,0.0,12220672.0,0.0,0.0,0.0,0.0,2005,0.0,12220672.0,,20T,Public Property: Telecommunications,20
Public Property-Utilities,0.0,27377013.0,0.0,0.0,0.0,0.0,2005,0.0,27377013.0,,20U,Public Property: Utilities,20
Records,3395171.0,3377301.0,452576.0,786.0,0.0,0.0,2005,0.0,7225834.0,Records,31,Department of Records,31
Recreation,28676210.0,2053524.0,1367732.0,1800000.0,0.0,0.0,2005,0.0,33897466.0,Parks & Recreation,16,Department of Parks and Recreation,16
Refunds,0.0,0.0,0.0,13505.0,0.0,0.0,2005,0.0,13505.0,,35R,Finance: Refunds,35
Register of Wills,3054937.0,33192.0,24623.0,0.0,0.0,0.0,2005,0.0,3112752.0,,68,Register of Wills,68
Revenue,11992134.0,3566356.0,677992.0,0.0,0.0,44883.0,2005,0.0,16281365.0,Revenue,36,Department of Revenue,36
Sheriff,12526890.0,1166783.0,263032.0,0.0,0.0,0.0,2005,0.0,13956705.0,Sheriff,70,Office of the Sheriff,70
Streets,13866317.0,12086877.0,2185625.0,2793.0,0.0,0.0,2005,0.0,28141612.0,Streets,12,Streets Department,12
Streets - Sanitation,46095894.0,42571763.0,1333687.0,48171.0,0.0,0.0,2005,0.0,90049515.0,,12S,Streets: Sanitation,12
Witness Fees,0.0,106304.0,0.0,0.0,0.0,0.0,2005,0.0,106304.0,,35WF,Finance: Witness Fees,35
Zoning Bd. of Adj.,375163.0,41083.0,2502.0,0.0,0.0,0.0,2005,0.0,418748.0,ZBA,30,Zoning Board of Adjustments,30
Art Museum,0.0,0.0,0.0,2000000.0,0.0,0.0,2006,0.0,2000000.0,,34,Art Museum,34
Atwater Kent Museum,261250.0,5770.0,0.0,0.0,0.0,0.0,2006,0.0,267020.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6780793.0,471007.0,78566.0,0.0,0.0,0.0,2006,0.0,7330366.0,,61,City Controller's Office,61
Board of Building Standards,99888.0,376.0,628.0,0.0,0.0,0.0,2006,0.0,100892.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,0.0,,45,Board of Ethics,45
Board of L.&I. Review,159089.0,18637.0,562.0,0.0,0.0,0.0,2006,0.0,178288.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7380015.0,282879.0,112642.0,0.0,0.0,357343.0,2006,0.0,8132879.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,138213.0,101673.0,49529.0,0.0,0.0,0.0,2006,0.0,289415.0,,19,Camp William Penn,19
Capital Program Office,713697.0,336992.0,85446.0,0.0,0.0,572000.0,2006,0.0,1708135.0,,07,Capital Program Office,07
City Commissioners,4503445.0,3202061.0,548899.0,0.0,0.0,0.0,2006,0.0,8254405.0,City Commissioners,73,City Commissioner's Office,73
City Council,10676871.0,1375291.0,402413.0,0.0,0.0,0.0,2006,0.0,12454575.0,,01,City Council,01
City Planning,2970994.0,107594.0,58900.0,0.0,0.0,0.0,2006,0.0,3137488.0,,51,City Planning Commission,51
City Representative/Commerce,1103496.0,1298096.0,93717.0,2100000.0,0.0,0.0,2006,0.0,4595309.0,City Rep,41,Office of the City Representative,41
City Treasurer,603563.0,50079.0,23687.0,0.0,0.0,0.0,2006,0.0,677329.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,128924.0,24500.0,1817.0,0.0,0.0,0.0,2006,0.0,155241.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4219043.0,21298.0,56887.0,0.0,0.0,0.0,2006,0.0,4297228.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,2006,0.0,4000000.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2006,0.0,22467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,2006,38604007.0,38604007.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,77004918.0,0.0,0.0,82917408.0,0.0,2006,0.0,159922326.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,8617260.0,9766821.0,502898.0,3864998.0,0.0,417100.0,2006,0.0,23169077.0,Finance,35,Office of the Director of Finance,35
District Attorney,26188801.0,1669256.0,790401.0,0.0,0.0,0.0,2006,0.0,28648458.0,DAO,69,District Attorney's Office,69
Fairmount Park Commission,8429422.0,2733256.0,609034.0,850000.0,0.0,0.0,2006,0.0,12621712.0,,17,Fairmount Park Commission,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,2006,0.0,35000000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,760221000.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,760221000.0,,35EB,Finance: Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2006,0.0,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,153483021.0,5773824.0,5550493.0,0.0,0.0,6977938.0,2006,0.0,171785276.0,Fire,13,Fire Department,13
First Judicial District,87149961.0,24447344.0,2520354.0,0.0,0.0,0.0,2006,0.0,114117659.0,FJD,84,First Judicial District,84
Fleet Management,16060639.0,4209391.0,23383240.0,0.0,0.0,0.0,2006,0.0,43653270.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Purch.,0.0,0.0,13297234.0,0.0,0.0,0.0,2006,0.0,13297234.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,31984257.0,1333297.0,3965544.0,0.0,0.0,0.0,2006,0.0,37283098.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,19000.0,0.0,0.0,2006,0.0,19000.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,251717.0,14550.0,5890.0,0.0,0.0,0.0,2006,0.0,272157.0,,32,Historical Commission,32
Human Relations,1971753.0,44372.0,18886.0,0.0,0.0,0.0,2006,0.0,2035011.0,Human Relations,54,Commission on Human Relations,54
Human Services,85263449.0,467917604.0,3383809.0,410.0,0.0,0.0,2006,0.0,556565272.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,22954601.0,0.0,0.0,2006,0.0,22954601.0,,35IN,Finance: Indemnities,35
Labor Relations,567778.0,7959.0,9579.0,0.0,0.0,0.0,2006,0.0,585316.0,,03,Labor,03
Law,9455099.0,4920125.0,273633.0,0.0,0.0,0.0,2006,0.0,14648857.0,Law,44,Law Department,44
Legal Services,0.0,33609195.0,0.0,0.0,0.0,0.0,2006,0.0,33609195.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,16439330.0,3170862.0,632058.0,0.0,0.0,0.0,2006,0.0,20242250.0,L&I,26,Department of Licenses and Inspections,26
Licenses & Inspection-Demolition,0.0,8250000.0,0.0,0.0,0.0,0.0,2006,0.0,8250000.0,,26D,L&I: Demolition,26
Managing Director,7057558.0,5702335.0,743716.0,0.0,0.0,0.0,2006,0.0,13503609.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,456037.0,375467.0,0.0,0.0,0.0,0.0,2006,0.0,831504.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,199375.0,0.0,0.0,2006,0.0,199375.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,3784126.0,534871.0,73563.0,0.0,0.0,0.0,2006,0.0,4392560.0,Mayor,05,Mayor's Office,05
Mayor's Office of Comm. Services,3068.0,4285.0,0.0,0.0,0.0,0.0,2006,0.0,7353.0,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Mayor's Office of Information Svcs.,6140711.0,5413457.0,163014.0,0.0,0.0,0.0,2006,0.0,11717182.0,OIT,04,Office of Innovation and Technology,04
Office of Behavioral Health / Mental Retardation Services,2316329.0,12128834.0,0.0,0.0,0.0,0.0,2006,0.0,14445163.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Housing and Comm. Dev.,233987.0,143231.0,0.0,381000.0,0.0,782947.0,2006,0.0,1541165.0,,06,Office of Housing and Community Development,06
Office of Supportive Housing,6591611.0,28549244.0,391376.0,30773.0,0.0,0.0,2006,0.0,35563004.0,OHS,24,Office of Homeless Services,24
Personnel,3871897.0,477703.0,43534.0,0.0,0.0,0.0,2006,0.0,4393134.0,OHR,56,Office of Human Resources,56
Police,457990628.0,7296730.0,7567697.0,0.0,0.0,275653.0,2006,0.0,473130708.0,Police,11,Police Department,11
Prisons,106084275.0,82767467.0,4467665.0,1026490.0,0.0,0.0,2006,0.0,194345897.0,Prisons,23,Philadelphia Prison System,23
Procurement,2660423.0,1882448.0,55689.0,0.0,0.0,0.0,2006,0.0,4598560.0,Procurement,38,Procurement Department,38
Public Health,37598247.0,61078274.0,3797463.0,0.0,0.0,2577422.0,2006,0.0,105051406.0,Public Health,14,Department of Public Health,14
Public Property,8084578.0,23344953.0,922611.0,0.0,0.0,22164639.0,2006,0.0,54516781.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,56650700.0,0.0,0.0,0.0,0.0,2006,0.0,56650700.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,14402336.0,0.0,0.0,0.0,0.0,2006,0.0,14402336.0,,20SR,Public Property: Space Rentals,20
Public Property-Telecomm.,0.0,9945876.0,0.0,0.0,0.0,0.0,2006,0.0,9945876.0,,20T,Public Property: Telecommunications,20
Public Property-Utilities,0.0,33299186.0,0.0,0.0,0.0,0.0,2006,0.0,33299186.0,,20U,Public Property: Utilities,20
Records,3451820.0,3705578.0,452120.0,1272.0,0.0,1129515.0,2006,0.0,8740305.0,Records,31,Department of Records,31
Recreation,27838493.0,2434504.0,1373393.0,1900000.0,0.0,0.0,2006,0.0,33546390.0,Parks & Recreation,16,Department of Parks and Recreation,16
Refunds,0.0,0.0,0.0,19711.0,0.0,0.0,2006,0.0,19711.0,,35R,Finance: Refunds,35
Register of Wills,3037732.0,37332.0,26355.0,0.0,0.0,70965.0,2006,0.0,3172384.0,,68,Register of Wills,68
